Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:44,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
19:16,"GOOD 3PTR by GARRETT,TRAVIS",3 (+3),,0,,HC 3-0 (+3),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,"ASSIST  by CONARD,ALEC",,,,,,,"ASSIST  by CONARD,ALEC",1
18:44,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",1
18:44,,,,,"MISS FT by JACOBS,OWEN",,,"MISS FT by JACOBS,OWEN",1
--,,,,,"REBOUND DEADB by HARVILLE,TYLER",,,"REBOUND DEADB by HARVILLE,TYLER",1
18:44,,,,,"MISS FT by JACOBS,OWEN",,,"MISS FT by JACOBS,OWEN",1
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",1
18:36,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
18:27,,3,,3,"GOOD 3PTR by MARDER,NICK",BCM 3-3 (0),,"GOOD 3PTR by MARDER,NICK",1
17:50,"MISS 3PTR by CONARD,ALEC",,,,,,,"MISS 3PTR by CONARD,ALEC",1
--,"REBOUND OFF by BARRETT,JORDAN",,,,,,,"REBOUND OFF by BARRETT,JORDAN",1
17:41,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
17:35,"GOOD FT by BARRETT,JORDAN",4 (+1),,3,,HC 4-3 (+1),,"GOOD FT by BARRETT,JORDAN",1
17:35,"MISS FT by BARRETT,JORDAN",,,,,,,"MISS FT by BARRETT,JORDAN",1
--,"REBOUND OFF by CONARD,ALEC",,,,,,,"REBOUND OFF by CONARD,ALEC",1
17:30,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
17:24,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by CHAYKOWSKY,ZACK",,,"REBOUND DEF by CHAYKOWSKY,ZACK",1
17:21,,,,,"MISS 3PTR by CHAYKOWSKY,ZACK",,,"MISS 3PTR by CHAYKOWSKY,ZACK",1
--,"REBOUND DEF by GUMM,GABE",,,,,,,"REBOUND DEF by GUMM,GABE",1
16:37,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",,,"FOUL  by ELLINGSWORTH,COLEMAN",1
16:37,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",1
16:37,"MISS FT by BARRETT,JORDAN",,,,,,,"MISS FT by BARRETT,JORDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:37,"GOOD FT by BARRETT,JORDAN",5 (+2),,3,,HC 5-3 (+2),,"GOOD FT by BARRETT,JORDAN",1
16:37,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",1
16:37,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
16:37,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
16:26,,5,,5,"GOOD LAYUP by KORN,LUKAS(in the paint)",BCM 5-5 (0),,"GOOD LAYUP by KORN,LUKAS(in the paint)",1
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",1
16:15,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
16:08,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",1
--,,,,,"REBOUND DEF by KORN,LUKAS",,,"REBOUND DEF by KORN,LUKAS",1
15:50,,,,,"TURNOVER  by KORN,LUKAS",,,"TURNOVER  by KORN,LUKAS",1
15:50,"STEAL  by GUMM,GABE",,,,,,,"STEAL  by GUMM,GABE",1
15:50,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
15:50,,5,,7 (+2),"GOOD LAYUP by HARVILLE,TYLER(in the paint)",BCM 5-7 (-2),,"GOOD LAYUP by HARVILLE,TYLER(in the paint)",1
15:50,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",1
15:50,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",1
15:50,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
15:50,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",1
14:00,,,,,"TURNOVER  by HARVILLE,TYLER",,,"TURNOVER  by HARVILLE,TYLER",1
14:00,,5,,9 (+4),"GOOD LAYUP by CHAYKOWSKY,ZACK(in the paint)",BCM 5-9 (-4),,"GOOD LAYUP by CHAYKOWSKY,ZACK(in the paint)",1
13:34,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",1
--,,,,,"ASSIST  by ELLINGSWORTH,COLEMAN",,,"ASSIST  by ELLINGSWORTH,COLEMAN",1
13:34,,,,,"MISS FT by ELLINGSWORTH,COLEMAN",,,"MISS FT by ELLINGSWORTH,COLEMAN",1
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",1
13:34,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
13:34,,,,,"SUB OUT by CHAYKOWSKY,ZACK",,,"SUB OUT by CHAYKOWSKY,ZACK",1
13:31,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
13:30,,,,,"SUB IN by POWELL,SAMUEL",,,"SUB IN by POWELL,SAMUEL",1
13:30,,,,,"SUB IN by CHAYKOWSKY,ZACK",,,"SUB IN by CHAYKOWSKY,ZACK",1
13:30,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
13:21,,,,,"MISS 3PTR by HARVILLE,TYLER",,,"MISS 3PTR by HARVILLE,TYLER",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
13:09,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
13:09,,5,,10 (+5),"GOOD FT by HARVILLE,TYLER",BCM 5-10 (-5),,"GOOD FT by HARVILLE,TYLER",1
13:09,,5,,11 (+6),"GOOD FT by HARVILLE,TYLER",BCM 5-11 (-6),,"GOOD FT by HARVILLE,TYLER",1
13:00,"FOUL TECH by CONARD,ALEC",,,,,,,"FOUL TECH by CONARD,ALEC",1
12:49,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
12:46,,,,,"MISS FT by MCCLOUD,LEE",,,"MISS FT by MCCLOUD,LEE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:41,,,,,"MISS FT by MCCLOUD,LEE",,,"MISS FT by MCCLOUD,LEE",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
12:25,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
12:25,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
12:25,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
12:25,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
12:25,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",1
12:25,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
12:25,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
12:25,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
12:15,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
12:13,,,,,"MISS 3PTR by HARVILLE,TYLER",,,"MISS 3PTR by HARVILLE,TYLER",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
12:04,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
11:57,,5,,14 (+9),"GOOD 3PTR by POWELL,SAMUEL",BCM 5-14 (-9),,"GOOD 3PTR by POWELL,SAMUEL",1
--,,,,,"ASSIST  by CHAYKOWSKY,ZACK",,,"ASSIST  by CHAYKOWSKY,ZACK",1
11:50,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
11:50,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
11:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:43,"MISS LAYUP by STEELE,AARON",,,,,,,"MISS LAYUP by STEELE,AARON",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
11:36,"GOOD FT by LITTLEFIELD,GEAREN",6,,14 (+8),,HC 6-14 (-8),,"GOOD FT by LITTLEFIELD,GEAREN",1
11:36,"GOOD FT by LITTLEFIELD,GEAREN",7,,14 (+7),,HC 7-14 (-7),,"GOOD FT by LITTLEFIELD,GEAREN",1
11:14,,,,,"TURNOVER  by POWELL,SAMUEL",,,"TURNOVER  by POWELL,SAMUEL",1
10:56,"GOOD 3PTR by NIKOLOVSKI,DREW",10,,14 (+4),,HC 10-14 (-4),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
--,"ASSIST  by LITTLEFIELD,GEAREN",,,,,,,"ASSIST  by LITTLEFIELD,GEAREN",1
10:45,,,,,"MISS 3PTR by HARVILLE,TYLER",,,"MISS 3PTR by HARVILLE,TYLER",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
10:28,"GOOD LAYUP by STEELE,AARON(in the paint)",12,,14 (+2),,HC 12-14 (-2),,"GOOD LAYUP by STEELE,AARON(in the paint)",1
10:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:06,,12,,16 (+4),"GOOD JUMPER by HARVILLE,TYLER",BCM 12-16 (-4),,"GOOD JUMPER by HARVILLE,TYLER",1
09:43,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
09:37,,12,,18 (+6),"GOOD LAYUP by CHAYKOWSKY,ZACK(fastbreak)(in the paint)",BCM 12-18 (-6),,"GOOD LAYUP by CHAYKOWSKY,ZACK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by HARVILLE,TYLER",,,"ASSIST  by HARVILLE,TYLER",1
09:20,"MISS JUMPER by VANCE,LUKE",,,,,,,"MISS JUMPER by VANCE,LUKE",1
--,,,,,"REBOUND DEF by CHAYKOWSKY,ZACK",,,"REBOUND DEF by CHAYKOWSKY,ZACK",1
09:00,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
08:48,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
08:48,"GOOD FT by BARRETT,JORDAN",13,,18 (+5),,HC 13-18 (-5),,"GOOD FT by BARRETT,JORDAN",1
08:48,"GOOD FT by BARRETT,JORDAN",14,,18 (+4),,HC 14-18 (-4),,"GOOD FT by BARRETT,JORDAN",1
08:48,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
08:48,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
08:48,,,,,"SUB IN by HERTEL,CLAY",,,"SUB IN by HERTEL,CLAY",1
08:48,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
08:39,,,,,"MISS JUMPER by JACOBS,OWEN",,,"MISS JUMPER by JACOBS,OWEN",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
08:20,,,,,"FOUL  by POWELL,SAMUEL",,,"FOUL  by POWELL,SAMUEL",1
08:20,"GOOD FT by VANCE,LUKE",15,,18 (+3),,HC 15-18 (-3),,"GOOD FT by VANCE,LUKE",1
08:20,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",1
--,,,,,"REBOUND DEF by POWELL,SAMUEL",,,"REBOUND DEF by POWELL,SAMUEL",1
08:07,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1
08:07,"BLOCK  by LITTLEFIELD,GEAREN",,,,,,,"BLOCK  by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
07:58,"TURNOVER  by BARRETT,JORDAN",,,,,,,"TURNOVER  by BARRETT,JORDAN",1
07:58,,,,,"STEAL  by HARVILLE,TYLER",,,"STEAL  by HARVILLE,TYLER",1
07:58,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
07:58,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",1
07:35,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
07:19,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",1
07:17,,,,,"STEAL  by HERTEL,CLAY",,,"STEAL  by HERTEL,CLAY",1
07:06,,15,,20 (+5),"GOOD LAYUP by POWELL,SAMUEL(in the paint)",BCM 15-20 (-5),,"GOOD LAYUP by POWELL,SAMUEL(in the paint)",1
06:52,"FOUL  by BARRETT,JORDAN",,,,,,,"FOUL  by BARRETT,JORDAN",1
06:49,"TURNOVER  by BARRETT,JORDAN",,,,,,,"TURNOVER  by BARRETT,JORDAN",1
06:43,,,,,"MISS 3PTR by HERTEL,CLAY",,,"MISS 3PTR by HERTEL,CLAY",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
06:24,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",17,,20 (+3),,HC 17-20 (-3),,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",1
06:16,,17,,23 (+6),"GOOD 3PTR by HARVILLE,TYLER",BCM 17-23 (-6),,"GOOD 3PTR by HARVILLE,TYLER",1
05:55,"GOOD 3PTR by GARRETT,TRAVIS",20,,23 (+3),,HC 20-23 (-3),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,"ASSIST  by CRISWELL,SEAN",,,,,,,"ASSIST  by CRISWELL,SEAN",1
05:43,,,,,"FOUL  by HARVILLE,TYLER",,,"FOUL  by HARVILLE,TYLER",1
05:43,,,,,"TURNOVER  by HARVILLE,TYLER",,,"TURNOVER  by HARVILLE,TYLER",1
05:13,,,,,"MISS 3PTR by HARVILLE,TYLER",,,"MISS 3PTR by HARVILLE,TYLER",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
05:13,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
05:13,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",1
05:13,,,,,"SUB OUT by POWELL,SAMUEL",,,"SUB OUT by POWELL,SAMUEL",1
05:12,,,,,"TURNOVER  by CHAYKOWSKY,ZACK",,,"TURNOVER  by CHAYKOWSKY,ZACK",1
05:12,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
05:12,,,,,"SUB OUT by HERTEL,CLAY",,,"SUB OUT by HERTEL,CLAY",1
04:35,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:35,"FOUL  by BARRETT,JORDAN",,,,,,,"FOUL  by BARRETT,JORDAN",1
04:20,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
