Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,ETBUM,Game Score,Team Indicator,Play,Period
19:38,,,,,"MISS LAYUP by SAMUEL,JAMIL",,,"MISS LAYUP by SAMUEL,JAMIL",1
--,,,,,"REBOUND OFF by THOMPSON,ERBY",,,"REBOUND OFF by THOMPSON,ERBY",1
19:35,,0,,2 (+2),"GOOD LAYUP by THOMPSON,ERBY(in the paint)",ETBUM 0-2 (-2),,"GOOD LAYUP by THOMPSON,ERBY(in the paint)",1
19:23,,,,,"FOUL  by THOMPSON,ERBY",,,"FOUL  by THOMPSON,ERBY",1
19:23,"GOOD FT by ALDOUS,HANK",1,,2 (+1),,HC 1-2 (-1),,"GOOD FT by ALDOUS,HANK",1
19:23,"GOOD FT by ALDOUS,HANK",2,,2,,HC 2-2 (0),,"GOOD FT by ALDOUS,HANK",1
19:14,,,,,"MISS 3PTR by FELICIA,JUSTIN",,,"MISS 3PTR by FELICIA,JUSTIN",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
18:56,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by SAMUEL,JAMIL",,,"REBOUND DEF by SAMUEL,JAMIL",1
18:37,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
18:34,,2,,4 (+2),"GOOD LAYUP by THOMPSON,ERBY(in the paint)",ETBUM 2-4 (-2),,"GOOD LAYUP by THOMPSON,ERBY(in the paint)",1
18:11,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by FELICIA,JUSTIN",,,"REBOUND DEF by FELICIA,JUSTIN",1
18:01,,,,,"MISS LAYUP by FELICIA,JUSTIN",,,"MISS LAYUP by FELICIA,JUSTIN",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
17:40,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
17:40,,,,,"BLOCK  by SAMUEL,JAMIL",,,"BLOCK  by SAMUEL,JAMIL",1
--,,,,,"REBOUND DEF by FELICIA,JUSTIN",,,"REBOUND DEF by FELICIA,JUSTIN",1
17:21,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
17:02,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",1
17:02,,2,,5 (+3),"GOOD FT by MITCHELL,JUNIOR",ETBUM 2-5 (-3),,"GOOD FT by MITCHELL,JUNIOR",1
17:02,,2,,6 (+4),"GOOD FT by MITCHELL,JUNIOR",ETBUM 2-6 (-4),,"GOOD FT by MITCHELL,JUNIOR",1
16:38,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
16:38,,,,,"SUB IN by HERRING,CHAD",,,"SUB IN by HERRING,CHAD",1
16:38,,,,,"SUB IN by GRAY,AHNRE",,,"SUB IN by GRAY,AHNRE",1
16:38,,,,,"SUB OUT by FELICIA,JUSTIN",,,"SUB OUT by FELICIA,JUSTIN",1
16:38,,,,,"SUB OUT by SAMUEL,JAMIL",,,"SUB OUT by SAMUEL,JAMIL",1
16:32,,,,,"TURNOVER  by THOMPSON,ERBY",,,"TURNOVER  by THOMPSON,ERBY",1
16:30,"STEAL  by OGLE,JOHN",,,,,,,"STEAL  by OGLE,JOHN",1
16:28,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",1
16:22,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
16:22,,2,,7 (+5),"GOOD FT by AUGUSTINE,DYLAN",ETBUM 2-7 (-5),,"GOOD FT by AUGUSTINE,DYLAN",1
16:22,,2,,8 (+6),"GOOD FT by AUGUSTINE,DYLAN",ETBUM 2-8 (-6),,"GOOD FT by AUGUSTINE,DYLAN",1
16:22,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
16:22,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
16:07,"GOOD LAYUP by VANCE,LUKE(in the paint)",4,,8 (+4),,HC 4-8 (-4),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,"ASSIST  by LITTLEFIELD,GEAREN",,,,,,,"ASSIST  by LITTLEFIELD,GEAREN",1
15:54,,,,,"MISS LAYUP by GRAY,AHNRE",,,"MISS LAYUP by GRAY,AHNRE",1
15:54,"BLOCK  by VANCE,LUKE",,,,,,,"BLOCK  by VANCE,LUKE",1
--,,,,,"REBOUND OFF by GRAY,AHNRE",,,"REBOUND OFF by GRAY,AHNRE",1
15:46,,4,,11 (+7),"GOOD 3PTR by AUGUSTINE,DYLAN",ETBUM 4-11 (-7),,"GOOD 3PTR by AUGUSTINE,DYLAN",1
--,,,,,"ASSIST  by MITCHELL,JUNIOR",,,"ASSIST  by MITCHELL,JUNIOR",1
15:19,"GOOD LAYUP by VANCE,LUKE(in the paint)",6,,11 (+5),,HC 6-11 (-5),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
