Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,AC-M,Game Score,Team Indicator,Play,Period
19:43,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
19:43,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
19:32,,,,,"MISS JUMPER by SULLIVAN,ALAN",,,"MISS JUMPER by SULLIVAN,ALAN",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
19:24,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
19:24,,,,,"BLOCK  by FREET,AUSTIN",,,"BLOCK  by FREET,AUSTIN",1
--,,,,,"REBOUND DEF by FREET,AUSTIN",,,"REBOUND DEF by FREET,AUSTIN",1
19:10,,,,,"TURNOVER  by SWISHER,JEREMY",,,"TURNOVER  by SWISHER,JEREMY",1
18:45,"GOOD JUMPER by BARRETT,JORDAN(in the paint)",2 (+2),,0,,HC 2-0 (+2),,"GOOD JUMPER by BARRETT,JORDAN(in the paint)",1
18:37,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
18:37,,,,,"MISS FT by FREET,AUSTIN",,,"MISS FT by FREET,AUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:37,,,,,"MISS FT by FREET,AUSTIN",,,"MISS FT by FREET,AUSTIN",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
18:18,,,,,"FOUL  by MICHAEL,ALVIN",,,"FOUL  by MICHAEL,ALVIN",1
18:18,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:18,"GOOD FT by VANCE,LUKE",3 (+3),,0,,HC 3-0 (+3),,"GOOD FT by VANCE,LUKE",1
18:14,,,,,"TURNOVER  by SWISHER,JEREMY",,,"TURNOVER  by SWISHER,JEREMY",1
18:13,"STEAL  by ALDOUS,HANK",,,,,,,"STEAL  by ALDOUS,HANK",1
18:11,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",1
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",1
18:08,,,,,"FOUL  by SWISHER,JEREMY",,,"FOUL  by SWISHER,JEREMY",1
18:08,"GOOD FT by VANCE,LUKE",4 (+4),,0,,HC 4-0 (+4),,"GOOD FT by VANCE,LUKE",1
18:08,"GOOD FT by VANCE,LUKE",5 (+5),,0,,HC 5-0 (+5),,"GOOD FT by VANCE,LUKE",1
18:01,,,,,"MISS JUMPER by BAEHL,BRIAN",,,"MISS JUMPER by BAEHL,BRIAN",1
--,"REBOUND DEF by GUMM,GABE",,,,,,,"REBOUND DEF by GUMM,GABE",1
17:54,,,,,"FOUL  by BAEHL,BRIAN",,,"FOUL  by BAEHL,BRIAN",1
17:44,"GOOD LAYUP by VANCE,LUKE(in the paint)",7 (+7),,0,,HC 7-0 (+7),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
17:14,,,,,"MISS 3PTR by BAEHL,BRIAN",,,"MISS 3PTR by BAEHL,BRIAN",1
--,"REBOUND DEF by BARRETT,JORDAN",,,,,,,"REBOUND DEF by BARRETT,JORDAN",1
17:08,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",1
--,,,,,"REBOUND DEF by BAEHL,BRIAN",,,"REBOUND DEF by BAEHL,BRIAN",1
17:02,,7 (+4),,3,"GOOD 3PTR by SWISHER,JEREMY",AC-M 7-3 (+4),,"GOOD 3PTR by SWISHER,JEREMY",1
--,,,,,"ASSIST ASSIST by FREET,AUSTIN",,,"ASSIST ASSIST by FREET,AUSTIN",1
16:46,"GOOD 3PTR by ALDOUS,HANK",10 (+7),,3,,HC 10-3 (+7),,"GOOD 3PTR by ALDOUS,HANK",1
--,"ASSIST ASSIST by OGLE,JOHN",,,,,,,"ASSIST ASSIST by OGLE,JOHN",1
16:30,,10 (+5),,5,"GOOD JUMPER by BAEHL,BRIAN(in the paint)",AC-M 10-5 (+5),,"GOOD JUMPER by BAEHL,BRIAN(in the paint)",1
16:17,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
16:17,,,,,"SUB IN by REIBLY,RYAN",,,"SUB IN by REIBLY,RYAN",1
16:17,,,,,"SUB IN by HUDSON,CEDRIC",,,"SUB IN by HUDSON,CEDRIC",1
16:17,,,,,"SUB OUT by MICHAEL,ALVIN",,,"SUB OUT by MICHAEL,ALVIN",1
16:17,,,,,"SUB OUT by SULLIVAN,ALAN",,,"SUB OUT by SULLIVAN,ALAN",1
16:05,,10 (+3),,7,"GOOD LAYUP by FREET,AUSTIN(in the paint)",AC-M 10-7 (+3),,"GOOD LAYUP by FREET,AUSTIN(in the paint)",1
16:04,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
16:04,,10 (+2),,8,"GOOD FT by FREET,AUSTIN",AC-M 10-8 (+2),,"GOOD FT by FREET,AUSTIN",1
16:04,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",1
16:04,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
16:04,,,,,"SUB IN by RIVERA,ANDRES",,,"SUB IN by RIVERA,ANDRES",1
16:04,,,,,"SUB OUT by SWISHER,JEREMY",,,"SUB OUT by SWISHER,JEREMY",1
15:45,"MISS 3PTR by CONARD,ALEC",,,,,,,"MISS 3PTR by CONARD,ALEC",1
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",1
15:41,"MISS 3PTR by CONARD,ALEC",,,,,,,"MISS 3PTR by CONARD,ALEC",1
--,,,,,"REBOUND DEF by HUDSON,CEDRIC",,,"REBOUND DEF by HUDSON,CEDRIC",1
15:26,,10,,10,"GOOD JUMPER by BAEHL,BRIAN",AC-M 10-10 (0),,"GOOD JUMPER by BAEHL,BRIAN",1
--,,,,,"ASSIST ASSIST by RIVERA,ANDRES",,,"ASSIST ASSIST by RIVERA,ANDRES",1
15:00,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
15:00,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",1
15:00,,,,,"SUB IN by HAMPDEN-SMITH,H",,,"SUB IN by HAMPDEN-SMITH,H",1
15:00,,,,,"SUB OUT by FREET,AUSTIN",,,"SUB OUT by FREET,AUSTIN",1
14:57,"GOOD LAYUP by VANCE,LUKE(in the paint)",12 (+2),,10,,HC 12-10 (+2),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
14:44,,,,,"MISS 3PTR by HUDSON,CEDRIC",,,"MISS 3PTR by HUDSON,CEDRIC",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
14:20,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND OFF by ALDOUS,HANK",,,,,,,"REBOUND OFF by ALDOUS,HANK",1
14:08,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
14:08,,,,,"SUB IN by ANWARY,AARON",,,"SUB IN by ANWARY,AARON",1
14:08,,,,,"SUB OUT by BAEHL,BRIAN",,,"SUB OUT by BAEHL,BRIAN",1
13:54,,,,,"MISS 3PTR by RIVERA,ANDRES",,,"MISS 3PTR by RIVERA,ANDRES",1
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",1
13:45,"TURNOVER  by CONARD,ALEC",,,,,,,"TURNOVER  by CONARD,ALEC",1
13:45,,,,,"STEAL  by RIVERA,ANDRES",,,"STEAL  by RIVERA,ANDRES",1
13:43,,12,,12,"GOOD LAYUP by RIVERA,ANDRES(in the paint)",AC-M 12-12 (0),,"GOOD LAYUP by RIVERA,ANDRES(in the paint)",1
13:24,,,,,"FOUL  by RIVERA,ANDRES",,,"FOUL  by RIVERA,ANDRES",1
13:24,"GOOD FT by CONARD,ALEC",13 (+1),,12,,HC 13-12 (+1),,"GOOD FT by CONARD,ALEC",1
13:24,"GOOD FT by CONARD,ALEC",14 (+2),,12,,HC 14-12 (+2),,"GOOD FT by CONARD,ALEC",1
13:24,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
13:24,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
13:13,,,,,"TURNOVER  by HUDSON,CEDRIC",,,"TURNOVER  by HUDSON,CEDRIC",1
12:50,"GOOD 3PTR by GARRETT,TRAVIS",17 (+5),,12,,HC 17-12 (+5),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,"ASSIST ASSIST by CONARD,ALEC",,,,,,,"ASSIST ASSIST by CONARD,ALEC",1
12:40,,,,,"MISS LAYUP by REIBLY,RYAN",,,"MISS LAYUP by REIBLY,RYAN",1
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",1
12:31,"GOOD 3PTR by NIKOLOVSKI,DREW",20 (+8),,12,,HC 20-12 (+8),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
--,"ASSIST ASSIST by GUMM,GABE",,,,,,,"ASSIST ASSIST by GUMM,GABE",1
12:06,,,,,"MISS LAYUP by HUDSON,CEDRIC",,,"MISS LAYUP by HUDSON,CEDRIC",1
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",1
11:32,"TURNOVER  by CONARD,ALEC",,,,,,,"TURNOVER  by CONARD,ALEC",1
11:32,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
11:32,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
11:32,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",1
11:32,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",1
11:32,,,,,"SUB IN by FREET,AUSTIN",,,"SUB IN by FREET,AUSTIN",1
11:32,,,,,"SUB IN by SULLIVAN,ALAN",,,"SUB IN by SULLIVAN,ALAN",1
11:32,,,,,"SUB IN by BAEHL,BRIAN",,,"SUB IN by BAEHL,BRIAN",1
11:32,,,,,"SUB OUT by RIVERA,ANDRES",,,"SUB OUT by RIVERA,ANDRES",1
11:32,,,,,"SUB OUT by HAMPDEN-SMITH,H",,,"SUB OUT by HAMPDEN-SMITH,H",1
11:32,,,,,"SUB OUT by HUDSON,CEDRIC",,,"SUB OUT by HUDSON,CEDRIC",1
11:14,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
11:14,,,,,"MISS FT by SULLIVAN,ALAN",,,"MISS FT by SULLIVAN,ALAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:14,,20 (+7),,13,"GOOD FT by SULLIVAN,ALAN",AC-M 20-13 (+7),,"GOOD FT by SULLIVAN,ALAN",1
10:58,"MISS JUMPER by ALDOUS,HANK",,,,,,,"MISS JUMPER by ALDOUS,HANK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:42,,,,,"MISS 3PTR by SULLIVAN,ALAN",,,"MISS 3PTR by SULLIVAN,ALAN",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
10:25,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by BAEHL,BRIAN",,,"REBOUND DEF by BAEHL,BRIAN",1
10:08,,20 (+4),,16,"GOOD 3PTR by REIBLY,RYAN",AC-M 20-16 (+4),,"GOOD 3PTR by REIBLY,RYAN",1
--,,,,,"ASSIST ASSIST by SULLIVAN,ALAN",,,"ASSIST ASSIST by SULLIVAN,ALAN",1
09:47,,,,,"FOUL  by SULLIVAN,ALAN",,,"FOUL  by SULLIVAN,ALAN",1
09:47,,,,,"SUB IN by SWISHER,JEREMY",,,"SUB IN by SWISHER,JEREMY",1
09:47,,,,,"SUB OUT by ANWARY,AARON",,,"SUB OUT by ANWARY,AARON",1
09:40,"GOOD 3PTR by NIKOLOVSKI,DREW",23 (+7),,16,,HC 23-16 (+7),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
--,"ASSIST ASSIST by ALDOUS,HANK",,,,,,,"ASSIST ASSIST by ALDOUS,HANK",1
09:31,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",1
09:31,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
09:31,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",1
09:20,,,,,"TURNOVER  by SULLIVAN,ALAN",,,"TURNOVER  by SULLIVAN,ALAN",1
09:15,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
09:09,,,,,"MISS 3PTR by REIBLY,RYAN",,,"MISS 3PTR by REIBLY,RYAN",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
09:03,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
09:02,,,,,"STEAL  by SULLIVAN,ALAN",,,"STEAL  by SULLIVAN,ALAN",1
09:01,,23 (+5),,18,"GOOD LAYUP by SULLIVAN,ALAN(in the paint)",AC-M 23-18 (+5),,"GOOD LAYUP by SULLIVAN,ALAN(in the paint)",1
08:44,"GOOD JUMPER by NIKOLOVSKI,DREW",25 (+7),,18,,HC 25-18 (+7),,"GOOD JUMPER by NIKOLOVSKI,DREW",1
08:39,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,1
08:24,,,,,"MISS LAYUP by FREET,AUSTIN",,,"MISS LAYUP by FREET,AUSTIN",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
08:08,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
08:08,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",1
08:08,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",1
08:08,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
08:00,,,,,"MISS JUMPER by SULLIVAN,ALAN",,,"MISS JUMPER by SULLIVAN,ALAN",1
08:00,"BLOCK  by LITTLEFIELD,GEAREN",,,,,,,"BLOCK  by LITTLEFIELD,GEAREN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:59,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",1
07:59,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
07:55,"FOUL  by BARRETT,JORDAN",,,,,,,"FOUL  by BARRETT,JORDAN",1
07:55,,,,,"MISS FT by SULLIVAN,ALAN",,,"MISS FT by SULLIVAN,ALAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:55,,,,,"MISS FT by SULLIVAN,ALAN",,,"MISS FT by SULLIVAN,ALAN",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
07:38,,,,,"FOUL  by SWISHER,JEREMY",,,"FOUL  by SWISHER,JEREMY",1
07:37,"GOOD 3PTR by GARRETT,TRAVIS",28 (+10),,18,,HC 28-18 (+10),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,"ASSIST ASSIST by ALDOUS,HANK",,,,,,,"ASSIST ASSIST by ALDOUS,HANK",1
07:19,,28 (+8),,20,"GOOD LAYUP by FREET,AUSTIN(in the paint)",AC-M 28-20 (+8),,"GOOD LAYUP by FREET,AUSTIN(in the paint)",1
--,,,,,"ASSIST ASSIST by BAEHL,BRIAN",,,"ASSIST ASSIST by BAEHL,BRIAN",1
07:04,"MISS JUMPER by VANCE,LUKE",,,,,,,"MISS JUMPER by VANCE,LUKE",1
--,"REBOUND OFF by CONARD,ALEC",,,,,,,"REBOUND OFF by CONARD,ALEC",1
07:00,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:57,"SUB IN by GUMM,GABE",,,,,,,"SUB IN by GUMM,GABE",1
06:57,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
06:57,,,,,"SUB IN by HUDSON,CEDRIC",,,"SUB IN by HUDSON,CEDRIC",1
06:57,,,,,"SUB IN by MICHAEL,ALVIN",,,"SUB IN by MICHAEL,ALVIN",1
06:57,,,,,"SUB OUT by SWISHER,JEREMY",,,"SUB OUT by SWISHER,JEREMY",1
06:57,,,,,"SUB OUT by SULLIVAN,ALAN",,,"SUB OUT by SULLIVAN,ALAN",1
06:55,"MISS 3PTR by CONARD,ALEC",,,,,,,"MISS 3PTR by CONARD,ALEC",1
--,,,,,"REBOUND DEF by REIBLY,RYAN",,,"REBOUND DEF by REIBLY,RYAN",1
06:46,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",1
06:46,,28 (+7),,21,"GOOD FT by HUDSON,CEDRIC",AC-M 28-21 (+7),,"GOOD FT by HUDSON,CEDRIC",1
06:46,,,,,"MISS FT by HUDSON,CEDRIC",,,"MISS FT by HUDSON,CEDRIC",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
06:46,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
06:46,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",1
06:30,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",1
06:30,,,,,"BLOCK  by MICHAEL,ALVIN",,,"BLOCK  by MICHAEL,ALVIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:23,"TURNOVER  by BARRETT,JORDAN",,,,,,,"TURNOVER  by BARRETT,JORDAN",1
06:13,,28 (+5),,23,"GOOD LAYUP by BAEHL,BRIAN(in the paint)",AC-M 28-23 (+5),,"GOOD LAYUP by BAEHL,BRIAN(in the paint)",1
05:55,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by FREET,AUSTIN",,,"REBOUND DEF by FREET,AUSTIN",1
05:49,,,,,"TURNOVER  by FREET,AUSTIN",,,"TURNOVER  by FREET,AUSTIN",1
05:49,"STEAL  by ALDOUS,HANK",,,,,,,"STEAL  by ALDOUS,HANK",1
05:46,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",1
05:46,,,,,"BLOCK  by FREET,AUSTIN",,,"BLOCK  by FREET,AUSTIN",1
--,,,,,"REBOUND DEF by BAEHL,BRIAN",,,"REBOUND DEF by BAEHL,BRIAN",1
05:38,,,,,"MISS 3PTR by REIBLY,RYAN",,,"MISS 3PTR by REIBLY,RYAN",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
05:34,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
05:08,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
05:00,,,,,"MISS JUMPER by FREET,AUSTIN",,,"MISS JUMPER by FREET,AUSTIN",1
--,,,,,"REBOUND OFF by HUDSON,CEDRIC",,,"REBOUND OFF by HUDSON,CEDRIC",1
04:55,,,,,"MISS JUMPER by HUDSON,CEDRIC",,,"MISS JUMPER by HUDSON,CEDRIC",1
--,,,,,"REBOUND OFF by HUDSON,CEDRIC",,,"REBOUND OFF by HUDSON,CEDRIC",1
04:50,,,,,"TURNOVER  by HUDSON,CEDRIC",,,"TURNOVER  by HUDSON,CEDRIC",1
04:49,"STEAL  by VANCE,LUKE",,,,,,,"STEAL  by VANCE,LUKE",1
04:31,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
04:31,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",1
04:27,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
--,,,,,"REBOUND DEF by REIBLY,RYAN",,,"REBOUND DEF by REIBLY,RYAN",1
04:20,,,,,"TURNOVER  by REIBLY,RYAN",,,"TURNOVER  by REIBLY,RYAN",1
04:20,,,,,"SUB IN by RIVERA,ANDRES",,,"SUB IN by RIVERA,ANDRES",1
04:20,,,,,"SUB OUT by REIBLY,RYAN",,,"SUB OUT by REIBLY,RYAN",1
04:19,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
04:13,,28 (+3),,25,"GOOD JUMPER by BAEHL,BRIAN",AC-M 28-25 (+3),,"GOOD JUMPER by BAEHL,BRIAN",1
03:54,,,,,"FOUL  by RIVERA,ANDRES",,,"FOUL  by RIVERA,ANDRES",1
03:54,"GOOD FT by GUMM,GABE",29 (+4),,25,,HC 29-25 (+4),,"GOOD FT by GUMM,GABE",1
03:54,"GOOD FT by GUMM,GABE",30 (+5),,25,,HC 30-25 (+5),,"GOOD FT by GUMM,GABE",1
03:45,,,,,"MISS LAYUP by HUDSON,CEDRIC",,,"MISS LAYUP by HUDSON,CEDRIC",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
03:25,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by MICHAEL,ALVIN",,,"REBOUND DEF by MICHAEL,ALVIN",1
03:18,,,,,"TURNOVER  by BAEHL,BRIAN",,,"TURNOVER  by BAEHL,BRIAN",1
03:18,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",1
03:18,,,,,"FOUL  by BAEHL,BRIAN",,,"FOUL  by BAEHL,BRIAN",1
03:18,"GOOD FT by NIKOLOVSKI,DREW",31 (+6),,25,,HC 31-25 (+6),,"GOOD FT by NIKOLOVSKI,DREW",1
03:18,"GOOD FT by NIKOLOVSKI,DREW",32 (+7),,25,,HC 32-25 (+7),,"GOOD FT by NIKOLOVSKI,DREW",1
03:18,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
03:18,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",1
03:18,,,,,"SUB IN by REIBLY,RYAN",,,"SUB IN by REIBLY,RYAN",1
