Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
16:31,"FOUL  by SCHIMMING,KELBY",,,,,,,"FOUL  by SCHIMMING,KELBY",1
16:31,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:31,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",1
--,"REBOUND DEF by TALBERT,SAM",,,,,,,"REBOUND DEF by TALBERT,SAM",1
16:23,"TURNOVER  by REED,SHAQUILLE",,,,,,,"TURNOVER  by REED,SHAQUILLE",1
16:23,"FOUL  by REED,SHAQUILLE",,,,,,,"FOUL  by REED,SHAQUILLE",1
15:58,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",1
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",1
15:38,"TURNOVER  by SCHIMMING,KELBY",,,,,,,"TURNOVER  by SCHIMMING,KELBY",1
15:38,"FOUL  by SCHIMMING,KELBY",,,,,,,"FOUL  by SCHIMMING,KELBY",1
15:38,"SUB IN by WIGGINS,ROOZARIO",,,,,,,"SUB IN by WIGGINS,ROOZARIO",1
15:38,"SUB OUT by SCHIMMING,KELBY",,,,,,,"SUB OUT by SCHIMMING,KELBY",1
15:28,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by WIGGINS,ROOZARIO",,,,,,,"REBOUND DEF by WIGGINS,ROOZARIO",1
15:07,"GOOD JUMPER by WIGGINS,ROOZARIO(in the paint)",11 (+9),,2,,LETU 11-2 (-9),,"GOOD JUMPER by WIGGINS,ROOZARIO(in the paint)",1
--,"ASSIST  by KENNEDY,JAKE",,,,,,,"ASSIST  by KENNEDY,JAKE",1
14:47,,11 (+7),,4,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 11-4 (-7),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,,,,,"ASSIST  by OGLE,JOHN",,,"ASSIST  by OGLE,JOHN",1
14:28,"MISS 3PTR by KENNEDY,JAKE",,,,,,,"MISS 3PTR by KENNEDY,JAKE",1
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",1
14:16,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
--,"REBOUND DEF by KENNEDY,JAKE",,,,,,,"REBOUND DEF by KENNEDY,JAKE",1
14:10,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
14:10,"SUB IN by LEE,CLARK",,,,,,,"SUB IN by LEE,CLARK",1
14:10,"SUB OUT by REED,SHAQUILLE",,,,,,,"SUB OUT by REED,SHAQUILLE",1
14:10,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",1
14:10,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
14:10,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
14:10,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
13:58,"MISS JUMPER by KENNEDY,JAKE",,,,,,,"MISS JUMPER by KENNEDY,JAKE",1
--,"REBOUND OFF by WIGGINS,ROOZARIO",,,,,,,"REBOUND OFF by WIGGINS,ROOZARIO",1
13:55,"GOOD JUMPER by WIGGINS,ROOZARIO",13 (+9),,4,,LETU 13-4 (-9),,"GOOD JUMPER by WIGGINS,ROOZARIO",1
13:40,,13 (+6),,7,"GOOD 3PTR by GARRETT,TRAVIS",HC 13-7 (-6),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
13:21,"MISS JUMPER by KENNEDY,JAKE",,,,,,,"MISS JUMPER by KENNEDY,JAKE",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
13:11,,13 (+3),,10,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",HC 13-10 (-3),,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",1
--,,,,,"ASSIST  by CONARD,ALEC",,,"ASSIST  by CONARD,ALEC",1
12:57,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
12:57,"SUB IN by THORNTON,JOSH",,,,,,,"SUB IN by THORNTON,JOSH",1
12:57,"SUB IN by ARNEDO,JON",,,,,,,"SUB IN by ARNEDO,JON",1
12:57,"SUB OUT by LEE,CLARK",,,,,,,"SUB OUT by LEE,CLARK",1
12:57,"SUB OUT by KENNEDY,JAKE",,,,,,,"SUB OUT by KENNEDY,JAKE",1
12:57,"SUB OUT by TALBERT,SAM",,,,,,,"SUB OUT by TALBERT,SAM",1
12:57,"SUB OUT by THOMPSON,GIOVANNY",,,,,,,"SUB OUT by THOMPSON,GIOVANNY",1
12:57,"SUB OUT by WIGGINS,ROOZARIO",,,,,,,"SUB OUT by WIGGINS,ROOZARIO",1
12:35,"MISS 3PTR by TALBERT,SAM",,,,,,,"MISS 3PTR by TALBERT,SAM",1
--,"REBOUND OFF by ARNEDO,JON",,,,,,,"REBOUND OFF by ARNEDO,JON",1
12:32,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",1
12:15,"MISS JUMPER by TALBERT,SAM",,,,,,,"MISS JUMPER by TALBERT,SAM",1
--,"REBOUND OFF by TALBERT,SAM",,,,,,,"REBOUND OFF by TALBERT,SAM",1
12:09,"MISS JUMPER by LEE,CLARK",,,,,,,"MISS JUMPER by LEE,CLARK",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
11:55,,13 (+1),,12,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 13-12 (-1),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
11:21,"MISS JUMPER by TALBERT,SAM",,,,,,,"MISS JUMPER by TALBERT,SAM",1
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",1
11:07,"FOUL  by ARNEDO,JON",,,,,,,"FOUL  by ARNEDO,JON",1
11:07,"SUB IN by HYNES,CHRIS",,,,,,,"SUB IN by HYNES,CHRIS",1
11:07,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
11:07,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",1
11:01,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by LEE,CLARK",,,,,,,"REBOUND DEF by LEE,CLARK",1
10:33,"MISS LAYUP by HYNES,CHRIS",,,,,,,"MISS LAYUP by HYNES,CHRIS",1
10:33,,,,,"BLOCK  by VANCE,LUKE",,,"BLOCK  by VANCE,LUKE",1
--,"REBOUND OFF by ARNEDO,JON",,,,,,,"REBOUND OFF by ARNEDO,JON",1
10:18,"MISS LAYUP by ARNEDO,JON",,,,,,,"MISS LAYUP by ARNEDO,JON",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
10:13,"FOUL  by LEE,CLARK",,,,,,,"FOUL  by LEE,CLARK",1
10:04,"FOUL  by ARNEDO,JON",,,,,,,"FOUL  by ARNEDO,JON",1
10:03,,13,,14 (+1),"GOOD LAYUP by CONARD,ALEC(in the paint)",HC 13-14 (+1),,"GOOD LAYUP by CONARD,ALEC(in the paint)",1
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",1
09:42,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",1
09:42,"MISS FT by ARNEDO,JON",,,,,,,"MISS FT by ARNEDO,JON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:42,"MISS FT by ARNEDO,JON",,,,,,,"MISS FT by ARNEDO,JON",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
09:42,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
09:42,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
09:27,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:11,"FOUL  by LEE,CLARK",,,,,,,"FOUL  by LEE,CLARK",1
09:11,,13,,15 (+2),"GOOD FT by ALDOUS,HANK",HC 13-15 (+2),,"GOOD FT by ALDOUS,HANK",1
09:11,,13,,16 (+3),"GOOD FT by ALDOUS,HANK",HC 13-16 (+3),,"GOOD FT by ALDOUS,HANK",1
09:11,"SUB IN by REED,SHAQUILLE",,,,,,,"SUB IN by REED,SHAQUILLE",1
09:11,,,,,"SUB IN by GUMM,GABE",,,"SUB IN by GUMM,GABE",1
09:11,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
08:58,"MISS 3PTR by THORNTON,JOSH",,,,,,,"MISS 3PTR by THORNTON,JOSH",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
08:31,,,,,"MISS JUMPER by GUMM,GABE",,,"MISS JUMPER by GUMM,GABE",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
08:21,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND OFF by GARRETT,TRAVIS",,,"REBOUND OFF by GARRETT,TRAVIS",1
08:17,,,,,"MISS LAYUP by GARRETT,TRAVIS",,,"MISS LAYUP by GARRETT,TRAVIS",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
08:14,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by WIGGINS,ROOZARIO",,,,,,,"REBOUND DEF by WIGGINS,ROOZARIO",1
08:10,"GOOD JUMPER by WIGGINS,ROOZARIO",15,,16 (+1),,LETU 15-16 (+1),,"GOOD JUMPER by WIGGINS,ROOZARIO",1
--,"ASSIST  by HYNES,CHRIS",,,,,,,"ASSIST  by HYNES,CHRIS",1
07:46,,,,,"TURNOVER  by GUMM,GABE",,,"TURNOVER  by GUMM,GABE",1
07:46,"STEAL  by REED,SHAQUILLE",,,,,,,"STEAL  by REED,SHAQUILLE",1
07:42,"MISS 3PTR by HYNES,CHRIS",,,,,,,"MISS 3PTR by HYNES,CHRIS",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
07:12,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
07:12,"SUB IN by THOMPSON,GIOVANNY",,,,,,,"SUB IN by THOMPSON,GIOVANNY",1
07:12,"SUB OUT by ARNEDO,JON",,,,,,,"SUB OUT by ARNEDO,JON",1
07:12,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
07:12,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
06:58,"TURNOVER  by HYNES,CHRIS",,,,,,,"TURNOVER  by HYNES,CHRIS",1
06:56,,,,,"STEAL  by ALDOUS,HANK",,,"STEAL  by ALDOUS,HANK",1
06:54,,15,,18 (+3),"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",HC 15-18 (+3),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",1
06:42,"MISS JUMPER by REED,SHAQUILLE",,,,,,,"MISS JUMPER by REED,SHAQUILLE",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
06:31,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",1
06:31,,,,,"TURNOVER  by GUMM,GABE",,,"TURNOVER  by GUMM,GABE",1
06:31,"STEAL  by THORNTON,JOSH",,,,,,,"STEAL  by THORNTON,JOSH",1
06:31,"MISS FT by THORNTON,JOSH",,,,,,,"MISS FT by THORNTON,JOSH",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
06:12,"FOUL  by WIGGINS,ROOZARIO",,,,,,,"FOUL  by WIGGINS,ROOZARIO",1
06:12,,,,,"MISS FT by ALDOUS,HANK",,,"MISS FT by ALDOUS,HANK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:12,,15,,19 (+4),"GOOD FT by ALDOUS,HANK",HC 15-19 (+4),,"GOOD FT by ALDOUS,HANK",1
06:12,"SUB IN by KENNEDY,JAKE",,,,,,,"SUB IN by KENNEDY,JAKE",1
06:12,"SUB OUT by THORNTON,JOSH",,,,,,,"SUB OUT by THORNTON,JOSH",1
06:12,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
06:12,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",1
06:12,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
05:58,"TURNOVER  by REED,SHAQUILLE",,,,,,,"TURNOVER  by REED,SHAQUILLE",1
05:44,,15,,22 (+7),"GOOD 3PTR by ALDOUS,HANK",HC 15-22 (+7),,"GOOD 3PTR by ALDOUS,HANK",1
--,,,,,"ASSIST  by CONARD,ALEC",,,"ASSIST  by CONARD,ALEC",1
05:18,"MISS JUMPER by THOMPSON,GIOVANNY",,,,,,,"MISS JUMPER by THOMPSON,GIOVANNY",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
04:56,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
04:53,"STEAL  by REED,SHAQUILLE",,,,,,,"STEAL  by REED,SHAQUILLE",1
04:51,"GOOD LAYUP by REED,SHAQUILLE(fastbreak)(in the paint)",17,,22 (+5),,LETU 17-22 (+5),,"GOOD LAYUP by REED,SHAQUILLE(fastbreak)(in the paint)",1
04:24,,17,,24 (+7),"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 17-24 (+7),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
04:24,"FOUL  by THOMPSON,GIOVANNY",,,,,,,"FOUL  by THOMPSON,GIOVANNY",1
04:24,,17,,25 (+8),"GOOD FT by OGLE,JOHN",HC 17-25 (+8),,"GOOD FT by OGLE,JOHN",1
04:24,"SUB IN by THORNTON,JOSH",,,,,,,"SUB IN by THORNTON,JOSH",1
04:24,"SUB IN by TALBERT,SAM",,,,,,,"SUB IN by TALBERT,SAM",1
04:24,"SUB OUT by HYNES,CHRIS",,,,,,,"SUB OUT by HYNES,CHRIS",1
04:24,"SUB OUT by KENNEDY,JAKE",,,,,,,"SUB OUT by KENNEDY,JAKE",1
04:09,"MISS 3PTR by TALBERT,SAM",,,,,,,"MISS 3PTR by TALBERT,SAM",1
--,"REBOUND OFF by WIGGINS,ROOZARIO",,,,,,,"REBOUND OFF by WIGGINS,ROOZARIO",1
03:57,"TURNOVER  by REED,SHAQUILLE",,,,,,,"TURNOVER  by REED,SHAQUILLE",1
03:56,,,,,"STEAL  by CONARD,ALEC",,,"STEAL  by CONARD,ALEC",1
03:54,,17,,27 (+10),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 17-27 (+10),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
--,,,,,"ASSIST  by CONARD,ALEC",,,"ASSIST  by CONARD,ALEC",1
03:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:49,"SUB IN by LEE,CLARK",,,,,,,"SUB IN by LEE,CLARK",1
03:49,"SUB IN by DENNIS,TREY",,,,,,,"SUB IN by DENNIS,TREY",1
03:49,"SUB OUT by REED,SHAQUILLE",,,,,,,"SUB OUT by REED,SHAQUILLE",1
03:41,"TURNOVER  by THOMPSON,GIOVANNY",,,,,,,"TURNOVER  by THOMPSON,GIOVANNY",1
03:41,"FOUL  by THOMPSON,GIOVANNY",,,,,,,"FOUL  by THOMPSON,GIOVANNY",1
03:27,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:23,,17,,29 (+12),"GOOD JUMPER by CONARD,ALEC",HC 17-29 (+12),,"GOOD JUMPER by CONARD,ALEC",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
03:06,"TURNOVER  by DENNIS,TREY",,,,,,,"TURNOVER  by DENNIS,TREY",1
03:05,,,,,"STEAL  by ALDOUS,HANK",,,"STEAL  by ALDOUS,HANK",1
03:03,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
03:02,"STEAL  by DENNIS,TREY",,,,,,,"STEAL  by DENNIS,TREY",1
02:55,"GOOD JUMPER by TALBERT,SAM(fastbreak)(in the paint)",19,,29 (+10),,LETU 19-29 (+10),,"GOOD JUMPER by TALBERT,SAM(fastbreak)(in the paint)",1
02:34,,19,,31 (+12),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 19-31 (+12),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
02:21,"GOOD JUMPER by TALBERT,SAM(in the paint)",21,,31 (+10),,LETU 21-31 (+10),,"GOOD JUMPER by TALBERT,SAM(in the paint)",1
--,"ASSIST  by THORNTON,JOSH",,,,,,,"ASSIST  by THORNTON,JOSH",1
02:05,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",1
--,"REBOUND DEF by THORNTON,JOSH",,,,,,,"REBOUND DEF by THORNTON,JOSH",1
01:57,"MISS JUMPER by THORNTON,JOSH",,,,,,,"MISS JUMPER by THORNTON,JOSH",1
--,"REBOUND OFF by DENNIS,TREY",,,,,,,"REBOUND OFF by DENNIS,TREY",1
01:53,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",1
01:53,"GOOD FT by THOMPSON,GIOVANNY",22,,31 (+9),,LETU 22-31 (+9),,"GOOD FT by THOMPSON,GIOVANNY",1
01:53,"GOOD FT by THOMPSON,GIOVANNY",23,,31 (+8),,LETU 23-31 (+8),,"GOOD FT by THOMPSON,GIOVANNY",1
01:34,"FOUL  by THOMPSON,GIOVANNY",,,,,,,"FOUL  by THOMPSON,GIOVANNY",1
01:34,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:34,,23,,32 (+9),"GOOD FT by OGLE,JOHN",HC 23-32 (+9),,"GOOD FT by OGLE,JOHN",1
01:34,"SUB IN by ARNEDO,JON",,,,,,,"SUB IN by ARNEDO,JON",1
01:34,"SUB OUT by THOMPSON,GIOVANNY",,,,,,,"SUB OUT by THOMPSON,GIOVANNY",1
01:29,"MISS JUMPER by ARNEDO,JON",,,,,,,"MISS JUMPER by ARNEDO,JON",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
01:13,,23,,34 (+11),"GOOD JUMPER by CONARD,ALEC(in the paint)",HC 23-34 (+11),,"GOOD JUMPER by CONARD,ALEC(in the paint)",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
00:58,"GOOD LAYUP by ARNEDO,JON(in the paint)",25,,34 (+9),,LETU 25-34 (+9),,"GOOD LAYUP by ARNEDO,JON(in the paint)",1
--,"ASSIST  by THORNTON,JOSH",,,,,,,"ASSIST  by THORNTON,JOSH",1
00:45,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
00:44,"STEAL  by ARNEDO,JON",,,,,,,"STEAL  by ARNEDO,JON",1
00:31,"MISS 3PTR by TALBERT,SAM",,,,,,,"MISS 3PTR by TALBERT,SAM",1
--,"REBOUND OFF by DENNIS,TREY",,,,,,,"REBOUND OFF by DENNIS,TREY",1
00:24,"TURNOVER  by DENNIS,TREY",,,,,,,"TURNOVER  by DENNIS,TREY",1
00:23,,,,,"STEAL  by OGLE,JOHN",,,"STEAL  by OGLE,JOHN",1
00:00,,,,,"MISS JUMPER by GUMM,GABE",,,"MISS JUMPER by GUMM,GABE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by WIGGINS,ROOZARIO",,,,,,,"SUB IN by WIGGINS,ROOZARIO",2
20:00,"SUB OUT by THOMPSON,GIOVANNY",,,,,,,"SUB OUT by THOMPSON,GIOVANNY",2
19:43,"MISS JUMPER by SCHIMMING,KELBY",,,,,,,"MISS JUMPER by SCHIMMING,KELBY",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
19:15,,,,,"MISS JUMPER by BARRETT,JORDAN",,,"MISS JUMPER by BARRETT,JORDAN",2
19:15,"BLOCK  by WIGGINS,ROOZARIO",,,,,,,"BLOCK  by WIGGINS,ROOZARIO",2
--,"REBOUND DEF by KENNEDY,JAKE",,,,,,,"REBOUND DEF by KENNEDY,JAKE",2
19:06,"MISS JUMPER by WIGGINS,ROOZARIO",,,,,,,"MISS JUMPER by WIGGINS,ROOZARIO",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
18:45,,25,,36 (+11),"GOOD JUMPER by OGLE,JOHN",HC 25-36 (+11),,"GOOD JUMPER by OGLE,JOHN",2
18:31,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
18:31,"GOOD FT by REED,SHAQUILLE",26,,36 (+10),,LETU 26-36 (+10),,"GOOD FT by REED,SHAQUILLE",2
18:31,"MISS FT by REED,SHAQUILLE",,,,,,,"MISS FT by REED,SHAQUILLE",2
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",2
18:31,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
18:31,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
18:21,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
18:15,,26,,38 (+12),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 26-38 (+12),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
18:00,"GOOD LAYUP by WIGGINS,ROOZARIO(in the paint)",28,,38 (+10),,LETU 28-38 (+10),,"GOOD LAYUP by WIGGINS,ROOZARIO(in the paint)",2
--,"ASSIST  by REED,SHAQUILLE",,,,,,,"ASSIST  by REED,SHAQUILLE",2
17:37,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",2
--,"REBOUND DEF by SCHIMMING,KELBY",,,,,,,"REBOUND DEF by SCHIMMING,KELBY",2
17:28,"TURNOVER  by TALBERT,SAM",,,,,,,"TURNOVER  by TALBERT,SAM",2
17:27,,,,,"STEAL  by OGLE,JOHN",,,"STEAL  by OGLE,JOHN",2
17:18,,28,,40 (+12),"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 28-40 (+12),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
--,,,,,"ASSIST  by OGLE,JOHN",,,"ASSIST  by OGLE,JOHN",2
17:03,"MISS JUMPER by TALBERT,SAM",,,,,,,"MISS JUMPER by TALBERT,SAM",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
16:51,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",2
