Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,UDMB2014,Game Score,Team Indicator,Play,Period
14:51,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
14:31,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
14:22,,,,,"MISS JUMPER by GONZALEZ,LORENZO",,,"MISS JUMPER by GONZALEZ,LORENZO",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
14:03,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",1
14:01,,,,,"STEAL  by MALONE,KYM",,,"STEAL  by MALONE,KYM",1
13:53,,,,,"MISS JUMPER by PROMBERGER,MARK",,,"MISS JUMPER by PROMBERGER,MARK",1
13:53,"BLOCK  by CONARD,ALEC",,,,,,,"BLOCK  by CONARD,ALEC",1
--,,,,,"REBOUND OFF by PROMBERGER,MARK",,,"REBOUND OFF by PROMBERGER,MARK",1
13:51,,,,,"TURNOVER  by PROMBERGER,MARK",,,"TURNOVER  by PROMBERGER,MARK",1
13:33,"GOOD 3PTR by GARRETT,TRAVIS",3,,6 (+3),,HC 3-6 (-3),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,"ASSIST  by GUMM,GABE",,,,,,,"ASSIST  by GUMM,GABE",1
13:09,,3,,8 (+5),"GOOD LAYUP by WYATT,AARON(in the paint)",UDMB2014 3-8 (-5),,"GOOD LAYUP by WYATT,AARON(in the paint)",1
12:54,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by WYATT,AARON",,,"REBOUND DEF by WYATT,AARON",1
12:29,,3,,10 (+7),"GOOD JUMPER by GONZALEZ,LORENZO(in the paint)",UDMB2014 3-10 (-7),,"GOOD JUMPER by GONZALEZ,LORENZO(in the paint)",1
12:07,"GOOD JUMPER by VANCE,LUKE",5,,10 (+5),,HC 5-10 (-5),,"GOOD JUMPER by VANCE,LUKE",1
11:51,,,,,"MISS JUMPER by SARRAT,MICHAEL",,,"MISS JUMPER by SARRAT,MICHAEL",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
11:36,,,,,"FOUL  by PROMBERGER,MARK",,,"FOUL  by PROMBERGER,MARK",1
11:36,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",1
11:36,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
11:36,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
11:36,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
11:36,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",1
11:36,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
11:36,,,,,"SUB IN by KAISER,TOM",,,"SUB IN by KAISER,TOM",1
11:36,,,,,"SUB IN by JOHNSON,ANTHONY",,,"SUB IN by JOHNSON,ANTHONY",1
11:36,,,,,"SUB OUT by PROMBERGER,MARK",,,"SUB OUT by PROMBERGER,MARK",1
11:36,,,,,"SUB OUT by WYATT,AARON",,,"SUB OUT by WYATT,AARON",1
11:26,"MISS 3PTR by GUMM,GABE",,,,,,,"MISS 3PTR by GUMM,GABE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:19,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",7,,10 (+3),,HC 7-10 (-3),,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",1
10:56,,7,,12 (+5),"GOOD JUMPER by JOHNSON,ANTHONY",UDMB2014 7-12 (-5),,"GOOD JUMPER by JOHNSON,ANTHONY",1
10:34,"GOOD 3PTR by CONARD,ALEC",10,,12 (+2),,HC 10-12 (-2),,"GOOD 3PTR by CONARD,ALEC",1
10:08,,,,,"MISS JUMPER by JOHNSON,ANTHONY",,,"MISS JUMPER by JOHNSON,ANTHONY",1
--,,,,,"REBOUND OFF by JOHNSON,ANTHONY",,,"REBOUND OFF by JOHNSON,ANTHONY",1
09:56,,10,,14 (+4),"GOOD LAYUP by MALONE,KYM(in the paint)",UDMB2014 10-14 (-4),,"GOOD LAYUP by MALONE,KYM(in the paint)",1
09:29,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
09:22,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",1
09:22,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
09:22,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
09:22,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",1
09:22,,,,,"SUB IN by HAMPSON,MICHAEL",,,"SUB IN by HAMPSON,MICHAEL",1
09:22,,,,,"SUB OUT by SARRAT,MICHAEL",,,"SUB OUT by SARRAT,MICHAEL",1
09:10,,,,,"MISS JUMPER by MALONE,KYM",,,"MISS JUMPER by MALONE,KYM",1
--,"REBOUND DEF by BARRETT,JORDAN",,,,,,,"REBOUND DEF by BARRETT,JORDAN",1
08:58,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by JOHNSON,ANTHONY",,,"REBOUND DEF by JOHNSON,ANTHONY",1
08:42,,10,,16 (+6),"GOOD LAYUP by KAISER,TOM(in the paint)",UDMB2014 10-16 (-6),,"GOOD LAYUP by KAISER,TOM(in the paint)",1
08:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:34,,,,,"SUB IN by WYATT,AARON",,,"SUB IN by WYATT,AARON",1
08:34,,,,,"SUB OUT by MALONE,KYM",,,"SUB OUT by MALONE,KYM",1
07:51,"MISS JUMPER by CONARD,ALEC",,,,,,,"MISS JUMPER by CONARD,ALEC",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
07:49,,,,,"FOUL  by GONZALEZ,LORENZO",,,"FOUL  by GONZALEZ,LORENZO",1
07:49,"MISS FT by LITTLEFIELD,GEAREN",,,,,,,"MISS FT by LITTLEFIELD,GEAREN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:49,"MISS FT by LITTLEFIELD,GEAREN",,,,,,,"MISS FT by LITTLEFIELD,GEAREN",1
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",1
07:31,,10,,18 (+8),"GOOD JUMPER by JOHNSON,ANTHONY(in the paint)",UDMB2014 10-18 (-8),,"GOOD JUMPER by JOHNSON,ANTHONY(in the paint)",1
07:24,,,,,"FOUL  by JOHNSON,ANTHONY",,,"FOUL  by JOHNSON,ANTHONY",1
07:24,"FOUL  by BARRETT,JORDAN",,,,,,,"FOUL  by BARRETT,JORDAN",1
07:24,"FOUL TECH by BARRETT,JORDAN",,,,,,,"FOUL TECH by BARRETT,JORDAN",1
07:24,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
07:24,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
07:21,,,,,"FOUL TECH by JOHNSON,ANTHONY",,,"FOUL TECH by JOHNSON,ANTHONY",1
07:12,"GOOD LAYUP by ALDOUS,HANK(in the paint)",12,,18 (+6),,HC 12-18 (-6),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
06:55,,,,,"MISS JUMPER by WYATT,AARON",,,"MISS JUMPER by WYATT,AARON",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
06:47,,,,,"FOUL  by WYATT,AARON",,,"FOUL  by WYATT,AARON",1
06:47,"GOOD FT by LITTLEFIELD,GEAREN",13,,18 (+5),,HC 13-18 (-5),,"GOOD FT by LITTLEFIELD,GEAREN",1
06:47,"MISS FT by LITTLEFIELD,GEAREN",,,,,,,"MISS FT by LITTLEFIELD,GEAREN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:47,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
06:47,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
06:47,,,,,"SUB IN by MALONE,KYM",,,"SUB IN by MALONE,KYM",1
06:47,,,,,"SUB IN by SARRAT,MICHAEL",,,"SUB IN by SARRAT,MICHAEL",1
06:47,,,,,"SUB OUT by HAMPSON,MICHAEL",,,"SUB OUT by HAMPSON,MICHAEL",1
06:47,,,,,"SUB OUT by WYATT,AARON",,,"SUB OUT by WYATT,AARON",1
06:32,,13,,20 (+7),"GOOD LAYUP by JOHNSON,ANTHONY(in the paint)",UDMB2014 13-20 (-7),,"GOOD LAYUP by JOHNSON,ANTHONY(in the paint)",1
06:23,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",1
06:14,"GOOD LAYUP by VANCE,LUKE(in the paint)",15,,20 (+5),,HC 15-20 (-5),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,"ASSIST  by BARRETT,JORDAN",,,,,,,"ASSIST  by BARRETT,JORDAN",1
05:44,,,,,"MISS 3PTR by GONZALEZ,LORENZO",,,"MISS 3PTR by GONZALEZ,LORENZO",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
05:36,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
05:34,,,,,"STEAL  by JOHNSON,ANTHONY",,,"STEAL  by JOHNSON,ANTHONY",1
05:20,,15,,22 (+7),"GOOD JUMPER by KAISER,TOM",UDMB2014 15-22 (-7),,"GOOD JUMPER by KAISER,TOM",1
--,,,,,"ASSIST  by JOHNSON,ANTHONY",,,"ASSIST  by JOHNSON,ANTHONY",1
05:00,"TURNOVER  by CONARD,ALEC",,,,,,,"TURNOVER  by CONARD,ALEC",1
04:58,,,,,"STEAL  by SARRAT,MICHAEL",,,"STEAL  by SARRAT,MICHAEL",1
04:48,"FOUL  by BARRETT,JORDAN",,,,,,,"FOUL  by BARRETT,JORDAN",1
04:48,,15,,23 (+8),"GOOD FT by MALONE,KYM",UDMB2014 15-23 (-8),,"GOOD FT by MALONE,KYM",1
04:48,,15,,24 (+9),"GOOD FT by MALONE,KYM",UDMB2014 15-24 (-9),,"GOOD FT by MALONE,KYM",1
04:48,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
04:48,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",1
04:48,,,,,"SUB IN by HAMPSON,MICHAEL",,,"SUB IN by HAMPSON,MICHAEL",1
04:48,,,,,"SUB IN by PROMBERGER,MARK",,,"SUB IN by PROMBERGER,MARK",1
04:48,,,,,"SUB OUT by GONZALEZ,LORENZO",,,"SUB OUT by GONZALEZ,LORENZO",1
04:48,,,,,"SUB OUT by JOHNSON,ANTHONY",,,"SUB OUT by JOHNSON,ANTHONY",1
04:38,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",1
04:27,"FOUL  by BARRETT,JORDAN",,,,,,,"FOUL  by BARRETT,JORDAN",1
04:27,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
04:27,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",1
04:17,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",1
04:17,,15,,25 (+10),"GOOD FT by SARRAT,MICHAEL",UDMB2014 15-25 (-10),,"GOOD FT by SARRAT,MICHAEL",1
04:17,,15,,26 (+11),"GOOD FT by SARRAT,MICHAEL",UDMB2014 15-26 (-11),,"GOOD FT by SARRAT,MICHAEL",1
04:01,,,,,"FOUL  by HAMPSON,MICHAEL",,,"FOUL  by HAMPSON,MICHAEL",1
04:01,"GOOD FT by ALDOUS,HANK",16,,26 (+10),,HC 16-26 (-10),,"GOOD FT by ALDOUS,HANK",1
04:01,"GOOD FT by ALDOUS,HANK",17,,26 (+9),,HC 17-26 (-9),,"GOOD FT by ALDOUS,HANK",1
03:45,,17,,28 (+11),"GOOD JUMPER by PROMBERGER,MARK",UDMB2014 17-28 (-11),,"GOOD JUMPER by PROMBERGER,MARK",1
03:28,"MISS JUMPER by OGLE,JOHN",,,,,,,"MISS JUMPER by OGLE,JOHN",1
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",1
03:10,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
03:10,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
03:10,,,,,"SUB IN by GONZALEZ,LORENZO",,,"SUB IN by GONZALEZ,LORENZO",1
03:10,,,,,"SUB OUT by HAMPSON,MICHAEL",,,"SUB OUT by HAMPSON,MICHAEL",1
03:09,,,,,"MISS 3PTR by SARRAT,MICHAEL",,,"MISS 3PTR by SARRAT,MICHAEL",1
--,,,,,"REBOUND OFF by GONZALEZ,LORENZO",,,"REBOUND OFF by GONZALEZ,LORENZO",1
03:04,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
03:04,,17,,29 (+12),"GOOD FT by GONZALEZ,LORENZO",UDMB2014 17-29 (-12),,"GOOD FT by GONZALEZ,LORENZO",1
03:04,,17,,30 (+13),"GOOD FT by GONZALEZ,LORENZO",UDMB2014 17-30 (-13),,"GOOD FT by GONZALEZ,LORENZO",1
02:46,"GOOD JUMPER by ALDOUS,HANK(in the paint)",19,,30 (+11),,HC 19-30 (-11),,"GOOD JUMPER by ALDOUS,HANK(in the paint)",1
02:24,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",1
02:24,,19,,31 (+12),"GOOD FT by GONZALEZ,LORENZO",UDMB2014 19-31 (-12),,"GOOD FT by GONZALEZ,LORENZO",1
02:24,,,,,"MISS FT by GONZALEZ,LORENZO",,,"MISS FT by GONZALEZ,LORENZO",1
--,,,,,"REBOUND OFF by GONZALEZ,LORENZO",,,"REBOUND OFF by GONZALEZ,LORENZO",1
02:06,,,,,"TURNOVER  by MALONE,KYM",,,"TURNOVER  by MALONE,KYM",1
02:06,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",1
02:06,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
01:47,"GOOD LAYUP by VANCE,LUKE(in the paint)",21,,31 (+10),,HC 21-31 (-10),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
01:41,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:29,,,,,"MISS LAYUP by PROMBERGER,MARK",,,"MISS LAYUP by PROMBERGER,MARK",1
--,,,,,"REBOUND OFF by MALONE,KYM",,,"REBOUND OFF by MALONE,KYM",1
01:14,,,,,"MISS 3PTR by MALONE,KYM",,,"MISS 3PTR by MALONE,KYM",1
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",1
00:58,,21,,33 (+12),"GOOD JUMPER by GONZALEZ,LORENZO(in the paint)",UDMB2014 21-33 (-12),,"GOOD JUMPER by GONZALEZ,LORENZO(in the paint)",1
00:43,,,,,"FOUL  by KAISER,TOM",,,"FOUL  by KAISER,TOM",1
00:43,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",1
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",1
00:28,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
00:28,,21,,34 (+13),"GOOD FT by KAISER,TOM",UDMB2014 21-34 (-13),,"GOOD FT by KAISER,TOM",1
00:28,,21,,35 (+14),"GOOD FT by KAISER,TOM",UDMB2014 21-35 (-14),,"GOOD FT by KAISER,TOM",1
00:01,"MISS 3PTR by CONARD,ALEC",,,,,,,"MISS 3PTR by CONARD,ALEC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB IN by GONZALEZ,LORENZO",,,"SUB IN by GONZALEZ,LORENZO",2
20:00,,,,,"SUB OUT by BLACKBURN,BLAINE",,,"SUB OUT by BLACKBURN,BLAINE",2
19:46,"GOOD LAYUP by ALDOUS,HANK(in the paint)",23,,35 (+12),,HC 23-35 (-12),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
19:11,,23,,37 (+14),"GOOD LAYUP by PROMBERGER,MARK(in the paint)",UDMB2014 23-37 (-14),,"GOOD LAYUP by PROMBERGER,MARK(in the paint)",2
--,,,,,"ASSIST  by GONZALEZ,LORENZO",,,"ASSIST  by GONZALEZ,LORENZO",2
18:48,"GOOD JUMPER by GARRETT,TRAVIS",25,,37 (+12),,HC 25-37 (-12),,"GOOD JUMPER by GARRETT,TRAVIS",2
18:30,,25,,39 (+14),"GOOD LAYUP by GONZALEZ,LORENZO(in the paint)",UDMB2014 25-39 (-14),,"GOOD LAYUP by GONZALEZ,LORENZO(in the paint)",2
18:15,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",2
18:14,,,,,"STEAL  by GONZALEZ,LORENZO",,,"STEAL  by GONZALEZ,LORENZO",2
18:01,,,,,"MISS LAYUP by SARRAT,MICHAEL",,,"MISS LAYUP by SARRAT,MICHAEL",2
18:01,"BLOCK  by GARRETT,TRAVIS",,,,,,,"BLOCK  by GARRETT,TRAVIS",2
--,"REBOUND DEF by GUMM,GABE",,,,,,,"REBOUND DEF by GUMM,GABE",2
17:58,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",2
17:58,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",2
17:48,,,,,"MISS LAYUP by SARRAT,MICHAEL",,,"MISS LAYUP by SARRAT,MICHAEL",2
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",2
17:37,"MISS JUMPER by OGLE,JOHN",,,,,,,"MISS JUMPER by OGLE,JOHN",2
--,"REBOUND OFF by GARRETT,TRAVIS",,,,,,,"REBOUND OFF by GARRETT,TRAVIS",2
17:37,,,,,"FOUL  by SARRAT,MICHAEL",,,"FOUL  by SARRAT,MICHAEL",2
17:34,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",2
17:34,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
17:21,,,,,"MISS JUMPER by MALONE,KYM",,,"MISS JUMPER by MALONE,KYM",2
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",2
17:17,,,,,"FOUL  by WYATT,AARON",,,"FOUL  by WYATT,AARON",2
17:17,,,,,"SUB IN by KAISER,TOM",,,"SUB IN by KAISER,TOM",2
17:17,,,,,"SUB OUT by WYATT,AARON",,,"SUB OUT by WYATT,AARON",2
17:13,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
17:12,,,,,"STEAL  by MALONE,KYM",,,"STEAL  by MALONE,KYM",2
17:05,,,,,"MISS JUMPER by MALONE,KYM",,,"MISS JUMPER by MALONE,KYM",2
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",2
17:02,,,,,"FOUL  by KAISER,TOM",,,"FOUL  by KAISER,TOM",2
17:02,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",2
17:02,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
16:57,,,,,"FOUL  by GONZALEZ,LORENZO",,,"FOUL  by GONZALEZ,LORENZO",2
16:39,"GOOD LAYUP by VANCE,LUKE(in the paint)",27,,39 (+12),,HC 27-39 (-12),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
--,"ASSIST  by GUMM,GABE",,,,,,,"ASSIST  by GUMM,GABE",2
16:38,,,,,"FOUL  by GONZALEZ,LORENZO",,,"FOUL  by GONZALEZ,LORENZO",2
16:38,"GOOD FT by VANCE,LUKE",28,,39 (+11),,HC 28-39 (-11),,"GOOD FT by VANCE,LUKE",2
16:20,,28,,41 (+13),"GOOD JUMPER by PROMBERGER,MARK",UDMB2014 28-41 (-13),,"GOOD JUMPER by PROMBERGER,MARK",2
15:42,"GOOD JUMPER by GUMM,GABE",30,,41 (+11),,HC 30-41 (-11),,"GOOD JUMPER by GUMM,GABE",2
15:26,,,,,"MISS LAYUP by PROMBERGER,MARK",,,"MISS LAYUP by PROMBERGER,MARK",2
15:26,"BLOCK  by OGLE,JOHN",,,,,,,"BLOCK  by OGLE,JOHN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:26,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",2
15:26,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",2
15:26,,,,,"SUB IN by HAMPSON,MICHAEL",,,"SUB IN by HAMPSON,MICHAEL",2
15:26,,,,,"SUB OUT by GONZALEZ,LORENZO",,,"SUB OUT by GONZALEZ,LORENZO",2
15:09,,,,,"FOUL  by PROMBERGER,MARK",,,"FOUL  by PROMBERGER,MARK",2
15:09,,,,,"TURNOVER  by PROMBERGER,MARK",,,"TURNOVER  by PROMBERGER,MARK",2
15:09,,,,,"SUB IN by JOHNSON,ANTHONY",,,"SUB IN by JOHNSON,ANTHONY",2
15:09,,,,,"SUB OUT by PROMBERGER,MARK",,,"SUB OUT by PROMBERGER,MARK",2
14:56,,,,,"FOUL  by JOHNSON,ANTHONY",,,"FOUL  by JOHNSON,ANTHONY",2
14:56,"GOOD FT by CONARD,ALEC",31,,41 (+10),,HC 31-41 (-10),,"GOOD FT by CONARD,ALEC",2
14:56,"GOOD FT by CONARD,ALEC",32,,41 (+9),,HC 32-41 (-9),,"GOOD FT by CONARD,ALEC",2
14:25,,,,,"MISS JUMPER by SARRAT,MICHAEL",,,"MISS JUMPER by SARRAT,MICHAEL",2
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",2
14:21,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",2
14:13,,,,,"MISS LAYUP by MALONE,KYM",,,"MISS LAYUP by MALONE,KYM",2
--,,,,,"REBOUND OFF by HAMPSON,MICHAEL",,,"REBOUND OFF by HAMPSON,MICHAEL",2
14:06,,32,,43 (+11),"GOOD LAYUP by JOHNSON,ANTHONY(in the paint)",UDMB2014 32-43 (-11),,"GOOD LAYUP by JOHNSON,ANTHONY(in the paint)",2
13:47,"MISS 3PTR by GUMM,GABE",,,,,,,"MISS 3PTR by GUMM,GABE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:38,,,,,"FOUL  by KAISER,TOM",,,"FOUL  by KAISER,TOM",2
13:38,"GOOD FT by VANCE,LUKE",33,,43 (+10),,HC 33-43 (-10),,"GOOD FT by VANCE,LUKE",2
