Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
17:30,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",1
17:20,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
17:20,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
17:20,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
17:15,,,,,"MISS LAYUP by PATRICK,DREW",,,"MISS LAYUP by PATRICK,DREW",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
17:13,,,,,"FOUL  by BATES,ROMELLO",,,"FOUL  by BATES,ROMELLO",1
16:42,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by SIGRIST,CONNOR",,,"REBOUND DEF by SIGRIST,CONNOR",1
16:32,,,,,"MISS JUMPER by BATES,ROMELLO",,,"MISS JUMPER by BATES,ROMELLO",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
16:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:16,"MISS JUMPER by OGLE,JOHN",,,,,,,"MISS JUMPER by OGLE,JOHN",1
--,,,,,"REBOUND DEF by SIGRIST,CONNOR",,,"REBOUND DEF by SIGRIST,CONNOR",1
16:03,,,,,"MISS LAYUP by SIGRIST,CONNOR",,,"MISS LAYUP by SIGRIST,CONNOR",1
16:03,"BLOCK  by VANCE,LUKE",,,,,,,"BLOCK  by VANCE,LUKE",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
15:38,"MISS LAYUP by OGLE,JOHN",,,,,,,"MISS LAYUP by OGLE,JOHN",1
15:38,,,,,"BLOCK  by BATES,ROMELLO",,,"BLOCK  by BATES,ROMELLO",1
--,,,,,"REBOUND DEF by DAVIS,ALEX",,,"REBOUND DEF by DAVIS,ALEX",1
15:32,,3,,6 (+3),"GOOD LAYUP by DAVIS,ALEX(fastbreak)(in the paint)",OUM 3-6 (-3),,"GOOD LAYUP by DAVIS,ALEX(fastbreak)(in the paint)",1
15:16,"TURNOVER  by BARRETT,JORDAN",,,,,,,"TURNOVER  by BARRETT,JORDAN",1
15:08,,3,,8 (+5),"GOOD LAYUP by SMITH,CONNOR(in the paint)",OUM 3-8 (-5),,"GOOD LAYUP by SMITH,CONNOR(in the paint)",1
14:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:58,"SUB IN by GUMM,GABE",,,,,,,"SUB IN by GUMM,GABE",1
14:58,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",1
14:58,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",1
