Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",1
08:45,,22 (+5),,17,"GOOD 3PTR by OGLE,JOHN",HC 22-17 (-5),,"GOOD 3PTR by OGLE,JOHN",1
--,,,,,"ASSIST  by BARRETT,JORDAN",,,"ASSIST  by BARRETT,JORDAN",1
08:31,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",1
08:31,,,,,"BLOCK  by CONARD,ALEC",,,"BLOCK  by CONARD,ALEC",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
08:11,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
08:10,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
08:05,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",1
08:05,"GOOD FT by MILLER,DREW",23 (+6),,17,,RHODES 23-17 (-6),,"GOOD FT by MILLER,DREW",1
08:05,"GOOD FT by MILLER,DREW",24 (+7),,17,,RHODES 24-17 (-7),,"GOOD FT by MILLER,DREW",1
08:05,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
08:05,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
08:05,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",1
08:05,,,,,"SUB IN by GUMM,GABE",,,"SUB IN by GUMM,GABE",1
08:05,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
08:05,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
08:05,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",1
08:05,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
08:05,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",1
07:38,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
07:37,"STEAL  by BUTTS,KEYSHAWN",,,,,,,"STEAL  by BUTTS,KEYSHAWN",1
07:34,"GOOD LAYUP by BUTTS,KEYSHAWN(fastbreak)(in the paint)",26 (+9),,17,,RHODES 26-17 (-9),,"GOOD LAYUP by BUTTS,KEYSHAWN(fastbreak)(in the paint)",1
07:16,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
07:16,,26 (+8),,18,"GOOD FT by OGLE,JOHN",HC 26-18 (-8),,"GOOD FT by OGLE,JOHN",1
07:16,,26 (+7),,19,"GOOD FT by OGLE,JOHN",HC 26-19 (-7),,"GOOD FT by OGLE,JOHN",1
07:16,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
07:16,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
06:55,"MISS 3PTR by BUTTS,KEYSHAWN",,,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
06:24,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",1
06:24,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
06:24,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
06:24,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",1
06:24,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
06:24,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
06:15,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
06:15,"GOOD FT by MILLER,DREW",27 (+8),,19,,RHODES 27-19 (-8),,"GOOD FT by MILLER,DREW",1
06:15,"GOOD FT by MILLER,DREW",28 (+9),,19,,RHODES 28-19 (-9),,"GOOD FT by MILLER,DREW",1
06:00,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",1
05:52,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
05:21,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by ALDOUS,HANK",,,"REBOUND OFF by ALDOUS,HANK",1
05:18,,28 (+7),,21,"GOOD TIPIN by ALDOUS,HANK(in the paint)",HC 28-21 (-7),,"GOOD TIPIN by ALDOUS,HANK(in the paint)",1
04:59,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",1
04:59,"GOOD FT by COLLINS,LUKE",29 (+8),,21,,RHODES 29-21 (-8),,"GOOD FT by COLLINS,LUKE",1
04:59,"GOOD FT by COLLINS,LUKE",30 (+9),,21,,RHODES 30-21 (-9),,"GOOD FT by COLLINS,LUKE",1
04:59,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
04:59,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
04:59,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
04:59,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
04:41,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
04:41,,,,,"MISS FT by ALDOUS,HANK",,,"MISS FT by ALDOUS,HANK",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
04:33,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",1
04:32,,,,,"STEAL  by GUMM,GABE",,,"STEAL  by GUMM,GABE",1
04:27,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",1
04:27,,30 (+8),,22,"GOOD FT by STEELE,AARON",HC 30-22 (-8),,"GOOD FT by STEELE,AARON",1
04:27,,30 (+7),,23,"GOOD FT by STEELE,AARON",HC 30-23 (-7),,"GOOD FT by STEELE,AARON",1
04:19,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
04:19,"GOOD FT by WAGNER,MATT",31 (+8),,23,,RHODES 31-23 (-8),,"GOOD FT by WAGNER,MATT",1
04:19,"MISS FT by WAGNER,MATT",,,,,,,"MISS FT by WAGNER,MATT",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
04:19,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
04:19,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
04:13,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",1
04:13,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
04:01,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",1
03:55,,,,,"TURNOVER  by VANCE,LUKE",,,"TURNOVER  by VANCE,LUKE",1
03:54,"STEAL  by SULLIVAN,BRENNAN",,,,,,,"STEAL  by SULLIVAN,BRENNAN",1
03:45,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",1
03:45,,,,,"BLOCK  by OGLE,JOHN",,,"BLOCK  by OGLE,JOHN",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
03:34,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
03:34,"STEAL  by SULLIVAN,BRENNAN",,,,,,,"STEAL  by SULLIVAN,BRENNAN",1
03:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:29,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
03:29,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
03:29,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
03:29,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
03:21,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",1
02:53,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",1
02:53,,,,,"BLOCK  by OGLE,JOHN",,,"BLOCK  by OGLE,JOHN",1
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",1
02:49,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",1
02:49,,,,,"BLOCK  by ALDOUS,HANK",,,"BLOCK  by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",1
02:27,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",1
02:27,,,,,"MISS FT by STEELE,AARON",,,"MISS FT by STEELE,AARON",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
02:27,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",1
02:27,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
02:11,"GOOD LAYUP by SLEDGE,TATE(in the paint)",33 (+10),,23,,RHODES 33-23 (-10),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",1
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",1
01:56,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",1
01:54,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
01:53,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
01:40,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",1
01:39,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
01:23,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
01:23,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
01:23,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
01:23,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",1
01:23,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
01:23,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
01:07,"MISS JUMPER by SLEDGE,TATE",,,,,,,"MISS JUMPER by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
01:06,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
01:06,,33 (+9),,24,"GOOD FT by VANCE,LUKE",HC 33-24 (-9),,"GOOD FT by VANCE,LUKE",1
01:06,,33 (+8),,25,"GOOD FT by VANCE,LUKE",HC 33-25 (-8),,"GOOD FT by VANCE,LUKE",1
00:54,"TURNOVER  by SLEDGE,TATE",,,,,,,"TURNOVER  by SLEDGE,TATE",1
00:52,,,,,"STEAL  by OGLE,JOHN",,,"STEAL  by OGLE,JOHN",1
00:38,,,,,"MISS JUMPER by BARRETT,JORDAN",,,"MISS JUMPER by BARRETT,JORDAN",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
00:02,"GOOD LAYUP by COLLINS,LUKE(in the paint)",35 (+10),,25,,RHODES 35-25 (-10),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",1
19:38,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",,,"MISS JUMPER by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
19:08,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",2
18:41,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",,,"MISS JUMPER by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",2
18:18,"MISS JUMPER by HOECK,RYAN VAN",,,,,,,"MISS JUMPER by HOECK,RYAN VAN",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
18:02,,35 (+8),,27,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 35-27 (-8),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
17:39,"GOOD 3PTR by SULLIVAN,BRENNAN",38 (+11),,27,,RHODES 38-27 (-11),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",2
17:37,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
17:37,"GOOD FT by SULLIVAN,BRENNAN",39 (+12),,27,,RHODES 39-27 (-12),,"GOOD FT by SULLIVAN,BRENNAN",2
17:37,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",2
17:37,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",2
17:09,,39 (+9),,30,"GOOD 3PTR by GUMM,GABE",HC 39-30 (-9),,"GOOD 3PTR by GUMM,GABE",2
--,,,,,"ASSIST  by BARRETT,JORDAN",,,"ASSIST  by BARRETT,JORDAN",2
16:54,"GOOD LAYUP by COLLINS,LUKE(in the paint)",41 (+11),,30,,RHODES 41-30 (-11),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",2
16:36,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",2
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",2
16:20,"GOOD JUMPER by HOECK,RYAN VAN",43 (+13),,30,,RHODES 43-30 (-13),,"GOOD JUMPER by HOECK,RYAN VAN",2
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",2
16:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:12,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
16:12,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
