Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
15:13,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",1
15:13,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
15:13,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
14:41,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
14:23,,2,,4 (+2),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 2-4 (-2),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
14:05,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
14:04,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",1
13:52,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
13:46,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
13:46,,2,,5 (+3),"GOOD FT by SCHMUCKER,ZACH",CENTRE_M 2-5 (-3),,"GOOD FT by SCHMUCKER,ZACH",1
13:46,,2,,6 (+4),"GOOD FT by SCHMUCKER,ZACH",CENTRE_M 2-6 (-4),,"GOOD FT by SCHMUCKER,ZACH",1
13:46,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
13:46,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
13:46,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
13:46,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
13:46,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
13:46,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
13:46,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
13:43,"MISS JUMPER by GARRETT,TRAVIS",,,,,,,"MISS JUMPER by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",1
13:30,,2,,9 (+7),"GOOD 3PTR by GRUBER,SAM",CENTRE_M 2-9 (-7),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by GEEGAN,MIKE",,,"ASSIST  by GEEGAN,MIKE",1
12:52,"MISS LAYUP by CONARD,ALEC",,,,,,,"MISS LAYUP by CONARD,ALEC",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
12:33,,,,,"MISS LAYUP by BURNS,DREW",,,"MISS LAYUP by BURNS,DREW",1
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",1
12:23,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",1
12:23,"GOOD FT by BARRETT,JORDAN",3,,9 (+6),,HC 3-9 (-6),,"GOOD FT by BARRETT,JORDAN",1
12:23,"GOOD FT by BARRETT,JORDAN",4,,9 (+5),,HC 4-9 (-5),,"GOOD FT by BARRETT,JORDAN",1
12:23,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
12:23,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",1
12:20,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by BURNS,DREW",,,"REBOUND OFF by BURNS,DREW",1
12:16,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
12:16,,4,,10 (+6),"GOOD FT by BURNS,DREW",CENTRE_M 4-10 (-6),,"GOOD FT by BURNS,DREW",1
12:16,,,,,"MISS FT by BURNS,DREW",,,"MISS FT by BURNS,DREW",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
12:16,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
12:16,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",1
12:11,"MISS JUMPER by CONARD,ALEC",,,,,,,"MISS JUMPER by CONARD,ALEC",1
--,"REBOUND OFF by GARRETT,TRAVIS",,,,,,,"REBOUND OFF by GARRETT,TRAVIS",1
12:05,"GOOD LAYUP by CONARD,ALEC(in the paint)",6,,10 (+4),,HC 6-10 (-4),,"GOOD LAYUP by CONARD,ALEC(in the paint)",1
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",1
11:53,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",,,"MISS 3PTR by STEGGEMAN,ANDREW",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
10:55,"TURNOVER  by BARRETT,JORDAN",,,,,,,"TURNOVER  by BARRETT,JORDAN",1
10:52,,,,,"STEAL  by STEGGEMAN,ANDREW",,,"STEAL  by STEGGEMAN,ANDREW",1
10:43,,6,,13 (+7),"GOOD 3PTR by GRUBER,SAM",CENTRE_M 6-13 (-7),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by GEEGAN,MIKE",,,"ASSIST  by GEEGAN,MIKE",1
10:07,"GOOD JUMPER by CONARD,ALEC",8,,13 (+5),,HC 8-13 (-5),,"GOOD JUMPER by CONARD,ALEC",1
09:51,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
09:48,"SUB IN by GUMM,GABE",,,,,,,"SUB IN by GUMM,GABE",1
09:48,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
09:48,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
09:48,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",1
09:48,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
09:48,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",1
09:48,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
09:48,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
09:48,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",1
09:48,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
09:48,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
09:48,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
09:48,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
09:38,,,,,"MISS 3PTR by MAGUIRE,WILL",,,"MISS 3PTR by MAGUIRE,WILL",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
09:33,,8,,15 (+7),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 8-15 (-7),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
09:22,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
09:18,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
09:18,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",1
08:55,,8,,18 (+10),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 8-18 (-10),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
08:31,"GOOD LAYUP by OGLE,JOHN(in the paint)",10,,18 (+8),,HC 10-18 (-8),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",1
08:14,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",1
08:14,,10,,19 (+9),"GOOD FT by KARSNER,JOSH",CENTRE_M 10-19 (-9),,"GOOD FT by KARSNER,JOSH",1
08:14,,10,,20 (+10),"GOOD FT by KARSNER,JOSH",CENTRE_M 10-20 (-10),,"GOOD FT by KARSNER,JOSH",1
08:12,,10,,21 (+11),"GOOD FT by KARSNER,JOSH",CENTRE_M 10-21 (-11),,"GOOD FT by KARSNER,JOSH",1
08:05,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
08:02,,,,,"STEAL  by MAGUIRE,WILL",,,"STEAL  by MAGUIRE,WILL",1
07:43,,,,,"MISS LAYUP by SCHMUCKER,ZACH",,,"MISS LAYUP by SCHMUCKER,ZACH",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
07:40,,10,,24 (+14),"GOOD 3PTR by MAGUIRE,WILL",CENTRE_M 10-24 (-14),,"GOOD 3PTR by MAGUIRE,WILL",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
07:17,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",1
07:15,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",1
07:15,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
07:15,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
07:15,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
07:15,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
07:15,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",1
07:02,,10,,26 (+16),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 10-26 (-16),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
06:38,"GOOD 3PTR by GUMM,GABE",13,,26 (+13),,HC 13-26 (-13),,"GOOD 3PTR by GUMM,GABE",1
--,"ASSIST  by CONARD,ALEC",,,,,,,"ASSIST  by CONARD,ALEC",1
06:05,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",1
05:51,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
05:35,"MISS LAYUP by CONARD,ALEC",,,,,,,"MISS LAYUP by CONARD,ALEC",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
05:16,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
05:15,"STEAL  by STEELE,AARON",,,,,,,"STEAL  by STEELE,AARON",1
05:00,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
05:00,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
04:44,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
04:44,"BLOCK  by VANCE,LUKE",,,,,,,"BLOCK  by VANCE,LUKE",1
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",1
04:34,,,,,"TURNOVER  by GEEGAN,MIKE",,,"TURNOVER  by GEEGAN,MIKE",1
04:32,"STEAL  by GUMM,GABE",,,,,,,"STEAL  by GUMM,GABE",1
04:24,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",1
03:56,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND DEF by GEEGAN,MIKE",,,"REBOUND DEF by GEEGAN,MIKE",1
03:37,,,,,"MISS JUMPER by GEEGAN,MIKE",,,"MISS JUMPER by GEEGAN,MIKE",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
03:29,"GOOD 3PTR by GUMM,GABE",16,,26 (+10),,HC 16-26 (-10),,"GOOD 3PTR by GUMM,GABE",1
--,"ASSIST  by NIKOLOVSKI,DREW",,,,,,,"ASSIST  by NIKOLOVSKI,DREW",1
03:25,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
03:25,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
03:25,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
03:25,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
03:13,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
02:49,"MISS LAYUP by CONARD,ALEC",,,,,,,"MISS LAYUP by CONARD,ALEC",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
02:17,,16,,28 (+12),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 16-28 (-12),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
02:17,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
02:17,,16,,29 (+13),"GOOD FT by WESLEY,TYLER",CENTRE_M 16-29 (-13),,"GOOD FT by WESLEY,TYLER",1
02:17,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
02:17,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
02:03,"MISS JUMPER by CONARD,ALEC",,,,,,,"MISS JUMPER by CONARD,ALEC",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
01:59,,,,,"TURNOVER  by SCHMUCKER,ZACH",,,"TURNOVER  by SCHMUCKER,ZACH",1
01:45,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
01:14,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
01:14,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
01:14,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
00:56,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
00:56,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",,,"REBOUND DEF by STEGGEMAN,ANDREW",1
00:33,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",1
00:05,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",1
00:03,,,,,"STEAL  by WESLEY,TYLER",,,"STEAL  by WESLEY,TYLER",1
00:00,,16,,31 (+15),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE_M 16-31 (-15),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
19:47,,16,,33 (+17),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 16-33 (-17),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
19:32,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
19:08,,,,,"FOUL  by GEEGAN,MIKE",,,"FOUL  by GEEGAN,MIKE",2
19:08,,,,,"TURNOVER  by GEEGAN,MIKE",,,"TURNOVER  by GEEGAN,MIKE",2
18:52,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
18:50,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",2
18:26,,,,,"MISS LAYUP by GEEGAN,MIKE",,,"MISS LAYUP by GEEGAN,MIKE",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
18:23,,16,,35 (+19),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 16-35 (-19),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
18:10,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
18:09,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",2
18:05,,16,,37 (+21),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 16-37 (-21),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
17:57,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",2
17:57,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",2
17:57,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
17:57,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
17:49,"MISS 3PTR by BARRETT,JORDAN",,,,,,,"MISS 3PTR by BARRETT,JORDAN",2
--,,,,,"REBOUND DEF by GEEGAN,MIKE",,,"REBOUND DEF by GEEGAN,MIKE",2
17:25,,16,,39 (+23),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 16-39 (-23),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
16:57,"MISS JUMPER by GUMM,GABE",,,,,,,"MISS JUMPER by GUMM,GABE",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
16:54,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",2
16:37,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",2
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",2
16:17,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
16:00,,16,,42 (+26),"GOOD 3PTR by GUMP,MATT",CENTRE_M 16-42 (-26),,"GOOD 3PTR by GUMP,MATT",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
15:43,"MISS LAYUP by CONARD,ALEC",,,,,,,"MISS LAYUP by CONARD,ALEC",2
15:43,,,,,"BLOCK  by KARSNER,JOSH",,,"BLOCK  by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
15:33,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
15:07,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",2
15:07,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
14:51,,16,,45 (+29),"GOOD 3PTR by GEEGAN,MIKE",CENTRE_M 16-45 (-29),,"GOOD 3PTR by GEEGAN,MIKE",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
14:41,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",2
14:41,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
14:41,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",2
14:41,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",2
14:41,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
14:41,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",2
14:41,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
14:41,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",2
14:41,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
14:41,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
14:41,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",2
14:41,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
14:20,"MISS 3PTR by GUMM,GABE",,,,,,,"MISS 3PTR by GUMM,GABE",2
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",2
14:00,,,,,"MISS LAYUP by STEGGEMAN,ANDREW",,,"MISS LAYUP by STEGGEMAN,ANDREW",2
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",2
13:56,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",2
13:56,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
13:56,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
13:48,"MISS 3PTR by GUMM,GABE",,,,,,,"MISS 3PTR by GUMM,GABE",2
--,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",,,"REBOUND DEF by STEGGEMAN,ANDREW",2
13:30,,16,,47 (+31),"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",CENTRE_M 16-47 (-31),,"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",2
13:16,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",2
13:16,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
13:06,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",2
13:06,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",2
13:06,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
13:06,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",2
12:48,,16,,49 (+33),"GOOD JUMPER by STEGGEMAN,ANDREW",CENTRE_M 16-49 (-33),,"GOOD JUMPER by STEGGEMAN,ANDREW",2
12:39,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
12:39,"GOOD FT by LITTLEFIELD,GEAREN",17,,49 (+32),,HC 17-49 (-32),,"GOOD FT by LITTLEFIELD,GEAREN",2
