Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENT,Game Score,Team Indicator,Play,Period
08:05,,7,,26 (+19),"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",CENT 7-26 (-19),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",1
--,,,,,"ASSIST  by SAPP,JAMES",,,"ASSIST  by SAPP,JAMES",1
07:42,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
07:42,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
07:42,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
07:42,,,,,"SUB IN by CHERAMIE,CADEN",,,"SUB IN by CHERAMIE,CADEN",1
07:42,,,,,"SUB IN by WILLIAMS,DONOVAN",,,"SUB IN by WILLIAMS,DONOVAN",1
07:42,,,,,"SUB OUT by KIRKENDOLL,TRAVION",,,"SUB OUT by KIRKENDOLL,TRAVION",1
07:42,,,,,"SUB OUT by NTAGHA,SARO",,,"SUB OUT by NTAGHA,SARO",1
07:25,,7,,28 (+21),"GOOD LAYUP by SAPP,JAMES(in the paint)",CENT 7-28 (-21),,"GOOD LAYUP by SAPP,JAMES(in the paint)",1
--,,,,,"ASSIST  by CHERAMIE,CADEN",,,"ASSIST  by CHERAMIE,CADEN",1
07:05,"GOOD 3PTR by NIKOLOVSKI,DREW",10,,28 (+18),,HC 10-28 (-18),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
--,"ASSIST  by GUMM,GABE",,,,,,,"ASSIST  by GUMM,GABE",1
06:55,,,,,"TURNOVER  by SAPP,JAMES",,,"TURNOVER  by SAPP,JAMES",1
06:34,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
06:33,,,,,"STEAL  by CUETO,JUSTIN",,,"STEAL  by CUETO,JUSTIN",1
06:29,,10,,30 (+20),"GOOD LAYUP by CUETO,JUSTIN(in the paint)",CENT 10-30 (-20),,"GOOD LAYUP by CUETO,JUSTIN(in the paint)",1
06:12,"MISS LAYUP by GUMM,GABE",,,,,,,"MISS LAYUP by GUMM,GABE",1
--,,,,,"REBOUND DEF by SAPP,JAMES",,,"REBOUND DEF by SAPP,JAMES",1
06:08,,,,,"MISS 3PTR by CUETO,JUSTIN",,,"MISS 3PTR by CUETO,JUSTIN",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
06:03,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
06:03,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
05:40,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
05:40,,10,,31 (+21),"GOOD FT by SAPP,JAMES",CENT 10-31 (-21),,"GOOD FT by SAPP,JAMES",1
05:40,,10,,32 (+22),"GOOD FT by SAPP,JAMES",CENT 10-32 (-22),,"GOOD FT by SAPP,JAMES",1
05:40,,,,,"SUB IN by DEMOUCHET,KENDALL",,,"SUB IN by DEMOUCHET,KENDALL",1
05:40,,,,,"SUB IN by CAMPBELL,BRANDON",,,"SUB IN by CAMPBELL,BRANDON",1
05:40,,,,,"SUB OUT by SAPP,JAMES",,,"SUB OUT by SAPP,JAMES",1
05:40,,,,,"SUB OUT by CUETO,JUSTIN",,,"SUB OUT by CUETO,JUSTIN",1
05:25,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",12,,32 (+20),,HC 12-32 (-20),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,"ASSIST  by GUMM,GABE",,,,,,,"ASSIST  by GUMM,GABE",1
05:13,,12,,34 (+22),"GOOD LAYUP by CAMPBELL,BRANDON(in the paint)",CENT 12-34 (-22),,"GOOD LAYUP by CAMPBELL,BRANDON(in the paint)",1
04:57,"GOOD LAYUP by ALDOUS,HANK(in the paint)",14,,34 (+20),,HC 14-34 (-20),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
04:46,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
04:46,,14,,35 (+21),"GOOD FT by WILLIAMS,DONOVAN",CENT 14-35 (-21),,"GOOD FT by WILLIAMS,DONOVAN",1
04:46,,14,,36 (+22),"GOOD FT by WILLIAMS,DONOVAN",CENT 14-36 (-22),,"GOOD FT by WILLIAMS,DONOVAN",1
04:46,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
04:46,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
04:46,,,,,"SUB IN by KIRKENDOLL,TRAVION",,,"SUB IN by KIRKENDOLL,TRAVION",1
04:46,,,,,"SUB OUT by BROUSSARD,JACOB",,,"SUB OUT by BROUSSARD,JACOB",1
04:13,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",1
03:50,,14,,38 (+24),"GOOD JUMPER by KIRKENDOLL,TRAVION",CENT 14-38 (-24),,"GOOD JUMPER by KIRKENDOLL,TRAVION",1
--,,,,,"ASSIST  by DEMOUCHET,KENDALL",,,"ASSIST  by DEMOUCHET,KENDALL",1
03:22,"GOOD LAYUP by ALDOUS,HANK(in the paint)",16,,38 (+22),,HC 16-38 (-22),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
03:22,,,,,"FOUL  by KIRKENDOLL,TRAVION",,,"FOUL  by KIRKENDOLL,TRAVION",1
03:22,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by WILLIAMS,DONOVAN",,,"REBOUND DEF by WILLIAMS,DONOVAN",1
03:21,,,,,"TURNOVER  by CHERAMIE,CADEN",,,"TURNOVER  by CHERAMIE,CADEN",1
02:59,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,"REBOUND OFF by NIKOLOVSKI,DREW",,,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",1
02:53,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by CHERAMIE,CADEN",,,"REBOUND DEF by CHERAMIE,CADEN",1
02:43,,,,,"TURNOVER  by DEMOUCHET,KENDALL",,,"TURNOVER  by DEMOUCHET,KENDALL",1
02:41,"STEAL  by OGLE,JOHN",,,,,,,"STEAL  by OGLE,JOHN",1
02:35,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
02:35,,,,,"BLOCK  by DEMOUCHET,KENDALL",,,"BLOCK  by DEMOUCHET,KENDALL",1
--,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",,,"REBOUND DEF by KIRKENDOLL,TRAVION",1
02:28,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",1
02:28,,16,,39 (+23),"GOOD FT by CHERAMIE,CADEN",CENT 16-39 (-23),,"GOOD FT by CHERAMIE,CADEN",1
02:28,,16,,40 (+24),"GOOD FT by CHERAMIE,CADEN",CENT 16-40 (-24),,"GOOD FT by CHERAMIE,CADEN",1
