Time Remaining,CHAMP,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
10:51,"SUB IN by LINVILLE,HAYES",,,,,,,"SUB IN by LINVILLE,HAYES",1
10:51,"SUB OUT by JOHNSON,COLE",,,,,,,"SUB OUT by JOHNSON,COLE",1
10:51,"SUB OUT by OLIVER,WILLIAM",,,,,,,"SUB OUT by OLIVER,WILLIAM",1
10:51,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
10:51,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
10:51,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",1
10:51,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
10:42,"MISS LAYUP by CAPACI,JOSIAH",,,,,,,"MISS LAYUP by CAPACI,JOSIAH",1
--,"REBOUND OFF by LINVILLE,HAYES",,,,,,,"REBOUND OFF by LINVILLE,HAYES",1
10:40,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
10:40,"MISS FT by LINVILLE,HAYES",,,,,,,"MISS FT by LINVILLE,HAYES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:40,"MISS FT by LINVILLE,HAYES",,,,,,,"MISS FT by LINVILLE,HAYES",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
10:26,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
10:21,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by CAPACI,JOSIAH",,,,,,,"REBOUND DEF by CAPACI,JOSIAH",1
10:20,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
10:02,"GOOD LAYUP by LINVILLE,HAYES(in the paint)",14,,26 (+12),,CHAMP 14-26 (+12),,"GOOD LAYUP by LINVILLE,HAYES(in the paint)",1
--,"ASSIST  by CONNOR,CODY",,,,,,,"ASSIST  by CONNOR,CODY",1
09:41,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",1
09:41,"BLOCK  by LINVILLE,HAYES",,,,,,,"BLOCK  by LINVILLE,HAYES",1
--,"REBOUND DEF by WHITELAW,WILLY",,,,,,,"REBOUND DEF by WHITELAW,WILLY",1
09:33,"TURNOVER  by CONNOR,CODY",,,,,,,"TURNOVER  by CONNOR,CODY",1
09:33,"SUB IN by JOHNSON,COLE",,,,,,,"SUB IN by JOHNSON,COLE",1
09:33,"SUB OUT by CONNOR,CODY",,,,,,,"SUB OUT by CONNOR,CODY",1
09:18,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by LINVILLE,HAYES",,,,,,,"REBOUND DEF by LINVILLE,HAYES",1
08:51,"MISS JUMPER by JOHNSON,COLE",,,,,,,"MISS JUMPER by JOHNSON,COLE",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
08:29,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",1
08:28,"STEAL  by CAPACI,JOSIAH",,,,,,,"STEAL  by CAPACI,JOSIAH",1
08:25,"GOOD LAYUP by GARDNER,DAVID(fastbreak)(in the paint)",16,,26 (+10),,CHAMP 16-26 (+10),,"GOOD LAYUP by GARDNER,DAVID(fastbreak)(in the paint)",1
08:10,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",1
08:08,"STEAL  by GARDNER,DAVID",,,,,,,"STEAL  by GARDNER,DAVID",1
08:06,"GOOD LAYUP by GARDNER,DAVID(fastbreak)(in the paint)",18,,26 (+8),,CHAMP 18-26 (+8),,"GOOD LAYUP by GARDNER,DAVID(fastbreak)(in the paint)",1
08:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:03,,,,,"SUB IN by GUMM,GABE",,,"SUB IN by GUMM,GABE",1
08:03,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
08:03,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
08:03,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
08:03,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
08:03,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",1
07:42,,18,,28 (+10),"GOOD JUMPER by ALDOUS,HANK",HC 18-28 (+10),,"GOOD JUMPER by ALDOUS,HANK",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
07:28,"GOOD 3PTR by LINVILLE,HAYES",21,,28 (+7),,CHAMP 21-28 (+7),,"GOOD 3PTR by LINVILLE,HAYES",1
--,"ASSIST  by CAPACI,JOSIAH",,,,,,,"ASSIST  by CAPACI,JOSIAH",1
07:01,,,,,"MISS 3PTR by GUMM,GABE",,,"MISS 3PTR by GUMM,GABE",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
06:40,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by GARDNER,DAVID",,,,,,,"REBOUND DEF by GARDNER,DAVID",1
06:34,"SUB IN by CONNOR,CODY",,,,,,,"SUB IN by CONNOR,CODY",1
06:34,"SUB OUT by CAPACI,JOSIAH",,,,,,,"SUB OUT by CAPACI,JOSIAH",1
06:34,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",1
06:34,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
06:22,"TURNOVER  by GARDNER,DAVID",,,,,,,"TURNOVER  by GARDNER,DAVID",1
06:17,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",1
--,"REBOUND DEF by WHITELAW,WILLY",,,,,,,"REBOUND DEF by WHITELAW,WILLY",1
05:56,"GOOD 3PTR by CONNOR,CODY",24,,28 (+4),,CHAMP 24-28 (+4),,"GOOD 3PTR by CONNOR,CODY",1
--,"ASSIST  by WHITELAW,WILLY",,,,,,,"ASSIST  by WHITELAW,WILLY",1
05:44,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND DEF by JOHNSON,COLE",,,,,,,"REBOUND DEF by JOHNSON,COLE",1
05:32,"MISS 3PTR by WHITELAW,WILLY",,,,,,,"MISS 3PTR by WHITELAW,WILLY",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
05:17,,24,,30 (+6),"GOOD LAYUP by CONARD,ALEC(in the paint)",HC 24-30 (+6),,"GOOD LAYUP by CONARD,ALEC(in the paint)",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
04:54,"MISS LAYUP by GARDNER,DAVID",,,,,,,"MISS LAYUP by GARDNER,DAVID",1
04:54,,,,,"BLOCK  by ALDOUS,HANK",,,"BLOCK  by ALDOUS,HANK",1
--,"REBOUND OFF by GARDNER,DAVID",,,,,,,"REBOUND OFF by GARDNER,DAVID",1
04:51,"GOOD LAYUP by GARDNER,DAVID(in the paint)",26,,30 (+4),,CHAMP 26-30 (+4),,"GOOD LAYUP by GARDNER,DAVID(in the paint)",1
04:51,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
04:51,"MISS FT by GARDNER,DAVID",,,,,,,"MISS FT by GARDNER,DAVID",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
04:51,"SUB IN by CAPACI,JOSIAH",,,,,,,"SUB IN by CAPACI,JOSIAH",1
04:51,"SUB OUT by WHITELAW,WILLY",,,,,,,"SUB OUT by WHITELAW,WILLY",1
04:39,,26,,32 (+6),"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 26-32 (+6),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
04:39,"FOUL  by LINVILLE,HAYES",,,,,,,"FOUL  by LINVILLE,HAYES",1
04:39,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",1
--,"REBOUND DEF by CAPACI,JOSIAH",,,,,,,"REBOUND DEF by CAPACI,JOSIAH",1
04:25,"MISS LAYUP by JOHNSON,COLE",,,,,,,"MISS LAYUP by JOHNSON,COLE",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
04:19,,26,,34 (+8),"GOOD LAYUP by VANCE,LUKE(fastbreak)(in the paint)",HC 26-34 (+8),,"GOOD LAYUP by VANCE,LUKE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
03:58,"TURNOVER  by CONNOR,CODY",,,,,,,"TURNOVER  by CONNOR,CODY",1
03:57,,,,,"STEAL  by ALDOUS,HANK",,,"STEAL  by ALDOUS,HANK",1
03:38,"FOUL  by CAPACI,JOSIAH",,,,,,,"FOUL  by CAPACI,JOSIAH",1
03:38,,26,,35 (+9),"GOOD FT by VANCE,LUKE",HC 26-35 (+9),,"GOOD FT by VANCE,LUKE",1
03:38,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",1
--,,,,,"REBOUND OFF by OGLE,JOHN",,,"REBOUND OFF by OGLE,JOHN",1
03:38,"SUB IN by SHABAZZ,DARIAN",,,,,,,"SUB IN by SHABAZZ,DARIAN",1
03:38,"SUB IN by WHITELAW,WILLY",,,,,,,"SUB IN by WHITELAW,WILLY",1
03:38,"SUB OUT by GARDNER,DAVID",,,,,,,"SUB OUT by GARDNER,DAVID",1
03:38,"SUB OUT by CONNOR,CODY",,,,,,,"SUB OUT by CONNOR,CODY",1
03:38,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
03:38,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",1
03:30,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
03:16,"MISS 3PTR by LINVILLE,HAYES",,,,,,,"MISS 3PTR by LINVILLE,HAYES",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
03:05,,26,,37 (+11),"GOOD DUNK by ALDOUS,HANK(in the paint)",HC 26-37 (+11),,"GOOD DUNK by ALDOUS,HANK(in the paint)",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
02:51,"TURNOVER  by WHITELAW,WILLY",,,,,,,"TURNOVER  by WHITELAW,WILLY",1
02:50,,,,,"STEAL  by ALDOUS,HANK",,,"STEAL  by ALDOUS,HANK",1
02:47,,26,,39 (+13),"GOOD DUNK by ALDOUS,HANK(fastbreak)(in the paint)",HC 26-39 (+13),,"GOOD DUNK by ALDOUS,HANK(fastbreak)(in the paint)",1
02:16,"MISS LAYUP by LINVILLE,HAYES",,,,,,,"MISS LAYUP by LINVILLE,HAYES",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
02:14,"FOUL  by LINVILLE,HAYES",,,,,,,"FOUL  by LINVILLE,HAYES",1
02:03,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by WHITELAW,WILLY",,,,,,,"REBOUND DEF by WHITELAW,WILLY",1
01:32,"TURNOVER  by WHITELAW,WILLY",,,,,,,"TURNOVER  by WHITELAW,WILLY",1
01:32,,,,,"STEAL  by ALDOUS,HANK",,,"STEAL  by ALDOUS,HANK",1
01:24,,26,,42 (+16),"GOOD 3PTR by ALDOUS,HANK",HC 26-42 (+16),,"GOOD 3PTR by ALDOUS,HANK",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
01:06,"MISS 3PTR by CAPACI,JOSIAH",,,,,,,"MISS 3PTR by CAPACI,JOSIAH",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
00:55,,26,,45 (+19),"GOOD 3PTR by ALDOUS,HANK(fastbreak)",HC 26-45 (+19),,"GOOD 3PTR by ALDOUS,HANK(fastbreak)",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
00:35,"MISS JUMPER by SHABAZZ,DARIAN",,,,,,,"MISS JUMPER by SHABAZZ,DARIAN",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
00:02,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",1
--,,,,,"REBOUND OFF by OGLE,JOHN",,,"REBOUND OFF by OGLE,JOHN",1
00:00,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:34,"TURNOVER  by CAPACI,JOSIAH",,,,,,,"TURNOVER  by CAPACI,JOSIAH",2
19:23,,26,,47 (+21),"GOOD JUMPER by VANCE,LUKE(in the paint)",HC 26-47 (+21),,"GOOD JUMPER by VANCE,LUKE(in the paint)",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
19:07,"MISS LAYUP by JOHNSON,COLE",,,,,,,"MISS LAYUP by JOHNSON,COLE",2
--,"REBOUND OFF by JOHNSON,COLE",,,,,,,"REBOUND OFF by JOHNSON,COLE",2
19:02,"GOOD LAYUP by JOHNSON,COLE(in the paint)",28,,47 (+19),,CHAMP 28-47 (+19),,"GOOD LAYUP by JOHNSON,COLE(in the paint)",2
18:48,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",2
18:48,"BLOCK  by GARDNER,DAVID",,,,,,,"BLOCK  by GARDNER,DAVID",2
--,"REBOUND DEF by GARDNER,DAVID",,,,,,,"REBOUND DEF by GARDNER,DAVID",2
18:39,"MISS LAYUP by CAPACI,JOSIAH",,,,,,,"MISS LAYUP by CAPACI,JOSIAH",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:22,"MISS JUMPER by GARDNER,DAVID",,,,,,,"MISS JUMPER by GARDNER,DAVID",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
18:07,,,,,"MISS JUMPER by OGLE,JOHN",,,"MISS JUMPER by OGLE,JOHN",2
--,"REBOUND DEF by CAPACI,JOSIAH",,,,,,,"REBOUND DEF by CAPACI,JOSIAH",2
17:58,"MISS 3PTR by CONNOR,CODY",,,,,,,"MISS 3PTR by CONNOR,CODY",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
17:46,,,,,"MISS JUMPER by GARRETT,TRAVIS",,,"MISS JUMPER by GARRETT,TRAVIS",2
--,,,,,"REBOUND OFF by GARRETT,TRAVIS",,,"REBOUND OFF by GARRETT,TRAVIS",2
17:43,,,,,"MISS LAYUP by GARRETT,TRAVIS",,,"MISS LAYUP by GARRETT,TRAVIS",2
--,"REBOUND DEF by LINVILLE,HAYES",,,,,,,"REBOUND DEF by LINVILLE,HAYES",2
17:32,"MISS JUMPER by JOHNSON,COLE",,,,,,,"MISS JUMPER by JOHNSON,COLE",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
17:22,,28,,49 (+21),"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 28-49 (+21),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",2
17:02,"MISS LAYUP by CAPACI,JOSIAH",,,,,,,"MISS LAYUP by CAPACI,JOSIAH",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
16:56,,28,,51 (+23),"GOOD LAYUP by VANCE,LUKE(fastbreak)(in the paint)",HC 28-51 (+23),,"GOOD LAYUP by VANCE,LUKE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",2
16:35,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",2
16:28,"GOOD LAYUP by CAPACI,JOSIAH(in the paint)",30,,51 (+21),,CHAMP 30-51 (+21),,"GOOD LAYUP by CAPACI,JOSIAH(in the paint)",2
16:27,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",2
16:27,"GOOD FT by CAPACI,JOSIAH",31,,51 (+20),,CHAMP 31-51 (+20),,"GOOD FT by CAPACI,JOSIAH",2
16:16,,,,,"TURNOVER  by GUMM,GABE",,,"TURNOVER  by GUMM,GABE",2
16:15,"STEAL  by LINVILLE,HAYES",,,,,,,"STEAL  by LINVILLE,HAYES",2
16:09,"GOOD 3PTR by CONNOR,CODY",34,,51 (+17),,CHAMP 34-51 (+17),,"GOOD 3PTR by CONNOR,CODY",2
--,"ASSIST  by CAPACI,JOSIAH",,,,,,,"ASSIST  by CAPACI,JOSIAH",2
15:49,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",2
15:40,"MISS LAYUP by JOHNSON,COLE",,,,,,,"MISS LAYUP by JOHNSON,COLE",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
15:34,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
15:33,"STEAL  by LINVILLE,HAYES",,,,,,,"STEAL  by LINVILLE,HAYES",2
