Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:42,,,,,"MISS JUMPER by BROWN,SETH",,,"MISS JUMPER by BROWN,SETH",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
19:38,,0,,2 (+2),"GOOD JUMPER by CALDWELL,MARCELLUS",SEWANEE 0-2 (-2),,"GOOD JUMPER by CALDWELL,MARCELLUS",1
19:07,"MISS 3PTR by GUMM,GABE",,,,,,,"MISS 3PTR by GUMM,GABE",1
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",1
18:43,,,,,"MISS LAYUP by BROWN,SETH",,,"MISS LAYUP by BROWN,SETH",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
18:14,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
18:13,,,,,"STEAL  by BROWN,SETH",,,"STEAL  by BROWN,SETH",1
18:06,,0,,4 (+4),"GOOD JUMPER by WILLIAMS,JORDEN",SEWANEE 0-4 (-4),,"GOOD JUMPER by WILLIAMS,JORDEN",1
17:49,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",1
17:49,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:49,"GOOD FT by VANCE,LUKE",1,,4 (+3),,HC 1-4 (-3),,"GOOD FT by VANCE,LUKE",1
17:39,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
17:13,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
17:07,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
