Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
14:38,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
14:38,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
14:38,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
14:38,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
14:38,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
14:31,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",1
14:26,,5,,11 (+6),"GOOD TIPIN by NIKOLOVSKI,DREW(in the paint)",HC 5-11 (+6),,"GOOD TIPIN by NIKOLOVSKI,DREW(in the paint)",1
13:55,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
13:22,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",1
13:22,"STEAL  by GAGEN,BRENNAN",,,,,,,"STEAL  by GAGEN,BRENNAN",1
13:22,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
13:22,"SUB IN by MCSWAIN,JOSH",,,,,,,"SUB IN by MCSWAIN,JOSH",1
13:01,"GOOD LAYUP by MOORE,MYLES(in the paint)",7,,11 (+4),,MILLSAPS 7-11 (+4),,"GOOD LAYUP by MOORE,MYLES(in the paint)",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
12:40,,,,,"MISS 3PTR by VANCE,LUKE",,,"MISS 3PTR by VANCE,LUKE",1
--,"REBOUND DEF by MOORE,MYLES",,,,,,,"REBOUND DEF by MOORE,MYLES",1
12:19,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
12:19,"SUB IN by PRATER,DALLAS",,,,,,,"SUB IN by PRATER,DALLAS",1
12:19,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
12:19,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
12:14,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",1
--,"REBOUND OFF by ATKINSON,QUINN",,,,,,,"REBOUND OFF by ATKINSON,QUINN",1
12:08,"MISS JUMPER by PRATER,DALLAS",,,,,,,"MISS JUMPER by PRATER,DALLAS",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
11:50,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",1
--,"REBOUND DEF by MCSWAIN,JOSH",,,,,,,"REBOUND DEF by MCSWAIN,JOSH",1
11:38,"GOOD JUMPER by AUBERT,DUSTIN(in the paint)",9,,11 (+2),,MILLSAPS 9-11 (+2),,"GOOD JUMPER by AUBERT,DUSTIN(in the paint)",1
--,"ASSIST  by MCSWAIN,JOSH",,,,,,,"ASSIST  by MCSWAIN,JOSH",1
11:24,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:06,"MISS JUMPER by MCSWAIN,JOSH",,,,,,,"MISS JUMPER by MCSWAIN,JOSH",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
10:46,,9,,14 (+5),"GOOD 3PTR by STEELE,AARON",HC 9-14 (+5),,"GOOD 3PTR by STEELE,AARON",1
