Time Remaining,FUM,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:47,"FOUL  by RUCKER,DARIUS",,,,,,,"FOUL  by RUCKER,DARIUS",1
19:47,,0,,1 (+1),"GOOD FT by BARRETT,JORDAN",HC 0-1 (+1),,"GOOD FT by BARRETT,JORDAN",1
19:47,,0,,2 (+2),"GOOD FT by BARRETT,JORDAN",HC 0-2 (+2),,"GOOD FT by BARRETT,JORDAN",1
19:35,"TURNOVER  by SCHIRMER,COLIN",,,,,,,"TURNOVER  by SCHIRMER,COLIN",1
19:35,"FOUL  by SCHIRMER,COLIN",,,,,,,"FOUL  by SCHIRMER,COLIN",1
19:20,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",1
--,"REBOUND DEF by BAKIS,ORKAN",,,,,,,"REBOUND DEF by BAKIS,ORKAN",1
19:05,"MISS LAYUP by RUCKER,DARIUS",,,,,,,"MISS LAYUP by RUCKER,DARIUS",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
18:58,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
18:58,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
18:41,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",1
18:34,"TURNOVER  by DORHAUER,RICHARD",,,,,,,"TURNOVER  by DORHAUER,RICHARD",1
18:15,,0,,4 (+4),"GOOD JUMPER by OGLE,JOHN",HC 0-4 (+4),,"GOOD JUMPER by OGLE,JOHN",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
17:47,"MISS JUMPER by JOHNSON,EVAN",,,,,,,"MISS JUMPER by JOHNSON,EVAN",1
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",1
17:40,,,,,"MISS 3PTR by OGLE,JOHN",,,"MISS 3PTR by OGLE,JOHN",1
