Time Remaining,RC,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:46,"MISS JUMPER by WAITS,LADARIUS",,,,,,,"MISS JUMPER by WAITS,LADARIUS",1
--,"REBOUND OFF by HUDSON,DOMINIC",,,,,,,"REBOUND OFF by HUDSON,DOMINIC",1
19:32,"MISS JUMPER by WILKINS,RYAN",,,,,,,"MISS JUMPER by WILKINS,RYAN",1
--,"REBOUND OFF by WAITS,LADARIUS",,,,,,,"REBOUND OFF by WAITS,LADARIUS",1
19:28,"GOOD JUMPER by WAITS,LADARIUS(in the paint)",2 (+2),,0,,RC 2-0 (-2),,"GOOD JUMPER by WAITS,LADARIUS(in the paint)",1
19:08,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",1
19:08,"BLOCK  by FAIRMAN,FREDERCIK",,,,,,,"BLOCK  by FAIRMAN,FREDERCIK",1
--,"REBOUND DEF by FAIRMAN,FREDERCIK",,,,,,,"REBOUND DEF by FAIRMAN,FREDERCIK",1
18:51,"TURNOVER  by WAITS,LADARIUS",,,,,,,"TURNOVER  by WAITS,LADARIUS",1
18:49,,,,,"STEAL  by OGLE,JOHN",,,"STEAL  by OGLE,JOHN",1
18:46,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",1
--,"REBOUND DEF by LOWE,O'DARIUS",,,,,,,"REBOUND DEF by LOWE,O'DARIUS",1
18:25,"MISS JUMPER by FAIRMAN,FREDERCIK",,,,,,,"MISS JUMPER by FAIRMAN,FREDERCIK",1
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",1
18:03,,2,,2,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",HC 2-2 (0),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
17:38,"MISS JUMPER by WILKINS,RYAN",,,,,,,"MISS JUMPER by WILKINS,RYAN",1
--,"REBOUND OFF by FAIRMAN,FREDERCIK",,,,,,,"REBOUND OFF by FAIRMAN,FREDERCIK",1
17:31,"GOOD LAYUP by WILKINS,RYAN(in the paint)",4 (+2),,2,,RC 4-2 (-2),,"GOOD LAYUP by WILKINS,RYAN(in the paint)",1
17:15,,,,,"TURNOVER  by GUMM,GABE",,,"TURNOVER  by GUMM,GABE",1
17:13,"STEAL  by WILKINS,RYAN",,,,,,,"STEAL  by WILKINS,RYAN",1
17:12,"GOOD LAYUP by WILKINS,RYAN(fastbreak)(in the paint)",6 (+4),,2,,RC 6-2 (-4),,"GOOD LAYUP by WILKINS,RYAN(fastbreak)(in the paint)",1
16:38,"FOUL  by LOWE,O'DARIUS",,,,,,,"FOUL  by LOWE,O'DARIUS",1
16:25,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",1
--,"REBOUND DEF by FAIRMAN,FREDERCIK",,,,,,,"REBOUND DEF by FAIRMAN,FREDERCIK",1
15:57,"GOOD LAYUP by LOWE,O'DARIUS(in the paint)",8 (+6),,2,,RC 8-2 (-6),,"GOOD LAYUP by LOWE,O'DARIUS(in the paint)",1
--,"ASSIST  by FAIRMAN,FREDERCIK",,,,,,,"ASSIST  by FAIRMAN,FREDERCIK",1
15:56,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
15:56,"GOOD FT by LOWE,O'DARIUS",9 (+7),,2,,RC 9-2 (-7),,"GOOD FT by LOWE,O'DARIUS",1
15:56,"SUB IN by BOWENS,JONATHAN",,,,,,,"SUB IN by BOWENS,JONATHAN",1
15:56,"SUB IN by STUCKEY,CURTIS",,,,,,,"SUB IN by STUCKEY,CURTIS",1
15:56,"SUB IN by MCCOLLUM,RICK",,,,,,,"SUB IN by MCCOLLUM,RICK",1
