Time Remaining,ETBU,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:39,"FOUL  by FELICIA,JUSTIN",,,,,,,"FOUL  by FELICIA,JUSTIN",1
19:39,,0,,1 (+1),"GOOD FT by VANCE,LUKE",HC 0-1 (+1),,"GOOD FT by VANCE,LUKE",1
19:39,,0,,2 (+2),"GOOD FT by VANCE,LUKE",HC 0-2 (+2),,"GOOD FT by VANCE,LUKE",1
19:22,"GOOD 3PTR by MITCHELL,JUNIOR",3 (+1),,2,,ETBU 3-2 (-1),,"GOOD 3PTR by MITCHELL,JUNIOR",1
19:00,,3,,5 (+2),"GOOD 3PTR by GARRETT,TRAVIS",HC 3-5 (+2),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
18:42,"MISS 3PTR by MITCHELL,JUNIOR",,,,,,,"MISS 3PTR by MITCHELL,JUNIOR",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:27,,,,,"TURNOVER  by VANCE,LUKE",,,"TURNOVER  by VANCE,LUKE",1
18:27,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",1
18:11,"MISS 3PTR by FELICIA,JUSTIN",,,,,,,"MISS 3PTR by FELICIA,JUSTIN",1
--,"REBOUND OFF by GRAY,AHNRE",,,,,,,"REBOUND OFF by GRAY,AHNRE",1
17:58,"MISS LAYUP by GRAY,AHNRE",,,,,,,"MISS LAYUP by GRAY,AHNRE",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
17:35,,,,,"TURNOVER  by VANCE,LUKE",,,"TURNOVER  by VANCE,LUKE",1
17:33,"STEAL  by AUGUSTINE,DYLAN",,,,,,,"STEAL  by AUGUSTINE,DYLAN",1
17:29,"SUB IN by HERRING,CHAD",,,,,,,"SUB IN by HERRING,CHAD",1
17:29,"SUB OUT by GRAY,AHNRE",,,,,,,"SUB OUT by GRAY,AHNRE",1
