Time Remaining,DALLAS-M,Away Team Score,Play Team Indicator,Home Team Score,HC-MBK,Game Score,Team Indicator,Play,Period
19:31,"MISS 3PTR by OLMSTED,ZAC",,,,,,,"MISS 3PTR by OLMSTED,ZAC",1
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",1
19:18,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",1
18:36,"GOOD JUMPER by TOUSSAINT,LETRELL(in the paint)",2 (+2),,0,,DALLAS-M 2-0 (-2),,"GOOD JUMPER by TOUSSAINT,LETRELL(in the paint)",1
18:21,,,,,"MISS JUMPER by WEAVER,BRADEN",,,"MISS JUMPER by WEAVER,BRADEN",1
--,"REBOUND DEF by OLMSTED,ZAC",,,,,,,"REBOUND DEF by OLMSTED,ZAC",1
18:01,"GOOD LAYUP by BOYLE,JACK(in the paint)",4 (+4),,0,,DALLAS-M 4-0 (-4),,"GOOD LAYUP by BOYLE,JACK(in the paint)",1
--,"ASSIST  by TOUSSAINT,LETRELL",,,,,,,"ASSIST  by TOUSSAINT,LETRELL",1
17:43,,,,,"MISS 3PTR by COLLIER,CRAIG",,,"MISS 3PTR by COLLIER,CRAIG",1
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",1
17:31,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",6 (+6),,0,,DALLAS-M 6-0 (-6),,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",1
17:14,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",1
16:57,"GOOD LAYUP by BOYLE,JACK(in the paint)",8 (+8),,0,,DALLAS-M 8-0 (-8),,"GOOD LAYUP by BOYLE,JACK(in the paint)",1
16:31,,8 (+6),,2,"GOOD LAYUP by BERRY,COLTEN(in the paint)",HC-MBK 8-2 (-6),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
