Time Remaining,Schr,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:17,"MISS JUMPER by ROSS,KAMDEN(in the paint)",,,,,,,"MISS JUMPER by ROSS,KAMDEN(in the paint)",1
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",1
17:10,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
17:10,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",1
17:06,"FOUL  by REID,JACKSON",,,,,,,"FOUL  by REID,JACKSON",1
16:58,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,"MISS JUMPER by BERRY,COLTEN(in the paint)",1
--,"REBOUND DEF by REID,JACKSON",,,,,,,"REBOUND DEF by REID,JACKSON",1
16:46,"TURNOVER  by GIBSON,DARIAN",,,,,,,"TURNOVER  by GIBSON,DARIAN",1
16:46,,,,,"STEAL  by SQUIRES,CALEB",,,"STEAL  by SQUIRES,CALEB",1
16:36,,,,,"MISS JUMPER by KRONENBERGER,BEAU(in the paint)",,,"MISS JUMPER by KRONENBERGER,BEAU(in the paint)",1
16:36,"BLOCK  by ROSS,KAMDEN",,,,,,,"BLOCK  by ROSS,KAMDEN",1
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",1
16:27,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,"MISS JUMPER by BERRY,COLTEN(in the paint)",1
--,"REBOUND DEF by GIBSON,DARIAN",,,,,,,"REBOUND DEF by GIBSON,DARIAN",1
16:10,"MISS JUMPER by ROSS,KAMDEN",,,,,,,"MISS JUMPER by ROSS,KAMDEN",1
--,"REBOUND OFF by ROSS,KAMDEN",,,,,,,"REBOUND OFF by ROSS,KAMDEN",1
16:03,"SUB OUT by GIBSON,DARIAN",,,,,,,"SUB OUT by GIBSON,DARIAN",1
16:03,"SUB OUT by DEHOYOS,ALEX",,,,,,,"SUB OUT by DEHOYOS,ALEX",1
16:03,"SUB IN by MACKEY,DYLAN",,,,,,,"SUB IN by MACKEY,DYLAN",1
16:03,"SUB IN by CERVANTES,BEAU",,,,,,,"SUB IN by CERVANTES,BEAU",1
15:55,,,,,"FOUL  by WEAVER,BRADEN",,,"FOUL  by WEAVER,BRADEN",1
15:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:45,"TURNOVER  by ROSS,KAMDEN",,,,,,,"TURNOVER  by ROSS,KAMDEN",1
15:45,,,,,"STEAL  by SQUIRES,CALEB",,,"STEAL  by SQUIRES,CALEB",1
15:40,,,,,"MISS JUMPER by KRONENBERGER,BEAU(in the paint)",,,"MISS JUMPER by KRONENBERGER,BEAU(in the paint)",1
--,"REBOUND DEF by ROSS,KAMDEN",,,,,,,"REBOUND DEF by ROSS,KAMDEN",1
15:33,"MISS 3PTR by REID,JACKSON",,,,,,,"MISS 3PTR by REID,JACKSON",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
15:21,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",1
15:21,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",1
15:21,"SUB OUT by ROSS,KAMDEN",,,,,,,"SUB OUT by ROSS,KAMDEN",1
15:21,"SUB OUT by NED,JALEN",,,,,,,"SUB OUT by NED,JALEN",1
15:21,"SUB OUT by REID,JACKSON",,,,,,,"SUB OUT by REID,JACKSON",1
15:21,"SUB IN by EVANS,BRONSON",,,,,,,"SUB IN by EVANS,BRONSON",1
15:21,"SUB IN by AUNGST,AJ",,,,,,,"SUB IN by AUNGST,AJ",1
15:21,"SUB IN by RODRIGUEZ,CRISTIAN",,,,,,,"SUB IN by RODRIGUEZ,CRISTIAN",1
15:20,,,,,"TURNOVER  by SQUIRES,CALEB",,,"TURNOVER  by SQUIRES,CALEB",1
15:20,"STEAL  by EVANS,BRONSON",,,,,,,"STEAL  by EVANS,BRONSON",1
15:14,"TURNOVER  by EVANS,BRONSON",,,,,,,"TURNOVER  by EVANS,BRONSON",1
15:03,,,,,"MISS JUMPER by INGRAM,KYLE",,,"MISS JUMPER by INGRAM,KYLE",1
--,"REBOUND DEF by EVANS,BRONSON",,,,,,,"REBOUND DEF by EVANS,BRONSON",1
14:47,"TURNOVER  by EVANS,BRONSON",,,,,,,"TURNOVER  by EVANS,BRONSON",1
14:47,,,,,"STEAL  by SQUIRES,CALEB",,,"STEAL  by SQUIRES,CALEB",1
14:41,,5,,6 (+1),"GOOD JUMPER by RYAN,JONATHAN(in the paint)",Hend 5-6 (+1),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",1
14:36,"MISS JUMPER by EVANS,BRONSON(in the paint)",,,,,,,"MISS JUMPER by EVANS,BRONSON(in the paint)",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:17,"GOOD JUMPER by CERVANTES,BEAU",7 (+1),,6,,Schr 7-6 (-1),,"GOOD JUMPER by CERVANTES,BEAU",1
14:17,"MISS JUMPER by EVANS,BRONSON",,,,,,,"MISS JUMPER by EVANS,BRONSON",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
14:11,,,,,"FOUL  by INGRAM,KYLE",,,"FOUL  by INGRAM,KYLE",1
14:11,,,,,"TURNOVER  by INGRAM,KYLE",,,"TURNOVER  by INGRAM,KYLE",1
13:55,"MISS JUMPER by CERVANTES,BEAU",,,,,,,"MISS JUMPER by CERVANTES,BEAU",1
--,,,,,"REBOUND DEF by MAYO,DREW",,,"REBOUND DEF by MAYO,DREW",1
13:55,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",1
13:55,,,,,"SUB IN by INGRAM,KYLE",,,"SUB IN by INGRAM,KYLE",1
13:54,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
13:54,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",1
13:54,,,,,"SUB IN by RYAN,GRAYSON",,,"SUB IN by RYAN,GRAYSON",1
13:54,,,,,"SUB IN by COLLIER II,CRAIG",,,"SUB IN by COLLIER II,CRAIG",1
13:38,"MISS 3PTR by AUNGST,AJ",,,,,,,"MISS 3PTR by AUNGST,AJ",1
13:38,,7,,8 (+1),"GOOD JUMPER by INGRAM,KYLE",Hend 7-8 (+1),,"GOOD JUMPER by INGRAM,KYLE",1
--,"REBOUND OFF by RODRIGUEZ,CRISTIAN",,,,,,,"REBOUND OFF by RODRIGUEZ,CRISTIAN",1
13:32,"MISS JUMPER by RODRIGUEZ,CRISTIAN(in the paint)",,,,,,,"MISS JUMPER by RODRIGUEZ,CRISTIAN(in the paint)",1
--,,,,,"REBOUND DEF by COLLIER II,CRAIG",,,"REBOUND DEF by COLLIER II,CRAIG",1
13:26,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",1
13:26,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
13:26,,7,,11 (+4),"GOOD 3PTR by MCMULLIN,COLTON",Hend 7-11 (+4),,"GOOD 3PTR by MCMULLIN,COLTON",1
13:26,,,,,"SUB OUT by INGRAM,KYLE",,,"SUB OUT by INGRAM,KYLE",1
13:26,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",1
13:26,"SUB OUT by CERVANTES,BEAU",,,,,,,"SUB OUT by CERVANTES,BEAU",1
13:26,"SUB IN by DEHOYOS,ALEX",,,,,,,"SUB IN by DEHOYOS,ALEX",1
13:26,"GOOD JUMPER by MACKEY,DYLAN(in the paint)",9,,11 (+2),,Schr 9-11 (+2),,"GOOD JUMPER by MACKEY,DYLAN(in the paint)",1
13:26,,,,,"FOUL  by MCMULLIN,COLTON",,,"FOUL  by MCMULLIN,COLTON",1
13:26,"GOOD FT by MACKEY,DYLAN",10,,11 (+1),,Schr 10-11 (+1),,"GOOD FT by MACKEY,DYLAN",1
13:26,,10,,14 (+4),"GOOD 3PTR by MAYO,DREW",Hend 10-14 (+4),,"GOOD 3PTR by MAYO,DREW",1
--,,,,,"ASSIST  by COLLIER II,CRAIG",,,"ASSIST  by COLLIER II,CRAIG",1
12:16,"GOOD JUMPER by EVANS,BRONSON(in the paint)",12,,14 (+2),,Schr 12-14 (+2),,"GOOD JUMPER by EVANS,BRONSON(in the paint)",1
12:03,,,,,"TURNOVER  by MCMULLIN,COLTON",,,"TURNOVER  by MCMULLIN,COLTON",1
12:03,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:33,"SUB OUT by MACKEY,DYLAN",,,,,,,"SUB OUT by MACKEY,DYLAN",1
11:33,"SUB IN by ROSS,KAMDEN",,,,,,,"SUB IN by ROSS,KAMDEN",1
11:23,"MISS JUMPER by ROSS,KAMDEN",,,,,,,"MISS JUMPER by ROSS,KAMDEN",1
--,,,,,"REBOUND DEF by MAYO,DREW",,,"REBOUND DEF by MAYO,DREW",1
11:15,,,,,"TURNOVER  by MAYO,DREW",,,"TURNOVER  by MAYO,DREW",1
11:11,"MISS JUMPER by EVANS,BRONSON",,,,,,,"MISS JUMPER by EVANS,BRONSON",1
11:11,,,,,"BLOCK  by MAYO,DREW",,,"BLOCK  by MAYO,DREW",1
--,,,,,"REBOUND DEF by MAYO,DREW",,,"REBOUND DEF by MAYO,DREW",1
10:55,"SUB OUT by AUNGST,AJ",,,,,,,"SUB OUT by AUNGST,AJ",1
10:55,"SUB IN by NED,JALEN",,,,,,,"SUB IN by NED,JALEN",1
10:55,"FOUL  by NED,JALEN",,,,,,,"FOUL  by NED,JALEN",1
10:55,,,,,"MISS FT by MCMULLIN,COLTON",,,"MISS FT by MCMULLIN,COLTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:55,"SUB OUT by EVANS,BRONSON",,,,,,,"SUB OUT by EVANS,BRONSON",1
10:55,"SUB IN by REID,JACKSON",,,,,,,"SUB IN by REID,JACKSON",1
10:55,,12,,15 (+3),"GOOD FT by MCMULLIN,COLTON",Hend 12-15 (+3),,"GOOD FT by MCMULLIN,COLTON",1
10:52,"GOOD JUMPER by NED,JALEN",14,,15 (+1),,Schr 14-15 (+1),,"GOOD JUMPER by NED,JALEN",1
10:44,,,,,"FOUL  by BERRY,COLTEN",,,"FOUL  by BERRY,COLTEN",1
10:44,"MISS FT by NED,JALEN",,,,,,,"MISS FT by NED,JALEN",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
10:41,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",1
10:41,,,,,"SUB IN by INGRAM,KYLE",,,"SUB IN by INGRAM,KYLE",1
10:41,,,,,"TURNOVER  by COLLIER II,CRAIG",,,"TURNOVER  by COLLIER II,CRAIG",1
10:25,"GOOD LAYUP by DEHOYOS,ALEX(in the paint)",16 (+1),,15,,Schr 16-15 (-1),,"GOOD LAYUP by DEHOYOS,ALEX(in the paint)",1
10:10,,,,,"TURNOVER  by COLLIER II,CRAIG",,,"TURNOVER  by COLLIER II,CRAIG",1
10:10,"STEAL  by DEHOYOS,ALEX",,,,,,,"STEAL  by DEHOYOS,ALEX",1
10:04,"MISS 3PTR by REID,JACKSON",,,,,,,"MISS 3PTR by REID,JACKSON",1
--,,,,,"REBOUND DEF by MAYO,DREW",,,"REBOUND DEF by MAYO,DREW",1
09:50,,16,,18 (+2),"GOOD 3PTR by MCMULLIN,COLTON",Hend 16-18 (+2),,"GOOD 3PTR by MCMULLIN,COLTON",1
--,,,,,"ASSIST  by MAYO,DREW",,,"ASSIST  by MAYO,DREW",1
09:35,"MISS JUMPER by ROSS,KAMDEN(in the paint)",,,,,,,"MISS JUMPER by ROSS,KAMDEN(in the paint)",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
09:25,,,,,"MISS JUMPER by MAYO,DREW(in the paint)",,,"MISS JUMPER by MAYO,DREW(in the paint)",1
--,,,,,"REBOUND OFF by MCMULLIN,COLTON",,,"REBOUND OFF by MCMULLIN,COLTON",1
09:18,,,,,"MISS LAYUP by MCMULLIN,COLTON(in the paint)",,,"MISS LAYUP by MCMULLIN,COLTON(in the paint)",1
--,,,,,"REBOUND OFF by COLLIER II,CRAIG",,,"REBOUND OFF by COLLIER II,CRAIG",1
09:12,"FOUL  by ROSS,KAMDEN",,,,,,,"FOUL  by ROSS,KAMDEN",1
09:12,"TURNOVER  by ROSS,KAMDEN",,,,,,,"TURNOVER  by ROSS,KAMDEN",1
08:53,,,,,"SUB OUT by MAYO,DREW",,,"SUB OUT by MAYO,DREW",1
08:53,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",1
08:53,"SUB OUT by ROSS,KAMDEN",,,,,,,"SUB OUT by ROSS,KAMDEN",1
08:53,"SUB IN by ALCOCER,JOSHUA",,,,,,,"SUB IN by ALCOCER,JOSHUA",1
08:42,"SUB OUT by RODRIGUEZ,CRISTIAN",,,,,,,"SUB OUT by RODRIGUEZ,CRISTIAN",1
08:42,"SUB IN by GIBSON,DARIAN",,,,,,,"SUB IN by GIBSON,DARIAN",1
08:35,,,,,"MISS JUMPER by COLLIER II,CRAIG(in the paint)",,,"MISS JUMPER by COLLIER II,CRAIG(in the paint)",1
--,"REBOUND DEF by REID,JACKSON",,,,,,,"REBOUND DEF by REID,JACKSON",1
08:23,"MISS 3PTR by GIBSON,DARIAN",,,,,,,"MISS 3PTR by GIBSON,DARIAN",1
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",1
08:14,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
08:14,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
08:03,,,,,"MISS JUMPER by RYAN,GRAYSON",,,"MISS JUMPER by RYAN,GRAYSON",1
--,"REBOUND DEF by ALCOCER,JOSHUA",,,,,,,"REBOUND DEF by ALCOCER,JOSHUA",1
07:57,"GOOD LAYUP by REID,JACKSON(in the paint)",18,,18,,Schr 18-18 (0),,"GOOD LAYUP by REID,JACKSON(in the paint)",1
07:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:47,"SUB OUT by DEHOYOS,ALEX",,,,,,,"SUB OUT by DEHOYOS,ALEX",1
07:47,"SUB OUT by REID,JACKSON",,,,,,,"SUB OUT by REID,JACKSON",1
07:47,"SUB IN by MACKEY,DYLAN",,,,,,,"SUB IN by MACKEY,DYLAN",1
07:47,"SUB IN by CERVANTES,BEAU",,,,,,,"SUB IN by CERVANTES,BEAU",1
07:28,,,,,"MISS JUMPER by COLLIER II,CRAIG",,,"MISS JUMPER by COLLIER II,CRAIG",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:01,"MISS JUMPER by GIBSON,DARIAN(in the paint)",,,,,,,"MISS JUMPER by GIBSON,DARIAN(in the paint)",1
--,,,,,"REBOUND DEF by INGRAM,KYLE",,,"REBOUND DEF by INGRAM,KYLE",1
06:55,,,,,"TURNOVER  by INGRAM,KYLE",,,"TURNOVER  by INGRAM,KYLE",1
06:34,,,,,"SUB OUT by COLLIER II,CRAIG",,,"SUB OUT by COLLIER II,CRAIG",1
06:34,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",1
06:34,"GOOD JUMPER by ALCOCER,JOSHUA(in the paint)",20 (+2),,18,,Schr 20-18 (-2),,"GOOD JUMPER by ALCOCER,JOSHUA(in the paint)",1
06:04,,,,,"MISS JUMPER by INGRAM,KYLE",,,"MISS JUMPER by INGRAM,KYLE",1
--,"REBOUND DEF by MACKEY,DYLAN",,,,,,,"REBOUND DEF by MACKEY,DYLAN",1
05:54,"SUB OUT by GIBSON,DARIAN",,,,,,,"SUB OUT by GIBSON,DARIAN",1
05:54,"SUB IN by AUNGST,AJ",,,,,,,"SUB IN by AUNGST,AJ",1
05:45,"GOOD JUMPER by AUNGST,AJ(in the paint)",22 (+4),,18,,Schr 22-18 (-4),,"GOOD JUMPER by AUNGST,AJ(in the paint)",1
--,"ASSIST  by MACKEY,DYLAN",,,,,,,"ASSIST  by MACKEY,DYLAN",1
05:41,,,,,"TURNOVER  by RYAN,JONATHAN",,,"TURNOVER  by RYAN,JONATHAN",1
05:41,"STEAL  by CERVANTES,BEAU",,,,,,,"STEAL  by CERVANTES,BEAU",1
05:34,"GOOD LAYUP by AUNGST,AJ(in the paint)",24 (+6),,18,,Schr 24-18 (-6),,"GOOD LAYUP by AUNGST,AJ(in the paint)",1
--,"ASSIST  by CERVANTES,BEAU",,,,,,,"ASSIST  by CERVANTES,BEAU",1
05:16,,24 (+3),,21,"GOOD 3PTR by RYAN,JONATHAN",Hend 24-21 (-3),,"GOOD 3PTR by RYAN,JONATHAN",1
--,,,,,"ASSIST  by KRONENBERGER,BEAU",,,"ASSIST  by KRONENBERGER,BEAU",1
05:03,"GOOD LAYUP by CERVANTES,BEAU(in the paint)",26 (+5),,21,,Schr 26-21 (-5),,"GOOD LAYUP by CERVANTES,BEAU(in the paint)",1
04:48,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",1
04:48,"STEAL  by AUNGST,AJ",,,,,,,"STEAL  by AUNGST,AJ",1
04:36,,,,,"SUB OUT by INGRAM,KYLE",,,"SUB OUT by INGRAM,KYLE",1
04:36,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",1
04:36,"GOOD JUMPER by AUNGST,AJ(in the paint)",28 (+7),,21,,Schr 28-21 (-7),,"GOOD JUMPER by AUNGST,AJ(in the paint)",1
04:33,,,,,"SUB OUT by RYAN,GRAYSON",,,"SUB OUT by RYAN,GRAYSON",1
04:33,,,,,"SUB IN by COLLIER II,CRAIG",,,"SUB IN by COLLIER II,CRAIG",1
04:33,"SUB OUT by NED,JALEN",,,,,,,"SUB OUT by NED,JALEN",1
04:33,"SUB OUT by ALCOCER,JOSHUA",,,,,,,"SUB OUT by ALCOCER,JOSHUA",1
04:33,"SUB IN by EVANS,BRONSON",,,,,,,"SUB IN by EVANS,BRONSON",1
04:33,"SUB IN by RODRIGUEZ,CRISTIAN",,,,,,,"SUB IN by RODRIGUEZ,CRISTIAN",1
04:13,"MISS JUMPER by MACKEY,DYLAN",,,,,,,"MISS JUMPER by MACKEY,DYLAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:12,"SUB OUT by AUNGST,AJ",,,,,,,"SUB OUT by AUNGST,AJ",1
04:12,"SUB IN by REICHERT BLUME,MATEU",,,,,,,"SUB IN by REICHERT BLUME,MATEU",1
03:57,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",1
03:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:56,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
03:56,,,,,"SUB IN by EDWARDS,LANDON",,,"SUB IN by EDWARDS,LANDON",1
03:34,"GOOD JUMPER by RODRIGUEZ,CRISTIAN(in the paint)",30 (+9),,21,,Schr 30-21 (-9),,"GOOD JUMPER by RODRIGUEZ,CRISTIAN(in the paint)",1
--,"ASSIST  by MACKEY,DYLAN",,,,,,,"ASSIST  by MACKEY,DYLAN",1
03:06,,,,,"MISS 3PTR by WEAVER,BRADEN",,,"MISS 3PTR by WEAVER,BRADEN",1
--,"REBOUND DEF by CERVANTES,BEAU",,,,,,,"REBOUND DEF by CERVANTES,BEAU",1
02:53,"SUB OUT by MACKEY,DYLAN",,,,,,,"SUB OUT by MACKEY,DYLAN",1
02:53,"SUB IN by HUNTER,RODNEY",,,,,,,"SUB IN by HUNTER,RODNEY",1
02:48,"MISS 3PTR by HUNTER,RODNEY",,,,,,,"MISS 3PTR by HUNTER,RODNEY",1
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",1
02:20,,,,,"MISS 3PTR by EDWARDS,LANDON",,,"MISS 3PTR by EDWARDS,LANDON",1
--,"REBOUND DEF by CERVANTES,BEAU",,,,,,,"REBOUND DEF by CERVANTES,BEAU",1
02:06,"GOOD JUMPER by EVANS,BRONSON(in the paint)",32 (+11),,21,,Schr 32-21 (-11),,"GOOD JUMPER by EVANS,BRONSON(in the paint)",1
01:56,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:33,"FOUL  by EVANS,BRONSON",,,,,,,"FOUL  by EVANS,BRONSON",1
01:22,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",1
--,"REBOUND DEF by RODRIGUEZ,CRISTIAN",,,,,,,"REBOUND DEF by RODRIGUEZ,CRISTIAN",1
01:11,"SUB OUT by REICHERT BLUME,MATEU",,,,,,,"SUB OUT by REICHERT BLUME,MATEU",1
01:11,"SUB IN by GIBSON,DARIAN",,,,,,,"SUB IN by GIBSON,DARIAN",1
01:06,"GOOD JUMPER by GIBSON,DARIAN(in the paint)",34 (+13),,21,,Schr 34-21 (-13),,"GOOD JUMPER by GIBSON,DARIAN(in the paint)",1
00:59,,,,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",1
--,"REBOUND DEF by EVANS,BRONSON",,,,,,,"REBOUND DEF by EVANS,BRONSON",1
00:49,"MISS JUMPER by EVANS,BRONSON(in the paint)",,,,,,,"MISS JUMPER by EVANS,BRONSON(in the paint)",1
00:49,,,,,"BLOCK  by EDWARDS,LANDON",,,"BLOCK  by EDWARDS,LANDON",1
--,,,,,"REBOUND DEF by COLLIER II,CRAIG",,,"REBOUND DEF by COLLIER II,CRAIG",1
00:42,,,,,"TURNOVER  by COLLIER II,CRAIG",,,"TURNOVER  by COLLIER II,CRAIG",1
00:42,"STEAL  by RODRIGUEZ,CRISTIAN",,,,,,,"STEAL  by RODRIGUEZ,CRISTIAN",1
00:42,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",1
00:42,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
00:37,,,,,"MISS JUMPER by RYAN,JONATHAN",,,"MISS JUMPER by RYAN,JONATHAN",1
--,"REBOUND DEF by EVANS,BRONSON",,,,,,,"REBOUND DEF by EVANS,BRONSON",1
00:30,"TURNOVER  by CERVANTES,BEAU",,,,,,,"TURNOVER  by CERVANTES,BEAU",1
00:30,,,,,"STEAL  by RYAN,JONATHAN",,,"STEAL  by RYAN,JONATHAN",1
00:24,,,,,"MISS 3PTR by COLLIER II,CRAIG",,,"MISS 3PTR by COLLIER II,CRAIG",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:19,"SUB OUT by CERVANTES,BEAU",,,,,,,"SUB OUT by CERVANTES,BEAU",1
00:19,"SUB OUT by HUNTER,RODNEY",,,,,,,"SUB OUT by HUNTER,RODNEY",1
00:19,"SUB IN by MACKEY,DYLAN",,,,,,,"SUB IN by MACKEY,DYLAN",1
00:19,"SUB IN by REID,JACKSON",,,,,,,"SUB IN by REID,JACKSON",1
00:02,"GOOD JUMPER by MACKEY,DYLAN",36 (+15),,21,,Schr 36-21 (-15),,"GOOD JUMPER by MACKEY,DYLAN",1
19:46,"MISS 3PTR by REID,JACKSON",,,,,,,"MISS 3PTR by REID,JACKSON",2
--,"REBOUND OFF by REID,JACKSON",,,,,,,"REBOUND OFF by REID,JACKSON",2
19:39,"TURNOVER  by GIBSON,DARIAN",,,,,,,"TURNOVER  by GIBSON,DARIAN",2
19:39,,,,,"STEAL  by RYAN,JONATHAN",,,"STEAL  by RYAN,JONATHAN",2
19:32,"SUB OUT by EVANS,BRONSON",,,,,,,"SUB OUT by EVANS,BRONSON",2
19:32,"SUB OUT by RODRIGUEZ,CRISTIAN",,,,,,,"SUB OUT by RODRIGUEZ,CRISTIAN",2
19:32,"SUB IN by ROSS,KAMDEN",,,,,,,"SUB IN by ROSS,KAMDEN",2
19:32,"SUB IN by NED,JALEN",,,,,,,"SUB IN by NED,JALEN",2
19:16,,,,,"MISS JUMPER by KRONENBERGER,BEAU(in the paint)",,,"MISS JUMPER by KRONENBERGER,BEAU(in the paint)",2
--,"REBOUND DEF by ROSS,KAMDEN",,,,,,,"REBOUND DEF by ROSS,KAMDEN",2
19:11,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",2
19:11,,,,,"SUB OUT by COLLIER II,CRAIG",,,"SUB OUT by COLLIER II,CRAIG",2
19:11,,,,,"SUB OUT by EDWARDS,LANDON",,,"SUB OUT by EDWARDS,LANDON",2
19:11,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",2
19:11,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",2
