Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
00:36,,,,,"MISS FT by HOLLAND,ELI(fastbreak)",,,"MISS FT by HOLLAND,ELI(fastbreak)",1
00:36,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
00:36,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",1
00:36,"SUB IN by SQUIRES,CALEB",,,,,,,"SUB IN by SQUIRES,CALEB",1
00:36,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",1
00:36,,32,,46 (+14),"GOOD FT by HOLLAND,ELI(fastbreak)",Sewan 32-46 (-14),,"GOOD FT by HOLLAND,ELI(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:35,"TURNOVER  by WEAVER,BRADEN",,,,,,,"TURNOVER  by WEAVER,BRADEN",1
00:30,,,,,"MISS JUMPER by WILLIAMS,RASHAUN(in the paint)",,,"MISS JUMPER by WILLIAMS,RASHAUN(in the paint)",1
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",1
00:04,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
20:00,,,,,"SUB OUT by WILLIAMS,RASHAUN",,,"SUB OUT by WILLIAMS,RASHAUN",2
20:00,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",2
20:00,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
20:00,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",2
20:00,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",2
20:00,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",2
20:00,"SUB OUT by PATTON,LUKE",,,,,,,"SUB OUT by PATTON,LUKE",2
20:00,"SUB IN by COBB,DANIEL",,,,,,,"SUB IN by COBB,DANIEL",2
20:00,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",2
20:00,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",2
19:46,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",2
19:46,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",2
19:31,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",2
19:25,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
19:18,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",2
19:18,,32,,47 (+15),"GOOD FT by MARR,RUSS(fastbreak)",Sewan 32-47 (-15),,"GOOD FT by MARR,RUSS(fastbreak)",2
19:18,,32,,48 (+16),"GOOD FT by MARR,RUSS(fastbreak)",Sewan 32-48 (-16),,"GOOD FT by MARR,RUSS(fastbreak)",2
19:13,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
19:13,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
19:10,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",2
19:10,,,,,"STEAL  by KAHL,COLIN",,,"STEAL  by KAHL,COLIN",2
18:56,"FOUL  by WEAVER,BRADEN",,,,,,,"FOUL  by WEAVER,BRADEN",2
18:56,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",2
18:56,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",2
18:51,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",2
18:42,"MISS LAYUP by COBB,DANIEL(in the paint)",,,,,,,"MISS LAYUP by COBB,DANIEL(in the paint)",2
--,"REBOUND OFF by DEITHLOFF,TYLER",,,,,,,"REBOUND OFF by DEITHLOFF,TYLER",2
18:37,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",34,,48 (+14),,Hend 34-48 (-14),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",2
18:22,,34,,50 (+16),"GOOD JUMPER by AVALIANI,LUKA(in the paint)",Sewan 34-50 (-16),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",2
18:09,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",2
18:00,"MISS 3PTR by COBB,DANIEL",,,,,,,"MISS 3PTR by COBB,DANIEL",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
17:46,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
17:39,"MISS 3PTR by SQUIRES,CALEB",,,,,,,"MISS 3PTR by SQUIRES,CALEB",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
17:32,,34,,52 (+18),"GOOD JUMPER by AVALIANI,LUKA(fastbreak)(in the paint)",Sewan 34-52 (-18),,"GOOD JUMPER by AVALIANI,LUKA(fastbreak)(in the paint)",2
17:15,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
17:08,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",2
16:51,"MISS LAYUP by BERRY,COLTEN(in the paint)",,,,,,,"MISS LAYUP by BERRY,COLTEN(in the paint)",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
16:37,,34,,55 (+21),"GOOD 3PTR by AVALIANI,LUKA",Sewan 34-55 (-21),,"GOOD 3PTR by AVALIANI,LUKA",2
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",2
16:26,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
16:08,,,,,"MISS JUMPER by AVALIANI,LUKA",,,"MISS JUMPER by AVALIANI,LUKA",2
--,"REBOUND DEF by COBB,DANIEL",,,,,,,"REBOUND DEF by COBB,DANIEL",2
15:53,"GOOD LAYUP by BERRY,COLTEN(in the paint)",36,,55 (+19),,Hend 36-55 (-19),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",2
--,"ASSIST  by COBB,DANIEL",,,,,,,"ASSIST  by COBB,DANIEL",2
15:37,"FOUL  by SQUIRES,CALEB",,,,,,,"FOUL  by SQUIRES,CALEB",2
15:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:37,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",2
15:37,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
15:37,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",2
15:37,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",2
15:37,"SUB OUT by COBB,DANIEL",,,,,,,"SUB OUT by COBB,DANIEL",2
15:37,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",2
15:32,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",2
15:32,"STEAL  by TORRES,JADEN",,,,,,,"STEAL  by TORRES,JADEN",2
15:30,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",2
15:30,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",2
15:30,,,,,"SUB IN by WILLIAMS,RASHAUN",,,"SUB IN by WILLIAMS,RASHAUN",2
15:20,"GOOD LAYUP by MCMULLIN,COLTON(in the paint)",38,,55 (+17),,Hend 38-55 (-17),,"GOOD LAYUP by MCMULLIN,COLTON(in the paint)",2
14:57,,,,,"MISS 3PTR by HOLLAND,ELI",,,"MISS 3PTR by HOLLAND,ELI",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
14:41,"GOOD JUMPER by MCMULLIN,COLTON(in the paint)",40,,55 (+15),,Hend 40-55 (-15),,"GOOD JUMPER by MCMULLIN,COLTON(in the paint)",2
14:20,,,,,"MISS JUMPER by SMITH,GRAHAM(in the paint)",,,"MISS JUMPER by SMITH,GRAHAM(in the paint)",2
14:20,"BLOCK  by MCMULLIN,COLTON",,,,,,,"BLOCK  by MCMULLIN,COLTON",2
--,,,,,"REBOUND OFF by HOLLAND,ELI",,,"REBOUND OFF by HOLLAND,ELI",2
14:07,,40,,57 (+17),"GOOD LAYUP by HOLLAND,ELI(in the paint)",Sewan 40-57 (-17),,"GOOD LAYUP by HOLLAND,ELI(in the paint)",2
13:53,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",42,,57 (+15),,Hend 42-57 (-15),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",2
13:38,,,,,"MISS JUMPER by SMITH,GRAHAM(in the paint)",,,"MISS JUMPER by SMITH,GRAHAM(in the paint)",2
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",2
13:22,"GOOD 3PTR by MCMULLIN,COLTON",45,,57 (+12),,Hend 45-57 (-12),,"GOOD 3PTR by MCMULLIN,COLTON",2
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",2
12:53,,45,,60 (+15),"GOOD 3PTR by SMITH,GRAHAM",Sewan 45-60 (-15),,"GOOD 3PTR by SMITH,GRAHAM",2
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",2
12:30,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",47,,60 (+13),,Hend 47-60 (-13),,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",2
12:30,,,,,"FOUL  by HOLLAND,ELI",,,"FOUL  by HOLLAND,ELI",2
12:30,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",2
12:30,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
12:30,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",2
12:30,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",2
12:30,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",2
12:30,"SUB IN by PATTON,LUKE",,,,,,,"SUB IN by PATTON,LUKE",2
12:30,"GOOD FT by SQUIRES,CALEB",48,,60 (+12),,Hend 48-60 (-12),,"GOOD FT by SQUIRES,CALEB",2
12:17,"FOUL  by PATTON,LUKE",,,,,,,"FOUL  by PATTON,LUKE",2
12:17,,48,,61 (+13),"GOOD FT by KAHL,COLIN",Sewan 48-61 (-13),,"GOOD FT by KAHL,COLIN",2
12:17,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
12:17,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",2
12:17,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",2
12:17,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",2
12:17,,48,,62 (+14),"GOOD FT by KAHL,COLIN",Sewan 48-62 (-14),,"GOOD FT by KAHL,COLIN",2
12:02,"GOOD JUMPER by TORRES,JADEN",50,,62 (+12),,Hend 50-62 (-12),,"GOOD JUMPER by TORRES,JADEN",2
11:40,,50,,64 (+14),"GOOD JUMPER by KAHL,COLIN(in the paint)",Sewan 50-64 (-14),,"GOOD JUMPER by KAHL,COLIN(in the paint)",2
11:12,"GOOD 3PTR by SQUIRES,CALEB",53,,64 (+11),,Hend 53-64 (-11),,"GOOD 3PTR by SQUIRES,CALEB",2
--,"ASSIST  by WEAVER,BRADEN",,,,,,,"ASSIST  by WEAVER,BRADEN",2
11:02,,53,,66 (+13),"GOOD JUMPER by AVALIANI,LUKA",Sewan 53-66 (-13),,"GOOD JUMPER by AVALIANI,LUKA",2
10:43,"GOOD 3PTR by TORRES,JADEN",56,,66 (+10),,Hend 56-66 (-10),,"GOOD 3PTR by TORRES,JADEN",2
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",2
10:28,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",2
10:28,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",2
10:28,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:28,,,,,"SUB OUT by WILLIAMS,RASHAUN",,,"SUB OUT by WILLIAMS,RASHAUN",2
10:28,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",2
10:28,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",2
10:28,"SUB IN by KRONENBERGER,BEAU",,,,,,,"SUB IN by KRONENBERGER,BEAU",2
10:16,"GOOD LAYUP by SQUIRES,CALEB(in the paint)",58,,66 (+8),,Hend 58-66 (-8),,"GOOD LAYUP by SQUIRES,CALEB(in the paint)",2
10:16,,,,,"FOUL  by SMITH,GRAHAM",,,"FOUL  by SMITH,GRAHAM",2
10:16,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",2
10:16,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",2
10:16,"GOOD FT by SQUIRES,CALEB",59,,66 (+7),,Hend 59-66 (-7),,"GOOD FT by SQUIRES,CALEB",2
09:57,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by SQUIRES,CALEB",,,,,,,"REBOUND DEF by SQUIRES,CALEB",2
09:46,"MISS 3PTR by SQUIRES,CALEB",,,,,,,"MISS 3PTR by SQUIRES,CALEB",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
09:28,,59,,69 (+10),"GOOD 3PTR by MARR,RUSS",Sewan 59-69 (-10),,"GOOD 3PTR by MARR,RUSS",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
09:03,"MISS LAYUP by PATTON,LUKE(in the paint)",,,,,,,"MISS LAYUP by PATTON,LUKE(in the paint)",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
08:55,,59,,71 (+12),"GOOD JUMPER by MARR,RUSS(fastbreak)(in the paint)",Sewan 59-71 (-12),,"GOOD JUMPER by MARR,RUSS(fastbreak)(in the paint)",2
08:55,"FOUL  by KRONENBERGER,BEAU",,,,,,,"FOUL  by KRONENBERGER,BEAU",2
08:55,"SUB OUT by KRONENBERGER,BEAU",,,,,,,"SUB OUT by KRONENBERGER,BEAU",2
08:55,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",2
08:55,,59,,72 (+13),"GOOD FT by MARR,RUSS(fastbreak)",Sewan 59-72 (-13),,"GOOD FT by MARR,RUSS(fastbreak)",2
08:37,"GOOD JUMPER by WEAVER,BRADEN(in the paint)",61,,72 (+11),,Hend 61-72 (-11),,"GOOD JUMPER by WEAVER,BRADEN(in the paint)",2
08:24,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",2
08:18,"MISS JUMPER by WEAVER,BRADEN",,,,,,,"MISS JUMPER by WEAVER,BRADEN",2
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",2
07:57,,61,,74 (+13),"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 61-74 (-13),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
07:38,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",63,,74 (+11),,Hend 63-74 (-11),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",2
07:10,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND OFF by CRUMP,JOHN",,,"REBOUND OFF by CRUMP,JOHN",2
07:05,,63,,77 (+14),"GOOD 3PTR by CORRIGAN,TRE",Sewan 63-77 (-14),,"GOOD 3PTR by CORRIGAN,TRE",2
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",2
06:48,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",2
06:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
06:47,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
06:47,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",2
06:47,,,,,"SUB IN by WILLIAMS,RASHAUN",,,"SUB IN by WILLIAMS,RASHAUN",2
06:47,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",2
06:47,"SUB OUT by PATTON,LUKE",,,,,,,"SUB OUT by PATTON,LUKE",2
06:47,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",2
06:44,"MISS 3PTR by TORRES,JADEN",,,,,,,"MISS 3PTR by TORRES,JADEN",2
--,,,,,"REBOUND DEF by WILLIAMS,RASHAUN",,,"REBOUND DEF by WILLIAMS,RASHAUN",2
06:25,,63,,79 (+16),"GOOD JUMPER by CRUMP,JOHN",Sewan 63-79 (-16),,"GOOD JUMPER by CRUMP,JOHN",2
06:06,"GOOD JUMPER by BERRY,COLTEN(in the paint)",65,,79 (+14),,Hend 65-79 (-14),,"GOOD JUMPER by BERRY,COLTEN(in the paint)",2
--,"ASSIST  by TORRES,JADEN",,,,,,,"ASSIST  by TORRES,JADEN",2
05:50,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
05:48,,,,,"FOUL  by HOLLAND,ELI",,,"FOUL  by HOLLAND,ELI",2
05:48,,,,,"SUB OUT by WILLIAMS,RASHAUN",,,"SUB OUT by WILLIAMS,RASHAUN",2
05:48,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",2
05:48,"GOOD FT by DEITHLOFF,TYLER(fastbreak)",66,,79 (+13),,Hend 66-79 (-13),,"GOOD FT by DEITHLOFF,TYLER(fastbreak)",2
05:48,"GOOD FT by DEITHLOFF,TYLER(fastbreak)",67,,79 (+12),,Hend 67-79 (-12),,"GOOD FT by DEITHLOFF,TYLER(fastbreak)",2
05:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:36,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",2
--,,,,,"REBOUND OFF by MARR,RUSS",,,"REBOUND OFF by MARR,RUSS",2
05:31,,67,,81 (+14),"GOOD JUMPER by MARR,RUSS(in the paint)",Sewan 67-81 (-14),,"GOOD JUMPER by MARR,RUSS(in the paint)",2
05:17,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",,,,,,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",2
05:17,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",2
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",2
05:11,,67,,83 (+16),"GOOD LAYUP by AVALIANI,LUKA(fastbreak)(in the paint)",Sewan 67-83 (-16),,"GOOD LAYUP by AVALIANI,LUKA(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
04:42,"MISS 3PTR by WEAVER,BRADEN",,,,,,,"MISS 3PTR by WEAVER,BRADEN",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
04:11,,67,,86 (+19),"GOOD 3PTR by CORRIGAN,TRE",Sewan 67-86 (-19),,"GOOD 3PTR by CORRIGAN,TRE",2
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",2
03:51,"MISS LAYUP by SQUIRES,CALEB(in the paint)",,,,,,,"MISS LAYUP by SQUIRES,CALEB(in the paint)",2
--,,,,,"REBOUND DEF by HOLLAND,ELI",,,"REBOUND DEF by HOLLAND,ELI",2
03:38,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",2
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",2
03:38,,,,,"FOUL  by MARR,RUSS",,,"FOUL  by MARR,RUSS",2
03:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:38,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",2
03:38,"SUB IN by COBB,DANIEL",,,,,,,"SUB IN by COBB,DANIEL",2
03:38,"GOOD FT by SQUIRES,CALEB(fastbreak)",68,,86 (+18),,Hend 68-86 (-18),,"GOOD FT by SQUIRES,CALEB(fastbreak)",2
03:38,"MISS FT by SQUIRES,CALEB(fastbreak)",,,,,,,"MISS FT by SQUIRES,CALEB(fastbreak)",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
02:50,,,,,"MISS LAYUP by HOLLAND,ELI(in the paint)",,,"MISS LAYUP by HOLLAND,ELI(in the paint)",2
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",2
02:44,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",70,,86 (+16),,Hend 70-86 (-16),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",2
02:38,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",2
02:25,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:25,"SUB OUT by COBB,DANIEL",,,,,,,"SUB OUT by COBB,DANIEL",2
02:25,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",2
02:21,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",2
01:51,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",2
01:51,"STEAL  by TORRES,JADEN",,,,,,,"STEAL  by TORRES,JADEN",2
01:43,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",2
01:43,,,,,"STEAL  by CORRIGAN,TRE",,,"STEAL  by CORRIGAN,TRE",2
01:39,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",2
01:24,"GOOD 3PTR by SQUIRES,CALEB",73,,86 (+13),,Hend 73-86 (-13),,"GOOD 3PTR by SQUIRES,CALEB",2
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",2
01:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:20,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",2
01:20,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
01:20,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",2
01:20,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",2
01:03,"FOUL  by MCMULLIN,COLTON",,,,,,,"FOUL  by MCMULLIN,COLTON",2
01:03,,,,,"MISS FT by AVALIANI,LUKA",,,"MISS FT by AVALIANI,LUKA",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
00:54,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",2
00:54,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",2
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",2
00:46,"FOUL  by TORRES,JADEN",,,,,,,"FOUL  by TORRES,JADEN",2
00:46,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",2
00:46,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",2
00:46,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
00:46,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",2
00:46,,73,,87 (+14),"GOOD FT by CORRIGAN,TRE(fastbreak)",Sewan 73-87 (-14),,"GOOD FT by CORRIGAN,TRE(fastbreak)",2
00:46,,,,,"MISS FT by CORRIGAN,TRE(fastbreak)",,,"MISS FT by CORRIGAN,TRE(fastbreak)",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
00:39,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,"REBOUND OFF by TORRES,JADEN",,,,,,,"REBOUND OFF by TORRES,JADEN",2
00:35,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",2
--,"REBOUND OFF by DEITHLOFF,TYLER",,,,,,,"REBOUND OFF by DEITHLOFF,TYLER",2
00:28,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
