Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,UD,Game Score,Team Indicator,Play,Period
01:53,"SUB OUT by EDWARDS,LANDON",,,,,,,"SUB OUT by EDWARDS,LANDON",2
01:53,"SUB IN by LIKENS,HOUSTON",,,,,,,"SUB IN by LIKENS,HOUSTON",2
01:53,,,,,"MISS LAYUP by PIZANA,AARON(in the paint)",,,"MISS LAYUP by PIZANA,AARON(in the paint)",2
--,,,,,"REBOUND OFF by WILLIAMS,TJ",,,"REBOUND OFF by WILLIAMS,TJ",2
01:53,,,,,"MISS LAYUP by WILLIAMS,TJ(in the paint)",,,"MISS LAYUP by WILLIAMS,TJ(in the paint)",2
--,"REBOUND DEF by SAVARIO,JACK",,,,,,,"REBOUND DEF by SAVARIO,JACK",2
01:53,"MISS LAYUP by SAVARIO,JACK(in the paint)",,,,,,,"MISS LAYUP by SAVARIO,JACK(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:24,"SUB OUT by SAVARIO,JACK",,,,,,,"SUB OUT by SAVARIO,JACK",2
01:24,"SUB OUT by GIBSON,JASON",,,,,,,"SUB OUT by GIBSON,JASON",2
01:24,"SUB IN by BOWER,CARSON",,,,,,,"SUB IN by BOWER,CARSON",2
01:24,"SUB IN by EDWARDS,LANDON",,,,,,,"SUB IN by EDWARDS,LANDON",2
01:13,"GOOD 3PTR by WADE,COLIN",58,,84 (+26),,Hend 58-84 (-26),,"GOOD 3PTR by WADE,COLIN",2
--,"ASSIST  by BOWER,CARSON",,,,,,,"ASSIST  by BOWER,CARSON",2
00:57,,58,,87 (+29),"GOOD 3PTR by PIZANA,AARON",UD 58-87 (-29),,"GOOD 3PTR by PIZANA,AARON",2
--,,,,,"ASSIST  by DISARRO,CAYDEN",,,"ASSIST  by DISARRO,CAYDEN",2
00:43,"MISS 3PTR by TSCHURR,SKY",,,,,,,"MISS 3PTR by TSCHURR,SKY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:39,"SUB OUT by LIKENS,HOUSTON",,,,,,,"SUB OUT by LIKENS,HOUSTON",2
00:39,"SUB OUT by WADE,COLIN",,,,,,,"SUB OUT by WADE,COLIN",2
00:39,"SUB IN by SAVARIO,JACK",,,,,,,"SUB IN by SAVARIO,JACK",2
00:39,"SUB IN by GIBSON,JASON",,,,,,,"SUB IN by GIBSON,JASON",2
00:33,"SUB OUT by TSCHURR,SKY",,,,,,,"SUB OUT by TSCHURR,SKY",2
00:33,"SUB OUT by EDWARDS,LANDON",,,,,,,"SUB OUT by EDWARDS,LANDON",2
00:33,"SUB IN by LIKENS,HOUSTON",,,,,,,"SUB IN by LIKENS,HOUSTON",2
00:33,"SUB IN by WADE,COLIN",,,,,,,"SUB IN by WADE,COLIN",2
00:32,,,,,"MISS LAYUP by WILLIAMS,TJ(in the paint)",,,"MISS LAYUP by WILLIAMS,TJ(in the paint)",2
--,,,,,"REBOUND OFF by LEFTWICH,JAMAL",,,"REBOUND OFF by LEFTWICH,JAMAL",2
00:28,,58,,89 (+31),"GOOD LAYUP by LEFTWICH,JAMAL(in the paint)",UD 58-89 (-31),,"GOOD LAYUP by LEFTWICH,JAMAL(in the paint)",2
00:19,"GOOD JUMPER by SAVARIO,JACK(in the paint)",60,,89 (+29),,Hend 60-89 (-29),,"GOOD JUMPER by SAVARIO,JACK(in the paint)",2
