Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,ETBU,Game Score,Team Indicator,Play,Period
19:46,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",2 (+2),,0,,Hend 2-0 (+2),,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",1
19:18,,2,,2,"GOOD LAYUP by CHARLES,KEVIN(in the paint)",ETBU 2-2 (0),,"GOOD LAYUP by CHARLES,KEVIN(in the paint)",1
--,,,,,"ASSIST  by LABEAUD,KURT",,,"ASSIST  by LABEAUD,KURT",1
19:08,,,,,"FOUL  by WILLIAMS,JAYDEN",,,"FOUL  by WILLIAMS,JAYDEN",1
19:02,"GOOD LAYUP by COBB,DANIEL(in the paint)",4 (+2),,2,,Hend 4-2 (+2),,"GOOD LAYUP by COBB,DANIEL(in the paint)",1
18:43,,4,,4,"GOOD LAYUP by CHARLES,KEVIN(in the paint)",ETBU 4-4 (0),,"GOOD LAYUP by CHARLES,KEVIN(in the paint)",1
--,,,,,"ASSIST  by LABEAUD,KURT",,,"ASSIST  by LABEAUD,KURT",1
18:25,"GOOD DUNK by BERRY,COLTEN(in the paint)",6 (+2),,4,,Hend 6-4 (+2),,"GOOD DUNK by BERRY,COLTEN(in the paint)",1
--,"ASSIST  by SQUIRES,CALEB",,,,,,,"ASSIST  by SQUIRES,CALEB",1
18:09,"FOUL  by COBB,DANIEL",,,,,,,"FOUL  by COBB,DANIEL",1
17:54,"FOUL  by MCMULLIN,COLTON",,,,,,,"FOUL  by MCMULLIN,COLTON",1
17:54,,6 (+1),,5,"GOOD FT by WILLIAMS,JAYDEN",ETBU 6-5 (+1),,"GOOD FT by WILLIAMS,JAYDEN",1
17:54,,6,,6,"GOOD FT by WILLIAMS,JAYDEN",ETBU 6-6 (0),,"GOOD FT by WILLIAMS,JAYDEN",1
17:38,"GOOD LAYUP by COBB,DANIEL(in the paint)",8 (+2),,6,,Hend 8-6 (+2),,"GOOD LAYUP by COBB,DANIEL(in the paint)",1
17:19,,8,,8,"GOOD JUMPER by MOORE,DARRY",ETBU 8-8 (0),,"GOOD JUMPER by MOORE,DARRY",1
--,,,,,"ASSIST  by CHARLES,KEVIN",,,"ASSIST  by CHARLES,KEVIN",1
16:49,"MISS 3PTR by SQUIRES,CALEB",,,,,,,"MISS 3PTR by SQUIRES,CALEB",1
--,"REBOUND OFF by DEITHLOFF,TYLER",,,,,,,"REBOUND OFF by DEITHLOFF,TYLER",1
16:45,,,,,"FOUL  by CHARLES,KEVIN",,,"FOUL  by CHARLES,KEVIN",1
16:45,"GOOD FT by DEITHLOFF,TYLER",9 (+1),,8,,Hend 9-8 (+1),,"GOOD FT by DEITHLOFF,TYLER",1
16:45,"GOOD FT by DEITHLOFF,TYLER",10 (+2),,8,,Hend 10-8 (+2),,"GOOD FT by DEITHLOFF,TYLER",1
16:32,,10,,10,"GOOD JUMPER by ELZY,RYAN",ETBU 10-10 (0),,"GOOD JUMPER by ELZY,RYAN",1
16:13,"TURNOVER  by COBB,DANIEL",,,,,,,"TURNOVER  by COBB,DANIEL",1
16:13,,,,,"STEAL  by CHARLES,KEVIN",,,"STEAL  by CHARLES,KEVIN",1
16:08,,10,,12 (+2),"GOOD LAYUP by WILLIAMS,JAYDEN(fastbreak)(in the paint)",ETBU 10-12 (-2),,"GOOD LAYUP by WILLIAMS,JAYDEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CHARLES,KEVIN",,,"ASSIST  by CHARLES,KEVIN",1
15:51,"MISS 3PTR by SQUIRES,CALEB",,,,,,,"MISS 3PTR by SQUIRES,CALEB",1
--,,,,,"REBOUND DEF by ELZY,RYAN",,,"REBOUND DEF by ELZY,RYAN",1
15:42,,10,,14 (+4),"GOOD JUMPER by ELZY,RYAN(in the paint)",ETBU 10-14 (-4),,"GOOD JUMPER by ELZY,RYAN(in the paint)",1
--,,,,,"ASSIST  by LABEAUD,KURT",,,"ASSIST  by LABEAUD,KURT",1
15:18,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND OFF by BERRY,COLTEN",,,,,,,"REBOUND OFF by BERRY,COLTEN",1
15:11,"MISS 3PTR by COBB,DANIEL",,,,,,,"MISS 3PTR by COBB,DANIEL",1
--,,,,,"REBOUND DEF by MOORE,DARRY",,,"REBOUND DEF by MOORE,DARRY",1
14:42,,10,,16 (+6),"GOOD JUMPER by MOORE,DARRY",ETBU 10-16 (-6),,"GOOD JUMPER by MOORE,DARRY",1
--,,,,,"ASSIST  by ELZY,RYAN",,,"ASSIST  by ELZY,RYAN",1
