Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
14:10,,10,,12 (+2),"GOOD FT by PHILLIPS JR,RODNEY",Mill 10-12 (-2),,"GOOD FT by PHILLIPS JR,RODNEY",1
14:08,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",12,,12,,Hend 12-12 (0),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
14:00,,12,,14 (+2),"GOOD LAYUP by UGHOVWA,NICHOLAS(in the paint)",Mill 12-14 (-2),,"GOOD LAYUP by UGHOVWA,NICHOLAS(in the paint)",1
--,,,,,"ASSIST  by PHILLIPS JR,RODNEY",,,"ASSIST  by PHILLIPS JR,RODNEY",1
13:46,"MISS LAYUP by DEITHLOFF,TYLER(in the paint)",,,,,,,"MISS LAYUP by DEITHLOFF,TYLER(in the paint)",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
13:37,,12,,17 (+5),"GOOD 3PTR by WATSON,DOUG",Mill 12-17 (-5),,"GOOD 3PTR by WATSON,DOUG",1
--,,,,,"ASSIST  by RUCKER,CAM",,,"ASSIST  by RUCKER,CAM",1
13:23,"TURNOVER  by SQUIRES,CALEB",,,,,,,"TURNOVER  by SQUIRES,CALEB",1
13:23,,,,,"STEAL  by LITTLE ,JAMES",,,"STEAL  by LITTLE ,JAMES",1
13:16,,12,,19 (+7),"GOOD DUNK by LITTLE ,JAMES(fastbreak)(in the paint)",Mill 12-19 (-7),,"GOOD DUNK by LITTLE ,JAMES(fastbreak)(in the paint)",1
13:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:25,"MISS LAYUP by MCMULLIN,COLTON(in the paint)",,,,,,,"MISS LAYUP by MCMULLIN,COLTON(in the paint)",1
--,"REBOUND OFF by PATTON,LUKE",,,,,,,"REBOUND OFF by PATTON,LUKE",1
12:18,"GOOD LAYUP by PATTON,LUKE(in the paint)",14,,19 (+5),,Hend 14-19 (-5),,"GOOD LAYUP by PATTON,LUKE(in the paint)",1
12:03,"FOUL  by PATTON,LUKE",,,,,,,"FOUL  by PATTON,LUKE",1
12:03,,14,,20 (+6),"GOOD FT by PHILLIPS JR,RODNEY",Mill 14-20 (-6),,"GOOD FT by PHILLIPS JR,RODNEY",1
12:03,,,,,"MISS FT by PHILLIPS JR,RODNEY",,,"MISS FT by PHILLIPS JR,RODNEY",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
11:49,"TURNOVER  by COBB,DANIEL",,,,,,,"TURNOVER  by COBB,DANIEL",1
11:49,,,,,"STEAL  by LITTLE ,JAMES",,,"STEAL  by LITTLE ,JAMES",1
11:43,,14,,22 (+8),"GOOD JUMPER by LITTLE ,JAMES(fastbreak)(in the paint)",Mill 14-22 (-8),,"GOOD JUMPER by LITTLE ,JAMES(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by PHILLIPS JR,RODNEY",,,"ASSIST  by PHILLIPS JR,RODNEY",1
11:22,"GOOD JUMPER by DEITHLOFF,TYLER",16,,22 (+6),,Hend 16-22 (-6),,"GOOD JUMPER by DEITHLOFF,TYLER",1
11:14,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:14,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
11:14,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
11:14,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
11:14,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",1
11:00,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",1
11:00,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",1
11:00,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
11:00,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
10:39,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
10:39,"SUB IN by KRONENBERGER,BEAU",,,,,,,"SUB IN by KRONENBERGER,BEAU",1
10:36,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
10:19,"FOUL  by PATTON,LUKE",,,,,,,"FOUL  by PATTON,LUKE",1
10:19,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
10:19,,,,,"SUB IN by BONNECAZE,STEWART",,,"SUB IN by BONNECAZE,STEWART",1
10:19,"SUB OUT by COBB,DANIEL",,,,,,,"SUB OUT by COBB,DANIEL",1
10:19,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",1
10:19,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
10:19,"SUB OUT by PATTON,LUKE",,,,,,,"SUB OUT by PATTON,LUKE",1
10:19,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",1
10:19,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",1
10:19,"SUB IN by MAYO,DREW",,,,,,,"SUB IN by MAYO,DREW",1
10:19,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",1
10:16,,,,,"MISS JUMPER by LITTLE ,JAMES",,,"MISS JUMPER by LITTLE ,JAMES",1
--,,,,,"REBOUND OFF by ROTH,DREW",,,"REBOUND OFF by ROTH,DREW",1
09:56,,16,,24 (+8),"GOOD JUMPER by RUCKER,CAM(in the paint)",Mill 16-24 (-8),,"GOOD JUMPER by RUCKER,CAM(in the paint)",1
09:42,"MISS JUMPER by TORRES,JADEN(in the paint)",,,,,,,"MISS JUMPER by TORRES,JADEN(in the paint)",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
09:36,,,,,"TURNOVER  by BONNECAZE,STEWART",,,"TURNOVER  by BONNECAZE,STEWART",1
09:36,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
09:36,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
09:18,,,,,"FOUL  by RUCKER,CAM",,,"FOUL  by RUCKER,CAM",1
09:18,"MISS JUMPER by TORRES,JADEN(in the paint)",,,,,,,"MISS JUMPER by TORRES,JADEN(in the paint)",1
09:18,,,,,"BLOCK  by BONNECAZE,STEWART",,,"BLOCK  by BONNECAZE,STEWART",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
08:58,,16,,26 (+10),"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",Mill 16-26 (-10),,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",1
--,,,,,"ASSIST  by UGHOVWA,NICHOLAS",,,"ASSIST  by UGHOVWA,NICHOLAS",1
08:32,"GOOD LAYUP by BERRY,COLTEN(in the paint)",18,,26 (+8),,Hend 18-26 (-8),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
08:12,,,,,"MISS JUMPER by LITTLE ,JAMES(in the paint)",,,"MISS JUMPER by LITTLE ,JAMES(in the paint)",1
--,,,,,"REBOUND OFF by UGHOVWA,NICHOLAS",,,"REBOUND OFF by UGHOVWA,NICHOLAS",1
08:06,,,,,"TURNOVER  by UGHOVWA,NICHOLAS",,,"TURNOVER  by UGHOVWA,NICHOLAS",1
08:06,"STEAL  by TORRES,JADEN",,,,,,,"STEAL  by TORRES,JADEN",1
08:00,"MISS JUMPER by TORRES,JADEN(in the paint)",,,,,,,"MISS JUMPER by TORRES,JADEN(in the paint)",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
07:50,,,,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",1
--,,,,,"REBOUND OFF by LITTLE ,JAMES",,,"REBOUND OFF by LITTLE ,JAMES",1
07:48,"FOUL  by KRONENBERGER,BEAU",,,,,,,"FOUL  by KRONENBERGER,BEAU",1
07:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:48,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
07:48,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
07:48,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
07:48,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
07:48,,,,,"MISS FT by LITTLE ,JAMES",,,"MISS FT by LITTLE ,JAMES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:48,,,,,"MISS FT by LITTLE ,JAMES",,,"MISS FT by LITTLE ,JAMES",1
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",1
07:32,"GOOD 3PTR by KRONENBERGER,BEAU",21,,26 (+5),,Hend 21-26 (-5),,"GOOD 3PTR by KRONENBERGER,BEAU",1
--,"ASSIST  by MAYO,DREW",,,,,,,"ASSIST  by MAYO,DREW",1
07:19,,,,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",1
--,,,,,"REBOUND OFF by STEPHEN,SETH",,,"REBOUND OFF by STEPHEN,SETH",1
07:13,,,,,"MISS LAYUP by STEPHEN,SETH(in the paint)",,,"MISS LAYUP by STEPHEN,SETH(in the paint)",1
--,,,,,"REBOUND OFF by STEPHEN,SETH",,,"REBOUND OFF by STEPHEN,SETH",1
07:11,"FOUL  by TORRES,JADEN",,,,,,,"FOUL  by TORRES,JADEN",1
07:11,,,,,"MISS FT by STEPHEN,SETH",,,"MISS FT by STEPHEN,SETH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:11,,,,,"SUB OUT by LITTLE ,JAMES",,,"SUB OUT by LITTLE ,JAMES",1
07:11,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",1
07:11,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",1
07:11,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",1
07:11,"SUB IN by COBB,DANIEL",,,,,,,"SUB IN by COBB,DANIEL",1
07:11,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
07:11,,21,,27 (+6),"GOOD FT by STEPHEN,SETH",Mill 21-27 (-6),,"GOOD FT by STEPHEN,SETH",1
06:48,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
06:31,,21,,29 (+8),"GOOD JUMPER by WATSON,DOUG(in the paint)",Mill 21-29 (-8),,"GOOD JUMPER by WATSON,DOUG(in the paint)",1
06:13,"MISS 3PTR by COBB,DANIEL",,,,,,,"MISS 3PTR by COBB,DANIEL",1
--,,,,,"REBOUND DEF by STEPHEN,SETH",,,"REBOUND DEF by STEPHEN,SETH",1
06:07,,,,,"SUB OUT by ROTH,DREW",,,"SUB OUT by ROTH,DREW",1
06:07,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",1
06:07,"SUB OUT by KRONENBERGER,BEAU",,,,,,,"SUB OUT by KRONENBERGER,BEAU",1
06:07,"SUB OUT by MAYO,DREW",,,,,,,"SUB OUT by MAYO,DREW",1
06:07,"SUB IN by SQUIRES,CALEB",,,,,,,"SUB IN by SQUIRES,CALEB",1
06:07,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
05:53,,21,,32 (+11),"GOOD 3PTR by BONNECAZE,STEWART",Mill 21-32 (-11),,"GOOD 3PTR by BONNECAZE,STEWART",1
05:33,"MISS 3PTR by SQUIRES,CALEB",,,,,,,"MISS 3PTR by SQUIRES,CALEB",1
--,,,,,"REBOUND DEF by STEPHEN,SETH",,,"REBOUND DEF by STEPHEN,SETH",1
05:16,,,,,"TURNOVER  by PHILLIPS JR,RODNEY",,,"TURNOVER  by PHILLIPS JR,RODNEY",1
04:56,"MISS JUMPER by SQUIRES,CALEB(in the paint)",,,,,,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",1
--,"REBOUND OFF by BERRY,COLTEN",,,,,,,"REBOUND OFF by BERRY,COLTEN",1
04:50,"GOOD LAYUP by BERRY,COLTEN(in the paint)",23,,32 (+9),,Hend 23-32 (-9),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
04:39,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:39,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
04:39,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",1
04:30,,,,,"MISS JUMPER by PHILLIPS JR,RODNEY(in the paint)",,,"MISS JUMPER by PHILLIPS JR,RODNEY(in the paint)",1
--,"REBOUND DEF by COBB,DANIEL",,,,,,,"REBOUND DEF by COBB,DANIEL",1
04:26,,,,,"FOUL  by BONNECAZE,STEWART",,,"FOUL  by BONNECAZE,STEWART",1
04:05,"GOOD LAYUP by BERRY,COLTEN(in the paint)",25,,32 (+7),,Hend 25-32 (-7),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
--,"ASSIST  by COBB,DANIEL",,,,,,,"ASSIST  by COBB,DANIEL",1
03:49,,,,,"MISS 3PTR by PHILLIPS JR,RODNEY",,,"MISS 3PTR by PHILLIPS JR,RODNEY",1
--,"REBOUND DEF by COBB,DANIEL",,,,,,,"REBOUND DEF by COBB,DANIEL",1
03:29,"MISS JUMPER by COBB,DANIEL(in the paint)",,,,,,,"MISS JUMPER by COBB,DANIEL(in the paint)",1
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",1
03:23,,,,,"FOUL  by GASCA,DAKOTA",,,"FOUL  by GASCA,DAKOTA",1
03:23,,,,,"TURNOVER  by GASCA,DAKOTA",,,"TURNOVER  by GASCA,DAKOTA",1
03:23,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:23,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
03:23,,,,,"SUB IN by LITTLE ,JAMES",,,"SUB IN by LITTLE ,JAMES",1
02:59,,,,,"FOUL  by GORTON,MACK",,,"FOUL  by GORTON,MACK",1
02:59,"MISS FT by BERRY,COLTEN",,,,,,,"MISS FT by BERRY,COLTEN",1
--,,,,,"REBOUND DEF by BONNECAZE,STEWART",,,"REBOUND DEF by BONNECAZE,STEWART",1
02:35,"FOUL  by COBB,DANIEL",,,,,,,"FOUL  by COBB,DANIEL",1
02:35,,,,,"MISS FT by LITTLE ,JAMES",,,"MISS FT by LITTLE ,JAMES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:35,,,,,"SUB OUT by BONNECAZE,STEWART",,,"SUB OUT by BONNECAZE,STEWART",1
02:35,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
