Time Remaining,HC-MBK,Away Team Score,Play Team Indicator,Home Team Score,OGL-M,Game Score,Team Indicator,Play,Period
19:36,"MISS LAYUP by WEAVER,BRADEN",,,,,,,"MISS LAYUP by WEAVER,BRADEN",1
--,,,,,"REBOUND DEF by SMITH,BRENT",,,"REBOUND DEF by SMITH,BRENT",1
19:28,,,,,"MISS LAYUP by JAMES,JORDAN",,,"MISS LAYUP by JAMES,JORDAN",1
--,,,,,"REBOUND OFF by JAMES,JORDAN",,,"REBOUND OFF by JAMES,JORDAN",1
19:24,"FOUL  by SQUIRES,CALEB",,,,,,,"FOUL  by SQUIRES,CALEB",1
19:24,,0,,1 (+1),"GOOD FT by JAMES,JORDAN",OGL-M 0-1 (-1),,"GOOD FT by JAMES,JORDAN",1
19:24,,,,,"MISS FT by JAMES,JORDAN",,,"MISS FT by JAMES,JORDAN",1
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",1
19:12,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",2 (+1),,1,,HC-MBK 2-1 (+1),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
18:50,,2,,4 (+2),"GOOD 3PTR by KEMP,JACKSON",OGL-M 2-4 (-2),,"GOOD 3PTR by KEMP,JACKSON",1
--,,,,,"ASSIST  by BENNIFIELD,DYLAN",,,"ASSIST  by BENNIFIELD,DYLAN",1
18:24,"TURNOVER  by TORRES,JADEN",,,,,,,"TURNOVER  by TORRES,JADEN",1
18:24,,,,,"STEAL  by BENNIFIELD,DYLAN",,,"STEAL  by BENNIFIELD,DYLAN",1
18:10,,,,,"MISS 3PTR by JAMES,JORDAN",,,"MISS 3PTR by JAMES,JORDAN",1
--,,,,,"REBOUND OFF by BENNIFIELD,DYLAN",,,"REBOUND OFF by BENNIFIELD,DYLAN",1
18:03,,,,,"TURNOVER  by BENNIFIELD,DYLAN",,,"TURNOVER  by BENNIFIELD,DYLAN",1
18:03,"STEAL  by TORRES,JADEN",,,,,,,"STEAL  by TORRES,JADEN",1
17:48,"MISS LAYUP by TORRES,JADEN",,,,,,,"MISS LAYUP by TORRES,JADEN",1
--,"REBOUND OFF by BERRY,COLTEN",,,,,,,"REBOUND OFF by BERRY,COLTEN",1
17:46,"GOOD LAYUP by BERRY,COLTEN(in the paint)",4,,4,,HC-MBK 4-4 (0),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
17:27,,4,,6 (+2),"GOOD JUMPER by SMITH,BRENT",OGL-M 4-6 (-2),,"GOOD JUMPER by SMITH,BRENT",1
17:07,"TURNOVER  by TORRES,JADEN",,,,,,,"TURNOVER  by TORRES,JADEN",1
17:06,,,,,"STEAL  by SMITH,BRENT",,,"STEAL  by SMITH,BRENT",1
17:02,"FOUL  by SQUIRES,CALEB",,,,,,,"FOUL  by SQUIRES,CALEB",1
17:02,,,,,"MISS FT by SMITH,BRENT",,,"MISS FT by SMITH,BRENT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:02,,4,,7 (+3),"GOOD FT by SMITH,BRENT",OGL-M 4-7 (-3),,"GOOD FT by SMITH,BRENT",1
17:02,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
17:02,"SUB IN by COBB,DANIEL",,,,,,,"SUB IN by COBB,DANIEL",1
