Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
19:48,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
19:48,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",1
19:35,"FOUL  by TORRES,JADEN",,,,,,,"FOUL  by TORRES,JADEN",1
19:35,,0,,1 (+1),"GOOD FT by CLARK,BRYCE",Berry 0-1 (-1),,"GOOD FT by CLARK,BRYCE",1
19:35,,,,,"MISS FT by CLARK,BRYCE",,,"MISS FT by CLARK,BRYCE",1
--,"REBOUND DEF by SQUIRES,CALEB",,,,,,,"REBOUND DEF by SQUIRES,CALEB",1
19:23,"GOOD JUMPER by BERRY,COLTEN(in the paint)",2 (+1),,1,,Hend 2-1 (+1),,"GOOD JUMPER by BERRY,COLTEN(in the paint)",1
--,"ASSIST  by SQUIRES,CALEB",,,,,,,"ASSIST  by SQUIRES,CALEB",1
19:09,,2,,3 (+1),"GOOD LAYUP by CLARK,BRYCE(in the paint)",Berry 2-3 (-1),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1
--,,,,,"ASSIST  by BENHAM,BRAXTON",,,"ASSIST  by BENHAM,BRAXTON",1
18:45,"GOOD JUMPER by TORRES,JADEN(in the paint)",4 (+1),,3,,Hend 4-3 (+1),,"GOOD JUMPER by TORRES,JADEN(in the paint)",1
18:30,,4,,6 (+2),"GOOD 3PTR by HONROTH,OWEN",Berry 4-6 (-2),,"GOOD 3PTR by HONROTH,OWEN",1
--,,,,,"ASSIST  by BENHAM,BRAXTON",,,"ASSIST  by BENHAM,BRAXTON",1
18:15,"MISS JUMPER by TORRES,JADEN(in the paint)",,,,,,,"MISS JUMPER by TORRES,JADEN(in the paint)",1
--,,,,,"REBOUND DEF by BENHAM,BRAXTON",,,"REBOUND DEF by BENHAM,BRAXTON",1
17:57,,,,,"TURNOVER  by BENHAM,BRAXTON",,,"TURNOVER  by BENHAM,BRAXTON",1
17:39,,,,,"FOUL  by COSTAS,RILEY",,,"FOUL  by COSTAS,RILEY",1
17:39,"GOOD FT by DEITHLOFF,TYLER",5,,6 (+1),,Hend 5-6 (-1),,"GOOD FT by DEITHLOFF,TYLER",1
17:39,"GOOD FT by DEITHLOFF,TYLER",6,,6,,Hend 6-6 (0),,"GOOD FT by DEITHLOFF,TYLER",1
17:15,,6,,8 (+2),"GOOD LAYUP by CLARK,BRYCE(in the paint)",Berry 6-8 (-2),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1
16:49,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",1
--,,,,,"REBOUND DEF by BENHAM,BRAXTON",,,"REBOUND DEF by BENHAM,BRAXTON",1
16:40,"FOUL  by SQUIRES,CALEB",,,,,,,"FOUL  by SQUIRES,CALEB",1
16:40,,,,,"SUB OUT by CLARK,BRYCE",,,"SUB OUT by CLARK,BRYCE",1
16:40,,,,,"SUB IN by SEGALL,RYAN",,,"SUB IN by SEGALL,RYAN",1
16:39,,,,,"TURNOVER  by BENHAM,BRAXTON",,,"TURNOVER  by BENHAM,BRAXTON",1
16:39,"STEAL  by WEAVER,BRADEN",,,,,,,"STEAL  by WEAVER,BRADEN",1
16:33,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
16:33,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",1
16:33,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
16:33,"SUB IN by KRONENBERGER,BEAU",,,,,,,"SUB IN by KRONENBERGER,BEAU",1
16:18,,6,,10 (+4),"GOOD JUMPER by ELLIS,CHASE",Berry 6-10 (-4),,"GOOD JUMPER by ELLIS,CHASE",1
16:01,"MISS LAYUP by BERRY,COLTEN(in the paint)",,,,,,,"MISS LAYUP by BERRY,COLTEN(in the paint)",1
--,,,,,"REBOUND DEF by SEGALL,RYAN",,,"REBOUND DEF by SEGALL,RYAN",1
15:50,"FOUL  by TORRES,JADEN",,,,,,,"FOUL  by TORRES,JADEN",1
15:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:50,,6,,11 (+5),"GOOD FT by BENHAM,BRAXTON",Berry 6-11 (-5),,"GOOD FT by BENHAM,BRAXTON",1
15:50,,6,,12 (+6),"GOOD FT by BENHAM,BRAXTON",Berry 6-12 (-6),,"GOOD FT by BENHAM,BRAXTON",1
15:50,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",1
15:50,"SUB IN by COBB,DANIEL",,,,,,,"SUB IN by COBB,DANIEL",1
15:39,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",8,,12 (+4),,Hend 8-12 (-4),,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",1
15:31,,,,,"SUB OUT by BENHAM,BRAXTON",,,"SUB OUT by BENHAM,BRAXTON",1
15:31,,,,,"SUB OUT by HONROTH,OWEN",,,"SUB OUT by HONROTH,OWEN",1
15:31,,,,,"SUB OUT by SEGALL,RYAN",,,"SUB OUT by SEGALL,RYAN",1
15:31,,,,,"SUB IN by CAMPBELL,BLAKE",,,"SUB IN by CAMPBELL,BLAKE",1
15:31,,,,,"SUB IN by JOHNSON,MICHAEL",,,"SUB IN by JOHNSON,MICHAEL",1
15:31,,,,,"SUB IN by CLARK,BRYCE",,,"SUB IN by CLARK,BRYCE",1
15:18,,,,,"MISS LAYUP by COSTAS,RILEY(in the paint)",,,"MISS LAYUP by COSTAS,RILEY(in the paint)",1
--,"REBOUND DEF by COBB,DANIEL",,,,,,,"REBOUND DEF by COBB,DANIEL",1
15:06,"GOOD LAYUP by COBB,DANIEL(in the paint)",10,,12 (+2),,Hend 10-12 (-2),,"GOOD LAYUP by COBB,DANIEL(in the paint)",1
15:06,,,,,"FOUL  by JOHNSON,MICHAEL",,,"FOUL  by JOHNSON,MICHAEL",1
15:06,"GOOD FT by COBB,DANIEL",11,,12 (+1),,Hend 11-12 (-1),,"GOOD FT by COBB,DANIEL",1
15:06,,,,,"SUB OUT by CLARK,BRYCE",,,"SUB OUT by CLARK,BRYCE",1
15:06,,,,,"SUB IN by SEGALL,RYAN",,,"SUB IN by SEGALL,RYAN",1
14:50,,11,,14 (+3),"GOOD JUMPER by ELLIS,CHASE(in the paint)",Berry 11-14 (-3),,"GOOD JUMPER by ELLIS,CHASE(in the paint)",1
14:16,"MISS LAYUP by WEAVER,BRADEN(in the paint)",,,,,,,"MISS LAYUP by WEAVER,BRADEN(in the paint)",1
--,,,,,"REBOUND DEF by SEGALL,RYAN",,,"REBOUND DEF by SEGALL,RYAN",1
14:06,,11,,16 (+5),"GOOD LAYUP by CAMPBELL,BLAKE(in the paint)",Berry 11-16 (-5),,"GOOD LAYUP by CAMPBELL,BLAKE(in the paint)",1
13:40,"TURNOVER  by BERRY,COLTEN",,,,,,,"TURNOVER  by BERRY,COLTEN",1
13:40,,,,,"SUB OUT by COSTAS,RILEY",,,"SUB OUT by COSTAS,RILEY",1
13:40,,,,,"SUB IN by KRUEGER,JORDAN",,,"SUB IN by KRUEGER,JORDAN",1
13:40,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",1
13:40,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
13:28,,,,,"MISS 3PTR by ELLIS,CHASE",,,"MISS 3PTR by ELLIS,CHASE",1
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1
13:08,"GOOD 3PTR by COBB,DANIEL",14,,16 (+2),,Hend 14-16 (-2),,"GOOD 3PTR by COBB,DANIEL",1
--,"ASSIST  by MCMULLIN,COLTON",,,,,,,"ASSIST  by MCMULLIN,COLTON",1
12:50,,,,,"MISS LAYUP by SEGALL,RYAN(in the paint)",,,"MISS LAYUP by SEGALL,RYAN(in the paint)",1
--,"REBOUND DEF by COBB,DANIEL",,,,,,,"REBOUND DEF by COBB,DANIEL",1
12:42,,,,,"FOUL  by JOHNSON,MICHAEL",,,"FOUL  by JOHNSON,MICHAEL",1
12:42,"MISS FT by COBB,DANIEL",,,,,,,"MISS FT by COBB,DANIEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:42,,,,,"SUB OUT by JOHNSON,MICHAEL",,,"SUB OUT by JOHNSON,MICHAEL",1
12:42,,,,,"SUB OUT by ELLIS,CHASE",,,"SUB OUT by ELLIS,CHASE",1
12:42,,,,,"SUB IN by BENHAM,BRAXTON",,,"SUB IN by BENHAM,BRAXTON",1
12:42,,,,,"SUB IN by HONROTH,OWEN",,,"SUB IN by HONROTH,OWEN",1
12:42,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
12:42,"SUB IN by PATTON,LUKE",,,,,,,"SUB IN by PATTON,LUKE",1
12:42,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",1
