Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by PATTON,LUKE",,,"REBOUND DEF by PATTON,LUKE",1
12:57,,11,,16 (+5),"GOOD JUMPER by TORRES,JADEN(in the paint)",Hend 11-16 (+5),,"GOOD JUMPER by TORRES,JADEN(in the paint)",1
12:44,"FOUL  by PAGE,AUSTIN",,,,,,,"FOUL  by PAGE,AUSTIN",1
12:44,"TURNOVER  by PAGE,AUSTIN",,,,,,,"TURNOVER  by PAGE,AUSTIN",1
12:44,"SUB OUT by KISER,LUKE",,,,,,,"SUB OUT by KISER,LUKE",1
12:44,"SUB IN by TAGNON,THIBAUT",,,,,,,"SUB IN by TAGNON,THIBAUT",1
12:44,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",1
12:44,,,,,"SUB IN by LIKENS,HOUSTON",,,"SUB IN by LIKENS,HOUSTON",1
12:30,,,,,"TURNOVER  by RYAN,GRAYSON",,,"TURNOVER  by RYAN,GRAYSON",1
12:25,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
12:25,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",1
12:04,"GOOD LAYUP by PAGE,AUSTIN(in the paint)",13,,16 (+3),,UTD 13-16 (+3),,"GOOD LAYUP by PAGE,AUSTIN(in the paint)",1
11:47,,13,,18 (+5),"GOOD LAYUP by PATTON,LUKE(in the paint)",Hend 13-18 (+5),,"GOOD LAYUP by PATTON,LUKE(in the paint)",1
11:47,"FOUL  by PAGE,AUSTIN",,,,,,,"FOUL  by PAGE,AUSTIN",1
11:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:45,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",1
--,,,,,"REBOUND OFF by PATTON,LUKE",,,"REBOUND OFF by PATTON,LUKE",1
11:44,"SUB OUT by PAGE,AUSTIN",,,,,,,"SUB OUT by PAGE,AUSTIN",1
11:44,"SUB IN by WRIGHT,BRAYDEN",,,,,,,"SUB IN by WRIGHT,BRAYDEN",1
11:44,,13,,19 (+6),"GOOD FT by PATTON,LUKE",Hend 13-19 (+6),,"GOOD FT by PATTON,LUKE",1
11:33,"TURNOVER  by STEVENS,HUNTER",,,,,,,"TURNOVER  by STEVENS,HUNTER",1
11:33,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",1
11:33,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",1
11:15,,,,,"TURNOVER  by KRONENBERGER,BEAU",,,"TURNOVER  by KRONENBERGER,BEAU",1
11:15,"SUB OUT by STEVENS,HUNTER",,,,,,,"SUB OUT by STEVENS,HUNTER",1
11:15,"SUB IN by VINCENT,DEVIN",,,,,,,"SUB IN by VINCENT,DEVIN",1
10:59,"MISS JUMPER by VINCENT,DEVIN",,,,,,,"MISS JUMPER by VINCENT,DEVIN",1
--,,,,,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",1
10:59,,,,,"BLOCK  by RYAN,GRAYSON",,,"BLOCK  by RYAN,GRAYSON",1
10:48,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:34,,13,,22 (+9),"GOOD 3PTR by RYAN,GRAYSON",Hend 13-22 (+9),,"GOOD 3PTR by RYAN,GRAYSON",1
--,,,,,"ASSIST  by WEAVER,BRADEN",,,"ASSIST  by WEAVER,BRADEN",1
10:17,"GOOD JUMPER by MCKENZIE,CADEN",15,,22 (+7),,UTD 15-22 (+7),,"GOOD JUMPER by MCKENZIE,CADEN",1
10:01,,,,,"MISS JUMPER by KRONENBERGER,BEAU(in the paint)",,,"MISS JUMPER by KRONENBERGER,BEAU(in the paint)",1
--,"REBOUND DEF by WADE,ROB",,,,,,,"REBOUND DEF by WADE,ROB",1
09:55,"GOOD JUMPER by TAGNON,THIBAUT",17,,22 (+5),,UTD 17-22 (+5),,"GOOD JUMPER by TAGNON,THIBAUT",1
09:35,,17,,24 (+7),"GOOD JUMPER by WEAVER,BRADEN",Hend 17-24 (+7),,"GOOD JUMPER by WEAVER,BRADEN",1
09:14,"MISS 3PTR by MCKENZIE,CADEN",,,,,,,"MISS 3PTR by MCKENZIE,CADEN",1
--,,,,,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",1
08:59,,17,,26 (+9),"GOOD JUMPER by RYAN,GRAYSON(in the paint)",Hend 17-26 (+9),,"GOOD JUMPER by RYAN,GRAYSON(in the paint)",1
08:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:55,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",1
08:55,,,,,"SUB OUT by RYAN,GRAYSON",,,"SUB OUT by RYAN,GRAYSON",1
08:55,,,,,"SUB OUT by LIKENS,HOUSTON",,,"SUB OUT by LIKENS,HOUSTON",1
08:55,,,,,"SUB OUT by PATTON,LUKE",,,"SUB OUT by PATTON,LUKE",1
08:55,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",1
08:55,,,,,"SUB IN by SAVARIO,JACK",,,"SUB IN by SAVARIO,JACK",1
08:55,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",1
08:55,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
08:55,"SUB OUT by TAGNON,THIBAUT",,,,,,,"SUB OUT by TAGNON,THIBAUT",1
08:55,"SUB OUT by WADE,ROB",,,,,,,"SUB OUT by WADE,ROB",1
08:55,"SUB OUT by MCKENZIE,CADEN",,,,,,,"SUB OUT by MCKENZIE,CADEN",1
08:55,"SUB OUT by VINCENT,DEVIN",,,,,,,"SUB OUT by VINCENT,DEVIN",1
08:55,"SUB OUT by WRIGHT,BRAYDEN",,,,,,,"SUB OUT by WRIGHT,BRAYDEN",1
08:55,"SUB IN by KISER,LUKE",,,,,,,"SUB IN by KISER,LUKE",1
08:55,"SUB IN by STEVENS,HUNTER",,,,,,,"SUB IN by STEVENS,HUNTER",1
08:55,"SUB IN by CURTIS,JAMES",,,,,,,"SUB IN by CURTIS,JAMES",1
08:55,"SUB IN by POERSCHKE,KYLE",,,,,,,"SUB IN by POERSCHKE,KYLE",1
08:55,"SUB IN by ISAAC,WILL",,,,,,,"SUB IN by ISAAC,WILL",1
08:33,"GOOD 3PTR by POERSCHKE,KYLE",20,,26 (+6),,UTD 20-26 (+6),,"GOOD 3PTR by POERSCHKE,KYLE",1
08:09,,,,,"MISS LAYUP by COBB,DANIEL(in the paint)",,,"MISS LAYUP by COBB,DANIEL(in the paint)",1
08:09,"BLOCK  by ISAAC,WILL",,,,,,,"BLOCK  by ISAAC,WILL",1
--,,,,,"REBOUND OFF by SAVARIO,JACK",,,"REBOUND OFF by SAVARIO,JACK",1
08:00,,,,,"MISS 3PTR by WEAVER,BRADEN",,,"MISS 3PTR by WEAVER,BRADEN",1
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",1
07:55,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
07:55,"STEAL  by KISER,LUKE",,,,,,,"STEAL  by KISER,LUKE",1
07:48,,,,,"FOUL  by BERRY,COLTEN",,,"FOUL  by BERRY,COLTEN",1
07:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:37,"TURNOVER  by POERSCHKE,KYLE",,,,,,,"TURNOVER  by POERSCHKE,KYLE",1
07:37,,,,,"STEAL  by COBB,DANIEL",,,"STEAL  by COBB,DANIEL",1
07:26,,,,,"TURNOVER  by SAVARIO,JACK",,,"TURNOVER  by SAVARIO,JACK",1
07:26,"STEAL  by KISER,LUKE",,,,,,,"STEAL  by KISER,LUKE",1
07:20,"GOOD 3PTR by STEVENS,HUNTER(fastbreak)",23,,26 (+3),,UTD 23-26 (+3),,"GOOD 3PTR by STEVENS,HUNTER(fastbreak)",1
--,"ASSIST  by KISER,LUKE",,,,,,,"ASSIST  by KISER,LUKE",1
07:01,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",1
07:01,"STEAL  by CURTIS,JAMES",,,,,,,"STEAL  by CURTIS,JAMES",1
06:55,"GOOD DUNK by POERSCHKE,KYLE(fastbreak)(in the paint)",25,,26 (+1),,UTD 25-26 (+1),,"GOOD DUNK by POERSCHKE,KYLE(fastbreak)(in the paint)",1
--,"ASSIST  by STEVENS,HUNTER",,,,,,,"ASSIST  by STEVENS,HUNTER",1
06:29,,,,,"TURNOVER  by BERRY,COLTEN",,,"TURNOVER  by BERRY,COLTEN",1
06:13,"MISS DUNK by ISAAC,WILL(in the paint)",,,,,,,"MISS DUNK by ISAAC,WILL(in the paint)",1
06:13,,,,,"BLOCK  by BERRY,COLTEN",,,"BLOCK  by BERRY,COLTEN",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
05:51,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
05:51,"STEAL  by KISER,LUKE",,,,,,,"STEAL  by KISER,LUKE",1
05:47,"GOOD JUMPER by KISER,LUKE(fastbreak)(in the paint)",27 (+1),,26,,UTD 27-26 (-1),,"GOOD JUMPER by KISER,LUKE(fastbreak)(in the paint)",1
05:39,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:39,,,,,"SUB OUT by SAVARIO,JACK",,,"SUB OUT by SAVARIO,JACK",1
05:39,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",1
05:28,,,,,"MISS JUMPER by DEITHLOFF,TYLER",,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,"REBOUND DEF by STEVENS,HUNTER",,,,,,,"REBOUND DEF by STEVENS,HUNTER",1
05:17,"MISS 3PTR by CURTIS,JAMES",,,,,,,"MISS 3PTR by CURTIS,JAMES",1
--,"REBOUND OFF by ISAAC,WILL",,,,,,,"REBOUND OFF by ISAAC,WILL",1
05:11,"GOOD LAYUP by ISAAC,WILL(in the paint)",29 (+3),,26,,UTD 29-26 (-3),,"GOOD LAYUP by ISAAC,WILL(in the paint)",1
04:52,,29,,29,"GOOD 3PTR by WEAVER,BRADEN",Hend 29-29 (0),,"GOOD 3PTR by WEAVER,BRADEN",1
--,,,,,"ASSIST  by SQUIRES,CALEB",,,"ASSIST  by SQUIRES,CALEB",1
04:21,"MISS 3PTR by KISER,LUKE",,,,,,,"MISS 3PTR by KISER,LUKE",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
04:00,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:59,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",1
03:59,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",1
03:59,"SUB OUT by ISAAC,WILL",,,,,,,"SUB OUT by ISAAC,WILL",1
03:59,"SUB IN by WRIGHT,BRAYDEN",,,,,,,"SUB IN by WRIGHT,BRAYDEN",1
03:59,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",1
03:59,,,,,"SUB IN by RYAN,GRAYSON",,,"SUB IN by RYAN,GRAYSON",1
03:47,"MISS 3PTR by POERSCHKE,KYLE",,,,,,,"MISS 3PTR by POERSCHKE,KYLE",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
03:34,,,,,"TURNOVER  by BERRY,COLTEN",,,"TURNOVER  by BERRY,COLTEN",1
03:34,"STEAL  by WRIGHT,BRAYDEN",,,,,,,"STEAL  by WRIGHT,BRAYDEN",1
03:28,"GOOD JUMPER by POERSCHKE,KYLE(fastbreak)(in the paint)",31 (+2),,29,,UTD 31-29 (-2),,"GOOD JUMPER by POERSCHKE,KYLE(fastbreak)(in the paint)",1
--,"ASSIST  by STEVENS,HUNTER",,,,,,,"ASSIST  by STEVENS,HUNTER",1
03:05,,31,,31,"GOOD JUMPER by RYAN,GRAYSON",Hend 31-31 (0),,"GOOD JUMPER by RYAN,GRAYSON",1
--,,,,,"ASSIST  by SQUIRES,CALEB",,,"ASSIST  by SQUIRES,CALEB",1
02:39,"GOOD JUMPER by WRIGHT,BRAYDEN(in the paint)",33 (+2),,31,,UTD 33-31 (-2),,"GOOD JUMPER by WRIGHT,BRAYDEN(in the paint)",1
02:26,,,,,"MISS JUMPER by RYAN,GRAYSON(in the paint)",,,"MISS JUMPER by RYAN,GRAYSON(in the paint)",1
--,"REBOUND DEF by WRIGHT,BRAYDEN",,,,,,,"REBOUND DEF by WRIGHT,BRAYDEN",1
02:17,"MISS 3PTR by POERSCHKE,KYLE",,,,,,,"MISS 3PTR by POERSCHKE,KYLE",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
02:07,,,,,"MISS LAYUP by DEITHLOFF,TYLER(in the paint)",,,"MISS LAYUP by DEITHLOFF,TYLER(in the paint)",1
--,"REBOUND DEF by STEVENS,HUNTER",,,,,,,"REBOUND DEF by STEVENS,HUNTER",1
01:53,"MISS 3PTR by CURTIS,JAMES",,,,,,,"MISS 3PTR by CURTIS,JAMES",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
01:34,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",1
--,"REBOUND DEF by WRIGHT,BRAYDEN",,,,,,,"REBOUND DEF by WRIGHT,BRAYDEN",1
01:30,"MISS JUMPER by KISER,LUKE(in the paint)",,,,,,,"MISS JUMPER by KISER,LUKE(in the paint)",1
--,,,,,"REBOUND DEF by RYAN,GRAYSON",,,"REBOUND DEF by RYAN,GRAYSON",1
01:02,"FOUL  by KISER,LUKE",,,,,,,"FOUL  by KISER,LUKE",1
01:02,,33 (+1),,32,"GOOD FT by SQUIRES,CALEB",Hend 33-32 (-1),,"GOOD FT by SQUIRES,CALEB",1
01:02,,33,,33,"GOOD FT by SQUIRES,CALEB",Hend 33-33 (0),,"GOOD FT by SQUIRES,CALEB",1
01:02,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",1
01:02,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
01:02,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",1
01:02,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",1
01:02,"SUB OUT by KISER,LUKE",,,,,,,"SUB OUT by KISER,LUKE",1
01:02,"SUB OUT by STEVENS,HUNTER",,,,,,,"SUB OUT by STEVENS,HUNTER",1
01:02,"SUB OUT by CURTIS,JAMES",,,,,,,"SUB OUT by CURTIS,JAMES",1
01:02,"SUB OUT by POERSCHKE,KYLE",,,,,,,"SUB OUT by POERSCHKE,KYLE",1
01:02,"SUB IN by WADE,ROB",,,,,,,"SUB IN by WADE,ROB",1
01:02,"SUB IN by DONNELLY,NICK",,,,,,,"SUB IN by DONNELLY,NICK",1
01:02,"SUB IN by MCKENZIE,CADEN",,,,,,,"SUB IN by MCKENZIE,CADEN",1
01:02,"SUB IN by VINCENT,DEVIN",,,,,,,"SUB IN by VINCENT,DEVIN",1
00:43,"GOOD JUMPER by MCKENZIE,CADEN(in the paint)",35 (+2),,33,,UTD 35-33 (-2),,"GOOD JUMPER by MCKENZIE,CADEN(in the paint)",1
00:28,,,,,"TURNOVER  by KRONENBERGER,BEAU",,,"TURNOVER  by KRONENBERGER,BEAU",1
00:28,"STEAL  by MCKENZIE,CADEN",,,,,,,"STEAL  by MCKENZIE,CADEN",1
00:23,"GOOD JUMPER by MCKENZIE,CADEN(fastbreak)(in the paint)",37 (+4),,33,,UTD 37-33 (-4),,"GOOD JUMPER by MCKENZIE,CADEN(fastbreak)(in the paint)",1
00:03,,,,,"MISS 3PTR by RYAN,GRAYSON",,,"MISS 3PTR by RYAN,GRAYSON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:01,"MISS 3PTR by DONNELLY,NICK",,,,,,,"MISS 3PTR by DONNELLY,NICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",2
20:00,,,,,"SUB OUT by RYAN,GRAYSON",,,"SUB OUT by RYAN,GRAYSON",2
20:00,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",2
20:00,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
20:00,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
20:00,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
20:00,"SUB OUT by WADE,ROB",,,,,,,"SUB OUT by WADE,ROB",2
20:00,"SUB OUT by DONNELLY,NICK",,,,,,,"SUB OUT by DONNELLY,NICK",2
20:00,"SUB OUT by MCKENZIE,CADEN",,,,,,,"SUB OUT by MCKENZIE,CADEN",2
20:00,"SUB OUT by VINCENT,DEVIN",,,,,,,"SUB OUT by VINCENT,DEVIN",2
20:00,"SUB OUT by WRIGHT,BRAYDEN",,,,,,,"SUB OUT by WRIGHT,BRAYDEN",2
20:00,"SUB IN by KISER,LUKE",,,,,,,"SUB IN by KISER,LUKE",2
20:00,"SUB IN by STEVENS,HUNTER",,,,,,,"SUB IN by STEVENS,HUNTER",2
20:00,"SUB IN by CURTIS,JAMES",,,,,,,"SUB IN by CURTIS,JAMES",2
20:00,"SUB IN by POERSCHKE,KYLE",,,,,,,"SUB IN by POERSCHKE,KYLE",2
20:00,"SUB IN by ISAAC,WILL",,,,,,,"SUB IN by ISAAC,WILL",2
19:49,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",2
19:49,"STEAL  by CURTIS,JAMES",,,,,,,"STEAL  by CURTIS,JAMES",2
19:39,"GOOD JUMPER by POERSCHKE,KYLE",39 (+6),,33,,UTD 39-33 (-6),,"GOOD JUMPER by POERSCHKE,KYLE",2
--,"ASSIST  by KISER,LUKE",,,,,,,"ASSIST  by KISER,LUKE",2
19:13,,,,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",2
--,"REBOUND DEF by ISAAC,WILL",,,,,,,"REBOUND DEF by ISAAC,WILL",2
18:57,"TURNOVER  by ISAAC,WILL",,,,,,,"TURNOVER  by ISAAC,WILL",2
18:57,,,,,"STEAL  by DEITHLOFF,TYLER",,,"STEAL  by DEITHLOFF,TYLER",2
18:50,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",2
18:50,"STEAL  by STEVENS,HUNTER",,,,,,,"STEAL  by STEVENS,HUNTER",2
18:45,"MISS 3PTR by KISER,LUKE",,,,,,,"MISS 3PTR by KISER,LUKE",2
--,,,,,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",2
18:20,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",2
18:20,"STEAL  by ISAAC,WILL",,,,,,,"STEAL  by ISAAC,WILL",2
18:16,,,,,"FOUL  by WEAVER,BRADEN",,,"FOUL  by WEAVER,BRADEN",2
18:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
18:16,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
