Time Remaining,CRRDCO,Away Team Score,Play Team Indicator,Home Team Score,HNDXCO,Game Score,Team Indicator,Play,Period
19:39,,,,,"MISS JUMPER by BERRY,COLTEN",,,"MISS JUMPER by BERRY,COLTEN",1
19:39,"BLOCK  by COUSINS,BRAXTON",,,,,,,"BLOCK  by COUSINS,BRAXTON",1
--,"REBOUND DEF by COUSINS,BRAXTON",,,,,,,"REBOUND DEF by COUSINS,BRAXTON",1
19:10,"GOOD JUMPER by COUSINS,BRAXTON",2 (+2),,0,,CRRDCO 2-0 (-2),,"GOOD JUMPER by COUSINS,BRAXTON",1
19:03,,,,,"TURNOVER  by SQUIRES,CALEB",,,"TURNOVER  by SQUIRES,CALEB",1
18:54,"MISS JUMPER by ROBERSON,BO",,,,,,,"MISS JUMPER by ROBERSON,BO",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
18:40,,,,,"MISS  by BERRY,COLTEN",,,"MISS  by BERRY,COLTEN",1
--,"REBOUND DEF by COUSINS,BRAXTON",,,,,,,"REBOUND DEF by COUSINS,BRAXTON",1
18:19,"MISS 3PTR by COUSINS,BRAXTON",,,,,,,"MISS 3PTR by COUSINS,BRAXTON",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
18:06,,,,,"MISS JUMPER by BERRY,COLTEN",,,"MISS JUMPER by BERRY,COLTEN",1
--,"REBOUND DEF by BOZEMAN,JAYLEN",,,,,,,"REBOUND DEF by BOZEMAN,JAYLEN",1
17:42,"GOOD 3PTR by SMITH,JD",5 (+5),,0,,CRRDCO 5-0 (-5),,"GOOD 3PTR by SMITH,JD",1
--,"ASSIST  by COUSINS,BRAXTON",,,,,,,"ASSIST  by COUSINS,BRAXTON",1
17:25,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",1
17:20,,5 (+3),,2,"GOOD JUMPER by DEITHLOFF,TYLER",HNDXCO 5-2 (-3),,"GOOD JUMPER by DEITHLOFF,TYLER",1
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",1
17:08,"GOOD JUMPER by BOZEMAN,JAYLEN",7 (+5),,2,,CRRDCO 7-2 (-5),,"GOOD JUMPER by BOZEMAN,JAYLEN",1
16:46,,,,,"FOUL  by TORRES,JADEN",,,"FOUL  by TORRES,JADEN",1
16:46,,,,,"TURNOVER  by TORRES,JADEN",,,"TURNOVER  by TORRES,JADEN",1
16:46,"MISS 3PTR by SMITH,JD",,,,,,,"MISS 3PTR by SMITH,JD",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
16:14,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",1
--,"REBOUND DEF by JOHNSON,BJ",,,,,,,"REBOUND DEF by JOHNSON,BJ",1
15:53,"MISS JUMPER by COUSINS,BRAXTON",,,,,,,"MISS JUMPER by COUSINS,BRAXTON",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
15:44,,,,,"TURNOVER  by MCMULLIN,COLTON",,,"TURNOVER  by MCMULLIN,COLTON",1
15:44,"STEAL  by ROBERSON,BO",,,,,,,"STEAL  by ROBERSON,BO",1
15:37,"GOOD JUMPER by BOZEMAN,JAYLEN(fastbreak)",9 (+7),,2,,CRRDCO 9-2 (-7),,"GOOD JUMPER by BOZEMAN,JAYLEN(fastbreak)",1
--,"ASSIST  by ROBERSON,BO",,,,,,,"ASSIST  by ROBERSON,BO",1
15:17,,,,,"MISS JUMPER by DEITHLOFF,TYLER",,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,"REBOUND DEF by JOHNSON,BJ",,,,,,,"REBOUND DEF by JOHNSON,BJ",1
15:00,"MISS 3PTR by COUSINS,BRAXTON",,,,,,,"MISS 3PTR by COUSINS,BRAXTON",1
--,"REBOUND OFF by JOHNSON,BJ",,,,,,,"REBOUND OFF by JOHNSON,BJ",1
14:49,"GOOD LAYUP by COUSINS,BRAXTON",11 (+9),,2,,CRRDCO 11-2 (-9),,"GOOD LAYUP by COUSINS,BRAXTON",1
--,"ASSIST  by ROBERSON,BO",,,,,,,"ASSIST  by ROBERSON,BO",1
14:25,,,,,"TURNOVER  by TORRES,JADEN",,,"TURNOVER  by TORRES,JADEN",1
14:25,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:21,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",1
14:21,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
14:21,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",1
14:21,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",1
14:21,"MISS JUMPER by BOZEMAN,JAYLEN",,,,,,,"MISS JUMPER by BOZEMAN,JAYLEN",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
14:21,,11 (+7),,4,"GOOD JUMPER by BERRY,COLTEN",HNDXCO 11-4 (-7),,"GOOD JUMPER by BERRY,COLTEN",1
--,,,,,"ASSIST  by SQUIRES,CALEB",,,"ASSIST  by SQUIRES,CALEB",1
14:02,"TURNOVER  by COUSINS,BRAXTON",,,,,,,"TURNOVER  by COUSINS,BRAXTON",1
13:55,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",1
13:55,,,,,"SUB IN by EDWARDS,LANDON",,,"SUB IN by EDWARDS,LANDON",1
13:25,,,,,"MISS LAYUP by COBB,DANIEL",,,"MISS LAYUP by COBB,DANIEL",1
--,"REBOUND DEF by BOZEMAN,JAYLEN",,,,,,,"REBOUND DEF by BOZEMAN,JAYLEN",1
13:25,"TURNOVER  by BOZEMAN,JAYLEN",,,,,,,"TURNOVER  by BOZEMAN,JAYLEN",1
13:25,,,,,"STEAL  by COBB,DANIEL",,,"STEAL  by COBB,DANIEL",1
13:15,"FOUL  by COUSINS,BRAXTON",,,,,,,"FOUL  by COUSINS,BRAXTON",1
13:14,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",1
13:14,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",1
13:07,,,,,"MISS JUMPER by WEAVER,BRADEN",,,"MISS JUMPER by WEAVER,BRADEN",1
--,"REBOUND DEF by JOHNSON,BJ",,,,,,,"REBOUND DEF by JOHNSON,BJ",1
12:59,"MISS LAYUP by ROBERSON,BO",,,,,,,"MISS LAYUP by ROBERSON,BO",1
--,"REBOUND OFF by JOHNSON,BJ",,,,,,,"REBOUND OFF by JOHNSON,BJ",1
12:36,"MISS 3PTR by JOHNSON,BJ",,,,,,,"MISS 3PTR by JOHNSON,BJ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:36,"FOUL  by COUSINS,BRAXTON",,,,,,,"FOUL  by COUSINS,BRAXTON",1
12:36,"SUB OUT by COUSINS,BRAXTON",,,,,,,"SUB OUT by COUSINS,BRAXTON",1
12:36,"SUB IN by ROBERSON,KE",,,,,,,"SUB IN by ROBERSON,KE",1
12:24,,,,,"TURNOVER  by EDWARDS,LANDON",,,"TURNOVER  by EDWARDS,LANDON",1
12:24,"STEAL  by BOZEMAN,JAYLEN",,,,,,,"STEAL  by BOZEMAN,JAYLEN",1
11:59,"GOOD 3PTR by SMITH,JD",14 (+10),,4,,CRRDCO 14-4 (-10),,"GOOD 3PTR by SMITH,JD",1
--,"ASSIST  by JOHNSON,BJ",,,,,,,"ASSIST  by JOHNSON,BJ",1
11:25,,14 (+8),,6,"GOOD LAYUP by DEITHLOFF,TYLER",HNDXCO 14-6 (-8),,"GOOD LAYUP by DEITHLOFF,TYLER",1
10:54,"GOOD JUMPER by BOZEMAN,JAYLEN",16 (+10),,6,,CRRDCO 16-6 (-10),,"GOOD JUMPER by BOZEMAN,JAYLEN",1
--,"ASSIST  by ROBERSON,BO",,,,,,,"ASSIST  by ROBERSON,BO",1
10:28,,,,,"MISS 3PTR by COBB,DANIEL",,,"MISS 3PTR by COBB,DANIEL",1
--,"REBOUND DEF by ROBERSON,KE",,,,,,,"REBOUND DEF by ROBERSON,KE",1
10:19,,,,,"FOUL  by MAYO,DREW",,,"FOUL  by MAYO,DREW",1
10:19,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:19,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",1
10:19,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
10:19,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",1
10:19,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",1
10:19,"SUB OUT by JOHNSON,BJ",,,,,,,"SUB OUT by JOHNSON,BJ",1
10:19,"SUB IN by ROBINSON,HAYDEN",,,,,,,"SUB IN by ROBINSON,HAYDEN",1
10:17,,,,,"FOUL  by MAYO,DREW",,,"FOUL  by MAYO,DREW",1
10:17,"MISS FT by BOZEMAN,JAYLEN",,,,,,,"MISS FT by BOZEMAN,JAYLEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:17,"GOOD FT by BOZEMAN,JAYLEN",17 (+11),,6,,CRRDCO 17-6 (-11),,"GOOD FT by BOZEMAN,JAYLEN",1
10:13,,,,,"SUB OUT by MAYO,DREW",,,"SUB OUT by MAYO,DREW",1
10:13,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
09:56,"FOUL  by ROBERSON,BO",,,,,,,"FOUL  by ROBERSON,BO",1
09:56,,17 (+10),,7,"GOOD FT by TORRES,JADEN",HNDXCO 17-7 (-10),,"GOOD FT by TORRES,JADEN",1
09:56,,17 (+9),,8,"GOOD FT by TORRES,JADEN",HNDXCO 17-8 (-9),,"GOOD FT by TORRES,JADEN",1
09:54,"MISS LAYUP by ROBINSON,HAYDEN",,,,,,,"MISS LAYUP by ROBINSON,HAYDEN",1
--,"REBOUND OFF by BOZEMAN,JAYLEN",,,,,,,"REBOUND OFF by BOZEMAN,JAYLEN",1
09:48,"GOOD LAYUP by BOZEMAN,JAYLEN",19 (+11),,8,,CRRDCO 19-8 (-11),,"GOOD LAYUP by BOZEMAN,JAYLEN",1
09:21,,,,,"MISS 3PTR by WEAVER,BRADEN",,,"MISS 3PTR by WEAVER,BRADEN",1
--,"REBOUND DEF by ROBINSON,HAYDEN",,,,,,,"REBOUND DEF by ROBINSON,HAYDEN",1
09:07,"MISS JUMPER by ROBINSON,HAYDEN",,,,,,,"MISS JUMPER by ROBINSON,HAYDEN",1
--,"REBOUND OFF by ROBINSON,HAYDEN",,,,,,,"REBOUND OFF by ROBINSON,HAYDEN",1
09:00,"GOOD LAYUP by ROBINSON,HAYDEN",21 (+13),,8,,CRRDCO 21-8 (-13),,"GOOD LAYUP by ROBINSON,HAYDEN",1
08:58,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:58,,,,,"SUB OUT by EDWARDS,LANDON",,,"SUB OUT by EDWARDS,LANDON",1
08:58,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",1
08:46,,21 (+11),,10,"GOOD JUMPER by BERRY,COLTEN",HNDXCO 21-10 (-11),,"GOOD JUMPER by BERRY,COLTEN",1
--,,,,,"ASSIST  by KRONENBERGER,BEAU",,,"ASSIST  by KRONENBERGER,BEAU",1
08:22,"MISS 3PTR by ROBERSON,KE",,,,,,,"MISS 3PTR by ROBERSON,KE",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
08:06,,,,,"MISS  by KRONENBERGER,BEAU",,,"MISS  by KRONENBERGER,BEAU",1
--,"REBOUND DEF by ROBERSON,KE",,,,,,,"REBOUND DEF by ROBERSON,KE",1
07:59,"MISS LAYUP by ROBERSON,BO",,,,,,,"MISS LAYUP by ROBERSON,BO",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
07:51,"FOUL  by SMITH,JD",,,,,,,"FOUL  by SMITH,JD",1
07:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:51,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",1
07:51,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",1
07:51,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",1
07:51,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
07:51,"SUB OUT by ROBINSON,HAYDEN",,,,,,,"SUB OUT by ROBINSON,HAYDEN",1
07:51,"SUB IN by JOHNSON,BJ",,,,,,,"SUB IN by JOHNSON,BJ",1
07:40,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,"REBOUND DEF by SMITH,JD",,,,,,,"REBOUND DEF by SMITH,JD",1
07:27,"MISS 3PTR by SMITH,JD",,,,,,,"MISS 3PTR by SMITH,JD",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
07:17,,,,,"TURNOVER  by SQUIRES,CALEB",,,"TURNOVER  by SQUIRES,CALEB",1
06:47,"MISS JUMPER by BOZEMAN,JAYLEN",,,,,,,"MISS JUMPER by BOZEMAN,JAYLEN",1
--,"REBOUND OFF by ROBERSON,KE",,,,,,,"REBOUND OFF by ROBERSON,KE",1
06:33,,,,,"FOUL  by TORRES,JADEN",,,"FOUL  by TORRES,JADEN",1
06:33,"GOOD FT by ROBERSON,BO",22 (+12),,10,,CRRDCO 22-10 (-12),,"GOOD FT by ROBERSON,BO",1
06:33,"GOOD FT by ROBERSON,BO",23 (+13),,10,,CRRDCO 23-10 (-13),,"GOOD FT by ROBERSON,BO",1
06:15,,23 (+11),,12,"GOOD JUMPER by SQUIRES,CALEB",HNDXCO 23-12 (-11),,"GOOD JUMPER by SQUIRES,CALEB",1
--,,,,,"ASSIST  by BERRY,COLTEN",,,"ASSIST  by BERRY,COLTEN",1
