Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
09:20,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",1
09:20,"MISS JUMPER by CHEATER,DILLON",,,,,,,"MISS JUMPER by CHEATER,DILLON",1
--,,,,,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",1
08:45,,,,,"SUB OUT by RYAN,GRAYSON",,,"SUB OUT by RYAN,GRAYSON",1
08:45,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",1
08:45,,,,,"TURNOVER  by BERRY,COLTEN",,,"TURNOVER  by BERRY,COLTEN",1
08:29,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",1
08:28,"GOOD 3PTR by ROELKE,KAMREN",22,,27 (+5),,UO 22-27 (+5),,"GOOD 3PTR by ROELKE,KAMREN",1
--,"ASSIST  by ELDRIDGE,TIM",,,,,,,"ASSIST  by ELDRIDGE,TIM",1
07:28,,,,,"TURNOVER  by SQUIRES,CALEB",,,"TURNOVER  by SQUIRES,CALEB",1
07:28,"STEAL  by LOPEZ,ADAM",,,,,,,"STEAL  by LOPEZ,ADAM",1
07:25,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",1
07:25,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",1
07:16,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",1
07:16,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",1
07:12,"FOUL  by LOPEZ,ADAM",,,,,,,"FOUL  by LOPEZ,ADAM",1
07:12,"TURNOVER  by LOPEZ,ADAM",,,,,,,"TURNOVER  by LOPEZ,ADAM",1
07:12,"SUB OUT by LOPEZ,ADAM",,,,,,,"SUB OUT by LOPEZ,ADAM",1
07:12,"SUB IN by TABE,SEPHFAN",,,,,,,"SUB IN by TABE,SEPHFAN",1
06:54,,22,,29 (+7),"GOOD JUMPER by BERRY,COLTEN(in the paint)",Hend 22-29 (+7),,"GOOD JUMPER by BERRY,COLTEN(in the paint)",1
--,,,,,"ASSIST  by TORRES,JADEN",,,"ASSIST  by TORRES,JADEN",1
06:39,,,,,"FOUL  by WEAVER,BRADEN",,,"FOUL  by WEAVER,BRADEN",1
06:39,"SUB OUT by CHEATER,DILLON",,,,,,,"SUB OUT by CHEATER,DILLON",1
06:39,"SUB IN by JACKSON,TYLAN",,,,,,,"SUB IN by JACKSON,TYLAN",1
06:39,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",1
06:39,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
06:39,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",1
06:39,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",1
06:39,"GOOD FT by NIX,GRAYSON",23,,29 (+6),,UO 23-29 (+6),,"GOOD FT by NIX,GRAYSON",1
06:39,"GOOD FT by NIX,GRAYSON",24,,29 (+5),,UO 24-29 (+5),,"GOOD FT by NIX,GRAYSON",1
06:39,"SUB OUT by ELDRIDGE,TIM",,,,,,,"SUB OUT by ELDRIDGE,TIM",1
06:39,"SUB IN by UKPE,JOSH",,,,,,,"SUB IN by UKPE,JOSH",1
06:35,"FOUL  by TABE,SEPHFAN",,,,,,,"FOUL  by TABE,SEPHFAN",1
06:35,,,,,"MISS FT by BERRY,COLTEN(fastbreak)",,,"MISS FT by BERRY,COLTEN(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:35,,,,,"MISS FT by BERRY,COLTEN(fastbreak)",,,"MISS FT by BERRY,COLTEN(fastbreak)",1
--,"REBOUND DEF by ROELKE,KAMREN",,,,,,,"REBOUND DEF by ROELKE,KAMREN",1
06:13,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
05:54,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",1
05:40,,,,,"FOUL  by KRONENBERGER,BEAU",,,"FOUL  by KRONENBERGER,BEAU",1
05:40,"GOOD FT by JACKSON,TYLAN",25,,29 (+4),,UO 25-29 (+4),,"GOOD FT by JACKSON,TYLAN",1
05:40,"GOOD FT by JACKSON,TYLAN",26,,29 (+3),,UO 26-29 (+3),,"GOOD FT by JACKSON,TYLAN",1
05:25,,,,,"MISS JUMPER by TORRES,JADEN(in the paint)",,,"MISS JUMPER by TORRES,JADEN(in the paint)",1
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",1
05:19,,26,,31 (+5),"GOOD JUMPER by BERRY,COLTEN(in the paint)",Hend 26-31 (+5),,"GOOD JUMPER by BERRY,COLTEN(in the paint)",1
05:08,,,,,"FOUL  by KRONENBERGER,BEAU",,,"FOUL  by KRONENBERGER,BEAU",1
05:08,"GOOD FT by JACKSON,TYLAN",27,,31 (+4),,UO 27-31 (+4),,"GOOD FT by JACKSON,TYLAN",1
05:08,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",1
05:08,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",1
05:08,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",1
05:08,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
05:08,"GOOD FT by JACKSON,TYLAN",28,,31 (+3),,UO 28-31 (+3),,"GOOD FT by JACKSON,TYLAN",1
04:48,,,,,"MISS JUMPER by MAYO,DREW(in the paint)",,,"MISS JUMPER by MAYO,DREW(in the paint)",1
--,"REBOUND DEF by UKPE,JOSH",,,,,,,"REBOUND DEF by UKPE,JOSH",1
04:43,"GOOD LAYUP by ROELKE,KAMREN(fastbreak)(in the paint)",30,,31 (+1),,UO 30-31 (+1),,"GOOD LAYUP by ROELKE,KAMREN(fastbreak)(in the paint)",1
--,"ASSIST  by UKPE,JOSH",,,,,,,"ASSIST  by UKPE,JOSH",1
04:30,,30,,33 (+3),"GOOD JUMPER by SQUIRES,CALEB(in the paint)",Hend 30-33 (+3),,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",1
--,,,,,"ASSIST  by MAYO,DREW",,,"ASSIST  by MAYO,DREW",1
04:12,"GOOD JUMPER by TABE,SEPHFAN(in the paint)",32,,33 (+1),,UO 32-33 (+1),,"GOOD JUMPER by TABE,SEPHFAN(in the paint)",1
03:57,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",1
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",1
03:50,,,,,"MISS LAYUP by DEITHLOFF,TYLER(in the paint)",,,"MISS LAYUP by DEITHLOFF,TYLER(in the paint)",1
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",1
03:46,,32,,36 (+4),"GOOD 3PTR by MAYO,DREW",Hend 32-36 (+4),,"GOOD 3PTR by MAYO,DREW",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
03:32,"GOOD 3PTR by UKPE,JOSH",35,,36 (+1),,UO 35-36 (+1),,"GOOD 3PTR by UKPE,JOSH",1
--,"ASSIST  by ROELKE,KAMREN",,,,,,,"ASSIST  by ROELKE,KAMREN",1
03:17,"FOUL  by UKPE,JOSH",,,,,,,"FOUL  by UKPE,JOSH",1
03:17,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:17,,35,,37 (+2),"GOOD FT by MAYO,DREW",Hend 35-37 (+2),,"GOOD FT by MAYO,DREW",1
03:17,"SUB OUT by UKPE,JOSH",,,,,,,"SUB OUT by UKPE,JOSH",1
03:17,"SUB IN by ELDRIDGE,TIM",,,,,,,"SUB IN by ELDRIDGE,TIM",1
03:17,,,,,"MISS FT by MAYO,DREW",,,"MISS FT by MAYO,DREW",1
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",1
03:11,,35,,39 (+4),"GOOD JUMPER by MAYO,DREW",Hend 35-39 (+4),,"GOOD JUMPER by MAYO,DREW",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
02:54,"MISS JUMPER by TABE,SEPHFAN(in the paint)",,,,,,,"MISS JUMPER by TABE,SEPHFAN(in the paint)",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
02:39,,,,,"MISS 3PTR by MAYO,DREW",,,"MISS 3PTR by MAYO,DREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:15,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",1
--,,,,,"REBOUND OFF by MAYO,DREW",,,"REBOUND OFF by MAYO,DREW",1
02:07,,,,,"MISS JUMPER by MAYO,DREW(in the paint)",,,"MISS JUMPER by MAYO,DREW(in the paint)",1
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",1
01:53,,35,,41 (+6),"GOOD LAYUP by COBB,DANIEL(in the paint)",Hend 35-41 (+6),,"GOOD LAYUP by COBB,DANIEL(in the paint)",1
--,,,,,"ASSIST  by BERRY,COLTEN",,,"ASSIST  by BERRY,COLTEN",1
01:47,,,,,"SUB OUT by MAYO,DREW",,,"SUB OUT by MAYO,DREW",1
01:47,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",1
01:38,"MISS JUMPER by TABE,SEPHFAN",,,,,,,"MISS JUMPER by TABE,SEPHFAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:38,"SUB OUT by TABE,SEPHFAN",,,,,,,"SUB OUT by TABE,SEPHFAN",1
01:38,"SUB IN by CHEATER,DILLON",,,,,,,"SUB IN by CHEATER,DILLON",1
01:38,,35,,43 (+8),"GOOD JUMPER by COBB,DANIEL(in the paint)",Hend 35-43 (+8),,"GOOD JUMPER by COBB,DANIEL(in the paint)",1
01:24,"MISS LAYUP by JACKSON,TYLAN(in the paint)",,,,,,,"MISS LAYUP by JACKSON,TYLAN(in the paint)",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
01:17,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND DEF by JACKSON,TYLAN",,,,,,,"REBOUND DEF by JACKSON,TYLAN",1
01:01,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",1
--,,,,,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",1
00:54,"FOUL  by CHEATER,DILLON",,,,,,,"FOUL  by CHEATER,DILLON",1
00:54,,35,,44 (+9),"GOOD FT by SQUIRES,CALEB(fastbreak)",Hend 35-44 (+9),,"GOOD FT by SQUIRES,CALEB(fastbreak)",1
00:54,,35,,45 (+10),"GOOD FT by SQUIRES,CALEB(fastbreak)",Hend 35-45 (+10),,"GOOD FT by SQUIRES,CALEB(fastbreak)",1
00:41,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",37,,45 (+8),,UO 37-45 (+8),,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",1
00:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:24,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
00:03,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
00:01,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,"SUB OUT by ELDRIDGE,TIM",,,,,,,"SUB OUT by ELDRIDGE,TIM",2
20:00,"SUB OUT by CHEATER,DILLON",,,,,,,"SUB OUT by CHEATER,DILLON",2
20:00,"SUB IN by UKPE,JOSH",,,,,,,"SUB IN by UKPE,JOSH",2
20:00,"SUB IN by LOPEZ,ADAM",,,,,,,"SUB IN by LOPEZ,ADAM",2
19:39,"MISS JUMPER by JACKSON,TYLAN",,,,,,,"MISS JUMPER by JACKSON,TYLAN",2
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",2
19:18,,37,,48 (+11),"GOOD 3PTR by DEITHLOFF,TYLER",Hend 37-48 (+11),,"GOOD 3PTR by DEITHLOFF,TYLER",2
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",2
