Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
19:39,,0,,2 (+2),"GOOD LAYUP by BERRY,COLTEN(in the paint)",Hend 0-2 (+2),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",1
19:39,"FOUL  by ROTH,DREW",,,,,,,"FOUL  by ROTH,DREW",1
19:39,,,,,"MISS FT by BERRY,COLTEN",,,"MISS FT by BERRY,COLTEN",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
19:27,"MISS 3PTR by HOGAN,TJ",,,,,,,"MISS 3PTR by HOGAN,TJ",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
19:07,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",1
19:01,,0,,5 (+5),"GOOD 3PTR by COBB,DANIEL",Hend 0-5 (+5),,"GOOD 3PTR by COBB,DANIEL",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
18:36,"MISS 3PTR by ROTH,DREW",,,,,,,"MISS 3PTR by ROTH,DREW",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
18:21,,0,,7 (+7),"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",Hend 0-7 (+7),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",1
18:01,"MISS JUMPER by URSIN,AARON",,,,,,,"MISS JUMPER by URSIN,AARON",1
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",1
17:51,,,,,"MISS 3PTR by WEAVER,BRADEN",,,"MISS 3PTR by WEAVER,BRADEN",1
--,,,,,"REBOUND OFF by WEAVER,BRADEN",,,"REBOUND OFF by WEAVER,BRADEN",1
17:41,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,"MISS JUMPER by BERRY,COLTEN(in the paint)",1
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",1
17:34,,0,,9 (+9),"GOOD LAYUP by BERRY,COLTEN(in the paint)",Hend 0-9 (+9),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
17:17,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",1
17:00,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,"MISS JUMPER by BERRY,COLTEN(in the paint)",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
16:52,"GOOD JUMPER by GASCA,DAKOTA(fastbreak)(in the paint)",2,,9 (+7),,Mill 2-9 (+7),,"GOOD JUMPER by GASCA,DAKOTA(fastbreak)(in the paint)",1
16:27,,2,,12 (+10),"GOOD 3PTR by SQUIRES,CALEB",Hend 2-12 (+10),,"GOOD 3PTR by SQUIRES,CALEB",1
--,,,,,"ASSIST  by BERRY,COLTEN",,,"ASSIST  by BERRY,COLTEN",1
15:55,"MISS JUMPER by URSIN,AARON(in the paint)",,,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",1
15:55,,,,,"BLOCK  by BERRY,COLTEN",,,"BLOCK  by BERRY,COLTEN",1
--,"REBOUND OFF by URSIN,AARON",,,,,,,"REBOUND OFF by URSIN,AARON",1
15:50,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
15:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:50,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
15:50,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
15:50,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
15:50,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",1
15:43,,2,,14 (+12),"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",Hend 2-14 (+12),,"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",1
15:25,"MISS JUMPER by HOGAN,TJ",,,,,,,"MISS JUMPER by HOGAN,TJ",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
15:10,,2,,17 (+15),"GOOD 3PTR by SQUIRES,CALEB",Hend 2-17 (+15),,"GOOD 3PTR by SQUIRES,CALEB",1
--,,,,,"ASSIST  by WEAVER,BRADEN",,,"ASSIST  by WEAVER,BRADEN",1
14:58,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
14:58,,,,,"STEAL  by COBB,DANIEL",,,"STEAL  by COBB,DANIEL",1
14:53,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",1
14:53,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",1
14:53,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
14:53,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
14:51,,2,,19 (+17),"GOOD JUMPER by DEITHLOFF,TYLER",Hend 2-19 (+17),,"GOOD JUMPER by DEITHLOFF,TYLER",1
--,,,,,"ASSIST  by SQUIRES,CALEB",,,"ASSIST  by SQUIRES,CALEB",1
14:39,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",1
14:39,,,,,"SUB IN by PATTON,LUKE",,,"SUB IN by PATTON,LUKE",1
14:37,"TURNOVER  by GORTON,MACK",,,,,,,"TURNOVER  by GORTON,MACK",1
14:29,,2,,21 (+19),"GOOD JUMPER by PATTON,LUKE",Hend 2-21 (+19),,"GOOD JUMPER by PATTON,LUKE",1
14:10,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",4,,21 (+17),,Mill 4-21 (+17),,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
--,"ASSIST  by BUSH,RODREEKAS",,,,,,,"ASSIST  by BUSH,RODREEKAS",1
13:41,"FOUL  by GASCA,DAKOTA",,,,,,,"FOUL  by GASCA,DAKOTA",1
13:41,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",1
13:41,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",1
13:41,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
13:41,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",1
13:41,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
13:41,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
13:40,,4,,24 (+20),"GOOD 3PTR by DEITHLOFF,TYLER",Hend 4-24 (+20),,"GOOD 3PTR by DEITHLOFF,TYLER",1
13:15,"MISS JUMPER by PHILLIPS JR,RODNEY(in the paint)",,,,,,,"MISS JUMPER by PHILLIPS JR,RODNEY(in the paint)",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
12:55,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
12:39,,,,,"FOUL  by MCMULLIN,COLTON",,,"FOUL  by MCMULLIN,COLTON",1
12:39,"GOOD FT by WATSON,DOUG",5,,24 (+19),,Mill 5-24 (+19),,"GOOD FT by WATSON,DOUG",1
12:39,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
12:39,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",1
12:39,"MISS FT by WATSON,DOUG",,,,,,,"MISS FT by WATSON,DOUG",1
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",1
12:28,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND OFF by KRONENBERGER,BEAU",,,"REBOUND OFF by KRONENBERGER,BEAU",1
12:21,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",1
12:21,,5,,25 (+20),"GOOD FT by PATTON,LUKE",Hend 5-25 (+20),,"GOOD FT by PATTON,LUKE",1
12:21,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
