Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,TLU,Game Score,Team Indicator,Play,Period
19:52,"TURNOVER  by BERRY,COLTEN",,,,,,,"TURNOVER  by BERRY,COLTEN",1
19:24,,,,,"MISS JUMPER by PHILLIPS,XAVIER(in the paint)",,,"MISS JUMPER by PHILLIPS,XAVIER(in the paint)",1
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",1
19:01,"GOOD 3PTR by WEAVER,BRADEN",0,,3 (+3),,Hend 0-3 (-3),,"GOOD 3PTR by WEAVER,BRADEN",1
--,"ASSIST  by BERRY,COLTEN",,,,,,,"ASSIST  by BERRY,COLTEN",1
18:47,,2,,3 (+1),"GOOD LAYUP by GREEN,MASON(in the paint)",TLU 2-3 (-1),,"GOOD LAYUP by GREEN,MASON(in the paint)",1
--,,,,,"ASSIST  by ALLEN,EASTON",,,"ASSIST  by ALLEN,EASTON",1
18:32,,,,,"FOUL  by PHILLIPS,XAVIER",,,"FOUL  by PHILLIPS,XAVIER",1
18:32,"MISS LAYUP by BERRY,COLTEN(in the paint)",,,,,,,"MISS LAYUP by BERRY,COLTEN(in the paint)",1
--,,,,,"REBOUND DEF by WALLACE,MASON",,,"REBOUND DEF by WALLACE,MASON",1
18:12,,,,,"TURNOVER  by GREEN,MASON",,,"TURNOVER  by GREEN,MASON",1
18:12,"MISS JUMPER by SQUIRES,CALEB",,,,,,,"MISS JUMPER by SQUIRES,CALEB",1
--,,,,,"REBOUND DEF by PHILLIPS,XAVIER",,,"REBOUND DEF by PHILLIPS,XAVIER",1
17:45,,,,,"MISS JUMPER by PHILLIPS,XAVIER(in the paint)",,,"MISS JUMPER by PHILLIPS,XAVIER(in the paint)",1
--,,,,,"REBOUND OFF by GREEN,MASON",,,"REBOUND OFF by GREEN,MASON",1
17:21,,,,,"MISS 3PTR by ALLEN,EASTON",,,"MISS 3PTR by ALLEN,EASTON",1
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",1
16:57,,,,,"FOUL  by ALLEN,EASTON",,,"FOUL  by ALLEN,EASTON",1
16:56,"MISS 3PTR by WEAVER,BRADEN",,,,,,,"MISS 3PTR by WEAVER,BRADEN",1
--,"REBOUND OFF by SQUIRES,CALEB",,,,,,,"REBOUND OFF by SQUIRES,CALEB",1
16:41,"MISS JUMPER by BERRY,COLTEN",,,,,,,"MISS JUMPER by BERRY,COLTEN",1
--,,,,,"REBOUND DEF by FORNERETTE,RILEY",,,"REBOUND DEF by FORNERETTE,RILEY",1
16:36,,,,,"MISS LAYUP by ALLEN,EASTON(in the paint)",,,"MISS LAYUP by ALLEN,EASTON(in the paint)",1
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",1
16:28,"GOOD JUMPER by MCMULLIN,COLTON(in the paint)",2,,5 (+3),,Hend 2-5 (-3),,"GOOD JUMPER by MCMULLIN,COLTON(in the paint)",1
16:16,,,,,"MISS 3PTR by FORNERETTE,RILEY",,,"MISS 3PTR by FORNERETTE,RILEY",1
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",1
16:08,"TURNOVER  by WEAVER,BRADEN",,,,,,,"TURNOVER  by WEAVER,BRADEN",1
16:08,,,,,"STEAL  by FORNERETTE,RILEY",,,"STEAL  by FORNERETTE,RILEY",1
15:58,,,,,"MISS 3PTR by WALLACE,MASON",,,"MISS 3PTR by WALLACE,MASON",1
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",1
