Time Remaining,OGL-M,Away Team Score,Play Team Indicator,Home Team Score,HC-MBK,Game Score,Team Indicator,Play,Period
19:55,"GOOD JUMPER by SMITH,BRENT(in the paint)",2 (+2),,0,,OGL-M 2-0 (-2),,"GOOD JUMPER by SMITH,BRENT(in the paint)",1
19:40,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND DEF by BENNIFIELD,DYLAN",,,,,,,"REBOUND DEF by BENNIFIELD,DYLAN",1
19:22,"MISS 3PTR by BENNIFIELD,DYLAN",,,,,,,"MISS 3PTR by BENNIFIELD,DYLAN",1
--,,,,,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",1
19:12,,2,,3 (+1),"GOOD 3PTR by WEAVER,BRADEN",HC-MBK 2-3 (+1),,"GOOD 3PTR by WEAVER,BRADEN",1
--,,,,,"ASSIST  by SQUIRES,CALEB",,,"ASSIST  by SQUIRES,CALEB",1
18:43,"MISS 3PTR by JAMES,JORDAN",,,,,,,"MISS 3PTR by JAMES,JORDAN",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
17:58,,2,,6 (+4),"GOOD 3PTR by SQUIRES,CALEB",HC-MBK 2-6 (+4),,"GOOD 3PTR by SQUIRES,CALEB",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
17:35,"MISS JUMPER by KEMP,JACKSON",,,,,,,"MISS JUMPER by KEMP,JACKSON",1
--,,,,,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",1
17:11,,2,,9 (+7),"GOOD 3PTR by WEAVER,BRADEN",HC-MBK 2-9 (+7),,"GOOD 3PTR by WEAVER,BRADEN",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
16:50,"MISS 3PTR by BENNIFIELD,DYLAN",,,,,,,"MISS 3PTR by BENNIFIELD,DYLAN",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
16:33,,2,,11 (+9),"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",HC-MBK 2-11 (+9),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
16:03,"GOOD LAYUP by SMITH,BRENT(in the paint)",4,,11 (+7),,OGL-M 4-11 (+7),,"GOOD LAYUP by SMITH,BRENT(in the paint)",1
--,"ASSIST  by BENNIFIELD,DYLAN",,,,,,,"ASSIST  by BENNIFIELD,DYLAN",1
15:38,,,,,"TURNOVER  by SQUIRES,CALEB",,,"TURNOVER  by SQUIRES,CALEB",1
15:37,"STEAL  by JENEI,RYAN",,,,,,,"STEAL  by JENEI,RYAN",1
15:28,"GOOD JUMPER by KEMP,JACKSON",6,,11 (+5),,OGL-M 6-11 (+5),,"GOOD JUMPER by KEMP,JACKSON",1
15:11,,,,,"MISS 3PTR by TORRES,JADEN",,,"MISS 3PTR by TORRES,JADEN",1
--,"REBOUND DEF by JENEI,RYAN",,,,,,,"REBOUND DEF by JENEI,RYAN",1
15:00,"GOOD JUMPER by SMITH,BRENT",8,,11 (+3),,OGL-M 8-11 (+3),,"GOOD JUMPER by SMITH,BRENT",1
--,"ASSIST  by BENNIFIELD,DYLAN",,,,,,,"ASSIST  by BENNIFIELD,DYLAN",1
14:38,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",1
14:37,"STEAL  by JENEI,RYAN",,,,,,,"STEAL  by JENEI,RYAN",1
14:34,"GOOD LAYUP by JAMES,JORDAN(in the paint)",10,,11 (+1),,OGL-M 10-11 (+1),,"GOOD LAYUP by JAMES,JORDAN(in the paint)",1
--,"ASSIST  by JENEI,RYAN",,,,,,,"ASSIST  by JENEI,RYAN",1
14:17,,,,,"MISS LAYUP by DEITHLOFF,TYLER",,,"MISS LAYUP by DEITHLOFF,TYLER",1
--,"REBOUND DEF by JENEI,RYAN",,,,,,,"REBOUND DEF by JENEI,RYAN",1
14:01,"MISS LAYUP by SMITH,BRENT",,,,,,,"MISS LAYUP by SMITH,BRENT",1
--,"REBOUND OFF by JAMES,JORDAN",,,,,,,"REBOUND OFF by JAMES,JORDAN",1
13:58,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",1
13:58,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
13:58,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",1
13:58,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
13:56,"MISS JUMPER by SMITH,BRENT",,,,,,,"MISS JUMPER by SMITH,BRENT",1
--,,,,,"REBOUND DEF by TORRES,JADEN",,,"REBOUND DEF by TORRES,JADEN",1
