Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
16:07,,,,,"STEAL  by DICK,TRISTAN",,,"STEAL  by DICK,TRISTAN",1
15:57,,,,,"TURNOVER  by RENNIE,JACKSON",,,"TURNOVER  by RENNIE,JACKSON",1
15:56,,,,,"SUB IN by GETENET,KIDUS",,,"SUB IN by GETENET,KIDUS",1
15:56,,,,,"SUB IN by KING,REX",,,"SUB IN by KING,REX",1
15:56,,,,,"SUB IN by WILLIAMS,NATE",,,"SUB IN by WILLIAMS,NATE",1
15:56,,,,,"SUB OUT by JR,JASON JONES",,,"SUB OUT by JR,JASON JONES",1
15:56,,,,,"SUB OUT by RENNIE,JACKSON",,,"SUB OUT by RENNIE,JACKSON",1
15:56,,,,,"SUB OUT by DICK,TRISTAN",,,"SUB OUT by DICK,TRISTAN",1
15:46,"MISS LAYUP by BERRY,COLTEN",,,,,,,"MISS LAYUP by BERRY,COLTEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:33,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
15:21,,4,,7 (+3),"GOOD LAYUP by WILLIAMS,NATE(in the paint)",AC 4-7 (-3),,"GOOD LAYUP by WILLIAMS,NATE(in the paint)",1
--,,,,,"ASSIST  by HUDGINS,JORDAN",,,"ASSIST  by HUDGINS,JORDAN",1
15:05,"MISS JUMPER by RYAN,JONATHAN",,,,,,,"MISS JUMPER by RYAN,JONATHAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:02,"SUB IN by KAMANGA,JEFFREY",,,,,,,"SUB IN by KAMANGA,JEFFREY",1
15:02,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
14:38,,,,,"MISS JUMPER by JOE,JOSHUA",,,"MISS JUMPER by JOE,JOSHUA",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
14:24,"GOOD 3PTR by RYAN,JONATHAN",7,,7,,HC 7-7 (0),,"GOOD 3PTR by RYAN,JONATHAN",1
--,"ASSIST  by KAMANGA,JEFFREY",,,,,,,"ASSIST  by KAMANGA,JEFFREY",1
14:08,,,,,"MISS 3PTR by JOE,JOSHUA",,,"MISS 3PTR by JOE,JOSHUA",1
--,"REBOUND DEF by KAMANGA,JEFFREY",,,,,,,"REBOUND DEF by KAMANGA,JEFFREY",1
14:07,,,,,"FOUL  by KING,REX",,,"FOUL  by KING,REX",1
14:07,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",1
14:07,"SUB OUT by COLLIER,CRAIG",,,,,,,"SUB OUT by COLLIER,CRAIG",1
14:07,,,,,"SUB IN by ANTOSCA,CHASE",,,"SUB IN by ANTOSCA,CHASE",1
14:07,,,,,"SUB OUT by JOE,JOSHUA",,,"SUB OUT by JOE,JOSHUA",1
13:41,"TURNOVER  by WEAVER,BRADEN",,,,,,,"TURNOVER  by WEAVER,BRADEN",1
13:40,,,,,"STEAL  by WILLIAMS,NATE",,,"STEAL  by WILLIAMS,NATE",1
13:33,,7,,10 (+3),"GOOD 3PTR by WILLIAMS,NATE",AC 7-10 (-3),,"GOOD 3PTR by WILLIAMS,NATE",1
--,,,,,"ASSIST  by GETENET,KIDUS",,,"ASSIST  by GETENET,KIDUS",1
13:18,"MISS 3PTR by WEAVER,BRADEN",,,,,,,"MISS 3PTR by WEAVER,BRADEN",1
--,,,,,"REBOUND DEF by WILLIAMS,NATE",,,"REBOUND DEF by WILLIAMS,NATE",1
13:01,,7,,12 (+5),"GOOD JUMPER by KING,REX(in the paint)",AC 7-12 (-5),,"GOOD JUMPER by KING,REX(in the paint)",1
--,,,,,"ASSIST  by ANTOSCA,CHASE",,,"ASSIST  by ANTOSCA,CHASE",1
12:48,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",9,,12 (+3),,HC 9-12 (-3),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
12:24,"FOUL  by WEAVER,BRADEN",,,,,,,"FOUL  by WEAVER,BRADEN",1
12:24,"SUB IN by MAYO,DREW",,,,,,,"SUB IN by MAYO,DREW",1
12:24,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
12:05,,9,,14 (+5),"GOOD LAYUP by WILLIAMS,NATE(in the paint)",AC 9-14 (-5),,"GOOD LAYUP by WILLIAMS,NATE(in the paint)",1
--,,,,,"ASSIST  by HUDGINS,JORDAN",,,"ASSIST  by HUDGINS,JORDAN",1
11:39,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND OFF by WEAVER,BRADEN",,,,,,,"REBOUND OFF by WEAVER,BRADEN",1
11:35,"MISS LAYUP by WEAVER,BRADEN",,,,,,,"MISS LAYUP by WEAVER,BRADEN",1
--,,,,,"REBOUND DEF by GETENET,KIDUS",,,"REBOUND DEF by GETENET,KIDUS",1
11:27,"FOUL  by KAMANGA,JEFFREY",,,,,,,"FOUL  by KAMANGA,JEFFREY",1
11:27,,9,,15 (+6),"GOOD FT by ANTOSCA,CHASE",AC 9-15 (-6),,"GOOD FT by ANTOSCA,CHASE",1
11:27,,,,,"MISS FT by ANTOSCA,CHASE",,,"MISS FT by ANTOSCA,CHASE",1
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",1
11:27,"SUB IN by KRONENBERGER,BEAU",,,,,,,"SUB IN by KRONENBERGER,BEAU",1
11:27,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
11:27,,,,,"SUB IN by PEARCE,ETHAN",,,"SUB IN by PEARCE,ETHAN",1
11:27,,,,,"SUB OUT by GETENET,KIDUS",,,"SUB OUT by GETENET,KIDUS",1
11:19,"TURNOVER  by KRONENBERGER,BEAU",,,,,,,"TURNOVER  by KRONENBERGER,BEAU",1
11:19,,,,,"STEAL  by HUDGINS,JORDAN",,,"STEAL  by HUDGINS,JORDAN",1
11:17,,9,,17 (+8),"GOOD LAYUP by WILLIAMS,NATE(fastbreak)(in the paint)",AC 9-17 (-8),,"GOOD LAYUP by WILLIAMS,NATE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by HUDGINS,JORDAN",,,"ASSIST  by HUDGINS,JORDAN",1
11:01,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
10:51,,,,,"TURNOVER  by ANTOSCA,CHASE",,,"TURNOVER  by ANTOSCA,CHASE",1
10:51,"STEAL  by PARKS,JACKSON",,,,,,,"STEAL  by PARKS,JACKSON",1
10:25,"MISS JUMPER by PARKS,JACKSON",,,,,,,"MISS JUMPER by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by HUDGINS,JORDAN",,,"REBOUND DEF by HUDGINS,JORDAN",1
10:22,"FOUL TECH by PARKS,JACKSON",,,,,,,"FOUL TECH by PARKS,JACKSON",1
10:22,,9,,18 (+9),"GOOD FT by HUDGINS,JORDAN",AC 9-18 (-9),,"GOOD FT by HUDGINS,JORDAN",1
10:10,,,,,"MISS 3PTR by PEARCE,ETHAN",,,"MISS 3PTR by PEARCE,ETHAN",1
--,"REBOUND DEF by KAMANGA,JEFFREY",,,,,,,"REBOUND DEF by KAMANGA,JEFFREY",1
10:00,,,,,"FOUL  by PEARCE,ETHAN",,,"FOUL  by PEARCE,ETHAN",1
10:00,"MISS FT by MAYO,DREW",,,,,,,"MISS FT by MAYO,DREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:00,"GOOD FT by MAYO,DREW",10,,18 (+8),,HC 10-18 (-8),,"GOOD FT by MAYO,DREW",1
10:00,"SUB IN by COLLIER,CRAIG",,,,,,,"SUB IN by COLLIER,CRAIG",1
10:00,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",1
10:00,,,,,"SUB IN by DICK,TRISTAN",,,"SUB IN by DICK,TRISTAN",1
10:00,,,,,"SUB IN by JR,JASON JONES",,,"SUB IN by JR,JASON JONES",1
10:00,,,,,"SUB IN by LUERA,CHRISTIAN",,,"SUB IN by LUERA,CHRISTIAN",1
10:00,,,,,"SUB OUT by KING,REX",,,"SUB OUT by KING,REX",1
10:00,,,,,"SUB OUT by PEARCE,ETHAN",,,"SUB OUT by PEARCE,ETHAN",1
10:00,,,,,"SUB OUT by ANTOSCA,CHASE",,,"SUB OUT by ANTOSCA,CHASE",1
09:51,,,,,"MISS LAYUP by DICK,TRISTAN",,,"MISS LAYUP by DICK,TRISTAN",1
09:51,"BLOCK  by KAMANGA,JEFFREY",,,,,,,"BLOCK  by KAMANGA,JEFFREY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:46,,10,,20 (+10),"GOOD LAYUP by JR,JASON JONES(in the paint)",AC 10-20 (-10),,"GOOD LAYUP by JR,JASON JONES(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,NATE",,,"ASSIST  by WILLIAMS,NATE",1
09:35,"TURNOVER  by KRONENBERGER,BEAU",,,,,,,"TURNOVER  by KRONENBERGER,BEAU",1
09:33,,,,,"STEAL  by JR,JASON JONES",,,"STEAL  by JR,JASON JONES",1
09:25,,10,,22 (+12),"GOOD LAYUP by HUDGINS,JORDAN(in the paint)",AC 10-22 (-12),,"GOOD LAYUP by HUDGINS,JORDAN(in the paint)",1
--,,,,,"ASSIST  by DICK,TRISTAN",,,"ASSIST  by DICK,TRISTAN",1
09:10,,,,,"FOUL  by DICK,TRISTAN",,,"FOUL  by DICK,TRISTAN",1
09:10,"SUB IN by SQUIRES,CALEB",,,,,,,"SUB IN by SQUIRES,CALEB",1
09:10,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
09:10,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",1
09:10,"SUB OUT by KAMANGA,JEFFREY",,,,,,,"SUB OUT by KAMANGA,JEFFREY",1
09:10,"SUB OUT by KRONENBERGER,BEAU",,,,,,,"SUB OUT by KRONENBERGER,BEAU",1
09:10,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
09:09,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",12,,22 (+10),,HC 12-22 (-10),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
--,"ASSIST  by COLLIER,CRAIG",,,,,,,"ASSIST  by COLLIER,CRAIG",1
08:54,,,,,"MISS 3PTR by WILLIAMS,NATE",,,"MISS 3PTR by WILLIAMS,NATE",1
--,"REBOUND DEF by MAYO,DREW",,,,,,,"REBOUND DEF by MAYO,DREW",1
08:45,"GOOD 3PTR by SQUIRES,CALEB",15,,22 (+7),,HC 15-22 (-7),,"GOOD 3PTR by SQUIRES,CALEB",1
--,"ASSIST  by MAYO,DREW",,,,,,,"ASSIST  by MAYO,DREW",1
08:20,,,,,"MISS LAYUP by JR,JASON JONES",,,"MISS LAYUP by JR,JASON JONES",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
08:02,"MISS 3PTR by SQUIRES,CALEB",,,,,,,"MISS 3PTR by SQUIRES,CALEB",1
--,,,,,"REBOUND DEF by LUERA,CHRISTIAN",,,"REBOUND DEF by LUERA,CHRISTIAN",1
07:55,,15,,24 (+9),"GOOD LAYUP by HUDGINS,JORDAN(fastbreak)(in the paint)",AC 15-24 (-9),,"GOOD LAYUP by HUDGINS,JORDAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LUERA,CHRISTIAN",,,"ASSIST  by LUERA,CHRISTIAN",1
07:41,"MISS 3PTR by COLLIER,CRAIG",,,,,,,"MISS 3PTR by COLLIER,CRAIG",1
--,"REBOUND OFF by BERRY,COLTEN",,,,,,,"REBOUND OFF by BERRY,COLTEN",1
07:37,"MISS LAYUP by BERRY,COLTEN",,,,,,,"MISS LAYUP by BERRY,COLTEN",1
07:37,,,,,"BLOCK  by HUDGINS,JORDAN",,,"BLOCK  by HUDGINS,JORDAN",1
--,,,,,"REBOUND DEF by JR,JASON JONES",,,"REBOUND DEF by JR,JASON JONES",1
07:19,,,,,"MISS 3PTR by WILLIAMS,NATE",,,"MISS 3PTR by WILLIAMS,NATE",1
--,"REBOUND DEF by COLLIER,CRAIG",,,,,,,"REBOUND DEF by COLLIER,CRAIG",1
07:12,"MISS LAYUP by COLLIER,CRAIG",,,,,,,"MISS LAYUP by COLLIER,CRAIG",1
07:12,,,,,"BLOCK  by LUERA,CHRISTIAN",,,"BLOCK  by LUERA,CHRISTIAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:11,"SUB IN by RYAN,GRAYSON",,,,,,,"SUB IN by RYAN,GRAYSON",1
07:11,"SUB OUT by MAYO,DREW",,,,,,,"SUB OUT by MAYO,DREW",1
07:11,,,,,"SUB IN by RENNIE,JACKSON",,,"SUB IN by RENNIE,JACKSON",1
07:11,,,,,"SUB OUT by WILLIAMS,NATE",,,"SUB OUT by WILLIAMS,NATE",1
06:54,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",1
06:53,,,,,"STEAL  by JR,JASON JONES",,,"STEAL  by JR,JASON JONES",1
06:50,,15,,26 (+11),"GOOD DUNK by JR,JASON JONES(fastbreak)(in the paint)",AC 15-26 (-11),,"GOOD DUNK by JR,JASON JONES(fastbreak)(in the paint)",1
06:39,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
06:39,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",1
06:39,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
06:39,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
06:29,,,,,"MISS 3PTR by JR,JASON JONES",,,"MISS 3PTR by JR,JASON JONES",1
--,,,,,"REBOUND OFF by HUDGINS,JORDAN",,,"REBOUND OFF by HUDGINS,JORDAN",1
06:19,,15,,28 (+13),"GOOD LAYUP by JR,JASON JONES(in the paint)",AC 15-28 (-13),,"GOOD LAYUP by JR,JASON JONES(in the paint)",1
--,,,,,"ASSIST  by LUERA,CHRISTIAN",,,"ASSIST  by LUERA,CHRISTIAN",1
06:05,"GOOD 3PTR by COLLIER,CRAIG",18,,28 (+10),,HC 18-28 (-10),,"GOOD 3PTR by COLLIER,CRAIG",1
--,"ASSIST  by SQUIRES,CALEB",,,,,,,"ASSIST  by SQUIRES,CALEB",1
05:56,,,,,"TURNOVER  by DICK,TRISTAN",,,"TURNOVER  by DICK,TRISTAN",1
05:55,"STEAL  by SQUIRES,CALEB",,,,,,,"STEAL  by SQUIRES,CALEB",1
05:53,"GOOD LAYUP by SQUIRES,CALEB(fastbreak)(in the paint)",20,,28 (+8),,HC 20-28 (-8),,"GOOD LAYUP by SQUIRES,CALEB(fastbreak)(in the paint)",1
05:52,,,,,"FOUL  by JR,JASON JONES",,,"FOUL  by JR,JASON JONES",1
05:52,"GOOD FT by SQUIRES,CALEB",21,,28 (+7),,HC 21-28 (-7),,"GOOD FT by SQUIRES,CALEB",1
05:52,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
05:52,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",1
05:52,,,,,"SUB IN by GETENET,KIDUS",,,"SUB IN by GETENET,KIDUS",1
05:52,,,,,"SUB OUT by DICK,TRISTAN",,,"SUB OUT by DICK,TRISTAN",1
05:38,,,,,"MISS 3PTR by LUERA,CHRISTIAN",,,"MISS 3PTR by LUERA,CHRISTIAN",1
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1
05:27,"MISS 3PTR by RYAN,JONATHAN",,,,,,,"MISS 3PTR by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by GETENET,KIDUS",,,"REBOUND DEF by GETENET,KIDUS",1
05:15,,,,,"MISS 3PTR by RENNIE,JACKSON",,,"MISS 3PTR by RENNIE,JACKSON",1
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",1
04:56,"TURNOVER  by COLLIER,CRAIG",,,,,,,"TURNOVER  by COLLIER,CRAIG",1
04:56,,,,,"SUB IN by JOE,JOSHUA",,,"SUB IN by JOE,JOSHUA",1
04:56,,,,,"SUB OUT by LUERA,CHRISTIAN",,,"SUB OUT by LUERA,CHRISTIAN",1
04:44,,,,,"MISS 3PTR by GETENET,KIDUS",,,"MISS 3PTR by GETENET,KIDUS",1
--,,,,,"REBOUND OFF by HUDGINS,JORDAN",,,"REBOUND OFF by HUDGINS,JORDAN",1
04:42,,21,,30 (+9),"GOOD JUMPER by HUDGINS,JORDAN(in the paint)",AC 21-30 (-9),,"GOOD JUMPER by HUDGINS,JORDAN(in the paint)",1
04:42,"FOUL  by RYAN,JONATHAN",,,,,,,"FOUL  by RYAN,JONATHAN",1
04:42,,21,,31 (+10),"GOOD FT by HUDGINS,JORDAN",AC 21-31 (-10),,"GOOD FT by HUDGINS,JORDAN",1
04:42,"SUB IN by MAYO,DREW",,,,,,,"SUB IN by MAYO,DREW",1
04:42,"SUB OUT by RYAN,GRAYSON",,,,,,,"SUB OUT by RYAN,GRAYSON",1
04:42,,,,,"SUB IN by PEARCE,ETHAN",,,"SUB IN by PEARCE,ETHAN",1
04:42,,,,,"SUB OUT by HUDGINS,JORDAN",,,"SUB OUT by HUDGINS,JORDAN",1
04:25,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",1
04:15,,,,,"MISS JUMPER by RENNIE,JACKSON",,,"MISS JUMPER by RENNIE,JACKSON",1
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1
03:45,"MISS 3PTR by COLLIER,CRAIG",,,,,,,"MISS 3PTR by COLLIER,CRAIG",1
--,,,,,"REBOUND DEF by JOE,JOSHUA",,,"REBOUND DEF by JOE,JOSHUA",1
03:42,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",1
03:42,,21,,32 (+11),"GOOD FT by JOE,JOSHUA",AC 21-32 (-11),,"GOOD FT by JOE,JOSHUA",1
03:42,,21,,33 (+12),"GOOD FT by JOE,JOSHUA",AC 21-33 (-12),,"GOOD FT by JOE,JOSHUA",1
03:42,,,,,"SUB IN by ANTOSCA,CHASE",,,"SUB IN by ANTOSCA,CHASE",1
03:42,,,,,"SUB OUT by JOE,JOSHUA",,,"SUB OUT by JOE,JOSHUA",1
03:37,"SUB IN by KAMANGA,JEFFREY",,,,,,,"SUB IN by KAMANGA,JEFFREY",1
03:37,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
03:30,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",23,,33 (+10),,HC 23-33 (-10),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",1
03:07,,,,,"MISS LAYUP by JR,JASON JONES",,,"MISS LAYUP by JR,JASON JONES",1
--,"REBOUND DEF by KAMANGA,JEFFREY",,,,,,,"REBOUND DEF by KAMANGA,JEFFREY",1
03:04,,,,,"SUB IN by JOE,JOSHUA",,,"SUB IN by JOE,JOSHUA",1
03:04,,,,,"SUB OUT by GETENET,KIDUS",,,"SUB OUT by GETENET,KIDUS",1
03:01,"GOOD JUMPER by COLLIER,CRAIG(in the paint)",25,,33 (+8),,HC 25-33 (-8),,"GOOD JUMPER by COLLIER,CRAIG(in the paint)",1
02:52,,,,,"MISS LAYUP by ANTOSCA,CHASE",,,"MISS LAYUP by ANTOSCA,CHASE",1
--,,,,,"REBOUND OFF by PEARCE,ETHAN",,,"REBOUND OFF by PEARCE,ETHAN",1
02:48,,25,,35 (+10),"GOOD LAYUP by PEARCE,ETHAN(in the paint)",AC 25-35 (-10),,"GOOD LAYUP by PEARCE,ETHAN(in the paint)",1
02:44,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",1
02:44,,,,,"STEAL  by JR,JASON JONES",,,"STEAL  by JR,JASON JONES",1
02:42,,25,,37 (+12),"GOOD DUNK by JR,JASON JONES(fastbreak)(in the paint)",AC 25-37 (-12),,"GOOD DUNK by JR,JASON JONES(fastbreak)(in the paint)",1
02:37,"GOOD LAYUP by KAMANGA,JEFFREY(fastbreak)(in the paint)",27,,37 (+10),,HC 27-37 (-10),,"GOOD LAYUP by KAMANGA,JEFFREY(fastbreak)(in the paint)",1
--,"ASSIST  by RYAN,JONATHAN",,,,,,,"ASSIST  by RYAN,JONATHAN",1
02:22,,,,,"MISS 3PTR by RENNIE,JACKSON",,,"MISS 3PTR by RENNIE,JACKSON",1
--,"REBOUND DEF by COLLIER,CRAIG",,,,,,,"REBOUND DEF by COLLIER,CRAIG",1
02:10,,,,,"FOUL  by PEARCE,ETHAN",,,"FOUL  by PEARCE,ETHAN",1
02:10,"MISS FT by RYAN,JONATHAN",,,,,,,"MISS FT by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by JOE,JOSHUA",,,"REBOUND DEF by JOE,JOSHUA",1
02:10,,,,,"SUB IN by HUDGINS,JORDAN",,,"SUB IN by HUDGINS,JORDAN",1
02:10,,,,,"SUB IN by DICK,TRISTAN",,,"SUB IN by DICK,TRISTAN",1
02:10,,,,,"SUB OUT by JR,JASON JONES",,,"SUB OUT by JR,JASON JONES",1
02:10,,,,,"SUB OUT by PEARCE,ETHAN",,,"SUB OUT by PEARCE,ETHAN",1
02:01,,,,,"TURNOVER  by ANTOSCA,CHASE",,,"TURNOVER  by ANTOSCA,CHASE",1
02:00,"STEAL  by COLLIER,CRAIG",,,,,,,"STEAL  by COLLIER,CRAIG",1
01:57,"GOOD LAYUP by COLLIER,CRAIG(fastbreak)(in the paint)",29,,37 (+8),,HC 29-37 (-8),,"GOOD LAYUP by COLLIER,CRAIG(fastbreak)(in the paint)",1
01:50,,,,,"MISS LAYUP by JOE,JOSHUA",,,"MISS LAYUP by JOE,JOSHUA",1
01:50,"BLOCK  by KAMANGA,JEFFREY",,,,,,,"BLOCK  by KAMANGA,JEFFREY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:31,,29,,39 (+10),"GOOD JUMPER by ANTOSCA,CHASE",AC 29-39 (-10),,"GOOD JUMPER by ANTOSCA,CHASE",1
01:11,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",1
01:10,,,,,"STEAL  by ANTOSCA,CHASE",,,"STEAL  by ANTOSCA,CHASE",1
