Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,UO,Game Score,Team Indicator,Play,Period
17:39,,,,,"MISS JUMPER by JACKSON,TYLAN(in the paint)",,,"MISS JUMPER by JACKSON,TYLAN(in the paint)",1
17:39,"BLOCK  by BERRY,COLTEN",,,,,,,"BLOCK  by BERRY,COLTEN",1
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1
17:25,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",4 (+2),,2,,Hend 4-2 (+2),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",1
17:12,,,,,"MISS LAYUP by POWELL,KYRON(in the paint)",,,"MISS LAYUP by POWELL,KYRON(in the paint)",1
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",1
17:02,"MISS 3PTR by KRONENBERGER,BEAU",,,,,,,"MISS 3PTR by KRONENBERGER,BEAU",1
--,,,,,"REBOUND DEF by POWELL,KYRON",,,"REBOUND DEF by POWELL,KYRON",1
16:52,,4,,4,"GOOD LAYUP by JACKSON,TYLAN(in the paint)",UO 4-4 (0),,"GOOD LAYUP by JACKSON,TYLAN(in the paint)",1
--,,,,,"ASSIST  by UKPE,JOSH",,,"ASSIST  by UKPE,JOSH",1
16:52,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",1
16:52,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
16:52,"SUB IN by INGRAM,KYLE",,,,,,,"SUB IN by INGRAM,KYLE",1
16:52,,4,,5 (+1),"GOOD FT by JACKSON,TYLAN",UO 4-5 (-1),,"GOOD FT by JACKSON,TYLAN",1
16:40,"TURNOVER  by SQUIRES,CALEB",,,,,,,"TURNOVER  by SQUIRES,CALEB",1
16:40,,,,,"STEAL  by TABE,SEPHFAN",,,"STEAL  by TABE,SEPHFAN",1
16:32,,4,,7 (+3),"GOOD LAYUP by TABE,SEPHFAN(in the paint)",UO 4-7 (-3),,"GOOD LAYUP by TABE,SEPHFAN(in the paint)",1
16:15,"MISS JUMPER by RYAN,JONATHAN(in the paint)",,,,,,,"MISS JUMPER by RYAN,JONATHAN(in the paint)",1
--,,,,,"REBOUND DEF by JACKSON,TYLAN",,,"REBOUND DEF by JACKSON,TYLAN",1
16:04,,,,,"MISS JUMPER by JACKSON,TYLAN(in the paint)",,,"MISS JUMPER by JACKSON,TYLAN(in the paint)",1
16:04,"BLOCK  by INGRAM,KYLE",,,,,,,"BLOCK  by INGRAM,KYLE",1
--,"REBOUND DEF by INGRAM,KYLE",,,,,,,"REBOUND DEF by INGRAM,KYLE",1
15:56,"GOOD LAYUP by RYAN,JONATHAN(fastbreak)(in the paint)",6,,7 (+1),,Hend 6-7 (-1),,"GOOD LAYUP by RYAN,JONATHAN(fastbreak)(in the paint)",1
15:40,,,,,"MISS LAYUP by NIX,GRAYSON(in the paint)",,,"MISS LAYUP by NIX,GRAYSON(in the paint)",1
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",1
15:31,"MISS 3PTR by RYAN,JONATHAN",,,,,,,"MISS 3PTR by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by TABE,SEPHFAN",,,"REBOUND DEF by TABE,SEPHFAN",1
15:22,,,,,"MISS 3PTR by UKPE,JOSH",,,"MISS 3PTR by UKPE,JOSH",1
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",1
15:04,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",1
15:04,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:04,,,,,"SUB OUT by POWELL,KYRON",,,"SUB OUT by POWELL,KYRON",1
15:04,,,,,"SUB OUT by NIX,GRAYSON",,,"SUB OUT by NIX,GRAYSON",1
15:04,,,,,"SUB OUT by JACKSON,TYLAN",,,"SUB OUT by JACKSON,TYLAN",1
15:04,,,,,"SUB IN by ROELKE,KAMREN",,,"SUB IN by ROELKE,KAMREN",1
15:04,,,,,"SUB IN by ELDRIDGE,TIM",,,"SUB IN by ELDRIDGE,TIM",1
15:04,,,,,"SUB IN by CHEATER,DILLON",,,"SUB IN by CHEATER,DILLON",1
15:04,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
15:04,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",1
15:04,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",1
15:04,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
14:53,,6,,9 (+3),"GOOD LAYUP by CHEATER,DILLON(in the paint)",UO 6-9 (-3),,"GOOD LAYUP by CHEATER,DILLON(in the paint)",1
--,,,,,"ASSIST  by ELDRIDGE,TIM",,,"ASSIST  by ELDRIDGE,TIM",1
14:30,,,,,"FOUL  by ELDRIDGE,TIM",,,"FOUL  by ELDRIDGE,TIM",1
14:30,"GOOD FT by INGRAM,KYLE",7,,9 (+2),,Hend 7-9 (-2),,"GOOD FT by INGRAM,KYLE",1
14:30,"SUB OUT by KRONENBERGER,BEAU",,,,,,,"SUB OUT by KRONENBERGER,BEAU",1
14:30,"SUB IN by MAYO,DREW",,,,,,,"SUB IN by MAYO,DREW",1
14:30,"GOOD FT by INGRAM,KYLE",8,,9 (+1),,Hend 8-9 (-1),,"GOOD FT by INGRAM,KYLE",1
14:16,,8,,11 (+3),"GOOD LAYUP by TABE,SEPHFAN(in the paint)",UO 8-11 (-3),,"GOOD LAYUP by TABE,SEPHFAN(in the paint)",1
--,,,,,"ASSIST  by ELDRIDGE,TIM",,,"ASSIST  by ELDRIDGE,TIM",1
13:43,"MISS LAYUP by INGRAM,KYLE(in the paint)",,,,,,,"MISS LAYUP by INGRAM,KYLE(in the paint)",1
--,,,,,"REBOUND DEF by UKPE,JOSH",,,"REBOUND DEF by UKPE,JOSH",1
13:28,"FOUL  by WEAVER,BRADEN",,,,,,,"FOUL  by WEAVER,BRADEN",1
13:28,,8,,12 (+4),"GOOD FT by TABE,SEPHFAN",UO 8-12 (-4),,"GOOD FT by TABE,SEPHFAN",1
13:28,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
13:28,"SUB IN by COLLIER II,CRAIG",,,,,,,"SUB IN by COLLIER II,CRAIG",1
13:28,,,,,"MISS FT by TABE,SEPHFAN",,,"MISS FT by TABE,SEPHFAN",1
--,,,,,"REBOUND OFF by UKPE,JOSH",,,"REBOUND OFF by UKPE,JOSH",1
13:26,,8,,14 (+6),"GOOD LAYUP by UKPE,JOSH(in the paint)",UO 8-14 (-6),,"GOOD LAYUP by UKPE,JOSH(in the paint)",1
13:04,"GOOD JUMPER by INGRAM,KYLE",10,,14 (+4),,Hend 10-14 (-4),,"GOOD JUMPER by INGRAM,KYLE",1
--,"ASSIST  by WEAVER,BRADEN",,,,,,,"ASSIST  by WEAVER,BRADEN",1
12:44,,10,,16 (+6),"GOOD LAYUP by ELDRIDGE,TIM(in the paint)",UO 10-16 (-6),,"GOOD LAYUP by ELDRIDGE,TIM(in the paint)",1
12:22,"TURNOVER  by INGRAM,KYLE",,,,,,,"TURNOVER  by INGRAM,KYLE",1
12:22,,,,,"STEAL  by ROELKE,KAMREN",,,"STEAL  by ROELKE,KAMREN",1
12:16,,10,,19 (+9),"GOOD 3PTR by CHEATER,DILLON(fastbreak)",UO 10-19 (-9),,"GOOD 3PTR by CHEATER,DILLON(fastbreak)",1
--,,,,,"ASSIST  by ROELKE,KAMREN",,,"ASSIST  by ROELKE,KAMREN",1
11:58,"MISS 3PTR by WEAVER,BRADEN",,,,,,,"MISS 3PTR by WEAVER,BRADEN",1
--,,,,,"REBOUND DEF by ELDRIDGE,TIM",,,"REBOUND DEF by ELDRIDGE,TIM",1
11:50,,,,,"MISS JUMPER by ELDRIDGE,TIM",,,"MISS JUMPER by ELDRIDGE,TIM",1
--,"REBOUND DEF by INGRAM,KYLE",,,,,,,"REBOUND DEF by INGRAM,KYLE",1
11:42,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by UKPE,JOSH",,,"REBOUND DEF by UKPE,JOSH",1
11:17,,,,,"MISS 3PTR by UKPE,JOSH",,,"MISS 3PTR by UKPE,JOSH",1
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",1
10:52,"GOOD JUMPER by MCMULLIN,COLTON",12,,19 (+7),,Hend 12-19 (-7),,"GOOD JUMPER by MCMULLIN,COLTON",1
10:41,,,,,"MISS 3PTR by TABE,SEPHFAN",,,"MISS 3PTR by TABE,SEPHFAN",1
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",1
10:33,"MISS 3PTR by MAYO,DREW",,,,,,,"MISS 3PTR by MAYO,DREW",1
--,,,,,"REBOUND DEF by TABE,SEPHFAN",,,"REBOUND DEF by TABE,SEPHFAN",1
10:26,,,,,"TURNOVER  by TABE,SEPHFAN",,,"TURNOVER  by TABE,SEPHFAN",1
10:26,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:26,,,,,"SUB OUT by UKPE,JOSH",,,"SUB OUT by UKPE,JOSH",1
10:26,,,,,"SUB OUT by TABE,SEPHFAN",,,"SUB OUT by TABE,SEPHFAN",1
10:26,,,,,"SUB IN by NIX,GRAYSON",,,"SUB IN by NIX,GRAYSON",1
10:26,,,,,"SUB IN by LOPEZ,ADAM",,,"SUB IN by LOPEZ,ADAM",1
10:26,"SUB OUT by MAYO,DREW",,,,,,,"SUB OUT by MAYO,DREW",1
10:26,"SUB OUT by INGRAM,KYLE",,,,,,,"SUB OUT by INGRAM,KYLE",1
10:26,"SUB IN by KRONENBERGER,BEAU",,,,,,,"SUB IN by KRONENBERGER,BEAU",1
10:26,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",1
10:15,"GOOD JUMPER by COLLIER II,CRAIG",14,,19 (+5),,Hend 14-19 (-5),,"GOOD JUMPER by COLLIER II,CRAIG",1
09:59,,14,,22 (+8),"GOOD 3PTR by ROELKE,KAMREN",UO 14-22 (-8),,"GOOD 3PTR by ROELKE,KAMREN",1
09:42,,,,,"FOUL  by ROELKE,KAMREN",,,"FOUL  by ROELKE,KAMREN",1
09:42,"GOOD FT by MCMULLIN,COLTON",15,,22 (+7),,Hend 15-22 (-7),,"GOOD FT by MCMULLIN,COLTON",1
09:42,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",1
09:42,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
09:42,"MISS FT by MCMULLIN,COLTON",,,,,,,"MISS FT by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by LOPEZ,ADAM",,,"REBOUND DEF by LOPEZ,ADAM",1
09:15,,,,,"TURNOVER  by ELDRIDGE,TIM",,,"TURNOVER  by ELDRIDGE,TIM",1
09:15,,,,,"SUB OUT by LOPEZ,ADAM",,,"SUB OUT by LOPEZ,ADAM",1
09:15,,,,,"SUB IN by JACKSON,TYLAN",,,"SUB IN by JACKSON,TYLAN",1
09:02,"MISS LAYUP by COLLIER II,CRAIG(in the paint)",,,,,,,"MISS LAYUP by COLLIER II,CRAIG(in the paint)",1
--,"REBOUND OFF by BERRY,COLTEN",,,,,,,"REBOUND OFF by BERRY,COLTEN",1
08:58,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
08:50,,15,,24 (+9),"GOOD DUNK by JACKSON,TYLAN(fastbreak)(in the paint)",UO 15-24 (-9),,"GOOD DUNK by JACKSON,TYLAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ROELKE,KAMREN",,,"ASSIST  by ROELKE,KAMREN",1
08:38,"GOOD 3PTR by KRONENBERGER,BEAU",18,,24 (+6),,Hend 18-24 (-6),,"GOOD 3PTR by KRONENBERGER,BEAU",1
08:28,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",1
08:28,,,,,"SUB OUT by ROELKE,KAMREN",,,"SUB OUT by ROELKE,KAMREN",1
08:28,,,,,"SUB OUT by CHEATER,DILLON",,,"SUB OUT by CHEATER,DILLON",1
08:28,,,,,"SUB IN by UKPE,JOSH",,,"SUB IN by UKPE,JOSH",1
08:28,,,,,"SUB IN by TABE,SEPHFAN",,,"SUB IN by TABE,SEPHFAN",1
08:19,,,,,"MISS 3PTR by ELDRIDGE,TIM",,,"MISS 3PTR by ELDRIDGE,TIM",1
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1
08:07,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
08:07,,,,,"STEAL  by JACKSON,TYLAN",,,"STEAL  by JACKSON,TYLAN",1
07:58,,18,,26 (+8),"GOOD LAYUP by JACKSON,TYLAN(in the paint)",UO 18-26 (-8),,"GOOD LAYUP by JACKSON,TYLAN(in the paint)",1
--,,,,,"ASSIST  by UKPE,JOSH",,,"ASSIST  by UKPE,JOSH",1
07:43,"MISS LAYUP by BERRY,COLTEN(in the paint)",,,,,,,"MISS LAYUP by BERRY,COLTEN(in the paint)",1
--,,,,,"REBOUND DEF by UKPE,JOSH",,,"REBOUND DEF by UKPE,JOSH",1
07:38,,,,,"MISS LAYUP by JACKSON,TYLAN(in the paint)",,,"MISS LAYUP by JACKSON,TYLAN(in the paint)",1
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",1
07:23,"MISS JUMPER by COLLIER II,CRAIG",,,,,,,"MISS JUMPER by COLLIER II,CRAIG",1
--,,,,,"REBOUND DEF by ELDRIDGE,TIM",,,"REBOUND DEF by ELDRIDGE,TIM",1
07:16,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
07:16,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
07:08,,,,,"MISS 3PTR by UKPE,JOSH",,,"MISS 3PTR by UKPE,JOSH",1
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",1
06:44,"MISS 3PTR by RYAN,JONATHAN",,,,,,,"MISS 3PTR by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by UKPE,JOSH",,,"REBOUND DEF by UKPE,JOSH",1
06:38,,,,,"TURNOVER  by NIX,GRAYSON",,,"TURNOVER  by NIX,GRAYSON",1
06:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:38,,,,,"SUB OUT by ELDRIDGE,TIM",,,"SUB OUT by ELDRIDGE,TIM",1
06:38,,,,,"SUB IN by POWELL,KYRON",,,"SUB IN by POWELL,KYRON",1
06:38,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
06:38,"SUB IN by INGRAM,KYLE",,,,,,,"SUB IN by INGRAM,KYLE",1
06:25,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
06:07,,,,,"MISS JUMPER by NIX,GRAYSON",,,"MISS JUMPER by NIX,GRAYSON",1
--,"REBOUND DEF by COLLIER II,CRAIG",,,,,,,"REBOUND DEF by COLLIER II,CRAIG",1
05:52,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
05:38,,18,,29 (+11),"GOOD 3PTR by JACKSON,TYLAN",UO 18-29 (-11),,"GOOD 3PTR by JACKSON,TYLAN",1
--,,,,,"ASSIST  by NIX,GRAYSON",,,"ASSIST  by NIX,GRAYSON",1
05:23,"GOOD JUMPER by COLLIER II,CRAIG(in the paint)",20,,29 (+9),,Hend 20-29 (-9),,"GOOD JUMPER by COLLIER II,CRAIG(in the paint)",1
05:03,"FOUL  by KRONENBERGER,BEAU",,,,,,,"FOUL  by KRONENBERGER,BEAU",1
05:03,,,,,"MISS FT by TABE,SEPHFAN",,,"MISS FT by TABE,SEPHFAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:03,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
05:03,"SUB IN by SQUIRES,CALEB",,,,,,,"SUB IN by SQUIRES,CALEB",1
05:03,,,,,"MISS FT by TABE,SEPHFAN",,,"MISS FT by TABE,SEPHFAN",1
--,"REBOUND DEF by SQUIRES,CALEB",,,,,,,"REBOUND DEF by SQUIRES,CALEB",1
04:54,"MISS JUMPER by PARKS,JACKSON(in the paint)",,,,,,,"MISS JUMPER by PARKS,JACKSON(in the paint)",1
--,,,,,"REBOUND DEF by JACKSON,TYLAN",,,"REBOUND DEF by JACKSON,TYLAN",1
04:47,,,,,"MISS LAYUP by POWELL,KYRON(in the paint)",,,"MISS LAYUP by POWELL,KYRON(in the paint)",1
--,,,,,"REBOUND OFF by POWELL,KYRON",,,"REBOUND OFF by POWELL,KYRON",1
04:43,"FOUL  by KRONENBERGER,BEAU",,,,,,,"FOUL  by KRONENBERGER,BEAU",1
04:37,,,,,"MISS 3PTR by NIX,GRAYSON",,,"MISS 3PTR by NIX,GRAYSON",1
--,"REBOUND DEF by COLLIER II,CRAIG",,,,,,,"REBOUND DEF by COLLIER II,CRAIG",1
04:27,"TURNOVER  by COLLIER II,CRAIG",,,,,,,"TURNOVER  by COLLIER II,CRAIG",1
04:27,,,,,"STEAL  by UKPE,JOSH",,,"STEAL  by UKPE,JOSH",1
04:27,"SUB OUT by KRONENBERGER,BEAU",,,,,,,"SUB OUT by KRONENBERGER,BEAU",1
04:27,"SUB OUT by INGRAM,KYLE",,,,,,,"SUB OUT by INGRAM,KYLE",1
04:27,"SUB IN by MAYO,DREW",,,,,,,"SUB IN by MAYO,DREW",1
04:27,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",1
04:09,,20,,31 (+11),"GOOD DUNK by JACKSON,TYLAN(in the paint)",UO 20-31 (-11),,"GOOD DUNK by JACKSON,TYLAN(in the paint)",1
03:47,"GOOD JUMPER by COLLIER II,CRAIG(in the paint)",22,,31 (+9),,Hend 22-31 (-9),,"GOOD JUMPER by COLLIER II,CRAIG(in the paint)",1
03:31,,22,,33 (+11),"GOOD LAYUP by POWELL,KYRON(in the paint)",UO 22-33 (-11),,"GOOD LAYUP by POWELL,KYRON(in the paint)",1
03:21,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by UKPE,JOSH",,,"REBOUND DEF by UKPE,JOSH",1
02:59,,,,,"TURNOVER  by UKPE,JOSH",,,"TURNOVER  by UKPE,JOSH",1
02:59,"STEAL  by SQUIRES,CALEB",,,,,,,"STEAL  by SQUIRES,CALEB",1
02:50,"MISS 3PTR by MAYO,DREW",,,,,,,"MISS 3PTR by MAYO,DREW",1
--,,,,,"REBOUND DEF by JACKSON,TYLAN",,,"REBOUND DEF by JACKSON,TYLAN",1
02:40,,,,,"MISS 3PTR by POWELL,KYRON",,,"MISS 3PTR by POWELL,KYRON",1
--,"REBOUND DEF by MAYO,DREW",,,,,,,"REBOUND DEF by MAYO,DREW",1
02:22,"MISS 3PTR by COLLIER II,CRAIG",,,,,,,"MISS 3PTR by COLLIER II,CRAIG",1
--,,,,,"REBOUND DEF by TABE,SEPHFAN",,,"REBOUND DEF by TABE,SEPHFAN",1
02:01,,,,,"MISS LAYUP by JACKSON,TYLAN(in the paint)",,,"MISS LAYUP by JACKSON,TYLAN(in the paint)",1
--,,,,,"REBOUND OFF by JACKSON,TYLAN",,,"REBOUND OFF by JACKSON,TYLAN",1
01:55,,22,,35 (+13),"GOOD LAYUP by POWELL,KYRON(in the paint)",UO 22-35 (-13),,"GOOD LAYUP by POWELL,KYRON(in the paint)",1
01:55,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",1
01:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
01:55,,,,,"SUB OUT by UKPE,JOSH",,,"SUB OUT by UKPE,JOSH",1
01:55,,,,,"SUB OUT by TABE,SEPHFAN",,,"SUB OUT by TABE,SEPHFAN",1
01:55,,,,,"SUB IN by ELDRIDGE,TIM",,,"SUB IN by ELDRIDGE,TIM",1
01:55,,,,,"SUB IN by CHEATER,DILLON",,,"SUB IN by CHEATER,DILLON",1
01:55,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
01:55,"SUB OUT by COLLIER II,CRAIG",,,,,,,"SUB OUT by COLLIER II,CRAIG",1
01:55,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",1
01:55,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
01:55,,,,,"MISS FT by POWELL,KYRON",,,"MISS FT by POWELL,KYRON",1
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",1
01:41,"GOOD LAYUP by BERRY,COLTEN(in the paint)",24,,35 (+11),,Hend 24-35 (-11),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
--,"ASSIST  by WEAVER,BRADEN",,,,,,,"ASSIST  by WEAVER,BRADEN",1
01:15,,,,,"MISS 3PTR by ELDRIDGE,TIM",,,"MISS 3PTR by ELDRIDGE,TIM",1
--,"REBOUND DEF by SQUIRES,CALEB",,,,,,,"REBOUND DEF by SQUIRES,CALEB",1
01:07,,,,,"FOUL  by POWELL,KYRON",,,"FOUL  by POWELL,KYRON",1
00:59,"GOOD LAYUP by BERRY,COLTEN(in the paint)",26,,35 (+9),,Hend 26-35 (-9),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
--,"ASSIST  by MAYO,DREW",,,,,,,"ASSIST  by MAYO,DREW",1
00:59,,,,,"FOUL  by CHEATER,DILLON",,,"FOUL  by CHEATER,DILLON",1
00:59,,,,,"SUB OUT by CHEATER,DILLON",,,"SUB OUT by CHEATER,DILLON",1
00:59,,,,,"SUB IN by LOPEZ,ADAM",,,"SUB IN by LOPEZ,ADAM",1
00:59,"MISS FT by BERRY,COLTEN",,,,,,,"MISS FT by BERRY,COLTEN",1
--,,,,,"REBOUND DEF by JACKSON,TYLAN",,,"REBOUND DEF by JACKSON,TYLAN",1
00:38,,,,,"MISS JUMPER by JACKSON,TYLAN",,,"MISS JUMPER by JACKSON,TYLAN",1
--,"REBOUND DEF by MAYO,DREW",,,,,,,"REBOUND DEF by MAYO,DREW",1
00:27,,,,,"FOUL  by ELDRIDGE,TIM",,,"FOUL  by ELDRIDGE,TIM",1
00:27,"MISS FT by WEAVER,BRADEN",,,,,,,"MISS FT by WEAVER,BRADEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:27,,,,,"SUB OUT by ELDRIDGE,TIM",,,"SUB OUT by ELDRIDGE,TIM",1
00:27,,,,,"SUB IN by UKPE,JOSH",,,"SUB IN by UKPE,JOSH",1
00:27,"GOOD FT by WEAVER,BRADEN",27,,35 (+8),,Hend 27-35 (-8),,"GOOD FT by WEAVER,BRADEN",1
00:27,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",1
00:27,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
00:27,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
00:27,"SUB IN by CARLOS,MASON",,,,,,,"SUB IN by CARLOS,MASON",1
00:06,,,,,"TURNOVER  by UKPE,JOSH",,,"TURNOVER  by UKPE,JOSH",1
00:02,"MISS 3PTR by SQUIRES,CALEB",,,,,,,"MISS 3PTR by SQUIRES,CALEB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
20:00,,,,,"SUB OUT by LOPEZ,ADAM",,,"SUB OUT by LOPEZ,ADAM",2
20:00,,,,,"SUB IN by CHEATER,DILLON",,,"SUB IN by CHEATER,DILLON",2
20:00,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",2
20:00,"SUB OUT by CARLOS,MASON",,,,,,,"SUB OUT by CARLOS,MASON",2
20:00,"SUB OUT by MAYO,DREW",,,,,,,"SUB OUT by MAYO,DREW",2
20:00,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",2
20:00,"SUB IN by KRONENBERGER,BEAU",,,,,,,"SUB IN by KRONENBERGER,BEAU",2
20:00,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",2
19:35,"GOOD JUMPER by BERRY,COLTEN(in the paint)",29,,35 (+6),,Hend 29-35 (-6),,"GOOD JUMPER by BERRY,COLTEN(in the paint)",2
19:18,,,,,"MISS 3PTR by JACKSON,TYLAN",,,"MISS 3PTR by JACKSON,TYLAN",2
