Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,SUMB,Game Score,Team Indicator,Play,Period
19:45,,,,,"TURNOVER  by MONTGOMERY,MARCUS",,,"TURNOVER  by MONTGOMERY,MARCUS",1
19:20,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by BENDINGFIELD,ROBERT",,,"REBOUND DEF by BENDINGFIELD,ROBERT",1
19:07,,,,,"TURNOVER  by WARREN,BRAEDEN",,,"TURNOVER  by WARREN,BRAEDEN",1
18:54,"GOOD 3PTR by WALKER,ART",3 (+3),,0,,CENTRE-M 3-0 (+3),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
18:35,,3 (+1),,2,"GOOD LAYUP by WARREN,BRAEDEN(in the paint)",SUMB 3-2 (+1),,"GOOD LAYUP by WARREN,BRAEDEN(in the paint)",1
--,,,,,"ASSIST  by AMANOR,TROY",,,"ASSIST  by AMANOR,TROY",1
18:13,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
18:07,"GOOD 3PTR by AYERS,PERRY",6 (+4),,2,,CENTRE-M 6-2 (+4),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
17:47,,6 (+1),,5,"GOOD 3PTR by GARI,XAVIER",SUMB 6-5 (+1),,"GOOD 3PTR by GARI,XAVIER",1
--,,,,,"ASSIST  by BENDINGFIELD,ROBERT",,,"ASSIST  by BENDINGFIELD,ROBERT",1
17:17,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
17:17,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
17:09,,,,,"MISS JUMPER by AMANOR,TROY",,,"MISS JUMPER by AMANOR,TROY",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
17:00,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
16:55,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by GARI,XAVIER",,,"REBOUND DEF by GARI,XAVIER",1
16:33,,,,,"MISS JUMPER by AMANOR,TROY",,,"MISS JUMPER by AMANOR,TROY",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
16:11,"GOOD 3PTR by BATES,JACOB",9 (+4),,5,,CENTRE-M 9-5 (+4),,"GOOD 3PTR by BATES,JACOB",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
15:48,,9 (+1),,8,"GOOD 3PTR by GARI,XAVIER",SUMB 9-8 (+1),,"GOOD 3PTR by GARI,XAVIER",1
--,,,,,"ASSIST  by BENDINGFIELD,ROBERT",,,"ASSIST  by BENDINGFIELD,ROBERT",1
15:30,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by GARI,XAVIER",,,"REBOUND DEF by GARI,XAVIER",1
15:19,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",1
15:19,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
15:19,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
15:19,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
15:19,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
15:19,,,,,"SUB IN by TRIBBLE,BRIAN",,,"SUB IN by TRIBBLE,BRIAN",1
15:19,,,,,"SUB IN by TOLIVER,TEFRELL",,,"SUB IN by TOLIVER,TEFRELL",1
15:19,,,,,"SUB OUT by GARI,XAVIER",,,"SUB OUT by GARI,XAVIER",1
15:19,,,,,"SUB OUT by WARREN,BRAEDEN",,,"SUB OUT by WARREN,BRAEDEN",1
15:11,,,,,"TURNOVER  by AMANOR,TROY",,,"TURNOVER  by AMANOR,TROY",1
14:56,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND OFF by CRUMP,DAWSON",,,,,,,"REBOUND OFF by CRUMP,DAWSON",1
