Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:43,"GOOD 3PTR by MITCHELL,JAMES",3 (+3),,0,,COV 3-0 (-3),,"GOOD 3PTR by MITCHELL,JAMES",1
--,"ASSIST  by BARNETTE,CHRIS",,,,,,,"ASSIST  by BARNETTE,CHRIS",1
19:12,,3,,3,"GOOD 3PTR by BATES,JACOB",Centre 3-3 (0),,"GOOD 3PTR by BATES,JACOB",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
18:47,"MISS 3PTR by MITCHELL,JAMES",,,,,,,"MISS 3PTR by MITCHELL,JAMES",1
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",1
18:39,,3,,5 (+2),"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",Centre 3-5 (+2),,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
18:29,"GOOD 3PTR by BARNETTE,CHRIS",6 (+1),,5,,COV 6-5 (-1),,"GOOD 3PTR by BARNETTE,CHRIS",1
18:11,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by BARNETTE,CHRIS",,,,,,,"REBOUND DEF by BARNETTE,CHRIS",1
17:57,"TURNOVER  by MITCHELL,JAMES",,,,,,,"TURNOVER  by MITCHELL,JAMES",1
17:39,,6,,7 (+1),"GOOD JUMPER by WALKER,ART(in the paint)",Centre 6-7 (+1),,"GOOD JUMPER by WALKER,ART(in the paint)",1
17:16,"MISS LAYUP by CRUMLY,WILL(in the paint)",,,,,,,"MISS LAYUP by CRUMLY,WILL(in the paint)",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
16:57,,6,,9 (+3),"GOOD DUNK by BATES,JACOB(in the paint)",Centre 6-9 (+3),,"GOOD DUNK by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
16:41,"GOOD 3PTR by ALLEN,ZACK",9,,9,,COV 9-9 (0),,"GOOD 3PTR by ALLEN,ZACK",1
--,"ASSIST  by HOLLIS,MITCHELL",,,,,,,"ASSIST  by HOLLIS,MITCHELL",1
16:11,,9,,12 (+3),"GOOD 3PTR by AYERS,PERRY",Centre 9-12 (+3),,"GOOD 3PTR by AYERS,PERRY",1
15:55,"TURNOVER  by MITCHELL,JAMES",,,,,,,"TURNOVER  by MITCHELL,JAMES",1
15:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:53,"SUB OUT by HOLLIS,MITCHELL",,,,,,,"SUB OUT by HOLLIS,MITCHELL",1
15:53,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
15:53,"SUB IN by OETJEN,NOAH",,,,,,,"SUB IN by OETJEN,NOAH",1
15:53,"SUB IN by IGBANU,PROMISE",,,,,,,"SUB IN by IGBANU,PROMISE",1
15:46,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
15:46,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
15:43,,,,,"MISS LAYUP by CRUMP,DAWSON(in the paint)",,,"MISS LAYUP by CRUMP,DAWSON(in the paint)",1
--,"REBOUND DEF by BARNETTE,CHRIS",,,,,,,"REBOUND DEF by BARNETTE,CHRIS",1
15:29,"MISS 3PTR by MITCHELL,JAMES",,,,,,,"MISS 3PTR by MITCHELL,JAMES",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
15:17,,,,,"MISS LAYUP by BATES,JACOB(in the paint)",,,"MISS LAYUP by BATES,JACOB(in the paint)",1
--,"REBOUND DEF by OETJEN,NOAH",,,,,,,"REBOUND DEF by OETJEN,NOAH",1
15:00,"GOOD LAYUP by IGBANU,PROMISE(in the paint)",11,,12 (+1),,COV 11-12 (+1),,"GOOD LAYUP by IGBANU,PROMISE(in the paint)",1
--,"ASSIST  by ALLEN,ZACK",,,,,,,"ASSIST  by ALLEN,ZACK",1
14:32,,11,,14 (+3),"GOOD JUMPER by RAKES,BAILEY(in the paint)",Centre 11-14 (+3),,"GOOD JUMPER by RAKES,BAILEY(in the paint)",1
14:11,"GOOD 3PTR by ALLEN,ZACK",14,,14,,COV 14-14 (0),,"GOOD 3PTR by ALLEN,ZACK",1
--,"ASSIST  by BARNETTE,CHRIS",,,,,,,"ASSIST  by BARNETTE,CHRIS",1
13:48,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
13:43,,14,,16 (+2),"GOOD LAYUP by BATES,JACOB(in the paint)",Centre 14-16 (+2),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
13:31,"TURNOVER  by OETJEN,NOAH",,,,,,,"TURNOVER  by OETJEN,NOAH",1
13:30,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
13:30,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
13:30,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
13:30,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
13:30,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
13:30,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
13:30,"SUB OUT by MITCHELL,JAMES",,,,,,,"SUB OUT by MITCHELL,JAMES",1
13:30,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
13:30,"SUB OUT by ALLEN,ZACK",,,,,,,"SUB OUT by ALLEN,ZACK",1
13:30,"SUB IN by PALMER,BRADY",,,,,,,"SUB IN by PALMER,BRADY",1
13:30,"SUB IN by JAUCH,JARED",,,,,,,"SUB IN by JAUCH,JARED",1
