Time Remaining,Boyce,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:46,"TURNOVER  by QUINLEY,AARON",,,,,,,"TURNOVER  by QUINLEY,AARON",1
19:46,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
19:39,,0,,2 (+2),"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",Centre 0-2 (+2),,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",1
19:16,"MISS JUMPER by KIRBY,KEVIN",,,,,,,"MISS JUMPER by KIRBY,KEVIN",1
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",1
19:01,"FOUL  by ALEXAKOS,LEONIDAS",,,,,,,"FOUL  by ALEXAKOS,LEONIDAS",1
18:58,,0,,5 (+5),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 0-5 (+5),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
18:33,"GOOD 3PTR by BENHAM,BAILEY",3,,5 (+2),,Boyce 3-5 (+2),,"GOOD 3PTR by BENHAM,BAILEY",1
18:15,,3,,8 (+5),"GOOD 3PTR by WILLIAMS,JALEN",Centre 3-8 (+5),,"GOOD 3PTR by WILLIAMS,JALEN",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
17:56,"TURNOVER  by KIRBY,KEVIN",,,,,,,"TURNOVER  by KIRBY,KEVIN",1
17:56,"SUB OUT by ALEXAKOS,LEONIDAS",,,,,,,"SUB OUT by ALEXAKOS,LEONIDAS",1
17:56,"SUB IN by KAYS,SAM",,,,,,,"SUB IN by KAYS,SAM",1
17:36,,3,,11 (+8),"GOOD 3PTR by WALKER,ART",Centre 3-11 (+8),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
17:15,"TURNOVER  by BENHAM,BAILEY",,,,,,,"TURNOVER  by BENHAM,BAILEY",1
17:15,,,,,"STEAL  by WILLIAMS,JALEN",,,"STEAL  by WILLIAMS,JALEN",1
17:09,,,,,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",,,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",1
--,"REBOUND DEF by KAYS,SAM",,,,,,,"REBOUND DEF by KAYS,SAM",1
16:59,"GOOD JUMPER by NAUERT,TYLER(in the paint)",5,,11 (+6),,Boyce 5-11 (+6),,"GOOD JUMPER by NAUERT,TYLER(in the paint)",1
16:32,,5,,14 (+9),"GOOD 3PTR by WALKER,ART",Centre 5-14 (+9),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
16:15,"MISS LAYUP by BENHAM,BAILEY(in the paint)",,,,,,,"MISS LAYUP by BENHAM,BAILEY(in the paint)",1
--,"REBOUND OFF by BENHAM,BAILEY",,,,,,,"REBOUND OFF by BENHAM,BAILEY",1
16:09,"GOOD LAYUP by BENHAM,BAILEY(in the paint)",7,,14 (+7),,Boyce 7-14 (+7),,"GOOD LAYUP by BENHAM,BAILEY(in the paint)",1
15:55,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by BENHAM,BAILEY",,,,,,,"REBOUND DEF by BENHAM,BAILEY",1
15:39,"TURNOVER  by KAYS,SAM",,,,,,,"TURNOVER  by KAYS,SAM",1
15:39,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:39,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
15:39,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
15:39,,,,,"SUB IN by BREWER,KEEGAN",,,"SUB IN by BREWER,KEEGAN",1
15:39,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
15:39,"SUB OUT by NAUERT,TYLER",,,,,,,"SUB OUT by NAUERT,TYLER",1
15:39,"SUB OUT by QUINLEY,AARON",,,,,,,"SUB OUT by QUINLEY,AARON",1
15:39,"SUB IN by TURNER,NICKOLAS",,,,,,,"SUB IN by TURNER,NICKOLAS",1
15:39,"SUB IN by GIBSON,JAMES",,,,,,,"SUB IN by GIBSON,JAMES",1
15:32,"FOUL  by KAYS,SAM",,,,,,,"FOUL  by KAYS,SAM",1
15:25,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
15:25,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
15:25,,,,,"MISS 3PTR by BREWER,KEEGAN",,,"MISS 3PTR by BREWER,KEEGAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:11,"FOUL  by GIBSON,JAMES",,,,,,,"FOUL  by GIBSON,JAMES",1
15:06,,,,,"MISS 3PTR by PURVIS,KC",,,"MISS 3PTR by PURVIS,KC",1
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",1
14:53,,7,,17 (+10),"GOOD 3PTR by RAKES,BAILEY",Centre 7-17 (+10),,"GOOD 3PTR by RAKES,BAILEY",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
14:34,"GOOD JUMPER by GIBSON,JAMES(in the paint)",9,,17 (+8),,Boyce 9-17 (+8),,"GOOD JUMPER by GIBSON,JAMES(in the paint)",1
14:10,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
14:10,"SUB OUT by BENHAM,BAILEY",,,,,,,"SUB OUT by BENHAM,BAILEY",1
14:10,"SUB OUT by KAYS,SAM",,,,,,,"SUB OUT by KAYS,SAM",1
14:10,"SUB IN by NAUERT,TYLER",,,,,,,"SUB IN by NAUERT,TYLER",1
14:10,"SUB IN by GIBSON,ISAAC",,,,,,,"SUB IN by GIBSON,ISAAC",1
13:49,"MISS LAYUP by GIBSON,JAMES(in the paint)",,,,,,,"MISS LAYUP by GIBSON,JAMES(in the paint)",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
13:44,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
13:44,"STEAL  by KIRBY,KEVIN",,,,,,,"STEAL  by KIRBY,KEVIN",1
13:38,"MISS LAYUP by KIRBY,KEVIN(in the paint)",,,,,,,"MISS LAYUP by KIRBY,KEVIN(in the paint)",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
13:30,,,,,"TURNOVER  by BREWER,KEEGAN",,,"TURNOVER  by BREWER,KEEGAN",1
13:30,"STEAL  by KIRBY,KEVIN",,,,,,,"STEAL  by KIRBY,KEVIN",1
13:21,,,,,"FOUL  by BREWER,KEEGAN",,,"FOUL  by BREWER,KEEGAN",1
13:21,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
13:21,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
13:21,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
13:21,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
13:10,"GOOD JUMPER by NAUERT,TYLER",11,,17 (+6),,Boyce 11-17 (+6),,"GOOD JUMPER by NAUERT,TYLER",1
--,"ASSIST  by GIBSON,JAMES",,,,,,,"ASSIST  by GIBSON,JAMES",1
12:52,,,,,"TURNOVER  by BREWER,KEEGAN",,,"TURNOVER  by BREWER,KEEGAN",1
12:52,,,,,"SUB OUT by BREWER,KEEGAN",,,"SUB OUT by BREWER,KEEGAN",1
12:52,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
12:52,"SUB OUT by KIRBY,KEVIN",,,,,,,"SUB OUT by KIRBY,KEVIN",1
12:52,"SUB IN by ALEXAKOS,LEONIDAS",,,,,,,"SUB IN by ALEXAKOS,LEONIDAS",1
12:40,"GOOD LAYUP by GIBSON,JAMES(in the paint)",13,,17 (+4),,Boyce 13-17 (+4),,"GOOD LAYUP by GIBSON,JAMES(in the paint)",1
12:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:26,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",1
12:17,,13,,19 (+6),"GOOD LAYUP by SPITZER,JAKOB(in the paint)",Centre 13-19 (+6),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
