Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:41,,0,,2 (+2),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 0-2 (-2),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",1
19:13,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
19:00,,,,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
18:49,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
18:49,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
18:35,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
18:20,"MISS JUMPER by AYERS,PERRY(in the paint)",,,,,,,"MISS JUMPER by AYERS,PERRY(in the paint)",1
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",1
18:15,"MISS JUMPER by AYERS,PERRY(in the paint)",,,,,,,"MISS JUMPER by AYERS,PERRY(in the paint)",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
18:07,,,,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
17:48,"GOOD 3PTR by BATES,JACOB",3 (+1),,2,,Centre 3-2 (+1),,"GOOD 3PTR by BATES,JACOB",1
17:26,,3,,5 (+2),"GOOD 3PTR by BECKER,SAXTON",Mill 3-5 (-2),,"GOOD 3PTR by BECKER,SAXTON",1
--,,,,,"ASSIST  by MCLAURIN,RYAN",,,"ASSIST  by MCLAURIN,RYAN",1
17:04,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
16:47,,,,,"MISS 3PTR by MCLAURIN,RYAN",,,"MISS 3PTR by MCLAURIN,RYAN",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
16:34,"GOOD 3PTR by BATES,JACOB",6 (+1),,5,,Centre 6-5 (+1),,"GOOD 3PTR by BATES,JACOB",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
