Time Remaining,LAWRENCE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:50,"MISS 3PTR by DANOWSKI,BRANDON",,,,,,,"MISS 3PTR by DANOWSKI,BRANDON",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
19:32,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by FISHER,QUINN",,,,,,,"REBOUND DEF by FISHER,QUINN",1
19:21,"MISS JUMPER by DENHAM,BRYCE",,,,,,,"MISS JUMPER by DENHAM,BRYCE",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
18:57,,0,,3 (+3),"GOOD 3PTR by AYERS,PERRY",CENTRE-M 0-3 (+3),,"GOOD 3PTR by AYERS,PERRY",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
18:55,"SUB IN by MIKAELIAN,TROY",,,,,,,"SUB IN by MIKAELIAN,TROY",1
18:55,"SUB OUT by FISHER,QUINN",,,,,,,"SUB OUT by FISHER,QUINN",1
18:29,"GOOD LAYUP by MATERNA,MASON(in the paint)",2,,3 (+1),,LAWRENCE 2-3 (+1),,"GOOD LAYUP by MATERNA,MASON(in the paint)",1
--,"ASSIST  by DANOWSKI,BRANDON",,,,,,,"ASSIST  by DANOWSKI,BRANDON",1
18:04,,2,,5 (+3),"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 2-5 (+3),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
17:40,"GOOD LAYUP by DENHAM,BRYCE(in the paint)",4,,5 (+1),,LAWRENCE 4-5 (+1),,"GOOD LAYUP by DENHAM,BRYCE(in the paint)",1
17:20,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",1
17:18,"STEAL  by DANOWSKI,BRANDON",,,,,,,"STEAL  by DANOWSKI,BRANDON",1
17:13,"GOOD JUMPER by DANOWSKI,BRANDON(in the paint)",6 (+1),,5,,LAWRENCE 6-5 (-1),,"GOOD JUMPER by DANOWSKI,BRANDON(in the paint)",1
16:53,,6,,7 (+1),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 6-7 (+1),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
