Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:46,"FOUL  by HAYNES,CALEB",,,,,,,"FOUL  by HAYNES,CALEB",1
19:46,"TURNOVER  by HAYNES,CALEB",,,,,,,"TURNOVER  by HAYNES,CALEB",1
19:24,,0,,2 (+2),"GOOD JUMPER by AYERS,PERRY",Centre 0-2 (+2),,"GOOD JUMPER by AYERS,PERRY",1
19:15,"MISS 3PTR by HASLAM,ETHAN",,,,,,,"MISS 3PTR by HASLAM,ETHAN",1
--,"REBOUND OFF by JONES,DREW",,,,,,,"REBOUND OFF by JONES,DREW",1
19:06,"TURNOVER  by JOHNSON,MICAH",,,,,,,"TURNOVER  by JOHNSON,MICAH",1
19:06,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
18:56,,0,,4 (+4),"GOOD LAYUP by WALKER,ART(in the paint)",Centre 0-4 (+4),,"GOOD LAYUP by WALKER,ART(in the paint)",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
18:42,"MISS 3PTR by JONES,DREW",,,,,,,"MISS 3PTR by JONES,DREW",1
--,"REBOUND OFF by JOHNSON,MICAH",,,,,,,"REBOUND OFF by JOHNSON,MICAH",1
18:39,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
18:39,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
18:39,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
18:22,"TURNOVER  by JOHNSON,MICAH",,,,,,,"TURNOVER  by JOHNSON,MICAH",1
18:07,,0,,7 (+7),"GOOD 3PTR by AYERS,PERRY",Centre 0-7 (+7),,"GOOD 3PTR by AYERS,PERRY",1
17:51,"MISS 3PTR by JONES,DREW",,,,,,,"MISS 3PTR by JONES,DREW",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
17:38,,0,,10 (+10),"GOOD 3PTR by AYERS,PERRY",Centre 0-10 (+10),,"GOOD 3PTR by AYERS,PERRY",1
17:35,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:10,"MISS 3PTR by HASLAM,ETHAN",,,,,,,"MISS 3PTR by HASLAM,ETHAN",1
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",1
17:01,,0,,13 (+13),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 0-13 (+13),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
16:38,"FOUL  by JOHNSON,MICAH",,,,,,,"FOUL  by JOHNSON,MICAH",1
16:38,"TURNOVER  by JOHNSON,MICAH",,,,,,,"TURNOVER  by JOHNSON,MICAH",1
16:38,"SUB OUT by ESTES,DJ",,,,,,,"SUB OUT by ESTES,DJ",1
16:38,"SUB IN by WEHUNT,DAWSON",,,,,,,"SUB IN by WEHUNT,DAWSON",1
16:28,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",1
16:18,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",1
16:18,"SUB OUT by HASLAM,ETHAN",,,,,,,"SUB OUT by HASLAM,ETHAN",1
16:18,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
16:05,"MISS 3PTR by JOHNSON,MICAH",,,,,,,"MISS 3PTR by JOHNSON,MICAH",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
15:49,,0,,15 (+15),"GOOD JUMPER by AYERS,PERRY(in the paint)",Centre 0-15 (+15),,"GOOD JUMPER by AYERS,PERRY(in the paint)",1
15:36,"GOOD JUMPER by JONES,DREW(in the paint)",2,,15 (+13),,Berry 2-15 (+13),,"GOOD JUMPER by JONES,DREW(in the paint)",1
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",1
15:01,,2,,18 (+16),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 2-18 (+16),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by SPITZER,JAKOB",,,"ASSIST  by SPITZER,JAKOB",1
14:52,"TURNOVER  by JOHNSON,MICAH",,,,,,,"TURNOVER  by JOHNSON,MICAH",1
14:52,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
14:45,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
14:45,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
14:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:45,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
14:45,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
14:45,"SUB OUT by JOHNSON,MICAH",,,,,,,"SUB OUT by JOHNSON,MICAH",1
14:45,"SUB OUT by JONES,DREW",,,,,,,"SUB OUT by JONES,DREW",1
14:45,"SUB IN by SOWADA,COLLIN",,,,,,,"SUB IN by SOWADA,COLLIN",1
14:45,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
14:26,"MISS 3PTR by HONROTH,OWEN",,,,,,,"MISS 3PTR by HONROTH,OWEN",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
14:04,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
13:49,"MISS JUMPER by SOWADA,COLLIN(in the paint)",,,,,,,"MISS JUMPER by SOWADA,COLLIN(in the paint)",1
--,"REBOUND OFF by BROOKS,AUSTIN",,,,,,,"REBOUND OFF by BROOKS,AUSTIN",1
13:46,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",4,,18 (+14),,Berry 4-18 (+14),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
13:46,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
13:46,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
13:46,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
13:46,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
13:46,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
13:46,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
13:46,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
13:46,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
13:46,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
13:46,"MISS FT by BROOKS,AUSTIN",,,,,,,"MISS FT by BROOKS,AUSTIN",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
13:20,,,,,"MISS LAYUP by WILSON,DREW(in the paint)",,,"MISS LAYUP by WILSON,DREW(in the paint)",1
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",1
13:13,,4,,20 (+16),"GOOD LAYUP by PURVIS,KC(in the paint)",Centre 4-20 (+16),,"GOOD LAYUP by PURVIS,KC(in the paint)",1
12:55,"GOOD JUMPER by HAYNES,CALEB(in the paint)",6,,20 (+14),,Berry 6-20 (+14),,"GOOD JUMPER by HAYNES,CALEB(in the paint)",1
12:36,,6,,22 (+16),"GOOD LAYUP by PURVIS,KC(in the paint)",Centre 6-22 (+16),,"GOOD LAYUP by PURVIS,KC(in the paint)",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
12:26,"TURNOVER  by SOWADA,COLLIN",,,,,,,"TURNOVER  by SOWADA,COLLIN",1
12:26,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
12:22,"FOUL  by WEHUNT,DAWSON",,,,,,,"FOUL  by WEHUNT,DAWSON",1
12:22,,6,,23 (+17),"GOOD FT by CRUMP,DAWSON(fastbreak)",Centre 6-23 (+17),,"GOOD FT by CRUMP,DAWSON(fastbreak)",1
12:22,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
12:22,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
12:22,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
12:22,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
12:22,,6,,24 (+18),"GOOD FT by CRUMP,DAWSON(fastbreak)",Centre 6-24 (+18),,"GOOD FT by CRUMP,DAWSON(fastbreak)",1
12:09,"GOOD 3PTR by WEHUNT,DAWSON",9,,24 (+15),,Berry 9-24 (+15),,"GOOD 3PTR by WEHUNT,DAWSON",1
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",1
11:47,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
11:47,"STEAL  by SOWADA,COLLIN",,,,,,,"STEAL  by SOWADA,COLLIN",1
11:41,"MISS 3PTR by WEHUNT,DAWSON",,,,,,,"MISS 3PTR by WEHUNT,DAWSON",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
11:14,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:11,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
11:11,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:11,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
11:11,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
11:11,"SUB OUT by SOWADA,COLLIN",,,,,,,"SUB OUT by SOWADA,COLLIN",1
11:11,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
11:11,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
11:11,"SUB IN by JOHNSON,MICAH",,,,,,,"SUB IN by JOHNSON,MICAH",1
11:11,"SUB IN by ESTES,DJ",,,,,,,"SUB IN by ESTES,DJ",1
11:11,"SUB IN by JONES,DREW",,,,,,,"SUB IN by JONES,DREW",1
10:59,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",,,,,,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",1
--,"REBOUND OFF by JONES,DREW",,,,,,,"REBOUND OFF by JONES,DREW",1
10:50,"GOOD 3PTR by ESTES,DJ",12,,24 (+12),,Berry 12-24 (+12),,"GOOD 3PTR by ESTES,DJ",1
--,"ASSIST  by JONES,DREW",,,,,,,"ASSIST  by JONES,DREW",1
10:47,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
10:47,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
10:47,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
10:47,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
10:25,,12,,26 (+14),"GOOD JUMPER by AYERS,PERRY(in the paint)",Centre 12-26 (+14),,"GOOD JUMPER by AYERS,PERRY(in the paint)",1
10:14,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",,,,,,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",1
10:14,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:14,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
10:14,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
10:02,"FOUL  by JONES,DREW",,,,,,,"FOUL  by JONES,DREW",1
10:02,"TURNOVER  by JONES,DREW",,,,,,,"TURNOVER  by JONES,DREW",1
10:02,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
10:02,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
09:44,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by JONES,DREW",,,,,,,"REBOUND DEF by JONES,DREW",1
09:35,"MISS JUMPER by JOHNSON,MICAH(in the paint)",,,,,,,"MISS JUMPER by JOHNSON,MICAH(in the paint)",1
09:35,,,,,"BLOCK  by RAKES,BAILEY",,,"BLOCK  by RAKES,BAILEY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:35,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
09:35,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
09:35,"SUB OUT by WEHUNT,DAWSON",,,,,,,"SUB OUT by WEHUNT,DAWSON",1
09:35,"SUB IN by MBENOUN,ROB",,,,,,,"SUB IN by MBENOUN,ROB",1
09:27,"GOOD JUMPER by BROOKS,AUSTIN(in the paint)",14,,26 (+12),,Berry 14-26 (+12),,"GOOD JUMPER by BROOKS,AUSTIN(in the paint)",1
09:07,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by MBENOUN,ROB",,,,,,,"REBOUND DEF by MBENOUN,ROB",1
09:03,"TURNOVER  by MBENOUN,ROB",,,,,,,"TURNOVER  by MBENOUN,ROB",1
09:03,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
09:03,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
08:58,"FOUL  by BROOKS,AUSTIN",,,,,,,"FOUL  by BROOKS,AUSTIN",1
08:58,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:58,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
08:58,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
08:58,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
08:58,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
08:58,,14,,27 (+13),"GOOD FT by BATES,JACOB",Centre 14-27 (+13),,"GOOD FT by BATES,JACOB",1
08:58,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
08:58,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
