Time Remaining,PPM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
13:47,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",2
--,"REBOUND DEF by KELBERT,JAMES",,,,,,,"REBOUND DEF by KELBERT,JAMES",2
13:22,"MISS 3PTR by PRESTON,ALEX",,,,,,,"MISS 3PTR by PRESTON,ALEX",2
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",2
13:09,,61 (+18),,43,"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 61-43 (-18),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
12:52,"GOOD LAYUP by ELAN,MICAH(in the paint)",63 (+20),,43,,PPM 63-43 (-20),,"GOOD LAYUP by ELAN,MICAH(in the paint)",2
12:34,,,,,"MISS JUMPER by SMITH,RJ",,,"MISS JUMPER by SMITH,RJ",2
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",2
12:12,"GOOD 3PTR by BOYLE,JACK",66 (+23),,43,,PPM 66-43 (-23),,"GOOD 3PTR by BOYLE,JACK",2
--,"ASSIST  by REES,ADAM",,,,,,,"ASSIST  by REES,ADAM",2
11:53,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",2
11:48,,,,,"MISS LAYUP by PURVIS,KC",,,"MISS LAYUP by PURVIS,KC",2
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",2
11:46,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",2
11:44,,,,,"MISS TIPIN by PURVIS,KC",,,"MISS TIPIN by PURVIS,KC",2
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",2
11:41,,,,,"MISS LAYUP by PURVIS,KC",,,"MISS LAYUP by PURVIS,KC",2
--,"REBOUND DEF by PRESTON,ALEX",,,,,,,"REBOUND DEF by PRESTON,ALEX",2
11:27,"MISS LAYUP by BOYLE,JACK",,,,,,,"MISS LAYUP by BOYLE,JACK",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
11:14,,66 (+21),,45,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",CENTRE-M 66-45 (-21),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",2
11:00,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",2
11:00,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
11:00,"SUB IN by EBERLE,MATTHEW",,,,,,,"SUB IN by EBERLE,MATTHEW",2
11:00,"SUB OUT by BOYLE,JACK",,,,,,,"SUB OUT by BOYLE,JACK",2
11:00,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
11:00,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",2
11:00,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
11:00,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
11:00,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
11:00,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
11:00,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
11:00,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
10:46,"FOUL  by KELBERT,JAMES",,,,,,,"FOUL  by KELBERT,JAMES",2
10:46,"TURNOVER  by KELBERT,JAMES",,,,,,,"TURNOVER  by KELBERT,JAMES",2
10:37,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
10:18,,,,,"MISS LAYUP by SPITZER,JAKOB",,,"MISS LAYUP by SPITZER,JAKOB",2
--,"REBOUND DEF by PRESTON,ALEX",,,,,,,"REBOUND DEF by PRESTON,ALEX",2
10:07,"GOOD 3PTR by EBERLE,MATTHEW",69 (+24),,45,,PPM 69-45 (-24),,"GOOD 3PTR by EBERLE,MATTHEW",2
--,"ASSIST  by ELAN,MICAH",,,,,,,"ASSIST  by ELAN,MICAH",2
09:50,,69 (+21),,48,"GOOD 3PTR by AYERS,PERRY",CENTRE-M 69-48 (-21),,"GOOD 3PTR by AYERS,PERRY",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
09:32,"MISS LAYUP by ELAN,MICAH",,,,,,,"MISS LAYUP by ELAN,MICAH",2
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",2
09:24,"FOUL  by REES,ADAM",,,,,,,"FOUL  by REES,ADAM",2
09:24,"SUB IN by BOYLE,JACK",,,,,,,"SUB IN by BOYLE,JACK",2
09:24,"SUB OUT by KELBERT,JAMES",,,,,,,"SUB OUT by KELBERT,JAMES",2
09:16,"FOUL  by REES,ADAM",,,,,,,"FOUL  by REES,ADAM",2
09:16,,,,,"MISS FT by AYERS,PERRY",,,"MISS FT by AYERS,PERRY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:16,,69 (+20),,49,"GOOD FT by AYERS,PERRY",CENTRE-M 69-49 (-20),,"GOOD FT by AYERS,PERRY",2
09:16,,69 (+19),,50,"GOOD FT by AYERS,PERRY",CENTRE-M 69-50 (-19),,"GOOD FT by AYERS,PERRY",2
09:01,"TURNOVER  by PRESTON,ALEX",,,,,,,"TURNOVER  by PRESTON,ALEX",2
08:54,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",2
08:53,"FOUL  by BOYLE,JACK",,,,,,,"FOUL  by BOYLE,JACK",2
08:53,,69 (+18),,51,"GOOD FT by SPITZER,JAKOB",CENTRE-M 69-51 (-18),,"GOOD FT by SPITZER,JAKOB",2
08:53,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",2
--,"REBOUND DEF by ELAN,MICAH",,,,,,,"REBOUND DEF by ELAN,MICAH",2
08:53,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
08:53,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
08:53,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
08:53,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
08:38,"TURNOVER  by PRESTON,ALEX",,,,,,,"TURNOVER  by PRESTON,ALEX",2
08:38,,,,,"STEAL  by CRUMP,DAWSON",,,"STEAL  by CRUMP,DAWSON",2
08:29,,69 (+16),,53,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 69-53 (-16),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",2
08:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:26,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
08:06,"MISS 3PTR by REES,ADAM",,,,,,,"MISS 3PTR by REES,ADAM",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
07:51,,69 (+14),,55,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 69-55 (-14),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
07:38,"GOOD LAYUP by REES,ADAM(in the paint)",71 (+16),,55,,PPM 71-55 (-16),,"GOOD LAYUP by REES,ADAM(in the paint)",2
--,"ASSIST  by PRESTON,ALEX",,,,,,,"ASSIST  by PRESTON,ALEX",2
07:27,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",2
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",2
07:04,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",2
07:04,"GOOD FT by ELAN,MICAH",72 (+17),,55,,PPM 72-55 (-17),,"GOOD FT by ELAN,MICAH",2
07:04,"GOOD FT by ELAN,MICAH",73 (+18),,55,,PPM 73-55 (-18),,"GOOD FT by ELAN,MICAH",2
07:04,"SUB IN by KELBERT,JAMES",,,,,,,"SUB IN by KELBERT,JAMES",2
07:04,"SUB OUT by EBERLE,MATTHEW",,,,,,,"SUB OUT by EBERLE,MATTHEW",2
07:04,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
07:04,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
06:48,,73 (+16),,57,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 73-57 (-16),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",2
06:27,"TURNOVER  by ELAN,MICAH",,,,,,,"TURNOVER  by ELAN,MICAH",2
06:09,,73 (+13),,60,"GOOD 3PTR by CRUMP,DAWSON",CENTRE-M 73-60 (-13),,"GOOD 3PTR by CRUMP,DAWSON",2
05:53,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",2
05:41,"GOOD 3PTR by BOYLE,JACK",76 (+16),,60,,PPM 76-60 (-16),,"GOOD 3PTR by BOYLE,JACK",2
--,"ASSIST  by REES,ADAM",,,,,,,"ASSIST  by REES,ADAM",2
05:12,,,,,"MISS JUMPER by CRUMP,DAWSON",,,"MISS JUMPER by CRUMP,DAWSON",2
--,"REBOUND DEF by ELAN,MICAH",,,,,,,"REBOUND DEF by ELAN,MICAH",2
04:44,"MISS LAYUP by PRESTON,ALEX",,,,,,,"MISS LAYUP by PRESTON,ALEX",2
--,"REBOUND OFF by PRESTON,ALEX",,,,,,,"REBOUND OFF by PRESTON,ALEX",2
04:41,"GOOD LAYUP by PRESTON,ALEX(in the paint)",78 (+18),,60,,PPM 78-60 (-18),,"GOOD LAYUP by PRESTON,ALEX(in the paint)",2
04:30,"FOUL  by PRESTON,ALEX",,,,,,,"FOUL  by PRESTON,ALEX",2
04:30,,78 (+17),,61,"GOOD FT by AYERS,PERRY",CENTRE-M 78-61 (-17),,"GOOD FT by AYERS,PERRY",2
04:30,,78 (+16),,62,"GOOD FT by AYERS,PERRY",CENTRE-M 78-62 (-16),,"GOOD FT by AYERS,PERRY",2
04:30,"SUB IN by ROHALJ,PAVLE",,,,,,,"SUB IN by ROHALJ,PAVLE",2
04:30,"SUB OUT by PRESTON,ALEX",,,,,,,"SUB OUT by PRESTON,ALEX",2
04:30,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
04:30,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
04:30,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
04:30,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
04:09,"MISS JUMPER by ELAN,MICAH",,,,,,,"MISS JUMPER by ELAN,MICAH",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
03:53,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",2
--,"REBOUND DEF by ROHALJ,PAVLE",,,,,,,"REBOUND DEF by ROHALJ,PAVLE",2
03:31,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",2
03:31,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
03:31,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",2
03:31,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
03:12,"TURNOVER  by ELAN,MICAH",,,,,,,"TURNOVER  by ELAN,MICAH",2
03:12,,,,,"STEAL  by SPITZER,JAKOB",,,"STEAL  by SPITZER,JAKOB",2
03:12,"FOUL  by ROHALJ,PAVLE",,,,,,,"FOUL  by ROHALJ,PAVLE",2
03:12,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",2
--,"REBOUND DEF by KELBERT,JAMES",,,,,,,"REBOUND DEF by KELBERT,JAMES",2
02:45,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",2
02:45,"GOOD FT by ROHALJ,PAVLE",79 (+17),,62,,PPM 79-62 (-17),,"GOOD FT by ROHALJ,PAVLE",2
02:45,"GOOD FT by ROHALJ,PAVLE",80 (+18),,62,,PPM 80-62 (-18),,"GOOD FT by ROHALJ,PAVLE",2
02:32,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",2
02:04,"MISS LAYUP by ELAN,MICAH",,,,,,,"MISS LAYUP by ELAN,MICAH",2
--,"REBOUND OFF by ROHALJ,PAVLE",,,,,,,"REBOUND OFF by ROHALJ,PAVLE",2
02:01,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
02:01,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
01:48,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",2
01:48,"GOOD FT by ELAN,MICAH",81 (+19),,62,,PPM 81-62 (-19),,"GOOD FT by ELAN,MICAH",2
01:48,"GOOD FT by ELAN,MICAH",82 (+20),,62,,PPM 82-62 (-20),,"GOOD FT by ELAN,MICAH",2
01:48,"SUB IN by BLOMSTROM,STEPHEN",,,,,,,"SUB IN by BLOMSTROM,STEPHEN",2
01:48,"SUB OUT by ELAN,MICAH",,,,,,,"SUB OUT by ELAN,MICAH",2
01:48,,,,,"SUB IN by BREWER,KEEGAN",,,"SUB IN by BREWER,KEEGAN",2
01:48,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",2
01:48,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
01:48,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
01:33,,,,,"MISS JUMPER by KNOCHELMANN,PETE",,,"MISS JUMPER by KNOCHELMANN,PETE",2
--,"REBOUND DEF by REES,ADAM",,,,,,,"REBOUND DEF by REES,ADAM",2
01:26,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",2
01:26,"GOOD FT by REES,ADAM",83 (+21),,62,,PPM 83-62 (-21),,"GOOD FT by REES,ADAM",2
01:26,"GOOD FT by REES,ADAM",84 (+22),,62,,PPM 84-62 (-22),,"GOOD FT by REES,ADAM",2
01:26,"SUB IN by MORA,BRENDAN",,,,,,,"SUB IN by MORA,BRENDAN",2
01:26,"SUB IN by PAIK,MATTHEW",,,,,,,"SUB IN by PAIK,MATTHEW",2
01:26,"SUB IN by EBERLE,MATTHEW",,,,,,,"SUB IN by EBERLE,MATTHEW",2
01:26,"SUB OUT by REES,ADAM",,,,,,,"SUB OUT by REES,ADAM",2
01:26,"SUB OUT by BOYLE,JACK",,,,,,,"SUB OUT by BOYLE,JACK",2
01:26,"SUB OUT by KELBERT,JAMES",,,,,,,"SUB OUT by KELBERT,JAMES",2
01:26,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
01:26,,,,,"SUB IN by BRITT,WILL",,,"SUB IN by BRITT,WILL",2
01:26,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
01:26,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",2
01:15,,,,,"MISS 3PTR by BREWER,KEEGAN",,,"MISS 3PTR by BREWER,KEEGAN",2
--,"REBOUND DEF by EBERLE,MATTHEW",,,,,,,"REBOUND DEF by EBERLE,MATTHEW",2
00:42,"MISS 3PTR by EBERLE,MATTHEW",,,,,,,"MISS 3PTR by EBERLE,MATTHEW",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
00:29,,84 (+20),,64,"GOOD LAYUP by SMITH,RJ(in the paint)",CENTRE-M 84-64 (-20),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
--,,,,,"ASSIST  by KNOCHELMANN,PETE",,,"ASSIST  by KNOCHELMANN,PETE",2
