Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,MARYMO~1,Game Score,Team Indicator,Play,Period
19:34,"GOOD JUMPER by AYERS,PERRY",2 (+2),,0,,CENTRE-M 2-0 (+2),,"GOOD JUMPER by AYERS,PERRY",1
19:16,,2,,3 (+1),"GOOD 3PTR by ETIENNE,STEVE",MARYMO~1 2-3 (-1),,"GOOD 3PTR by ETIENNE,STEVE",1
--,,,,,"ASSIST  by GIARDINA,JOSH",,,"ASSIST  by GIARDINA,JOSH",1
18:56,,,,,"FOUL  by KAMARA,IBRAHIM",,,"FOUL  by KAMARA,IBRAHIM",1
18:40,"GOOD LAYUP by BATES,JACOB(in the paint)",4 (+1),,3,,CENTRE-M 4-3 (+1),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
18:21,,,,,"TURNOVER  by ALBERT,RYAN",,,"TURNOVER  by ALBERT,RYAN",1
18:19,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",1
18:17,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",1
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",1
18:04,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:30,,,,,"TURNOVER  by GIARDINA,JOSH",,,"TURNOVER  by GIARDINA,JOSH",1
17:29,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
17:28,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",1
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",1
17:23,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:22,,,,,"FOUL  by GIARDINA,JOSH",,,"FOUL  by GIARDINA,JOSH",1
17:22,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:22,,,,,"SUB IN by MCCORD,LADARIUS",,,"SUB IN by MCCORD,LADARIUS",1
17:22,,,,,"SUB OUT by GIARDINA,JOSH",,,"SUB OUT by GIARDINA,JOSH",1
17:16,,,,,"TURNOVER  by WALKER,TAIGA",,,"TURNOVER  by WALKER,TAIGA",1
17:14,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",1
16:57,"GOOD LAYUP by WALKER,ART(in the paint)",6 (+3),,3,,CENTRE-M 6-3 (+3),,"GOOD LAYUP by WALKER,ART(in the paint)",1
16:35,,,,,"MISS JUMPER by ETIENNE,STEVE",,,"MISS JUMPER by ETIENNE,STEVE",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
16:34,,,,,"FOUL  by ALBERT,RYAN",,,"FOUL  by ALBERT,RYAN",1
16:34,,,,,"SUB IN by REAVES,XAVIER",,,"SUB IN by REAVES,XAVIER",1
16:34,,,,,"SUB OUT by ALBERT,RYAN",,,"SUB OUT by ALBERT,RYAN",1
16:00,"GOOD LAYUP by BATES,JACOB(in the paint)",8 (+5),,3,,CENTRE-M 8-3 (+5),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
15:44,,,,,"MISS 3PTR by REAVES,XAVIER",,,"MISS 3PTR by REAVES,XAVIER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:40,"TURNOVER  by BAUGHMAN,CARTER",,,,,,,"TURNOVER  by BAUGHMAN,CARTER",1
15:40,,,,,"SUB IN by STERN,ROEY",,,"SUB IN by STERN,ROEY",1
15:40,,,,,"SUB OUT by WALKER,TAIGA",,,"SUB OUT by WALKER,TAIGA",1
15:30,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
15:30,,,,,"MISS FT by ETIENNE,STEVE",,,"MISS FT by ETIENNE,STEVE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:30,,,,,"MISS FT by ETIENNE,STEVE",,,"MISS FT by ETIENNE,STEVE",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
15:03,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,,,,,"REBOUND DEF by REAVES,XAVIER",,,"REBOUND DEF by REAVES,XAVIER",1
14:39,,,,,"MISS LAYUP by ETIENNE,STEVE",,,"MISS LAYUP by ETIENNE,STEVE",1
14:39,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
14:32,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",10 (+7),,3,,CENTRE-M 10-3 (+7),,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
14:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:31,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
14:31,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
14:31,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
14:31,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
14:31,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
14:31,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
14:31,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
14:31,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
14:31,,,,,"SUB IN by GIARDINA,JOSH",,,"SUB IN by GIARDINA,JOSH",1
14:31,,,,,"SUB OUT by KAMARA,IBRAHIM",,,"SUB OUT by KAMARA,IBRAHIM",1
14:12,,,,,"MISS JUMPER by GIARDINA,JOSH",,,"MISS JUMPER by GIARDINA,JOSH",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
13:56,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
13:55,,,,,"STEAL  by REAVES,XAVIER",,,"STEAL  by REAVES,XAVIER",1
13:51,,,,,"MISS 3PTR by STERN,ROEY",,,"MISS 3PTR by STERN,ROEY",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
13:23,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",12 (+9),,3,,CENTRE-M 12-3 (+9),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",1
13:16,,,,,"TURNOVER  by STERN,ROEY",,,"TURNOVER  by STERN,ROEY",1
13:16,,,,,"SUB IN by CLIFTON,ZAMIR",,,"SUB IN by CLIFTON,ZAMIR",1
13:16,,,,,"SUB OUT by ETIENNE,STEVE",,,"SUB OUT by ETIENNE,STEVE",1
13:04,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",14 (+11),,3,,CENTRE-M 14-3 (+11),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
13:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
12:57,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
