Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,WABM,Game Score,Team Indicator,Play,Period
19:47,,,,,"MISS LAYUP by SCHREIBER,KELLEN",,,"MISS LAYUP by SCHREIBER,KELLEN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
19:21,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by SCHREIBER,KELLEN",,,"REBOUND DEF by SCHREIBER,KELLEN",1
18:57,,,,,"TURNOVER  by SCHREIBER,KELLEN",,,"TURNOVER  by SCHREIBER,KELLEN",1
18:36,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,,,,,"REBOUND DEF by GARLAND,COLTEN",,,"REBOUND DEF by GARLAND,COLTEN",1
18:20,,,,,"TURNOVER  by HALLSTROM,HARRISON",,,"TURNOVER  by HALLSTROM,HARRISON",1
18:20,"STEAL  by WALKER,ART",,,,,,,"STEAL  by WALKER,ART",1
18:13,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by GARLAND,COLTEN",,,"REBOUND DEF by GARLAND,COLTEN",1
18:05,,,,,"MISS JUMPER by DAVIDSON,JACK",,,"MISS JUMPER by DAVIDSON,JACK",1
--,,,,,"REBOUND OFF by HALLSTROM,HARRISON",,,"REBOUND OFF by HALLSTROM,HARRISON",1
18:01,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
17:52,,0,,2 (+2),"GOOD LAYUP by HALLSTROM,HARRISON(in the paint)",WABM 0-2 (-2),,"GOOD LAYUP by HALLSTROM,HARRISON(in the paint)",1
17:30,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by HALLSTROM,HARRISON",,,"REBOUND DEF by HALLSTROM,HARRISON",1
17:22,,,,,"MISS LAYUP by DAVIDSON,JACK",,,"MISS LAYUP by DAVIDSON,JACK",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
17:13,"GOOD LAYUP by BATES,JACOB(in the paint)",2,,2,,CENTRE-M 2-2 (0),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
16:50,,,,,"MISS 3PTR by DAVIDSON,JACK",,,"MISS 3PTR by DAVIDSON,JACK",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
16:37,"GOOD JUMPER by AYERS,PERRY",4 (+2),,2,,CENTRE-M 4-2 (+2),,"GOOD JUMPER by AYERS,PERRY",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
16:18,,4,,4,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",WABM 4-4 (0),,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",1
15:50,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
15:50,,,,,"STEAL  by WATSON,TYLER",,,"STEAL  by WATSON,TYLER",1
15:42,,4,,6 (+2),"GOOD LAYUP by GARLAND,COLTEN(fastbreak)(in the paint)",WABM 4-6 (-2),,"GOOD LAYUP by GARLAND,COLTEN(fastbreak)(in the paint)",1
15:23,"GOOD JUMPER by AYERS,PERRY",6,,6,,CENTRE-M 6-6 (0),,"GOOD JUMPER by AYERS,PERRY",1
15:15,,,,,"FOUL  by SCHREIBER,KELLEN",,,"FOUL  by SCHREIBER,KELLEN",1
14:42,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
14:42,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
14:42,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
14:42,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
14:42,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
14:42,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
14:42,,,,,"SUB IN by JONES,AHMONI",,,"SUB IN by JONES,AHMONI",1
