Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:40,,0,,3 (+3),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 0-3 (+3),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
19:17,"GOOD JUMPER by FOSTER,LANE(in the paint)",2,,3 (+1),,OU 2-3 (+1),,"GOOD JUMPER by FOSTER,LANE(in the paint)",1
18:58,"FOUL  by CAMMON,JOSH",,,,,,,"FOUL  by CAMMON,JOSH",1
18:55,,2,,4 (+2),"GOOD FT by BATES,JACOB",Centre 2-4 (+2),,"GOOD FT by BATES,JACOB",1
18:55,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
18:50,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by JENEI,RYAN",,,,,,,"REBOUND DEF by JENEI,RYAN",1
18:49,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
18:24,"TURNOVER  by CHAMBERS,DIMETRI",,,,,,,"TURNOVER  by CHAMBERS,DIMETRI",1
18:24,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
18:16,"FOUL  by SONE,CARLOS",,,,,,,"FOUL  by SONE,CARLOS",1
18:09,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
17:41,"MISS LAYUP by CAMMON,JOSH(in the paint)",,,,,,,"MISS LAYUP by CAMMON,JOSH(in the paint)",1
--,"REBOUND OFF by SONE,CARLOS",,,,,,,"REBOUND OFF by SONE,CARLOS",1
17:27,"MISS LAYUP by CHAMBERS,DIMETRI(in the paint)",,,,,,,"MISS LAYUP by CHAMBERS,DIMETRI(in the paint)",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
17:20,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",1
17:20,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
17:20,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
17:09,"GOOD JUMPER by CAMMON,JOSH(in the paint)",4,,4,,OU 4-4 (0),,"GOOD JUMPER by CAMMON,JOSH(in the paint)",1
16:48,,,,,"MISS JUMPER by RAKES,BAILEY(in the paint)",,,"MISS JUMPER by RAKES,BAILEY(in the paint)",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
16:38,"GOOD 3PTR by FOSTER,LANE",7 (+3),,4,,OU 7-4 (-3),,"GOOD 3PTR by FOSTER,LANE",1
--,"ASSIST  by JENEI,RYAN",,,,,,,"ASSIST  by JENEI,RYAN",1
16:15,"FOUL  by FOSTER,LANE",,,,,,,"FOUL  by FOSTER,LANE",1
16:06,,,,,"MISS LAYUP by BATES,JACOB(in the paint)",,,"MISS LAYUP by BATES,JACOB(in the paint)",1
16:06,"BLOCK  by CAMMON,JOSH",,,,,,,"BLOCK  by CAMMON,JOSH",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
15:59,"TURNOVER  by CAMMON,JOSH",,,,,,,"TURNOVER  by CAMMON,JOSH",1
15:59,,,,,"STEAL  by AYERS,PERRY",,,"STEAL  by AYERS,PERRY",1
15:46,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
15:28,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
15:28,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:28,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
15:28,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
15:28,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
15:28,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
15:28,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
15:28,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
15:28,"GOOD FT by CHAMBERS,DIMETRI",8 (+4),,4,,OU 8-4 (-4),,"GOOD FT by CHAMBERS,DIMETRI",1
15:28,"GOOD FT by CHAMBERS,DIMETRI",9 (+5),,4,,OU 9-4 (-5),,"GOOD FT by CHAMBERS,DIMETRI",1
15:06,,,,,"MISS JUMPER by AYERS,PERRY(in the paint)",,,"MISS JUMPER by AYERS,PERRY(in the paint)",1
--,"REBOUND DEF by CHAMBERS,DIMETRI",,,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",1
14:39,"MISS JUMPER by CHAMBERS,DIMETRI(in the paint)",,,,,,,"MISS JUMPER by CHAMBERS,DIMETRI(in the paint)",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
14:31,,9 (+3),,6,"GOOD JUMPER by WALKER,ART(fastbreak)(in the paint)",Centre 9-6 (-3),,"GOOD JUMPER by WALKER,ART(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
14:14,"TURNOVER  by SONE,CARLOS",,,,,,,"TURNOVER  by SONE,CARLOS",1
14:14,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",1
14:03,,9 (+1),,8,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",Centre 9-8 (-1),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
13:45,"MISS JUMPER by JENEI,RYAN(in the paint)",,,,,,,"MISS JUMPER by JENEI,RYAN(in the paint)",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
13:33,,9,,11 (+2),"GOOD 3PTR by WALKER,ART",Centre 9-11 (+2),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
13:10,"FOUL  by FOSTER,LANE",,,,,,,"FOUL  by FOSTER,LANE",1
13:10,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
13:10,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
13:10,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
13:10,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
13:10,"SUB OUT by CAMMON,JOSH",,,,,,,"SUB OUT by CAMMON,JOSH",1
13:10,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",1
13:10,"SUB IN by DAY,JUSTIN",,,,,,,"SUB IN by DAY,JUSTIN",1
13:10,"SUB IN by ETIWE,TOJU",,,,,,,"SUB IN by ETIWE,TOJU",1
12:58,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
12:51,"MISS LAYUP by DAY,JUSTIN(in the paint)",,,,,,,"MISS LAYUP by DAY,JUSTIN(in the paint)",1
--,"REBOUND OFF by ETIWE,TOJU",,,,,,,"REBOUND OFF by ETIWE,TOJU",1
12:45,"GOOD LAYUP by ETIWE,TOJU(in the paint)",11,,11,,OU 11-11 (0),,"GOOD LAYUP by ETIWE,TOJU(in the paint)",1
12:33,,11,,13 (+2),"GOOD LAYUP by SPITZER,JAKOB(in the paint)",Centre 11-13 (+2),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
12:16,"TURNOVER  by SONE,CARLOS",,,,,,,"TURNOVER  by SONE,CARLOS",1
12:06,"FOUL  by JENEI,RYAN",,,,,,,"FOUL  by JENEI,RYAN",1
12:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
12:00,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
12:00,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
12:00,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:00,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",1
12:00,"SUB IN by GULLEY,TREVOR",,,,,,,"SUB IN by GULLEY,TREVOR",1
12:00,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",1
--,"REBOUND DEF by ETIWE,TOJU",,,,,,,"REBOUND DEF by ETIWE,TOJU",1
11:37,"MISS LAYUP by DAY,JUSTIN(in the paint)",,,,,,,"MISS LAYUP by DAY,JUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
11:16,,11,,15 (+4),"GOOD LAYUP by SPITZER,JAKOB(in the paint)",Centre 11-15 (+4),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
11:06,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
11:06,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
11:06,"SUB OUT by GULLEY,TREVOR",,,,,,,"SUB OUT by GULLEY,TREVOR",1
11:06,"SUB IN by JENEI,RYAN",,,,,,,"SUB IN by JENEI,RYAN",1
10:59,"GOOD 3PTR by CHAMBERS,DIMETRI",14,,15 (+1),,OU 14-15 (+1),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,"ASSIST  by SONE,CARLOS",,,,,,,"ASSIST  by SONE,CARLOS",1
10:39,,,,,"MISS LAYUP by SPITZER,JAKOB(in the paint)",,,"MISS LAYUP by SPITZER,JAKOB(in the paint)",1
--,"REBOUND DEF by DAY,JUSTIN",,,,,,,"REBOUND DEF by DAY,JUSTIN",1
10:39,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
10:25,"MISS JUMPER by CHAMBERS,DIMETRI",,,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
10:03,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
