Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CWR-M,Game Score,Team Indicator,Play,Period
14:34,,,,,"SUB OUT by VOLKENING,MICHAEL",,,"SUB OUT by VOLKENING,MICHAEL",1
14:30,,16 (+3),,13,"GOOD 3PTR by FRILLING,COLE",CWR-M 16-13 (+3),,"GOOD 3PTR by FRILLING,COLE",1
--,,,,,"ASSIST  by FALLER,ROBERT",,,"ASSIST  by FALLER,ROBERT",1
14:05,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",18 (+5),,13,,CENTRE-M 18-13 (+5),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1
13:48,,18 (+2),,16,"GOOD 3PTR by MASIULIONIS,IGNAS",CWR-M 18-16 (+2),,"GOOD 3PTR by MASIULIONIS,IGNAS",1
--,,,,,"ASSIST  by RYAN,CONNOR",,,"ASSIST  by RYAN,CONNOR",1
13:37,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
13:37,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
13:37,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
13:07,"MISS JUMPER by CRUMP,DAWSON",,,,,,,"MISS JUMPER by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by MASIULIONIS,IGNAS",,,"REBOUND DEF by MASIULIONIS,IGNAS",1
12:57,,,,,"MISS LAYUP by FRILLING,COLE",,,"MISS LAYUP by FRILLING,COLE",1
12:57,"BLOCK  by PURVIS,KC",,,,,,,"BLOCK  by PURVIS,KC",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
12:32,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",1
12:30,,,,,"STEAL  by WELLS,SOLOMON",,,"STEAL  by WELLS,SOLOMON",1
12:21,,,,,"MISS 3PTR by MASIULIONIS,IGNAS",,,"MISS 3PTR by MASIULIONIS,IGNAS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:18,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
12:18,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
12:18,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
12:18,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
11:57,"MISS LAYUP by WILLIAMS,JALEN",,,,,,,"MISS LAYUP by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by WELLS,SOLOMON",,,"REBOUND DEF by WELLS,SOLOMON",1
11:48,,,,,"MISS 3PTR by FALLER,ROBERT",,,"MISS 3PTR by FALLER,ROBERT",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
11:31,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by FRILLING,COLE",,,"REBOUND DEF by FRILLING,COLE",1
11:22,,,,,"MISS JUMPER by MASIULIONIS,IGNAS",,,"MISS JUMPER by MASIULIONIS,IGNAS",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
11:19,,,,,"FOUL  by FRILLING,COLE",,,"FOUL  by FRILLING,COLE",1
11:19,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
11:19,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
11:19,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
11:19,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
11:19,,,,,"SUB IN by VOLKENING,MICHAEL",,,"SUB IN by VOLKENING,MICHAEL",1
11:19,,,,,"SUB OUT by RYAN,CONNOR",,,"SUB OUT by RYAN,CONNOR",1
11:04,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",20 (+4),,16,,CENTRE-M 20-16 (+4),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
10:54,,,,,"MISS LAYUP by WELLS,SOLOMON",,,"MISS LAYUP by WELLS,SOLOMON",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
10:47,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by FRILLING,COLE",,,"REBOUND DEF by FRILLING,COLE",1
10:37,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
10:37,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
10:37,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
10:37,,,,,"SUB IN by KHELA,MONTY",,,"SUB IN by KHELA,MONTY",1
10:37,,,,,"SUB OUT by FRILLING,COLE",,,"SUB OUT by FRILLING,COLE",1
10:24,,20 (+1),,19,"GOOD 3PTR by FALLER,ROBERT",CWR-M 20-19 (+1),,"GOOD 3PTR by FALLER,ROBERT",1
--,,,,,"ASSIST  by VOLKENING,MICHAEL",,,"ASSIST  by VOLKENING,MICHAEL",1
09:56,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
09:54,,,,,"STEAL  by FALLER,ROBERT",,,"STEAL  by FALLER,ROBERT",1
09:35,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
09:30,,,,,"MISS LAYUP by KHELA,MONTY",,,"MISS LAYUP by KHELA,MONTY",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
09:24,"MISS LAYUP by BAUGHMAN,CARTER",,,,,,,"MISS LAYUP by BAUGHMAN,CARTER",1
09:24,,,,,"BLOCK  by NEWTON,RYAN",,,"BLOCK  by NEWTON,RYAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:14,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
09:14,,,,,"BLOCK  by NEWTON,RYAN",,,"BLOCK  by NEWTON,RYAN",1
--,,,,,"REBOUND DEF by NEWTON,RYAN",,,"REBOUND DEF by NEWTON,RYAN",1
09:10,,,,,"TURNOVER  by NEWTON,RYAN",,,"TURNOVER  by NEWTON,RYAN",1
09:08,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",1
09:06,"GOOD LAYUP by BATES,JACOB(in the paint)",22 (+3),,19,,CENTRE-M 22-19 (+3),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
08:53,,22 (+1),,21,"GOOD LAYUP by FALLER,ROBERT(in the paint)",CWR-M 22-21 (+1),,"GOOD LAYUP by FALLER,ROBERT(in the paint)",1
--,,,,,"ASSIST  by NEWTON,RYAN",,,"ASSIST  by NEWTON,RYAN",1
08:28,"GOOD 3PTR by RAKES,BAILEY",25 (+4),,21,,CENTRE-M 25-21 (+4),,"GOOD 3PTR by RAKES,BAILEY",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
08:00,,,,,"MISS JUMPER by MASIULIONIS,IGNAS",,,"MISS JUMPER by MASIULIONIS,IGNAS",1
--,,,,,"REBOUND OFF by NEWTON,RYAN",,,"REBOUND OFF by NEWTON,RYAN",1
07:56,,,,,"MISS LAYUP by NEWTON,RYAN",,,"MISS LAYUP by NEWTON,RYAN",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
07:46,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by MASIULIONIS,IGNAS",,,"REBOUND DEF by MASIULIONIS,IGNAS",1
07:33,,25 (+2),,23,"GOOD LAYUP by NEWTON,RYAN(in the paint)",CWR-M 25-23 (+2),,"GOOD LAYUP by NEWTON,RYAN(in the paint)",1
07:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:24,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
07:24,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
07:24,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
07:24,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
07:24,,,,,"SUB IN by HANSEN,SAM",,,"SUB IN by HANSEN,SAM",1
07:24,,,,,"SUB IN by IONADI,ANTONIO",,,"SUB IN by IONADI,ANTONIO",1
07:24,,,,,"SUB IN by RYAN,CONNOR",,,"SUB IN by RYAN,CONNOR",1
07:24,,,,,"SUB OUT by FALLER,ROBERT",,,"SUB OUT by FALLER,ROBERT",1
07:24,,,,,"SUB OUT by MASIULIONIS,IGNAS",,,"SUB OUT by MASIULIONIS,IGNAS",1
07:24,,,,,"SUB OUT by VOLKENING,MICHAEL",,,"SUB OUT by VOLKENING,MICHAEL",1
07:05,"GOOD JUMPER by RAKES,BAILEY",27 (+4),,23,,CENTRE-M 27-23 (+4),,"GOOD JUMPER by RAKES,BAILEY",1
06:38,,,,,"MISS LAYUP by NEWTON,RYAN",,,"MISS LAYUP by NEWTON,RYAN",1
--,,,,,"REBOUND OFF by NEWTON,RYAN",,,"REBOUND OFF by NEWTON,RYAN",1
06:34,,27 (+1),,26,"GOOD 3PTR by IONADI,ANTONIO",CWR-M 27-26 (+1),,"GOOD 3PTR by IONADI,ANTONIO",1
--,,,,,"ASSIST  by NEWTON,RYAN",,,"ASSIST  by NEWTON,RYAN",1
06:05,"GOOD JUMPER by SMITH,RJ",29 (+3),,26,,CENTRE-M 29-26 (+3),,"GOOD JUMPER by SMITH,RJ",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
05:43,,29,,29,"GOOD 3PTR by IONADI,ANTONIO",CWR-M 29-29 (0),,"GOOD 3PTR by IONADI,ANTONIO",1
--,,,,,"ASSIST  by RYAN,CONNOR",,,"ASSIST  by RYAN,CONNOR",1
05:14,"GOOD JUMPER by SMITH,RJ",31 (+2),,29,,CENTRE-M 31-29 (+2),,"GOOD JUMPER by SMITH,RJ",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
04:59,,,,,"MISS 3PTR by IONADI,ANTONIO",,,"MISS 3PTR by IONADI,ANTONIO",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
04:33,"GOOD JUMPER by AYERS,PERRY",33 (+4),,29,,CENTRE-M 33-29 (+4),,"GOOD JUMPER by AYERS,PERRY",1
04:10,,33 (+2),,31,"GOOD LAYUP by NEWTON,RYAN(in the paint)",CWR-M 33-31 (+2),,"GOOD LAYUP by NEWTON,RYAN(in the paint)",1
--,,,,,"ASSIST  by KHELA,MONTY",,,"ASSIST  by KHELA,MONTY",1
03:50,"GOOD 3PTR by BAUGHMAN,CARTER",36 (+5),,31,,CENTRE-M 36-31 (+5),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
03:35,,,,,"MISS 3PTR by NEWTON,RYAN",,,"MISS 3PTR by NEWTON,RYAN",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
03:27,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,,,,,"REBOUND DEF by HANSEN,SAM",,,"REBOUND DEF by HANSEN,SAM",1
03:19,,36 (+2),,34,"GOOD 3PTR by IONADI,ANTONIO",CWR-M 36-34 (+2),,"GOOD 3PTR by IONADI,ANTONIO",1
--,,,,,"ASSIST  by HANSEN,SAM",,,"ASSIST  by HANSEN,SAM",1
03:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:16,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
03:16,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
03:16,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
03:16,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
03:16,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
03:16,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
03:16,,,,,"SUB IN by WELLS,SOLOMON",,,"SUB IN by WELLS,SOLOMON",1
03:16,,,,,"SUB IN by FALLER,ROBERT",,,"SUB IN by FALLER,ROBERT",1
03:16,,,,,"SUB IN by FRILLING,COLE",,,"SUB IN by FRILLING,COLE",1
03:16,,,,,"SUB IN by VOLKENING,MICHAEL",,,"SUB IN by VOLKENING,MICHAEL",1
03:16,,,,,"SUB OUT by HANSEN,SAM",,,"SUB OUT by HANSEN,SAM",1
03:16,,,,,"SUB OUT by NEWTON,RYAN",,,"SUB OUT by NEWTON,RYAN",1
03:16,,,,,"SUB OUT by RYAN,CONNOR",,,"SUB OUT by RYAN,CONNOR",1
03:16,,,,,"SUB OUT by KHELA,MONTY",,,"SUB OUT by KHELA,MONTY",1
02:53,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
02:39,,,,,"TURNOVER  by WELLS,SOLOMON",,,"TURNOVER  by WELLS,SOLOMON",1
02:38,"STEAL  by WALKER,ART",,,,,,,"STEAL  by WALKER,ART",1
02:20,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
02:20,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
02:03,,,,,"MISS 3PTR by IONADI,ANTONIO",,,"MISS 3PTR by IONADI,ANTONIO",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
01:51,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
01:36,,36,,36,"GOOD LAYUP by FALLER,ROBERT(in the paint)",CWR-M 36-36 (0),,"GOOD LAYUP by FALLER,ROBERT(in the paint)",1
--,,,,,"ASSIST  by FRILLING,COLE",,,"ASSIST  by FRILLING,COLE",1
01:07,"GOOD JUMPER by BATES,JACOB",38 (+2),,36,,CENTRE-M 38-36 (+2),,"GOOD JUMPER by BATES,JACOB",1
00:58,,38,,39 (+1),"GOOD 3PTR by IONADI,ANTONIO",CWR-M 38-39 (-1),,"GOOD 3PTR by IONADI,ANTONIO",1
--,,,,,"ASSIST  by VOLKENING,MICHAEL",,,"ASSIST  by VOLKENING,MICHAEL",1
00:56,,,,,"FOUL  by VOLKENING,MICHAEL",,,"FOUL  by VOLKENING,MICHAEL",1
00:56,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
00:56,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
00:56,,,,,"SUB IN by RYAN,CONNOR",,,"SUB IN by RYAN,CONNOR",1
00:56,,,,,"SUB OUT by VOLKENING,MICHAEL",,,"SUB OUT by VOLKENING,MICHAEL",1
00:46,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
00:46,,,,,"STEAL  by FALLER,ROBERT",,,"STEAL  by FALLER,ROBERT",1
00:46,,,,,"TURNOVER  by FALLER,ROBERT",,,"TURNOVER  by FALLER,ROBERT",1
00:39,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
00:37,,,,,"STEAL  by IONADI,ANTONIO",,,"STEAL  by IONADI,ANTONIO",1
00:28,,,,,"MISS LAYUP by RYAN,CONNOR",,,"MISS LAYUP by RYAN,CONNOR",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
00:09,,,,,"FOUL  by FALLER,ROBERT",,,"FOUL  by FALLER,ROBERT",1
00:08,,,,,"SUB IN by HANSEN,SAM",,,"SUB IN by HANSEN,SAM",1
00:08,,,,,"SUB OUT by IONADI,ANTONIO",,,"SUB OUT by IONADI,ANTONIO",1
00:06,,,,,"FOUL  by FALLER,ROBERT",,,"FOUL  by FALLER,ROBERT",1
00:06,,,,,"SUB IN by KHELA,MONTY",,,"SUB IN by KHELA,MONTY",1
00:06,,,,,"SUB OUT by FALLER,ROBERT",,,"SUB OUT by FALLER,ROBERT",1
00:03,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:46,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
19:29,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
19:29,,,,,"MISS FT by NEWTON,RYAN",,,"MISS FT by NEWTON,RYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:29,,38,,40 (+2),"GOOD FT by NEWTON,RYAN",CWR-M 38-40 (-2),,"GOOD FT by NEWTON,RYAN",2
19:08,,,,,"FOUL  by NEWTON,RYAN",,,"FOUL  by NEWTON,RYAN",2
19:01,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
18:58,,,,,"FOUL  by HANSEN,SAM",,,"FOUL  by HANSEN,SAM",2
18:54,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by NEWTON,RYAN",,,"REBOUND DEF by NEWTON,RYAN",2
18:46,,,,,"TURNOVER  by NEWTON,RYAN",,,"TURNOVER  by NEWTON,RYAN",2
18:44,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
18:42,"MISS LAYUP by WALKER,ART",,,,,,,"MISS LAYUP by WALKER,ART",2
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",2
18:29,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",2
18:29,,,,,"BLOCK  by VOLKENING,MICHAEL",,,"BLOCK  by VOLKENING,MICHAEL",2
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",2
18:23,"GOOD LAYUP by RAKES,BAILEY(in the paint)",40,,40,,CENTRE-M 40-40 (0),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2
18:05,,,,,"MISS 3PTR by KHELA,MONTY",,,"MISS 3PTR by KHELA,MONTY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
18:02,,,,,"FOUL  by NEWTON,RYAN",,,"FOUL  by NEWTON,RYAN",2
17:40,"GOOD LAYUP by BATES,JACOB(in the paint)",42 (+2),,40,,CENTRE-M 42-40 (+2),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
17:17,,42,,42,"GOOD LAYUP by NEWTON,RYAN(in the paint)",CWR-M 42-42 (0),,"GOOD LAYUP by NEWTON,RYAN(in the paint)",2
17:04,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by IONADI,ANTONIO",,,"REBOUND DEF by IONADI,ANTONIO",2
16:54,,42,,44 (+2),"GOOD LAYUP by VOLKENING,MICHAEL(in the paint)",CWR-M 42-44 (-2),,"GOOD LAYUP by VOLKENING,MICHAEL(in the paint)",2
16:33,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by KHELA,MONTY",,,"REBOUND DEF by KHELA,MONTY",2
16:10,,,,,"TURNOVER  by VOLKENING,MICHAEL",,,"TURNOVER  by VOLKENING,MICHAEL",2
16:09,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
16:06,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",44,,44,,CENTRE-M 44-44 (0),,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",2
15:42,,,,,"MISS JUMPER by KHELA,MONTY",,,"MISS JUMPER by KHELA,MONTY",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
15:33,"GOOD LAYUP by BATES,JACOB(in the paint)",46 (+2),,44,,CENTRE-M 46-44 (+2),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
15:04,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",2
15:04,,46 (+1),,45,"GOOD FT by VOLKENING,MICHAEL",CWR-M 46-45 (+1),,"GOOD FT by VOLKENING,MICHAEL",2
