Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CWR-M,Game Score,Team Indicator,Play,Period
19:33,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
19:15,,,,,"MISS 3PTR by NEWTON,RYAN",,,"MISS 3PTR by NEWTON,RYAN",1
--,,,,,"REBOUND OFF by NEWTON,RYAN",,,"REBOUND OFF by NEWTON,RYAN",1
19:08,,0,,2 (+2),"GOOD LAYUP by NEWTON,RYAN(in the paint)",CWR-M 0-2 (-2),,"GOOD LAYUP by NEWTON,RYAN(in the paint)",1
19:08,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
19:08,,,,,"MISS FT by NEWTON,RYAN",,,"MISS FT by NEWTON,RYAN",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
18:50,"GOOD 3PTR by BAUGHMAN,CARTER",3 (+1),,2,,CENTRE-M 3-2 (+1),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
18:30,,3,,4 (+1),"GOOD JUMPER by KHELA,MONTY(in the paint)",CWR-M 3-4 (-1),,"GOOD JUMPER by KHELA,MONTY(in the paint)",1
17:58,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",1
17:58,,,,,"BLOCK  by VOLKENING,MICHAEL",,,"BLOCK  by VOLKENING,MICHAEL",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
17:56,,,,,"FOUL  by KHELA,MONTY",,,"FOUL  by KHELA,MONTY",1
17:56,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:56,"GOOD FT by BATES,JACOB",4,,4,,CENTRE-M 4-4 (0),,"GOOD FT by BATES,JACOB",1
17:44,,,,,"MISS 3PTR by IONADI,ANTONIO",,,"MISS 3PTR by IONADI,ANTONIO",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:24,"GOOD 3PTR by RAKES,BAILEY",7 (+3),,4,,CENTRE-M 7-4 (+3),,"GOOD 3PTR by RAKES,BAILEY",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
16:57,,,,,"MISS 3PTR by KHELA,MONTY",,,"MISS 3PTR by KHELA,MONTY",1
--,,,,,"REBOUND OFF by HANSEN,SAM",,,"REBOUND OFF by HANSEN,SAM",1
16:50,,,,,"MISS 3PTR by IONADI,ANTONIO",,,"MISS 3PTR by IONADI,ANTONIO",1
--,,,,,"REBOUND OFF by VOLKENING,MICHAEL",,,"REBOUND OFF by VOLKENING,MICHAEL",1
16:46,,7,,7,"GOOD 3PTR by IONADI,ANTONIO",CWR-M 7-7 (0),,"GOOD 3PTR by IONADI,ANTONIO",1
--,,,,,"ASSIST  by VOLKENING,MICHAEL",,,"ASSIST  by VOLKENING,MICHAEL",1
16:26,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
16:26,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
16:26,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
16:05,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
16:05,,,,,"MISS FT by VOLKENING,MICHAEL",,,"MISS FT by VOLKENING,MICHAEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:05,,7,,8 (+1),"GOOD FT by VOLKENING,MICHAEL",CWR-M 7-8 (-1),,"GOOD FT by VOLKENING,MICHAEL",1
16:05,,,,,"SUB IN by FRILLING,COLE",,,"SUB IN by FRILLING,COLE",1
16:05,,,,,"SUB OUT by KHELA,MONTY",,,"SUB OUT by KHELA,MONTY",1
15:48,"GOOD 3PTR by CRUMP,DAWSON",10 (+2),,8,,CENTRE-M 10-8 (+2),,"GOOD 3PTR by CRUMP,DAWSON",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
15:32,,10,,10,"GOOD JUMPER by VOLKENING,MICHAEL",CWR-M 10-10 (0),,"GOOD JUMPER by VOLKENING,MICHAEL",1
15:11,"GOOD 3PTR by WALKER,ART",13 (+3),,10,,CENTRE-M 13-10 (+3),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
14:46,,,,,"MISS LAYUP by NEWTON,RYAN",,,"MISS LAYUP by NEWTON,RYAN",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
14:36,"GOOD 3PTR by WALKER,ART",16 (+6),,10,,CENTRE-M 16-10 (+6),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
14:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:34,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
14:34,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
14:34,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
14:34,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
14:34,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
14:34,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
14:34,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
14:34,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
14:34,,,,,"SUB IN by FALLER,ROBERT",,,"SUB IN by FALLER,ROBERT",1
14:34,,,,,"SUB IN by MASIULIONIS,IGNAS",,,"SUB IN by MASIULIONIS,IGNAS",1
14:34,,,,,"SUB IN by RYAN,CONNOR",,,"SUB IN by RYAN,CONNOR",1
14:34,,,,,"SUB OUT by HANSEN,SAM",,,"SUB OUT by HANSEN,SAM",1
14:34,,,,,"SUB OUT by IONADI,ANTONIO",,,"SUB OUT by IONADI,ANTONIO",1
