Time Remaining,GUMBB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:51,,0,,2 (+2),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 0-2 (+2),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
19:41,"GOOD JUMPER by GRADY,SONTIAGO",2,,2,,GUMBB 2-2 (0),,"GOOD JUMPER by GRADY,SONTIAGO",1
19:32,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
19:22,"MISS 3PTR by JOHNSON,HENRY",,,,,,,"MISS 3PTR by JOHNSON,HENRY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:20,"FOUL  by PINKARD,QUINCY",,,,,,,"FOUL  by PINKARD,QUINCY",1
19:09,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
19:09,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
19:09,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
19:09,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
18:59,"GOOD 3PTR by PINKARD,QUINCY",5 (+3),,2,,GUMBB 5-2 (-3),,"GOOD 3PTR by PINKARD,QUINCY",1
18:45,,5 (+1),,4,"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 5-4 (-1),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
18:34,"TURNOVER  by SIMMONS,RILEY",,,,,,,"TURNOVER  by SIMMONS,RILEY",1
18:32,,,,,"STEAL  by AYERS,PERRY",,,"STEAL  by AYERS,PERRY",1
18:30,"FOUL  by JOHNSON,HENRY",,,,,,,"FOUL  by JOHNSON,HENRY",1
18:30,,,,,"MISS FT by CRUMP,DAWSON",,,"MISS FT by CRUMP,DAWSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:30,,5,,5,"GOOD FT by CRUMP,DAWSON",CENTRE-M 5-5 (0),,"GOOD FT by CRUMP,DAWSON",1
18:30,"SUB IN by MURPHY,RAKIM",,,,,,,"SUB IN by MURPHY,RAKIM",1
18:30,"SUB IN by VINSEL,KAMERON",,,,,,,"SUB IN by VINSEL,KAMERON",1
18:30,"SUB IN by NIXON,BARRY",,,,,,,"SUB IN by NIXON,BARRY",1
18:30,"SUB IN by BANKOWSKI,DUSTIN",,,,,,,"SUB IN by BANKOWSKI,DUSTIN",1
18:30,"SUB IN by EDMOND,KENDALL",,,,,,,"SUB IN by EDMOND,KENDALL",1
18:30,"SUB OUT by PINKARD,QUINCY",,,,,,,"SUB OUT by PINKARD,QUINCY",1
18:30,"SUB OUT by JOHNSON,HENRY",,,,,,,"SUB OUT by JOHNSON,HENRY",1
18:30,"SUB OUT by SIMMONS,RILEY",,,,,,,"SUB OUT by SIMMONS,RILEY",1
18:30,"SUB OUT by GRADY,SONTIAGO",,,,,,,"SUB OUT by GRADY,SONTIAGO",1
