Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:42,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",1
19:42,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
19:42,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
19:25,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
19:25,"STEAL  by CRUMP,DAWSON",,,,,,,"STEAL  by CRUMP,DAWSON",1
18:58,"GOOD 3PTR by CRUMP,DAWSON",3 (+3),,0,,Centre 3-0 (+3),,"GOOD 3PTR by CRUMP,DAWSON",1
18:44,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
18:44,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
18:44,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
18:27,,,,,"FOUL  by GALVIN,OWEN",,,"FOUL  by GALVIN,OWEN",1
18:27,"GOOD FT by BATES,JACOB",4 (+4),,0,,Centre 4-0 (+4),,"GOOD FT by BATES,JACOB",1
18:26,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
18:12,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
18:03,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",,,,,,,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",1
--,,,,,"REBOUND DEF by DE FERIA,NICK",,,"REBOUND DEF by DE FERIA,NICK",1
17:51,,,,,"MISS JUMPER by DE FERIA,NICK",,,"MISS JUMPER by DE FERIA,NICK",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
17:44,,,,,"FOUL  by DE FERIA,NICK",,,"FOUL  by DE FERIA,NICK",1
17:44,"GOOD FT by WALKER,ART(fastbreak)",5 (+5),,0,,Centre 5-0 (+5),,"GOOD FT by WALKER,ART(fastbreak)",1
17:44,"MISS FT by WALKER,ART(fastbreak)",,,,,,,"MISS FT by WALKER,ART(fastbreak)",1
17:43,,,,,"SUB OUT by DE FERIA,NICK",,,"SUB OUT by DE FERIA,NICK",1
17:43,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
17:33,,5 (+2),,3,"GOOD 3PTR by NESTLEHUTT,JAKE",Rhodes 5-3 (+2),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
17:21,"GOOD JUMPER by WALKER,ART(in the paint)",7 (+4),,3,,Centre 7-3 (+4),,"GOOD JUMPER by WALKER,ART(in the paint)",1
16:58,,7 (+2),,5,"GOOD LAYUP by GALVIN,OWEN(in the paint)",Rhodes 7-5 (+2),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
16:30,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
16:21,,7,,7,"GOOD JUMPER by GALVIN,OWEN",Rhodes 7-7 (0),,"GOOD JUMPER by GALVIN,OWEN",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
16:01,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
