Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:50,"GOOD LAYUP by WILEY,KOKI(in the paint)",2 (+2),,0,,Rhodes 2-0 (-2),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
19:26,,2,,2,"GOOD JUMPER by AYERS,PERRY(in the paint)",Centre 2-2 (0),,"GOOD JUMPER by AYERS,PERRY(in the paint)",1
19:10,"MISS JUMPER by ESSICK,JALEN",,,,,,,"MISS JUMPER by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
18:59,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
18:49,"GOOD JUMPER by ESSICK,JALEN(in the paint)",4 (+2),,2,,Rhodes 4-2 (-2),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
18:34,,4,,5 (+1),"GOOD 3PTR by RAKES,BAILEY",Centre 4-5 (+1),,"GOOD 3PTR by RAKES,BAILEY",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
18:12,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
17:53,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
17:53,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
17:48,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
17:45,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
17:43,,4,,7 (+3),"GOOD LAYUP by RAKES,BAILEY(in the paint)",Centre 4-7 (+3),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
17:20,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",6,,7 (+1),,Rhodes 6-7 (+1),,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",1
17:06,,,,,"MISS JUMPER by WALKER,ART(in the paint)",,,"MISS JUMPER by WALKER,ART(in the paint)",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
16:59,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
16:59,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:59,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
16:59,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
16:59,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
16:21,,,,,"MISS JUMPER by BATES,JACOB(in the paint)",,,"MISS JUMPER by BATES,JACOB(in the paint)",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
16:15,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
16:15,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
16:15,"SUB OUT by DE FERIA,NICK",,,,,,,"SUB OUT by DE FERIA,NICK",1
16:15,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
16:15,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
16:15,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
16:04,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
16:04,"STEAL  by WEATHERFORD,MITCH",,,,,,,"STEAL  by WEATHERFORD,MITCH",1
15:53,"MISS JUMPER by GIROUX,PRESTON(in the paint)",,,,,,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",1
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",1
15:38,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
15:38,"STEAL  by JAMES,MAC",,,,,,,"STEAL  by JAMES,MAC",1
15:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
