Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
19:41,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
19:41,,,,,"STEAL  by ESTES,DJ",,,"STEAL  by ESTES,DJ",1
19:16,,,,,"MISS 3PTR by CLARK,ETHAN",,,"MISS 3PTR by CLARK,ETHAN",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
18:54,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by ESTES,DJ",,,"REBOUND DEF by ESTES,DJ",1
18:30,,,,,"MISS 3PTR by ESTES,DJ",,,"MISS 3PTR by ESTES,DJ",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
18:10,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
18:10,,,,,"STEAL  by HAYNES,CALEB",,,"STEAL  by HAYNES,CALEB",1
18:10,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
18:09,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
18:09,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
18:01,,,,,"MISS LAYUP by HAYNES,CALEB(in the paint)",,,"MISS LAYUP by HAYNES,CALEB(in the paint)",1
--,,,,,"REBOUND OFF by COSTAS,RILEY",,,"REBOUND OFF by COSTAS,RILEY",1
17:56,,,,,"MISS LAYUP by COSTAS,RILEY(in the paint)",,,"MISS LAYUP by COSTAS,RILEY(in the paint)",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
17:51,"GOOD 3PTR by AYERS,PERRY",3 (+3),,0,,Centre 3-0 (+3),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
17:26,,3 (+1),,2,"GOOD JUMPER by CUMMINGS,DREW(in the paint)",Berry 3-2 (+1),,"GOOD JUMPER by CUMMINGS,DREW(in the paint)",1
17:08,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND DEF by CUMMINGS,DREW",,,"REBOUND DEF by CUMMINGS,DREW",1
16:42,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",1
16:42,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
16:42,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
16:42,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",1
16:42,,,,,"SUB IN by JONES,DREW",,,"SUB IN by JONES,DREW",1
16:10,,,,,"MISS 3PTR by ESTES,DJ",,,"MISS 3PTR by ESTES,DJ",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
16:00,,,,,"FOUL  by COSTAS,RILEY",,,"FOUL  by COSTAS,RILEY",1
16:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
16:00,,,,,"SUB OUT by ESTES,DJ",,,"SUB OUT by ESTES,DJ",1
16:00,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",1
16:00,,,,,"SUB IN by WEHUNT,DAWSON",,,"SUB IN by WEHUNT,DAWSON",1
16:00,,,,,"SUB IN by BROOKS,AUSTIN",,,"SUB IN by BROOKS,AUSTIN",1
16:00,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
16:00,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
16:00,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
16:00,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
16:00,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
16:00,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
15:39,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",1
--,,,,,"REBOUND DEF by BROOKS,AUSTIN",,,"REBOUND DEF by BROOKS,AUSTIN",1
15:16,,3,,4 (+1),"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",Berry 3-4 (-1),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
14:50,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,,,,,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1
14:26,,,,,"MISS 3PTR by JONES,DREW",,,"MISS 3PTR by JONES,DREW",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
14:04,,,,,"FOUL  by BROOKS,AUSTIN",,,"FOUL  by BROOKS,AUSTIN",1
14:04,"GOOD FT by CRUMP,DAWSON",4,,4,,Centre 4-4 (0),,"GOOD FT by CRUMP,DAWSON",1
14:04,"GOOD FT by CRUMP,DAWSON",5 (+1),,4,,Centre 5-4 (+1),,"GOOD FT by CRUMP,DAWSON",1
14:04,,,,,"SUB OUT by CUMMINGS,DREW",,,"SUB OUT by CUMMINGS,DREW",1
14:04,,,,,"SUB OUT by COSTAS,RILEY",,,"SUB OUT by COSTAS,RILEY",1
14:04,,,,,"SUB IN by SOWADA,COLLIN",,,"SUB IN by SOWADA,COLLIN",1
14:04,,,,,"SUB IN by HASLAM,ETHAN",,,"SUB IN by HASLAM,ETHAN",1
14:04,"GOOD FT by CRUMP,DAWSON",6 (+2),,4,,Centre 6-4 (+2),,"GOOD FT by CRUMP,DAWSON",1
13:56,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
13:56,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
13:50,,,,,"TURNOVER  by HASLAM,ETHAN",,,"TURNOVER  by HASLAM,ETHAN",1
13:50,"STEAL  by WILSON,DREW",,,,,,,"STEAL  by WILSON,DREW",1
13:42,"GOOD 3PTR by CRUMP,DAWSON(fastbreak)",9 (+5),,4,,Centre 9-4 (+5),,"GOOD 3PTR by CRUMP,DAWSON(fastbreak)",1
13:20,,,,,"MISS 3PTR by SOWADA,COLLIN",,,"MISS 3PTR by SOWADA,COLLIN",1
--,,,,,"REBOUND OFF by BROOKS,AUSTIN",,,"REBOUND OFF by BROOKS,AUSTIN",1
13:14,,,,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",1
--,,,,,"REBOUND OFF by JONES,DREW",,,"REBOUND OFF by JONES,DREW",1
13:07,,9 (+3),,6,"GOOD LAYUP by JONES,DREW(in the paint)",Berry 9-6 (+3),,"GOOD LAYUP by JONES,DREW(in the paint)",1
12:47,"MISS JUMPER by SPITZER,JAKOB(in the paint)",,,,,,,"MISS JUMPER by SPITZER,JAKOB(in the paint)",1
--,,,,,"REBOUND DEF by BROOKS,AUSTIN",,,"REBOUND DEF by BROOKS,AUSTIN",1
12:18,,,,,"MISS LAYUP by SOWADA,COLLIN(in the paint)",,,"MISS LAYUP by SOWADA,COLLIN(in the paint)",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
11:55,"GOOD LAYUP by PURVIS,KC(in the paint)",11 (+5),,6,,Centre 11-6 (+5),,"GOOD LAYUP by PURVIS,KC(in the paint)",1
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",1
11:31,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
11:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:31,,,,,"SUB OUT by WEHUNT,DAWSON",,,"SUB OUT by WEHUNT,DAWSON",1
11:31,,,,,"SUB OUT by HASLAM,ETHAN",,,"SUB OUT by HASLAM,ETHAN",1
11:31,,,,,"SUB OUT by BROOKS,AUSTIN",,,"SUB OUT by BROOKS,AUSTIN",1
11:31,,,,,"SUB IN by ESTES,DJ",,,"SUB IN by ESTES,DJ",1
11:31,,,,,"SUB IN by HAYNES,CALEB",,,"SUB IN by HAYNES,CALEB",1
11:31,,,,,"SUB IN by MBENOUN,ROB",,,"SUB IN by MBENOUN,ROB",1
11:31,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
11:31,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
11:31,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
11:31,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
11:31,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
11:31,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
11:11,,,,,"TURNOVER  by SOWADA,COLLIN",,,"TURNOVER  by SOWADA,COLLIN",1
11:11,"STEAL  by SPITZER,JAKOB",,,,,,,"STEAL  by SPITZER,JAKOB",1
10:55,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
10:35,,,,,"MISS 3PTR by ESTES,DJ",,,"MISS 3PTR by ESTES,DJ",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:26,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
10:26,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
10:20,,,,,"SUB OUT by SOWADA,COLLIN",,,"SUB OUT by SOWADA,COLLIN",1
10:20,,,,,"SUB IN by JOHNSON,MICAH",,,"SUB IN by JOHNSON,MICAH",1
10:16,"GOOD LAYUP by BATES,JACOB(in the paint)",13 (+7),,6,,Centre 13-6 (+7),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
10:02,,,,,"MISS LAYUP by HAYNES,CALEB(in the paint)",,,"MISS LAYUP by HAYNES,CALEB(in the paint)",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
09:53,"GOOD LAYUP by BATES,JACOB(in the paint)",15 (+9),,6,,Centre 15-6 (+9),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
09:51,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:51,,,,,"SUB OUT by JONES,DREW",,,"SUB OUT by JONES,DREW",1
09:51,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",1
09:51,,,,,"SUB IN by BROOKS,AUSTIN",,,"SUB IN by BROOKS,AUSTIN",1
09:51,,,,,"SUB IN by FALCONER,TREY",,,"SUB IN by FALCONER,TREY",1
09:51,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
09:51,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
09:32,,,,,"MISS JUMPER by FALCONER,TREY",,,"MISS JUMPER by FALCONER,TREY",1
--,,,,,"REBOUND OFF by JOHNSON,MICAH",,,"REBOUND OFF by JOHNSON,MICAH",1
09:26,,,,,"MISS 3PTR by MBENOUN,ROB",,,"MISS 3PTR by MBENOUN,ROB",1
--,,,,,"REBOUND OFF by ESTES,DJ",,,"REBOUND OFF by ESTES,DJ",1
09:07,,,,,"MISS 3PTR by MBENOUN,ROB",,,"MISS 3PTR by MBENOUN,ROB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:57,,,,,"TURNOVER  by JOHNSON,MICAH",,,"TURNOVER  by JOHNSON,MICAH",1
08:47,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
08:47,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
