Time Remaining,Transy,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:45,"GOOD LAYUP by SCHROEDER,LUKE(in the paint)",2 (+2),,0,,Transy 2-0 (-2),,"GOOD LAYUP by SCHROEDER,LUKE(in the paint)",1
--,"ASSIST  by SCHMITT,GABE",,,,,,,"ASSIST  by SCHMITT,GABE",1
19:28,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by SCHMITT,GABE",,,,,,,"REBOUND DEF by SCHMITT,GABE",1
19:13,"GOOD JUMPER by SCHROEDER,LUKE(in the paint)",4 (+4),,0,,Transy 4-0 (-4),,"GOOD JUMPER by SCHROEDER,LUKE(in the paint)",1
--,"ASSIST  by LARIMORE,ZACH",,,,,,,"ASSIST  by LARIMORE,ZACH",1
18:50,"FOUL  by SCHROEDER,LUKE",,,,,,,"FOUL  by SCHROEDER,LUKE",1
18:50,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:50,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,"REBOUND DEF by LARIMORE,ZACH",,,,,,,"REBOUND DEF by LARIMORE,ZACH",1
18:31,"GOOD JUMPER by LARIMORE,ZACH",6 (+6),,0,,Transy 6-0 (-6),,"GOOD JUMPER by LARIMORE,ZACH",1
--,"ASSIST  by JEFFERSON,MICHAEL",,,,,,,"ASSIST  by JEFFERSON,MICHAEL",1
18:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:55,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
17:35,"MISS 3PTR by SCHMITT,GABE",,,,,,,"MISS 3PTR by SCHMITT,GABE",1
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",1
