Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,FCMBB,Game Score,Team Indicator,Play,Period
12:15,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by MEYER,KYLE",,,"REBOUND DEF by MEYER,KYLE",1
12:09,,,,,"MISS LAYUP by KENNEDY,BORDEN",,,"MISS LAYUP by KENNEDY,BORDEN",1
12:09,"BLOCK  by SPITZER,JAKOB",,,,,,,"BLOCK  by SPITZER,JAKOB",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
12:03,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
12:01,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
12:01,,13,,17 (+4),"GOOD FT by KRAUSE,MATT",FCMBB 13-17 (-4),,"GOOD FT by KRAUSE,MATT",1
12:01,,13,,18 (+5),"GOOD FT by KRAUSE,MATT",FCMBB 13-18 (-5),,"GOOD FT by KRAUSE,MATT",1
12:01,,,,,"SUB IN by PATTERSON,BENNIE",,,"SUB IN by PATTERSON,BENNIE",1
12:01,,,,,"SUB OUT by KENNEDY,BORDEN",,,"SUB OUT by KENNEDY,BORDEN",1
11:46,"GOOD LAYUP by RAKES,BAILEY(in the paint)",15,,18 (+3),,CENTRE 15-18 (-3),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
--,"ASSIST  by SPITZER,JAKOB",,,,,,,"ASSIST  by SPITZER,JAKOB",1
11:29,,,,,"MISS JUMPER by GUTIERREZ,SAM",,,"MISS JUMPER by GUTIERREZ,SAM",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
11:17,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",17,,18 (+1),,CENTRE 17-18 (-1),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
11:05,,,,,"TURNOVER  by MEYER,KYLE",,,"TURNOVER  by MEYER,KYLE",1
11:04,"STEAL  by WILLIAMS,JALEN",,,,,,,"STEAL  by WILLIAMS,JALEN",1
11:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:04,,,,,"SUB IN by MORRIS,KALE",,,"SUB IN by MORRIS,KALE",1
11:04,,,,,"SUB OUT by KRAUSE,MATT",,,"SUB OUT by KRAUSE,MATT",1
10:51,,,,,"FOUL  by ANDERSON,JORDAN",,,"FOUL  by ANDERSON,JORDAN",1
10:35,"MISS LAYUP by CRUMP,DAWSON",,,,,,,"MISS LAYUP by CRUMP,DAWSON",1
10:35,,,,,"BLOCK  by MEYER,KYLE",,,"BLOCK  by MEYER,KYLE",1
--,,,,,"REBOUND DEF by PATTERSON,BENNIE",,,"REBOUND DEF by PATTERSON,BENNIE",1
10:15,,17,,20 (+3),"GOOD JUMPER by GUTIERREZ,SAM(in the paint)",FCMBB 17-20 (-3),,"GOOD JUMPER by GUTIERREZ,SAM(in the paint)",1
09:59,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",19,,20 (+1),,CENTRE 19-20 (-1),,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",1
09:39,,,,,"TURNOVER  by GUTIERREZ,SAM",,,"TURNOVER  by GUTIERREZ,SAM",1
09:37,"STEAL  by PURVIS,KC",,,,,,,"STEAL  by PURVIS,KC",1
09:27,,,,,"FOUL  by GUTIERREZ,SAM",,,"FOUL  by GUTIERREZ,SAM",1
09:27,"GOOD FT by SPITZER,JAKOB",20,,20,,CENTRE 20-20 (0),,"GOOD FT by SPITZER,JAKOB",1
09:27,"GOOD FT by SPITZER,JAKOB",21 (+1),,20,,CENTRE 21-20 (+1),,"GOOD FT by SPITZER,JAKOB",1
09:27,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
09:27,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
09:27,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
09:27,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
09:27,,,,,"SUB IN by KENNEDY,BORDEN",,,"SUB IN by KENNEDY,BORDEN",1
09:27,,,,,"SUB IN by MANSBARGER,RYAN",,,"SUB IN by MANSBARGER,RYAN",1
09:27,,,,,"SUB IN by MILLS,PAYTON",,,"SUB IN by MILLS,PAYTON",1
09:27,,,,,"SUB OUT by MEYER,KYLE",,,"SUB OUT by MEYER,KYLE",1
09:27,,,,,"SUB OUT by GUTIERREZ,SAM",,,"SUB OUT by GUTIERREZ,SAM",1
09:27,,,,,"SUB OUT by PATTERSON,BENNIE",,,"SUB OUT by PATTERSON,BENNIE",1
09:12,,,,,"TURNOVER  by MILLS,PAYTON",,,"TURNOVER  by MILLS,PAYTON",1
09:12,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
09:12,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
08:59,,,,,"FOUL  by MILLS,PAYTON",,,"FOUL  by MILLS,PAYTON",1
08:50,"GOOD LAYUP by BATES,JACOB(in the paint)",23 (+3),,20,,CENTRE 23-20 (+3),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
08:32,,23 (+1),,22,"GOOD LAYUP by MILLS,PAYTON(in the paint)",FCMBB 23-22 (+1),,"GOOD LAYUP by MILLS,PAYTON(in the paint)",1
08:08,"GOOD LAYUP by WALKER,ART(in the paint)",25 (+3),,22,,CENTRE 25-22 (+3),,"GOOD LAYUP by WALKER,ART(in the paint)",1
07:52,,,,,"MISS LAYUP by MILLS,PAYTON",,,"MISS LAYUP by MILLS,PAYTON",1
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",1
07:44,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by MILLS,PAYTON",,,"REBOUND DEF by MILLS,PAYTON",1
07:20,,,,,"MISS 3PTR by ANDERSON,JORDAN",,,"MISS 3PTR by ANDERSON,JORDAN",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
07:12,"MISS LAYUP by BAUGHMAN,CARTER",,,,,,,"MISS LAYUP by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by MILLS,PAYTON",,,"REBOUND DEF by MILLS,PAYTON",1
06:43,,,,,"TURNOVER  by MILLS,PAYTON",,,"TURNOVER  by MILLS,PAYTON",1
06:38,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
06:38,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
06:38,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
06:38,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
06:38,,,,,"SUB IN by GOGGANS,DANNY",,,"SUB IN by GOGGANS,DANNY",1
06:38,,,,,"SUB IN by KRAUSE,MATT",,,"SUB IN by KRAUSE,MATT",1
06:38,,,,,"SUB OUT by MILLS,PAYTON",,,"SUB OUT by MILLS,PAYTON",1
06:38,,,,,"SUB OUT by MORRIS,KALE",,,"SUB OUT by MORRIS,KALE",1
06:19,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
06:19,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
06:19,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
06:19,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
06:19,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
06:06,,,,,"MISS JUMPER by KENNEDY,BORDEN",,,"MISS JUMPER by KENNEDY,BORDEN",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
06:00,"TURNOVER  by BAUGHMAN,CARTER",,,,,,,"TURNOVER  by BAUGHMAN,CARTER",1
06:00,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
06:00,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
06:00,,,,,"SUB IN by GUTIERREZ,SAM",,,"SUB IN by GUTIERREZ,SAM",1
06:00,,,,,"SUB OUT by MANSBARGER,RYAN",,,"SUB OUT by MANSBARGER,RYAN",1
05:44,,,,,"MISS LAYUP by KRAUSE,MATT",,,"MISS LAYUP by KRAUSE,MATT",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
05:20,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by KRAUSE,MATT",,,"REBOUND DEF by KRAUSE,MATT",1
--,,,,,"REBOUND OFF by GOGGANS,DANNY",,,"REBOUND OFF by GOGGANS,DANNY",1
05:11,,,,,"MISS 3PTR by KRAUSE,MATT",,,"MISS 3PTR by KRAUSE,MATT",1
04:48,,,,,"MISS 3PTR by GUTIERREZ,SAM",,,"MISS 3PTR by GUTIERREZ,SAM",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
04:48,,,,,"FOUL  by GUTIERREZ,SAM",,,"FOUL  by GUTIERREZ,SAM",1
04:44,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
04:44,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
04:36,"GOOD LAYUP by BATES,JACOB(in the paint)",27 (+5),,22,,CENTRE 27-22 (+5),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,"ASSIST  by WILLIAMS,JALEN",,,,,,,"ASSIST  by WILLIAMS,JALEN",1
04:29,,27 (+3),,24,"GOOD LAYUP by ANDERSON,JORDAN(in the paint)",FCMBB 27-24 (+3),,"GOOD LAYUP by ANDERSON,JORDAN(in the paint)",1
04:14,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
03:59,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,,,,,"REBOUND DEF by KRAUSE,MATT",,,"REBOUND DEF by KRAUSE,MATT",1
03:40,,,,,"MISS LAYUP by KENNEDY,BORDEN",,,"MISS LAYUP by KENNEDY,BORDEN",1
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",1
03:26,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by GOGGANS,DANNY",,,"REBOUND DEF by GOGGANS,DANNY",1
03:18,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
03:18,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
03:08,,,,,"MISS 3PTR by ANDERSON,JORDAN",,,"MISS 3PTR by ANDERSON,JORDAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:06,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
03:06,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
02:48,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
02:48,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
02:48,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
02:48,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
02:48,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
02:31,,,,,"SUB IN by YORK,COLIN",,,"SUB IN by YORK,COLIN",1
02:31,,,,,"SUB OUT by GUTIERREZ,SAM",,,"SUB OUT by GUTIERREZ,SAM",1
02:27,,27 (+1),,26,"GOOD LAYUP by KENNEDY,BORDEN(in the paint)",FCMBB 27-26 (+1),,"GOOD LAYUP by KENNEDY,BORDEN(in the paint)",1
01:56,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:31,,27,,29 (+2),"GOOD 3PTR by KRAUSE,MATT",FCMBB 27-29 (-2),,"GOOD 3PTR by KRAUSE,MATT",1
--,,,,,"ASSIST  by KENNEDY,BORDEN",,,"ASSIST  by KENNEDY,BORDEN",1
01:06,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by GOGGANS,DANNY",,,"REBOUND DEF by GOGGANS,DANNY",1
00:45,,27,,31 (+4),"GOOD JUMPER by GOGGANS,DANNY(in the paint)",FCMBB 27-31 (-4),,"GOOD JUMPER by GOGGANS,DANNY(in the paint)",1
00:24,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
00:23,,,,,"STEAL  by KENNEDY,BORDEN",,,"STEAL  by KENNEDY,BORDEN",1
00:02,,,,,"MISS LAYUP by KENNEDY,BORDEN",,,"MISS LAYUP by KENNEDY,BORDEN",1
--,,,,,"REBOUND OFF by GOGGANS,DANNY",,,"REBOUND OFF by GOGGANS,DANNY",1
00:01,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
00:01,,27,,32 (+5),"GOOD FT by GOGGANS,DANNY",FCMBB 27-32 (-5),,"GOOD FT by GOGGANS,DANNY",1
00:01,,27,,33 (+6),"GOOD FT by GOGGANS,DANNY",FCMBB 27-33 (-6),,"GOOD FT by GOGGANS,DANNY",1
00:01,"GOOD FT by BATES,JACOB",28,,33 (+5),,CENTRE 28-33 (-5),,"GOOD FT by BATES,JACOB",1
00:01,,,,,"FOUL  by MANSBARGER,RYAN",,,"FOUL  by MANSBARGER,RYAN",1
00:01,"GOOD FT by BATES,JACOB",29,,33 (+4),,CENTRE 29-33 (-4),,"GOOD FT by BATES,JACOB",1
00:01,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
00:01,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
00:01,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
00:01,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
00:01,,,,,"SUB IN by MANSBARGER,RYAN",,,"SUB IN by MANSBARGER,RYAN",1
00:01,,,,,"SUB OUT by YORK,COLIN",,,"SUB OUT by YORK,COLIN",1
19:47,"GOOD LAYUP by BATES,JACOB(in the paint)",31,,33 (+2),,CENTRE 31-33 (-2),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
19:22,,,,,"TURNOVER  by KRAUSE,MATT",,,"TURNOVER  by KRAUSE,MATT",2
19:21,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
19:11,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",2
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",2
19:08,"GOOD LAYUP by WALKER,ART(in the paint)",33,,33,,CENTRE 33-33 (0),,"GOOD LAYUP by WALKER,ART(in the paint)",2
18:54,,,,,"MISS JUMPER by MORRIS,KALE",,,"MISS JUMPER by MORRIS,KALE",2
--,,,,,"REBOUND OFF by MILLS,PAYTON",,,"REBOUND OFF by MILLS,PAYTON",2
18:49,,,,,"MISS 3PTR by GUTIERREZ,SAM",,,"MISS 3PTR by GUTIERREZ,SAM",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
18:42,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
18:41,,,,,"STEAL  by KENNEDY,BORDEN",,,"STEAL  by KENNEDY,BORDEN",2
18:39,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
18:39,,,,,"SUB IN by ANDERSON,JORDAN",,,"SUB IN by ANDERSON,JORDAN",2
18:39,,,,,"SUB OUT by KRAUSE,MATT",,,"SUB OUT by KRAUSE,MATT",2
18:24,,,,,"MISS JUMPER by GUTIERREZ,SAM",,,"MISS JUMPER by GUTIERREZ,SAM",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
18:17,,,,,"FOUL  by GUTIERREZ,SAM",,,"FOUL  by GUTIERREZ,SAM",2
18:17,"GOOD FT by AYERS,PERRY",34 (+1),,33,,CENTRE 34-33 (+1),,"GOOD FT by AYERS,PERRY",2
18:17,"GOOD FT by AYERS,PERRY",35 (+2),,33,,CENTRE 35-33 (+2),,"GOOD FT by AYERS,PERRY",2
18:17,,,,,"SUB IN by MANSBARGER,RYAN",,,"SUB IN by MANSBARGER,RYAN",2
18:17,,,,,"SUB OUT by GUTIERREZ,SAM",,,"SUB OUT by GUTIERREZ,SAM",2
17:53,,35,,35,"GOOD LAYUP by MILLS,PAYTON(in the paint)",FCMBB 35-35 (0),,"GOOD LAYUP by MILLS,PAYTON(in the paint)",2
17:35,"GOOD JUMPER by BATES,JACOB(in the paint)",37 (+2),,35,,CENTRE 37-35 (+2),,"GOOD JUMPER by BATES,JACOB(in the paint)",2
17:15,,37,,37,"GOOD LAYUP by ANDERSON,JORDAN(in the paint)",FCMBB 37-37 (0),,"GOOD LAYUP by ANDERSON,JORDAN(in the paint)",2
16:57,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
16:57,,,,,"BLOCK  by MILLS,PAYTON",,,"BLOCK  by MILLS,PAYTON",2
--,,,,,"REBOUND DEF by MORRIS,KALE",,,"REBOUND DEF by MORRIS,KALE",2
16:50,,37,,39 (+2),"GOOD LAYUP by MILLS,PAYTON(fastbreak)(in the paint)",FCMBB 37-39 (-2),,"GOOD LAYUP by MILLS,PAYTON(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by KENNEDY,BORDEN",,,"ASSIST  by KENNEDY,BORDEN",2
16:50,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
16:50,,,,,"MISS FT by MILLS,PAYTON",,,"MISS FT by MILLS,PAYTON",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
16:50,"GOOD JUMPER by BATES,JACOB(in the paint)",39,,39,,CENTRE 39-39 (0),,"GOOD JUMPER by BATES,JACOB(in the paint)",2
16:50,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
16:50,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
16:04,,,,,"MISS LAYUP by ANDERSON,JORDAN",,,"MISS LAYUP by ANDERSON,JORDAN",2
15:56,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:56,,,,,"FOUL  by KENNEDY,BORDEN",,,"FOUL  by KENNEDY,BORDEN",2
15:47,"GOOD JUMPER by RAKES,BAILEY",41 (+2),,39,,CENTRE 41-39 (+2),,"GOOD JUMPER by RAKES,BAILEY",2
